particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
        Coordinating Agency,7388,5008,0,6598,4948,0,7378,6208,0,,
     Statistical Research and Training Center,8952,6446,20000,8292,7855,0,9453,6413,20000,,
     Tariff Commission,26205,17896,1850,23753,19295,0,27192,19295,0,,
,,,,,,,,,,,
   Presidential Communications Operations Office,607565,668696,55796,491466,537173,131539,552164,391551,32442,1,
     Presidential Communications Operations,,,,,,,,,,,
        Office (Proper),23920,163953,2200,21461,85251,1105,22048,77089,0,,
     Bureau of Broadcast Services,181682,89700,32741,163214,161892,67717,176106,100326,16221,,
     Bureau of Communications Services,18578,13025,1759,15219,14892,0,16507,12445,0,,
     National Printing Office,137607,40105,8716,104941,26737,0,120864,16100,0,,
     News and Information Bureau,64892,31926,1141,60185,32944,0,66180,24893,0,,
     Philippine Information Agency,144427,187776,8856,94204,171022,62717,113811,119537,16221,,
     Presidential Broadcast Staff (RTVM),36459,142211,383,32242,44435,0,36648,41161,0,,
,,,,,,,,,,,
   Other Executive Offices,2231035,4238298,628821,2011034,4489126,371038,2254680,3434939,89463,1,
     Anti-Money Laundering Council,0,11114,0,0,20654,5000,0,9690,0,,
     Commission on Filipinos Overseas,23064,22414,520,22886,23000,897,19539,26269,5045,,
     Commission on Higher Education,180825,1646203,72748,194557,2344072,0,223067,1465025,6680,,
     Commission on the Filipino Language,18705,8467,200,16328,20831,1000,21390,11267,0,,
     Dangerous Drugs Board,29764,104379,4500,29669,149518,0,35609,129559,0,,
     Energy Regulatory Commission,163707,67935,24550,121005,69637,0,138344,67826,0,,
     Film Development Council of the Philippines,6427,106123,0,6150,72889,1700,6924,70322,0,,
     Games and Amusements Board,43892,13689,139,38750,18091,0,43361,17574,1142,,
     Housing and Land Use Regulatory Board,167295,74661,12854,136107,56777,0,126256,51820,0,,
     Housing and Urban Development,,,,,,,,,,,
        Coordinating Council,35933,64859,5090,35213,63399,0,39317,67216,7200,,
     Mindanao Development Authority,0,0,0,0,0,0,27266,27998,900,,
     Movie and Television Review and,,,,,,,,,,,
        Classification Board,15560,26980,12474,15814,18776,37519,16493,18012,9269,,
     National Anti-Poverty Commission,21273,49488,101895,25642,62347,25000,25495,44382,3974,,
     Climate Change Commission,0,0,0,22000,68000,10000,18569,16611,3700,,
,,,,,,,,,,,
     National Commission for Culture and the Arts,135513,422325,203715,130189,404658,113700,141802,364714,27864,1,
        National Commission for Culture and,,,,,,,,,,,
           the Arts (Proper),18942,302555,126727,21311,239363,65000,22363,241596,4977,,
        National Historical Commission of the,,,,,,,,,,,
           Philippines (National Historical Institute),37245,59291,56285,33108,67025,23000,36852,43297,10516,,
        The National Library of the,,,,,,,,,,,
           Philippines (The National Library),41297,34754,19647,40628,45672,22700,43025,41952,9920,,
        National Archives of the Philippines,,,,,,,,,,,
           (formerly Records Management and,,,,,,,,,,,
           Archives Office),38029,25725,1056,35142,52598,3000,39562,37869,2451,,
     National Council on Disability Affairs,19045,9532,2993,17635,11313,0,19640,9668,0,,
     National Intelligence Coordinating Agency,303521,543340,11583,262293,150538,0,303693,137284,1369,,
     National Security Council,35180,58748,1659,28264,32623,0,32091,30204,1000,,
     National Water Resources Board,31505,12291,1282,29144,9264,0,0,0,0,,
     National Youth Commission,28107,32608,2853,0,0,0,0,0,0,,
     National Commission on Muslim Filipinos,,,,,,,,,,,
        (Office on Muslim Affairs),272165,75919,150,242540,66881,0,288354,80553,1070,,
     Optical Media Board,18625,13140,612,16637,12883,0,20143,15469,1281,,
     Philippine Commission on Women (National,,,,,,,,,,,
        Commission on the Role of Filipino Women),21387,60506,1812,17179,48061,0,25709,83843,2000,,
     Philippine Drug Enforcement Agency,249655,236972,66387,224265,276225,20222,279967,235542,4376,,
     Philippine Racing Commission,22473,87579,0,20612,77284,0,22813,80429,800,,
     Philippine Sports Commission,37738,133325,77006,36418,175010,136000,40819,157055,0,,
     Presidential Commission for the Urban Poor,45220,85850,755,41722,22108,0,46181,16858,814,,
     Presidential Legislative Liaison Office,10824,8395,1524,10557,10822,0,11683,9038,90,,
     Presidential Management Staff,117275,167581,21520,94223,122008,20000,102964,113300,10889,,
     Securities and Exchange Commission,176357,93875,0,175235,81457,0,177191,77411,0,,
,,,,,,,,,,,
   Autonomous Region in Muslim Mindanao,6697116,1890045,1797356,6974429,1951983,922225,8153620,2222783,1476398,1,
     Autonomous Regional Government in Muslim Mindanao,6697116,1890045,1797356,6974429,1951983,922225,8153620,2222783,1476398,,
,,,,,,,,,,,
   Joint Legislative-Executive Councils,259,199,0,800,500,0,1625,500,60,1,
     Legislative-Executive Development,,,,,,,,,,,
        Advisory Council,259,199,0,800,500,0,1625,500,60,,
,,,,,,,,,,,
   The Judiciary,10786035,2662720,254946,9474506,3500519,362545,10721753,3500519,85118,1,
     Supreme Court of the Philippines and the,,,,,,,,,,,
        Lower Courts,9882812,2262589,103,8633908,3028941,111088,9754403,3028941,0,,
        Presidential Electoral Tribunal,31488,23814,0,47561,12306,0,55071,12306,0,,
     Sandiganbayan,139804,89826,162060,121388,111615,110118,132816,111615,85118,,
     Court of Appeals,627276,265432,22280,564195,302396,128485,644200,302396,0,,
     Court of Tax Appeals,104655,21059,70503,107454,45261,12854,135263,45261,0,,
,,,,,,,,,,,
   Civil Service Commission,530551,141851,11613,497896,150659,1000,579879,128179,5800,1,
     Civil Service Commission,512077,122764,10542,483152,130025,1000,561642,103381,5800,,
        Career Executive Service Board,18474,19087,1071,14744,20634,0,18237,24798,0,,
,,,,,,,,,,,
   Commission on Audit,4006571,313499,100000,3872001,203583,50000,4311884,181289,0,,
,,,,,,,,,,,
   Commission on Elections,1900147,8730346,773993,5311300,5232900,0,1671352,709331,0,,
,,,,,,,,,,,
   Office of the Ombudsman,825271,207599,104717,835787,204866,86800,920936,188353,0,,
,,,,,,,,,,,
   Commission on Human Rights,201965,59560,19112,199466,92449,10000,226114,59352,0,,
,,,,,,,,,,,
SPECIAL PURPOSE FUNDS,33727,606252372,12603787,154164714,635947113,39552406,106729868,694277723,37254555,1,
,,,,,,,,,,,
   Budgetary Support to Government Corporations,0,57417420,9706612,0,17217163,22081200,0,7276811,16005550,1,
,,,,,,,,,,,
     Department of Agrarian Reform,0,1286497,0,0,0,0,0,0,0,1,
        Land Bank of the Philippines,0,1286497,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Agriculture,0,26874594,230500,0,9461661,220750,0,883759,0,1,
        National Dairy Authority,0,52200,0,0,72200,0,0,51619,0,,
        National Food Authority,0,24522117,0,0,8000000,0,0,0,0,,
        National Tobacco Administration,0,116480,0,0,115000,0,0,77454,0,,
        Philippine Coconut Authority,0,591623,0,0,655690,0,0,549915,0,,
        Philippine Crop Insurance Corporation,0,113771,30500,0,183771,30500,0,113771,0,,
        Philippine Rice Research Institute,0,394253,0,0,435000,0,0,91000,0,,
        Quedan and Rural Credit Guarantee Corporation,0,0,200000,0,0,190250,0,0,0,,
        National Livelihood Development Corporation,0,1084150,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Energy,0,9443523,0,0,644186,0,0,0,0,1,
        National Electrification Administration,0,527788,0,0,644186,0,0,0,0,,
        National Power Corporation,0,8915735,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Environment and Natural Resources,0,66595,0,0,0,0,0,0,0,1,
        Laguna Lake Development Authority,0,21595,0,0,0,0,0,0,0,,
        Natural Resources Development Corporation,0,45000,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Finance,0,4150777,0,0,0,0,0,0,0,1,
        Philippine Deposit Insurance Corporation,0,4150777,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Health,0,3146551,0,0,1767960,0,0,797360,0,1,
        Local Water Utilities Administration,0,1957473,0,0,0,0,0,0,0,,
        Lung Center of the Philippines,0,169583,0,0,301560,0,0,157560,0,,
        National Kidney and Transplant Institute,0,305164,0,0,529050,0,0,162800,0,,
        Philippine Children`s Medical Center,0,251650,0,0,366300,0,0,318000,0,,
        Philippine Heart Center,0,291915,0,0,531050,0,0,122000,0,,
        Philippine Health Insurance Corporation,0,130766,0,0,0,0,0,0,0,,
        Philippine Institute of Traditional,,,,,,,,,,,
           and Alternative Health Care,0,40000,0,0,40000,0,0,37000,0,,
,,,,,,,,,,,
     Department of National Defense,0,235899,0,0,0,0,0,0,0,1,
        AFP Commissary and Exchange Service,0,235899,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Science and Technology,0,25000,0,0,0,0,0,0,0,1,
        Technology Resource Center,0,25000,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Tourism,0,70000,0,0,425000,0,0,65000,0,1,
        Philippine Tourism Authority,0,5000,0,0,360000,0,0,0,0,,
        Tourism Promotions Board,0,0,0,0,0,0,0,65000,0,,
        Philippine Convention and Visitors Corporation,0,65000,0,0,65000,0,0,0,0,,
,,,,,,,,,,,
     Department of Trade and Industry,0,77831,448064,0,428746,455000,0,132686,100000,1,
        Aurora Pacific Economic and Freeport,,,,,,,,,,,
           Zone (formerly ASEZA),0,0,400000,0,345000,455000,0,45000,100000,,
        Center for International Trade,,,,,,,,,,,
           Expositions and Missions,0,67831,0,0,73746,0,0,79686,0,,
        Cottage Industry Technology Center,0,10000,0,0,10000,0,0,8000,0,,
        Small Business Corporation,0,0,48064,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Transportation and Communications,0,1255149,811740,0,35000,0,0,131000,0,1,
        Light Rail Transit Authority,0,68918,0,0,0,0,0,0,0,,
        Philippine National Railways,0,908583,0,0,35000,0,0,131000,0,,
        Philippine Postal Corporation,0,277648,0,0,0,0,0,0,0,,
        Civil Aviation Authority of the Philippines,0,0,811740,0,0,0,0,0,0,,
,,,,,,,,,,,
     National Economic and Development Authority,0,67500,0,0,17000,0,0,25300,0,1,
        Philippine Institute for Development Studies,0,67500,0,0,17000,0,0,25300,0,,
,,,,,,,,,,,
     Presidential Communications Operations Office,0,100000,0,0,200000,0,0,0,0,1,
"        People`s Television Network, Incorporated",0,100000,0,0,200000,0,0,0,0,,
,,,,,,,,,,,
     Other Executive Offices,0,10617504,3152308,0,4224000,6405450,0,5228100,905550,1,
        Authority of the Freeport Area of Bataan,0,0,0,0,0,100000,0,0,100000,,
        Bangko Sentral ng Pilipinas,0,0,0,0,0,4000000,0,0,0,,
        Bases Conversion Development Authority,0,2919906,0,0,0,0,0,0,0,,
        Cagayan Economic Zone Authority,0,100000,1041290,0,0,1114450,0,0,294550,,
        Cultural Center of the Philippines,0,216461,0,0,145000,0,0,200000,0,,
        Development Academy of the Philippines,0,79000,0,0,70000,0,0,45000,0,,
        Development Bank of the Philippines,0,5724,0,0,0,0,0,0,0,,
        Home Development Mutual Fund,0,1697001,0,0,0,0,0,0,0,,
        North Luzon Railways Corporation,0,687609,1551018,0,0,0,0,0,0,,
        Home Guaranty Corporation,0,0,200000,0,0,600000,0,0,500000,,
        National Home Mortgage Finance Corporation,0,0,0,0,500000,400000,0,500000,0,,
        National Housing Authority,0,4759860,300000,0,3430000,170000,0,4375000,0,,
        Southern Philippines Development Authority,0,121943,0,0,30000,0,0,59000,0,,
        Zamboanga City Special Economic Zone Authority,0,30000,60000,0,49000,21000,0,49100,11000,,
,,,,,,,,,,,
     Budgetary Support to Government,,,,,,,,,,,
        Corporations - Others,0,0,0,0,13610,0,0,13606,0,,
     Net Lending,0,0,5064000,0,0,15000000,0,0,15000000,,
,,,,,,,,,,,
   Allocations to Local Government Units,33727,269968952,2897175,33026,292868485,4590245,28998,299709592,265505,1,
     Internal Revenue Allotment,0,249988867,0,0,265802377,0,0,286944239,0,,
     Special Shares of Local Government Units,,,,,,,,,,,
        in the Proceeds of National Taxes,0,5650795,0,0,14163463,0,0,11871126,0,,
     Barangay Officials Death Benefits Fund,0,0,0,0,50000,0,0,50000,0,,
     Metropolitan Manila Development Authority,26530,1347111,153781,26327,1827574,223000,21088,751905,208000,,
     Pasig River Rehabilitation Commission,7197,130014,1746545,6699,163522,1010175,7910,92322,57505,,
     Premium Subsidy for Indigents under the,,,,,,,,,,,
        National Health Insurance Program,0,0,0,0,5170000,0,0,0,0,,
     Kalayaan Barangay Program Fund,0,0,0,0,0,1000000,0,0,0,,
     Kilos Asenso Support Fund,0,1485195,0,0,0,1000000,0,0,0,,
     Municipal Development Fund,0,17035,996849,0,16850,1357070,0,0,0,,
     Special Financial Assistance to Local,,,,,,,,,,,
        Government Units,0,4722349,0,0,0,0,0,0,0,,
     Financial Subsidy to Local Government Units,0,6627586,0,0,5674699,0,0,0,0,,
,,,,,,,,,,,
   AFP  Modernization Program,0,0,0,0,0,5000000,0,0,0,,
,,,,,,,,,,,
   Calamity Fund,0,0,0,0,1200000,800000,0,3450000,1550000,,
,,,,,,,,,,,
   Contingent Fund,0,0,0,0,640000,160000,0,740000,260000,,
,,,,,,,,,,,
   DepEd - School Building Program,0,0,0,0,0,2000000,0,0,1000000,,
,,,,,,,,,,,
   E-Government Fund,0,0,0,0,0,1000000,0,0,1190000,,
,,,,,,,,,,,
   General Fund Adjustments,0,0,0,0,500000,500000,0,0,0,,
,,,,,,,,,,,
   International Commitments Fund,0,0,0,0,1677215,0,0,3174820,0,,
,,,,,,,,,,,
   Miscellaneous Personnel Benefits Fund,0,0,0,74167442,0,0,71700870,0,0,,
,,,,,,,,,,,
   National Unification Fund,0,0,0,0,43750,6250,0,0,0,,
,,,,,,,,,,,
   Retirement Benefits Fund (Pension and,,,,,,,,,,,
      Gratuity Fund),0,0,0,79964246,0,0,35000000,0,0,,
,,,,,,,,,,,
   Priority Development Assistance Fund,0,0,0,0,7446500,3414711,0,7836500,16983500,,
,,,,,,,,,,,
   Tax Expenditures Fund,0,0,0,0,38142000,0,0,15000000,0,,
,,,,,,,,,,,
   Debt Service Fund-Interest Payment,0,278866000,0,0,276212000,0,0,357090000,0,,
,,,,,,,,,,,
GRAND TOTAL,396645038,811675368,225825148,493142064,823034369,224423567,540382147,892994488,211623365,3,
