province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Zamboanga Sibugay,Buug,Councilor,"Casas, Julieta Tulod",Jul,Lakas-Christian Muslim Democrats,4487
Zamboanga Sibugay,Buug,Councilor,"Valeriano, Franklin Garcia",Boy,Lakas-Christian Muslim Democrats,4477
Zamboanga Sibugay,Buug,Councilor,"Loquinte, Domiciano Corda",Doming,Lakas-Christian Muslim Democrats,4346
Zamboanga Sibugay,Diplahan,Mayor,"Palma, Eric Yap",Eric,Lakas-Christian Muslim Democrats,6974
Zamboanga Sibugay,Diplahan,Vice-Mayor,"Abico, Danilo Sangyao",Danny,Lakas-Christian Muslim Democrats,5436
Zamboanga Sibugay,Diplahan,Councilor,"Castor, Rex Bringuel",Toto,Lakas-Christian Muslim Democrats,4016
Zamboanga Sibugay,Diplahan,Councilor,"Braganza, Nimitz Belaong",Sabaw,Lakas-Christian Muslim Democrats,4011
Zamboanga Sibugay,Diplahan,Councilor,"Araya, Mariana Capayas",Yaying,Lakas-Christian Muslim Democrats,3793
Zamboanga Sibugay,Diplahan,Councilor,"Jore, Jerry Silim",Jer,Lakas-Christian Muslim Democrats,3651
Zamboanga Sibugay,Diplahan,Councilor,"Dungog, Helen Villaruel",Helen,Independent,3607
Zamboanga Sibugay,Diplahan,Councilor,"Evangelio, Lito Africa",Toto,Lakas-Christian Muslim Democrats,3369
Zamboanga Sibugay,Diplahan,Councilor,"Centurias, Bienvenido Zamora",Ben,Independent,3265
Zamboanga Sibugay,Diplahan,Councilor,"Yap, Richard Palencia",Boyet,Lakas-Christian Muslim Democrats,3208
Zamboanga Sibugay,Imelda,Mayor,"Gonzales, Expedito Boralo",Pedito,Puwersa ng Masang Pilipino,3699
Zamboanga Sibugay,Imelda,Vice-Mayor,"Palalon, Darwin Torrico",Win,Puwersa ng Masang Pilipino,3326
Zamboanga Sibugay,Imelda,Councilor,"Pabayos, Dodelyn Barimbao",Gingging,Lakas-Christian Muslim Democrats,3914
Zamboanga Sibugay,Imelda,Councilor,"Talaver, Manuel Jr. Lintao",Bong,Lakas-Christian Muslim Democrats,3804
Zamboanga Sibugay,Imelda,Councilor,"Suares, Bonifacio Tunacao",Bonie,Puwersa ng Masang Pilipino,3651
Zamboanga Sibugay,Imelda,Councilor,"Bajada, Noe Asuncion",Noe,Puwersa ng Masang Pilipino,3327
Zamboanga Sibugay,Imelda,Councilor,"Paypon, Diosdado Nicolas",Toto,Lakas-Christian Muslim Democrats,3319
Zamboanga Sibugay,Imelda,Councilor,"Tagapia, Celso Egar",Jojo,Puwersa ng Masang Pilipino,2970
Zamboanga Sibugay,Imelda,Councilor,"Ildefonso, Nilo Gamalinda",Gamalinda,Puwersa ng Masang Pilipino,2708
Zamboanga Sibugay,Imelda,Councilor,"Quintilla, Mecilina Abayari",Mecy,Lakas-Christian Muslim Democrats,2640
Zamboanga Sibugay,Ipil,Mayor,"Olegario, Rey Andre Camacho",Rey,Lakas-Christian Muslim Democrats,15606
Zamboanga Sibugay,Ipil,Vice-Mayor,"Pontanar, Marlon Abao",Kikoy,Independent,12692
Zamboanga Sibugay,Ipil,Councilor,"Abalde, Jose Villarta",Empoy,Independent,14346
Zamboanga Sibugay,Ipil,Councilor,"Angas, Jimmy Ageas",Jem,Isang Bansa Isang Diwa,13229
Zamboanga Sibugay,Ipil,Councilor,"Inoferio, Valentino Carrera",Val,Independent,12224
Zamboanga Sibugay,Ipil,Councilor,"Villafuerte, Ramon Ruiz",Mon,Independent,11675
Zamboanga Sibugay,Ipil,Councilor,"Salinas, Felipe Caligan",Bentong,Independent,11228
Zamboanga Sibugay,Ipil,Councilor,"Alforte, Brenda Pontanar",Don Kevin Comml,Independent,10421
Zamboanga Sibugay,Ipil,Councilor,"Ebol, Joel Dellona",El Matador,Independent,9715
Zamboanga Sibugay,Ipil,Councilor,"Olegario, Ralph Camacho",Ralph,Independent,9573
Zamboanga Sibugay,Kabasalan,Mayor,"Chu, Freddie Imbang",Nonoy,Lakas-Christian Muslim Democrats,11763
