city_or_municipality,position,name,party_affiliation,votes_obtained
Carcar City,Councilor,"Apura, Anthony John Rabanes",One Cebu,16798
Carmen,Mayor,"Villamor, Martin Gerard Teves",Barug Alang sa Kauswagan ng Demokrasya,14960
Carmen,Vice-Mayor,"Damiles, Al Silvestre Buot",Barug Alang sa Kauswagan ng Demokrasya,13359
Carmen,Councilor,"Durano, Manuel Mari Amal",Barug Alang sa Kauswagan ng Demokrasya,18386
Carmen,Councilor,"Villamor, Carlo Mariano Teves",Barug Alang sa Kauswagan ng Demokrasya,16862
Carmen,Councilor,"Reston, Mamerto Villamor",Barug Alang sa Kauswagan ng Demokrasya,12999
Carmen,Councilor,"Maningo, Hermogenes Ortizano",Barug Alang sa Kauswagan ng Demokrasya,11837
Carmen,Councilor,"Seno, Imelda Maningo",Barug Alang sa Kauswagan ng Demokrasya,11790
Carmen,Councilor,"Camara, James Gimena",Barug Alang sa Kauswagan ng Demokrasya,11500
Carmen,Councilor,"Morales, Hermes Kiamco",Barug Alang sa Kauswagan ng Demokrasya,10201
Carmen,Councilor,"Pisao, Jover Batucan",Barug Alang sa Kauswagan ng Demokrasya,10128
Catmon,Mayor,"Jusay, Dan Modequillo",Barug Alang sa Kauswagan ng Demokrasya,8730
Catmon,Vice-Mayor,"Baylon-Gestopa, Iris Iroc",Barug Alang sa Kauswagan ng Demokrasya,9489
Catmon,Councilor,"Oyas, Earl Tidy Honrado",Barug Alang sa Kauswagan ng Demokrasya,8775
Catmon,Councilor,"Duran, Victoriano Jr. Rica",Barug Alang sa Kauswagan ng Demokrasya,7928
Catmon,Councilor,"Molde, Marvin Molinas",Barug Alang sa Kauswagan ng Demokrasya,7142
Catmon,Councilor,"Coloscos, Ceasar Colinares",Independent,6891
Catmon,Councilor,"Colonia, Vicente Orlanes",Barug Alang sa Kauswagan ng Demokrasya,6777
Catmon,Councilor,"Oyas, Lloyd Seno",Barug Alang sa Kauswagan ng Demokrasya,6277
Catmon,Councilor,"Recamadas, Beven Butaya",Barug Alang sa Kauswagan ng Demokrasya,6169
Catmon,Councilor,"Colonia, Romulo Boter",Barug Alang sa Kauswagan ng Demokrasya,5967
Cebu City,City Mayor,"Rama, Michael Lopez",United Nationalist Alliance,218632
Cebu City,City Vice-Mayor,"Labella, Edgardo Colina",United Nationalist Alliance,203267
Cebu City,Councilor,"Archival, Nestor Dionson",Liberal Party,107657
Cebu City,Councilor,"De Los Santos, Mary Ann Chiong",United Nationalist Alliance,102718
Cebu City,Councilor,"Arcilla, Alvin Borbajo",Liberal Party,97315
Cebu City,Councilor,"Andales, Sisinio Mercado",Liberal Party,95012
Cebu City,Councilor,"Japson, Lea Ouano",Liberal Party,91691
Cebu City,Councilor,"Dizon, Alvin Ma",Liberal Party,86206
Cebu City,Councilor,"Cabrera, Ma. Nida Corbin",Liberal Party,84115
Cebu City,Councilor,"Wenceslao, Noel Eleuterio Gonzales",Liberal Party,79649
Cebu City,Councilor,"Osme, Margarita Vargas",Liberal Party,124756
Cebu City,Councilor,"Carillo, Gerardo Abella",Liberal Party,118129
Cebu City,Councilor,"Gabuya Jr., Eugenio Flordelis",Liberal Party,115336
Cebu City,Councilor,"Tumulak, David Flores",United Nationalist Alliance,113473
Cebu City,Councilor,"Cabarrubias, Roberto Antimaro",Liberal Party,109659
Cebu City,Councilor,"Cuenco, James Anthony Roa",United Nationalist Alliance,107376
Cebu City,Councilor,"Abella, Nendell Hanz Lo",United Nationalist Alliance,100431
Cebu City,Councilor,"Osme, Richard Zayco",Liberal Party,99253
Compostela,Mayor,"Qui, Joel Pareja",Barug Alang sa Kauswagan ng Demokrasya,12460
Compostela,Vice-Mayor,"Abing, Josephine Tapac",Barug Alang sa Kauswagan ng Demokrasya,10916
Compostela,Councilor,"Qui, Felijur Pareja",Independent,10843
Compostela,Councilor,"Cabatingan, Joy Ann Pepito",Barug Alang sa Kauswagan ng Demokrasya,10003
Compostela,Councilor,"Cang, Tessa Paradiang",Independent,9534
Compostela,Councilor,"Calo, Wilfredo Tirado",Barug Alang sa Kauswagan ng Demokrasya,9287
Compostela,Councilor,"Canen, Homer Castro",Barug Alang sa Kauswagan ng Demokrasya,8639
Compostela,Councilor,"Oliverio, Francisco Tariao",Barug Alang sa Kauswagan ng Demokrasya,8253
Compostela,Councilor,"Villaceran, Glenn Ayuda",One Cebu,8083
Compostela,Councilor,"Paradiang, Mario Cabatingan",Barug Alang sa Kauswagan ng Demokrasya,7405
Consolacion,Mayor,"Alegado, Teresa Pepito",Liberal Party,27220
Consolacion,Vice-Mayor,"Damole, Aurelio Alivio",Liberal Party,32413
Consolacion,Councilor,"Alinsug, Ember Visabella",One Cebu,25166
Consolacion,Councilor,"Palang, Elenito Pepito",Liberal Party,24827
Consolacion,Councilor,"Alegado, Julius Pepito",Liberal Party,24423
Consolacion,Councilor,"Ermac, Bienvenido Gungob",Liberal Party,24373
Consolacion,Councilor,"Abinales, Arnolfo Aurelio Alivio",One Cebu,24207
Consolacion,Councilor,"Gungob, Maria Analee Guiao",One Cebu,24094
Consolacion,Councilor,"Tibon, Benjamin Booc",Liberal Party,23190
Consolacion,Councilor,"Ferraren, Nilo Ajo",Liberal Party,22541
Cordoba,Mayor,"Sitoy, Adelino Baguio",Liberal Party,14429
Cordoba,Vice-Mayor,"Cho, Mary Therese Sitoy",Independent,11323
Cordoba,Councilor,"Godornes, Adrian Amistad",Liberal Party,13233
Cordoba,Councilor,"Mu, Cesario Arong",Liberal Party,11197
Cordoba,Councilor,"Tiro, Allan Armenteros",Independent,10608
Cordoba,Councilor,"Sitoy, Ximgil Dino Aum",Liberal Party,10223
Cordoba,Councilor,"Pogoy, Lemuel Wahing",Liberal Party,9638
Cordoba,Councilor,"Tura, Nicolas Amores",Liberal Party,9077
Cordoba,Councilor,"Gairanod, Angeles Pogoy",Liberal Party,8156
Cordoba,Councilor,"Yburan, Roque Sumagang",Liberal Party,7936
Daanbantayan,Mayor,"Corro, Augusto Diaz",Liberal Party,18101
Daanbantayan,Vice-Mayor,"Arrabis, Gilbert Jr. Molejon",Liberal Party,18534
Daanbantayan,Councilor,"De Leon, Chona Rosell",Liberal Party,16628
Daanbantayan,Councilor,"Abucay, Zenaida Ducay",Nationalista Party,16057
Daanbantayan,Councilor,"Tancawan, Maria Bregidorietta Moralde",Nationalista Party,15002
Daanbantayan,Councilor,"Pepito, Marylou Enage",Nationalista Party,14776
Daanbantayan,Councilor,"Moralde, Samuel Punay",Nationalista Party,14539
Daanbantayan,Councilor,"Yba, Juanito Pepito",Nationalista Party,14243
Daanbantayan,Councilor,"Rosell, Jupiter Roy Malaga",Nationalista Party,14186
Daanbantayan,Councilor,"Benatiro, Emmanuel Cuyos",Liberal Party,14065
Dalaguete,Mayor,"Cesante, Ronald Allan Gesalan",One Cebu,20041
Dalaguete,Vice-Mayor,"Belci, Jeffrey Buenconsejo",One Cebu,18001
Dalaguete,Councilor,"Lagahid, William Ocoy",One Cebu,13297
Dalaguete,Councilor,"Belandres, Kevin Villahermosa",One Cebu,12509
Dalaguete,Councilor,"Osorio, John Retz Bajarias",Liberal Party,11820
Dalaguete,Councilor,"Almagro, Estanisla Mercado",Liberal Party,11669
Dalaguete,Councilor,"Belci, Francis Sydney Amatong",Liberal Party,11356
Dalaguete,Councilor,"Montenegro, Mario Caballero",One Cebu,10336
Dalaguete,Councilor,"Moran, Juan Bornea",One Cebu,10061
Dalaguete,Councilor,"Dicdican, Teofilo Amaba",One Cebu,9637
Danao City,City Mayor,"Durano, Ramon  Iii Duterte",Liberal Party,38634
Danao City,City Vice-Mayor,"Durano, Ramon Vi Hotchkiss",Barug Alang sa Kauswagan ng Demokrasya,34686
Danao City,Councilor,"Durano-Meca, Carmen Remedios Hotchkiss",Barug Alang sa Kauswagan ng Demokrasya,33621
Danao City,Councilor,"Almendras, Jerard Gaviola",Barug Alang sa Kauswagan ng Demokrasya,31625
Danao City,Councilor,"Duterte, Cynthia Arnado",Barug Alang sa Kauswagan ng Demokrasya,29871
Danao City,Councilor,"Lawas, Alejandro Mayol",Barug Alang sa Kauswagan ng Demokrasya,29279
Danao City,Councilor,"Giango, Rodrigo Galon",Barug Alang sa Kauswagan ng Demokrasya,28333
Danao City,Councilor,"Enriquez, Jovelina Manulat",Barug Alang sa Kauswagan ng Demokrasya,25092
Danao City,Councilor,"Cane, Jorge John Taboada",Barug Alang sa Kauswagan ng Demokrasya,24168
Danao City,Councilor,"Reyes, Roland Perez",Barug Alang sa Kauswagan ng Demokrasya,23577
Danao City,Councilor,"Roble, Jose Thaddeus Jr. Beciril",Barug Alang sa Kauswagan ng Demokrasya,22469
Danao City,Councilor,"Meca, Celso Cane",Barug Alang sa Kauswagan ng Demokrasya,21617
Dumanjug,Mayor,"Garcia, Nelson Gamaliel Fiel",National Unity Party,14016
Dumanjug,Vice-Mayor,"Gica, Efren Guntrano Zozobrado",Liberal Party,11996
Dumanjug,Councilor,"Boquecosa, Ricardo Asentista",One Cebu,12399
Dumanjug,Councilor,"Condes, Ricardo Condor",One Cebu,12279
Dumanjug,Councilor,"Quirante, Evelinda Tuling",One Cebu,11682
Dumanjug,Councilor,"Dacumos, Joshua Noel",Liberal Party,11147
Dumanjug,Councilor,"Gica, Erwin Zozobrado",Liberal Party,11128
Dumanjug,Councilor,"Amadora, Eliezer Belocura",One Cebu,10679
Dumanjug,Councilor,"Alpuerto, Josephine Pranza",Liberal Party,10551
Dumanjug,Councilor,"Lla, Meriam Pasatiempo",One Cebu,10378
Ginatilan,Mayor,"Garcia, Nelson Gamaliel Fiel",National Unity Party,14016
Ginatilan,Vice-Mayor,"Gica, Efren Guntrano Zozobrado",Liberal Party,11996
Ginatilan,Councilor,"Boquecosa, Ricardo Asentista",One Cebu,12399
Ginatilan,Councilor,"Condes, Ricardo Condor",One Cebu,12279
Ginatilan,Councilor,"Quirante, Evelinda Tuling",One Cebu,11682
Ginatilan,Councilor,"Dacumos, Joshua Noel",Liberal Party,11147
Ginatilan,Councilor,"Gica, Erwin Zozobrado",Liberal Party,11128
Ginatilan,Councilor,"Amadora, Eliezer Belocura",One Cebu,10679
Ginatilan,Councilor,"Alpuerto, Josephine Pranza",Liberal Party,10551
Ginatilan,Councilor,"Lla, Meriam Pasatiempo",One Cebu,10378
Lapu-lapu City Opon,Mayor,"Garcia, Nelson Gamaliel Fiel",National Unity Party,14016
Lapu-lapu City Opon,Vice-Mayor,"Gica, Efren Guntrano Zozobrado",Liberal Party,11996
Lapu-lapu City Opon,Councilor,"Boquecosa, Ricardo Asentista",One Cebu,12399
Lapu-lapu City Opon,Councilor,"Condes, Ricardo Condor",One Cebu,12279
Lapu-lapu City Opon,Councilor,"Quirante, Evelinda Tuling",One Cebu,11682
Lapu-lapu City Opon,Councilor,"Dacumos, Joshua Noel",Liberal Party,11147
Lapu-lapu City Opon,Councilor,"Gica, Erwin Zozobrado",Liberal Party,11128
Lapu-lapu City Opon,Councilor,"Amadora, Eliezer Belocura",One Cebu,10679
Lapu-lapu City Opon,Councilor,"Alpuerto, Josephine Pranza",Liberal Party,10551
Lapu-lapu City Opon,Councilor,"Lla, Meriam Pasatiempo",One Cebu,10378
Liloan,Mayor,"Frasco, Vincent Franco Domingo",United Nationalist Alliance,28727
Liloan,Vice-Mayor,"Pilapil, Lucelito Bacatan",United Nationalist Alliance,27185
Liloan,Councilor,"Cala, Edna Marikit",United Nationalist Alliance,20315
Liloan,Councilor,"Jordan, Thelma Limpag",United Nationalist Alliance,19810
Liloan,Councilor,"Jumapao, Ferdinand Ca",United Nationalist Alliance,19583
Liloan,Councilor,"Comendador, Francisco Iii Ca",United Nationalist Alliance,19244
Liloan,Councilor,"Lopez, Nelly Bernardo Laguna",United Nationalist Alliance,18851
Liloan,Councilor,"Ca, Lurgio Remegia",United Nationalist Alliance,18770
Liloan,Councilor,"Salundaguit, Leo Pepito",United Nationalist Alliance,17410
Liloan,Councilor,"Ca, Vidal Cabatingan",One Cebu,16861
Madridejos,Mayor,"Dela Fuente, Salvador Serondo",National Unity Party,9753
Madridejos,Vice-Mayor,"Batayola, Floreto Paca",National Unity Party,9546
Madridejos,Councilor,"Villacrucis, Vincent Yba",National Unity Party,9541
Madridejos,Councilor,"Daruca, Owen Gasal",National Unity Party,9162
Madridejos,Councilor,"Olingay, Stephen Cueva",National Unity Party,8341
Madridejos,Councilor,"Dorimon, Doroteo Santillan",National Unity Party,8173
Madridejos,Councilor,"Compra, Bernabe Sr. Millang",National Unity Party,8088
Madridejos,Councilor,"Villacarlos, Arleen Santos",National Unity Party,7714
Madridejos,Councilor,"Caranzo, Jerry Solomon",National Unity Party,7678
Madridejos,Councilor,"Rivera, Ricardo Gillera",National Unity Party,6891
Malabuyoc,Mayor,"Creus, Lito Narciso Endrina",One Cebu,4688
Malabuyoc,Vice-Mayor,"Creus, Lito Narciso Jr. Lim",One Cebu,4851
Malabuyoc,Councilor,"Sabac, Cyril Lece",One Cebu,5262
Malabuyoc,Councilor,"Pielago, Romulo Carpe",Liberal Party,4478
Malabuyoc,Councilor,"Alburo, Peter Saavedra",One Cebu,4205
Malabuyoc,Councilor,"Almeida, Elizabeth Lepatan",Liberal Party,4179
Malabuyoc,Councilor,"Jadraque, Felicisimo Carcueva",Liberal Party,4100
Malabuyoc,Councilor,"Baldelovar, Marilyn Amante",One Cebu,3879
Malabuyoc,Councilor,"Creus, Daisy Lim",One Cebu,3813
Malabuyoc,Councilor,"Maranga, Wilfredo Villarta",Liberal Party,3370
Mandaue City,City Mayor,"Cortes, Jonas Cabungcal",Liberal Party,98972
Mandaue City,City Vice-Mayor,"Bercede, Glenn Ouano",Liberal Party,102674
Mandaue City,Councilor,"Ouano-Dizon, Emmarie Mabanag",Liberal Party,89660
Mandaue City,Councilor,"Ceniza, Jose Jefferson Codoy",Liberal Party,76807
Mandaue City,Councilor,"Suico, Diosdado Perez",Liberal Party,75313
Mandaue City,Councilor,"Cabahug, Editha Flores",Liberal Party,73912
Mandaue City,Councilor,"Andaya, Beethoven Ceniza",Liberal Party,71299
Mandaue City,Councilor,"Layese, Nenita Ceniza",Liberal Party,70035
Mandaue City,Councilor,"Lumapas, Jimmy Cortes",Liberal Party,69332
Mandaue City,Councilor,"Cortes, Demetrio Jr. Cabungcal",Liberal Party,68157
Mandaue City,Councilor,"Dabon, Elstone Del Casillo",Liberal Party,62182
Mandaue City,Councilor,"Basiga, Benjamin Homeres",Liberal Party,61062
Medelin,Mayor,"Ramirez, Ricardo Rodriguez",National Unity Party,11726
Medelin,Vice-Mayor,"Lim, Juan Alfonso Logrono",National Unity Party,10178
Medelin,Councilor,"Villapez, Lee Rj Villegas",Independent,18608
Medelin,Councilor,"Olivar, Raymond Rodriguez",Independent,14238
Medelin,Councilor,"Inot, Joevenus Lambo",National Unity Party,10457
Medelin,Councilor,"Franco, Horacio Villarica",National Unity Party,9435
Medelin,Councilor,"Suan, Dioscoro Batusin",National Unity Party,9055
Medelin,Councilor,"Noynay, Artemio Salimbangon",National Unity Party,8998
Medelin,Councilor,"Orbiso, Roberto Arreglado",National Unity Party,8365
Medelin,Councilor,"Mangubat, Conrado Villaflor",Liberal Party,8159
Minglanilla,Mayor,"Pe, Elanito Alidon",Nationalista Party,22296
Minglanilla,Vice-Mayor,"Selma, Robert John Ruiz",Nationalista Party,19843
Minglanilla,Councilor,"Enad, Rajiv Varron",Nationalista Party,23440
Minglanilla,Councilor,"Adlawan, Samuel Jr. Gorosin",Nationalista Party,19219
Minglanilla,Councilor,"Selma, Eduardo Ma. Causin",Nationalista Party,19173
Minglanilla,Councilor,"Ca, Jeremias Llanos",Liberal Party,18680
Minglanilla,Councilor,"Velez, Jesus Denoyo",Liberal Party,17683
Minglanilla,Councilor,"Ca, Lamberto Fernandez",Liberal Party,17236
Minglanilla,Councilor,"Geonzon, Loben Ca",Nationalista Party,16666
Minglanilla,Councilor,"Nacario, Roy Maisog",Nationalista Party,16221
Moalboal,Mayor,"Pe, Elanito Alidon",Nationalista Party,22296
Moalboal,Vice-Mayor,"Selma, Robert John Ruiz",Nationalista Party,19843
Moalboal,Councilor,"Enad, Rajiv Varron",Nationalista Party,23440
Moalboal,Councilor,"Adlawan, Samuel Jr. Gorosin",Nationalista Party,19219
Moalboal,Councilor,"Selma, Eduardo Ma. Causin",Nationalista Party,19173
Moalboal,Councilor,"Ca, Jeremias Llanos",Liberal Party,18680
Moalboal,Councilor,"Velez, Jesus Denoyo",Liberal Party,17683
Moalboal,Councilor,"Ca, Lamberto Fernandez",Liberal Party,17236
Moalboal,Councilor,"Geonzon, Loben Ca",Nationalista Party,16666
Moalboal,Councilor,"Nacario, Roy Maisog",Nationalista Party,16221
Naga City,City Mayor,"Chiong, Valdemar Mendiola",Nationalista Party,37010
Naga City,City Vice-Mayor,"Se, Delfin Resurreccion",Nationalista Party,32620
Naga City,Councilor,"Lara, Alexander Repollo",Nationalista Party,28476
Naga City,Councilor,"Del Mar, Venci Requiroso",Nationalista Party,26846
