month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
April,23:00 - 23:59,2,952,0,27,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,2,0,1
April,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,01:00 - 01:59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,03:00 - 03:59,0,0,78,0,48,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,04:00 - 04:59,4515,346,4237,354,2783,102,5816,612,192,62,235,325,1259,722,423,437,11,0,0,0,0,0,0,0,1,1
May,05:00 - 05:59,113520,9659,46201,12359,27627,4838,59794,19982,3442,3200,5540,14284,30236,29105,13491,15978,22260,17936,6278,16706,10774,28036,18765,20190,50268,35016
May,06:00 - 06:59,238230,36568,99393,44800,42730,18231,72921,60733,8476,13729,17474,38907,68665,76746,35118,34414,56892,48575,13817,47416,32233,80526,48551,62504,134338,96394
May,07:00 - 07:59,276118,56567,94257,72350,34909,34445,68180,86360,14275,32752,29561,66745,91272,116559,49769,58721,84304,62251,20645,80566,39368,115997,65462,91403,208824,123599
May,08:00 - 08:59,251055,58012,85311,67365,36237,30164,76418,92604,14821,37230,26925,93280,86930,142789,45544,58235,83867,62640,16151,79940,34782,118043,59410,89269,196593,125469
May,09:00 - 09:59,193665,66279,70848,52858,37866,26080,85179,94533,14831,38053,21908,88186,81179,134433,38871,50235,79771,54873,15990,49011,34050,117988,50963,61084,168137,120443
May,10:00 - 10:59,142463,68153,59533,44987,36392,21636,89036,87274,13697,29680,20187,64668,72020,110930,34483,37046,68304,51779,18472,32962,33997,95914,43974,42916,135837,119809
May,11:00 - 11:59,139096,73814,56288,39726,36179,19014,96158,90199,14175,20191,23258,59425,76014,99440,34358,31204,64329,53043,19374,26437,38366,96918,42323,35887,136292,120617
May,12:00 - 12:59,127422,77416,54153,43065,34356,19547,94542,95702,14005,16508,25867,55538,77944,93376,33847,32676,61728,52797,20437,26249,45774,83818,42824,34799,134774,129836
May,13:00 - 13:59,114238,74436,50273,44591,31215,20896,92092,97242,14436,16172,27683,53725,77057,86508,32932,35225,59685,49890,20267,28014,51075,71057,40588,34123,131504,126733
May,14:00 - 14:59,95967,81136,47276,45658,31344,20517,88757,104131,15661,15603,33250,45751,78300,79295,34969,33436,56606,50822,25301,24382,57684,62236,45463,30809,130006,128086
May,15:00 - 15:59,89742,96682,50269,52651,31479,23306,89081,117038,17134,14344,39356,43291,87486,79522,37981,31239,56302,56927,32054,18706,74371,59163,50924,28225,136881,136553
May,16:00 - 16:59,94900,118137,59001,65805,37840,27565,95024,133699,21419,13158,47542,40669,99703,82790,42670,34384,62101,68492,42300,15576,97378,58475,73054,27581,153568,150640
May,17:00 - 17:59,114270,161489,77848,90459,52008,36863,109199,164554,32524,13109,66089,45784,113629,97882,55277,42616,66972,83220,66488,17507,120957,68724,113338,32188,177553,177087
May,18:00 - 18:59,116154,184108,69535,108117,41249,41390,111032,179241,27317,12645,76126,45724,118372,103589,51800,48331,60022,87031,66752,20889,136692,70101,115946,33244,177997,196800
May,19:00 - 19:59,116676,181507,55405,105710,31587,38175,96617,172247,21084,11339,58635,41363,101285,101687,44994,54678,52172,87821,51979,22610,133634,66281,89970,32372,158643,187554
May,20:00 - 20:59,103865,145957,40487,96628,23343,34601,80285,148122,18075,9450,40766,33233,86335,89622,34813,54270,45795,73709,32831,24256,127223,55974,72047,30397,126179,151475
May,21:00 - 21:59,80909,108500,27336,73754,12862,25256,56608,110803,8436,6639,31295,21701,66283,66446,24806,36957,37962,58535,20357,19905,112362,39133,42130,22238,88382,109451
May,22:00 - 22:59,1309,74113,1237,43731,1006,14914,5254,58469,1198,3207,8996,5840,16601,22129,9085,11502,16262,19695,9396,5456,42679,12784,16694,7740,26415,42431
May,23:00 - 23:59,5,1388,0,235,0,19,0,16,0,1,1,2,0,2,0,0,697,1042,379,288,1503,650,755,396,1290,2425
May,00:00 - 00:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
May,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
