month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
June,18:00 - 18:59,3666,5936,2284,3394,1325,1294,3656,5552,893,411,2373,1452,3703,3367,1749,1658,1998,2814,2112,695,4216,2448,3662,1216,5789,6245
June,19:00 - 19:59,3810,5857,1851,3460,1038,1240,3312,5541,714,380,1926,1320,3385,3323,1513,1825,1831,2843,1648,782,4135,2298,2990,1225,5312,5939
June,20:00 - 20:59,3467,5023,1395,3261,781,1143,2746,4972,625,320,1377,1157,2872,3067,1220,1873,1580,2441,1077,813,3849,1861,2397,1065,4142,4789
June,21:00 - 21:59,2839,3550,935,2417,460,842,1935,3747,299,225,1084,755,2295,2304,888,1294,1258,1954,655,666,3489,1325,1406,823,2856,3589
June,22:00 - 22:59,107,2522,63,1578,49,541,217,2087,51,118,329,228,651,896,350,470,533,667,314,205,1260,469,582,308,846,1403
June,23:00 - 23:59,0,196,0,67,0,21,0,44,0,1,0,1,0,3,0,2,3,3,1,1,0,0,2,1,0,0
June,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July,04:00 - 04:59,72,0,101,0,84,0,129,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
July,05:00 - 05:59,3764,303,1560,365,900,137,1980,627,123,116,196,501,1043,966,479,559,926,690,210,626,416,1392,651,821,1894,1372
July,06:00 - 06:59,8131,1259,3606,1596,1614,593,2581,2223,338,501,646,1398,2423,2657,1295,1419,2561,1786,482,1707,1130,3711,1657,2518,4834,3742
July,07:00 - 07:59,10023,1908,3197,2478,1409,1120,2315,3029,543,1133,1030,2400,3249,4079,1857,2244,3265,2195,713,3095,1474,5334,2413,3630,7365,4557
July,08:00 - 08:59,9150,2040,3036,2565,1425,1103,2613,3445,561,1439,996,3463,3209,5095,1713,2169,3205,2177,567,3152,1310,5557,2246,3548,7134,4527
July,09:00 - 09:59,6731,2314,2494,1999,1499,925,2888,3479,525,1400,813,3173,2916,4702,1400,1935,2881,2016,562,2058,1276,5449,1849,2620,5813,4530
July,10:00 - 10:59,4728,2159,1971,1521,1263,756,2948,3061,491,1018,734,2155,2459,3680,1217,1353,2388,1803,633,1264,1176,3887,1476,1625,4529,4121
July,11:00 - 11:59,4609,2400,1873,1364,1238,663,3124,3011,500,691,829,1959,2555,3278,1144,1180,2279,1816,667,984,1329,3767,1424,1318,4515,4087
July,12:00 - 12:59,4222,2478,1860,1427,1184,667,3112,3279,485,566,915,1853,2639,3148,1191,1208,2241,1906,716,950,1559,3278,1476,1268,4474,4260
July,13:00 - 13:59,3824,2440,1758,1502,1087,738,3102,3326,487,592,930,1854,2582,2969,1176,1318,2150,1805,706,1097,1705,2933,1457,1306,4516,4296
July,14:00 - 14:59,3197,2692,1584,1573,1066,725,2984,3446,534,569,1119,1621,2633,2798,1188,1217,2007,1845,893,941,2001,2554,1545,1119,4392,4236
July,15:00 - 15:59,2865,3171,1703,1835,1049,788,2972,3926,612,511,1370,1454,2933,2753,1276,1228,1962,2094,1164,665,2594,2272,1796,989,4600,4420
July,16:00 - 16:59,3047,4069,2075,2325,1281,961,3233,4511,748,465,1659,1468,3437,2956,1544,1313,2231,2469,1487,599,3439,2346,2648,970,5460,5006
July,17:00 - 17:59,3773,5454,2738,3283,1824,1275,3860,5405,1157,471,2342,1568,3914,3447,1923,1658,2309,2959,2357,680,4330,2922,4150,1147,6193,6071
July,18:00 - 18:59,3893,6355,2458,3795,1435,1365,4025,5957,981,454,2644,1617,4160,3694,1943,1885,2121,3128,2413,776,4920,3053,4070,1266,6243,6765
July,19:00 - 19:59,3900,6607,1961,3991,1090,1366,3531,6005,737,418,2073,1448,3649,3588,1753,2013,1916,3166,1834,886,4624,2877,3198,1263,5773,6438
July,20:00 - 20:59,3475,5113,1491,3491,809,1173,2900,5214,622,343,1465,1206,3078,3287,1361,1960,1690,2612,1195,898,4302,2348,2495,1072,4429,5065
July,21:00 - 21:59,2841,3952,1003,2721,461,903,2050,3887,298,252,1115,807,2443,2458,989,1409,1373,2110,737,699,3865,1648,1449,843,3043,3789
July,22:00 - 22:59,84,2531,64,1636,44,529,193,2114,47,122,333,232,678,909,366,458,553,694,357,205,1352,536,544,295,863,1346
July,23:00 - 23:59,0,81,0,22,0,6,0,16,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
July,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
