month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
June,17:00 - 17:59,4.63%,9.52%,7.41%,8.32%,8.83%,8.31%,7.31%,8.34%,11.25%,4.40%,10.80%,5.18%,7.71%,6.12%,7.94%,6.04%,6.15%,7.83%,13.23%,3.19%,10.07%,5.13%,10.88%,4.18%,7.10%,7.61%
June,18:00 - 18:59,4.77%,10.87%,6.71%,9.29%,6.96%,8.73%,7.68%,8.92%,9.91%,4.14%,12.07%,5.20%,7.94%,6.39%,7.93%,6.89%,5.59%,8.27%,13.07%,3.74%,11.21%,5.25%,10.80%,4.64%,7.26%,8.44%
June,19:00 - 19:59,4.96%,10.73%,5.44%,9.47%,5.45%,8.37%,6.95%,8.90%,7.93%,3.82%,9.80%,4.73%,7.25%,6.31%,6.86%,7.58%,5.13%,8.36%,10.20%,4.21%,11.00%,4.93%,8.82%,4.68%,6.66%,8.03%
June,20:00 - 20:59,4.51%,9.20%,4.10%,8.93%,4.10%,7.72%,5.77%,7.98%,6.94%,3.22%,7.00%,4.14%,6.15%,5.82%,5.53%,7.78%,4.42%,7.18%,6.67%,4.38%,10.24%,3.99%,7.07%,4.07%,5.19%,6.47%
June,21:00 - 21:59,3.70%,6.50%,2.75%,6.61%,2.42%,5.68%,4.06%,6.02%,3.32%,2.26%,5.51%,2.70%,4.92%,4.38%,4.03%,5.37%,3.52%,5.74%,4.05%,3.58%,9.28%,2.84%,4.15%,3.14%,3.58%,4.85%
June,22:00 - 22:59,0.14%,4.62%,0.18%,4.32%,0.26%,3.65%,0.46%,3.35%,0.57%,1.19%,1.67%,0.82%,1.40%,1.70%,1.59%,1.95%,1.49%,1.96%,1.94%,1.10%,3.35%,1.01%,1.72%,1.18%,1.06%,1.90%
June,23:00 - 23:59,0.00%,0.36%,0.00%,0.18%,0.00%,0.14%,0.00%,0.07%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%
June,00:00 - 00:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
June,01:00 - 01:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
June,02:00 - 02:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
July,03:00 - 03:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
July,04:00 - 04:59,0.09%,0.00%,0.28%,0.00%,0.41%,0.00%,0.25%,0.00%,0.05%,0.00%,0.02%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
July,05:00 - 05:59,4.57%,0.53%,4.27%,0.92%,4.33%,0.87%,3.92%,0.95%,1.25%,1.05%,0.92%,1.66%,2.08%,1.71%,2.01%,2.11%,2.43%,1.85%,1.19%,2.94%,0.97%,2.49%,1.78%,2.97%,2.20%,1.75%
July,06:00 - 06:59,9.88%,2.20%,9.87%,4.04%,7.77%,3.75%,5.11%,3.37%,3.45%,4.53%,3.04%,4.63%,4.85%,4.71%,5.44%,5.35%,6.73%,4.79%,2.73%,8.02%,2.64%,6.64%,4.54%,9.12%,5.62%,4.76%
July,07:00 - 07:59,12.17%,3.33%,8.75%,6.27%,6.79%,7.09%,4.58%,4.59%,5.54%,10.24%,4.85%,7.95%,6.50%,7.22%,7.80%,8.46%,8.58%,5.89%,4.03%,14.54%,3.44%,9.55%,6.60%,13.14%,8.56%,5.80%
July,08:00 - 08:59,11.11%,3.56%,8.31%,6.50%,6.86%,6.98%,5.17%,5.22%,5.73%,13.01%,4.70%,11.47%,6.42%,9.02%,7.19%,8.18%,8.42%,5.84%,3.20%,14.81%,3.06%,9.95%,6.15%,12.85%,8.29%,5.76%
July,09:00 - 09:59,8.18%,4.04%,6.83%,5.06%,7.22%,5.86%,5.71%,5.28%,5.36%,12.66%,3.83%,10.51%,5.83%,8.33%,5.88%,7.29%,7.57%,5.41%,3.18%,9.67%,2.98%,9.75%,5.06%,9.48%,6.75%,5.76%
July,10:00 - 10:59,5.74%,3.77%,5.40%,3.85%,6.08%,4.78%,5.83%,4.64%,5.01%,9.20%,3.46%,7.14%,4.92%,6.52%,5.11%,5.10%,6.28%,4.84%,3.58%,5.94%,2.75%,6.96%,4.04%,5.89%,5.26%,5.24%
July,11:00 - 11:59,5.60%,4.19%,5.13%,3.45%,5.96%,4.20%,6.18%,4.56%,5.10%,6.25%,3.91%,6.49%,5.11%,5.80%,4.80%,4.45%,5.99%,4.87%,3.77%,4.62%,3.10%,6.74%,3.90%,4.77%,5.25%,5.20%
July,12:00 - 12:59,5.13%,4.32%,5.09%,3.61%,5.70%,4.22%,6.16%,4.97%,4.96%,5.11%,4.31%,6.14%,5.28%,5.58%,5.00%,4.55%,5.89%,5.11%,4.04%,4.47%,3.64%,5.87%,4.04%,4.59%,5.20%,5.42%
July,13:00 - 13:59,4.65%,4.26%,4.81%,3.80%,5.24%,4.67%,6.14%,5.04%,4.98%,5.35%,4.38%,6.14%,5.16%,5.26%,4.94%,4.97%,5.65%,4.84%,3.99%,5.15%,3.98%,5.25%,3.99%,4.73%,5.25%,5.46%
July,14:00 - 14:59,3.88%,4.70%,4.34%,3.98%,5.14%,4.59%,5.90%,5.22%,5.45%,5.14%,5.27%,5.37%,5.27%,4.96%,4.99%,4.59%,5.27%,4.95%,5.05%,4.42%,4.67%,4.57%,4.23%,4.05%,5.10%,5.39%
July,15:00 - 15:59,3.48%,5.53%,4.66%,4.65%,5.05%,4.99%,5.88%,5.95%,6.25%,4.62%,6.46%,4.82%,5.86%,4.88%,5.36%,4.63%,5.15%,5.62%,6.58%,3.12%,6.06%,4.07%,4.92%,3.58%,5.34%,5.62%
July,16:00 - 16:59,3.70%,7.10%,5.68%,5.89%,6.17%,6.09%,6.40%,6.84%,7.64%,4.20%,7.82%,4.87%,6.87%,5.23%,6.49%,4.95%,5.86%,6.62%,8.40%,2.81%,8.03%,4.20%,7.25%,3.51%,6.34%,6.37%
July,17:00 - 17:59,4.58%,9.51%,7.50%,8.31%,8.79%,8.07%,7.64%,8.19%,11.82%,4.26%,11.04%,5.20%,7.83%,6.10%,8.07%,6.25%,6.07%,7.94%,13.32%,3.19%,10.12%,5.23%,11.36%,4.15%,7.20%,7.72%
July,18:00 - 18:59,4.73%,11.09%,6.73%,9.61%,6.91%,8.64%,7.96%,9.03%,10.01%,4.11%,12.46%,5.36%,8.32%,6.54%,8.16%,7.11%,5.57%,8.39%,13.64%,3.65%,11.50%,5.47%,11.14%,4.58%,7.25%,8.60%
July,19:00 - 19:59,4.74%,11.53%,5.37%,10.11%,5.25%,8.65%,6.99%,9.10%,7.52%,3.78%,9.77%,4.80%,7.30%,6.35%,7.36%,7.59%,5.03%,8.50%,10.36%,4.16%,10.80%,5.15%,8.75%,4.57%,6.71%,8.19%
July,20:00 - 20:59,4.22%,8.92%,4.08%,8.84%,3.90%,7.43%,5.74%,7.90%,6.35%,3.10%,6.90%,4.00%,6.16%,5.82%,5.72%,7.39%,4.44%,7.01%,6.76%,4.22%,10.05%,4.20%,6.83%,3.88%,5.15%,6.44%
July,21:00 - 21:59,3.45%,6.89%,2.74%,6.89%,2.22%,5.72%,4.06%,5.89%,3.04%,2.28%,5.26%,2.67%,4.89%,4.35%,4.15%,5.31%,3.61%,5.66%,4.16%,3.28%,9.03%,2.95%,3.97%,3.05%,3.53%,4.82%
July,22:00 - 22:59,0.10%,4.41%,0.18%,4.14%,0.21%,3.35%,0.38%,3.21%,0.48%,1.10%,1.57%,0.77%,1.36%,1.61%,1.54%,1.73%,1.45%,1.86%,2.02%,0.96%,3.16%,0.96%,1.49%,1.07%,1.00%,1.71%
