province,position,name,nickname,party_affiliation,votes_obtained
Davao Del Sur,Provincial Vice-Governor,"Garcia, Romualdo Cabanayan",Romy,Nationalist People's Coalition,167498
Davao Del Sur,Provincial Board Member,"Molina, Esther Sarabillo",Nanay Esther,Nationalist People's Coalition,98013
Davao Del Sur,Provincial Board Member,"ALapiang Manggagawaazan, Josefina Brandares",Jojo,Nationalist People's Coalition,94355
Davao Del Sur,Provincial Board Member,"Cagas, Mercedes Chan",Didi,Lakas-Christian Muslim Democrats,83296
Davao Del Sur,Provincial Board Member,"Latasa, Simplicio Agonia",Fely,Nationalist People's Coalition,79573
Davao Del Sur,Provincial Board Member,"Lopez, Joel Ray Luzano",Joel,Nationalist People's Coalition,77150
Davao Del Sur,Provincial Board Member,"Gan, Edgar Cajilio",Egay,Nationalist People's Coalition,46695
Davao Del Sur,Provincial Board Member,"Colina, Ali Jr. Guzman",Jun,Nationalist People's Coalition,46080
Davao Del Sur,Provincial Board Member,"Baliota, Alberto Jr. II Uy",Dogoy,Nationalist People's Coalition,45979
Davao Del Sur,Provincial Board Member,"Montejo, Andres Bracero",Andy,Nationalist People's Coalition,40571
Davao Del Sur,Provincial Board Member,"Guidocos, Carlito Manila",Lito,Nationalist People's Coalition,37967
Davao Oriental,Provincial Governor,"PaLapiang Manggagawaa Gil, Maria Elena Toroba",Marlene Or Mpg,Lakas-Christian Muslim Democrats,82564
Davao Oriental,Provincial Vice-Governor,"Lopez, Edgardo Endriga",Ega,Lakas-Christian Muslim Democrats,74589
Davao Oriental,Provincial Board Member,"Dayanghirang, Nelson L.",-,Nationalist People's Coalition,31732
Davao Oriental,Provincial Board Member,"PaLapiang Manggagawaa Gil, Maria Consuelo Toroba",Bambi,Lakas-Christian Muslim Democrats,30051
Davao Oriental,Provincial Board Member,"Nazareno, Maximino II Aguilon",Bobby,Nationalist People's Coalition,28784
Davao Oriental,Provincial Board Member,"Nunez, Camilo Toroba",Miloy,Nationalist People's Coalition,24371
Davao Oriental,Provincial Board Member,"Olea, Ramona Batao",Micmic,Lakas-Christian Muslim Democrats,22939
Davao Oriental,Provincial Board Member,"Linsag, Ruben Taguitis",Ben,Lakas-Christian Muslim Democrats-Kampi,50696
Davao Oriental,Provincial Board Member,"Balugo, Noli Santiago",Nol,Lakas-Christian Muslim Democrats-Kampi,45352
Davao Oriental,Provincial Board Member,"Miones, Delfin Bauyot",Dodo,Lakas-Christian Muslim Democrats-Kampi,37630
Davao Oriental,Provincial Board Member,"Suzon, Efren Egot",Fren,Lakas-Christian Muslim Democrats,30890
Davao Oriental,Provincial Board Member,"Irigo, Erlinda Vizconde",Linda,Lakas-Christian Muslim Democrats,27622
Eastern Samar,Provincial Governor,"Evardone, Ben Pagaran",Ben,Laban ng Demokratikong Pilipino,75445
Eastern Samar,Provincial Vice-Governor,"Geli, Leander Rivera",Lean,Nationalist People's Coalition,45868
Eastern Samar,Provincial Board Member,"Balagapo, Cirilo Jr. Reyes",Jun,Nationalist People's Coalition,31677
Eastern Samar,Provincial Board Member,"Opinion, J Vicente Raymundo Montallana",Jovi,Nationalist People's Coalition,29193
Eastern Samar,Provincial Board Member,"Alvarez, Karen Domingo",Karen,Nationalist People's Coalition,27912
Eastern Samar,Provincial Board Member,"Aklao, Aldwin U.",Bondos,Laban ng Demokratikong Pilipino,25908
Eastern Samar,Provincial Board Member,"Alido, German Baquilod",Tito,Nationalist People's Coalition,23596
Eastern Samar,Provincial Board Member,"Yu, Generoso Arevalo",Colon,Nationalist People's Coalition,29994
Eastern Samar,Provincial Board Member,"Macabocsit, Pedro Machica",Indo,Nationalist People's Coalition,27685
Eastern Samar,Provincial Board Member,"Naputo, Fernando Gayoso",Dadoy,Nationalist People's Coalition,25673
Eastern Samar,Provincial Board Member,"Sabulao, Enerio Macasa",Dodoy,Laban ng Demokratikong Pilipino,22996
Eastern Samar,Provincial Board Member,"Sabalberino, Arnuldo Bayarong",Sabal,Nationalist People's Coalition,22165
Guimaras,Provincial Governor,"Nava, Joaquin Carlos Rahmanarano",Toto,Liberal Party,42127
Guimaras,Provincial Vice-Governor,"Tionado, Aurelio Guevara",Apoy,Liberal Party,33998
Guimaras,Provincial Board Member,"Gadnanan, Rolando Tabuena",Landoy,Liberal Party,9603
Guimaras,Provincial Board Member,"De Asis, Vicente Beltran",Etik,Liberal Party,9171
Guimaras,Provincial Board Member,"Galanza, Hernani Gonzaga",Engr. Nani,Liberal Party,8441
Guimaras,Provincial Board Member,"Gano, David Gallego",Bombo David,Liberal Party,20336
Guimaras,Provincial Board Member,"Chavez, Allan Marahay",Allan,Liberal Party,16283
Guimaras,Provincial Board Member,"De La Cruz, Josefina Gacho",Phine,Liberal Party,13517
Guimaras,Provincial Board Member,"Gonzaga, Avelino Galleto",Nene,Liberal Party,13224
Guimaras,Provincial Board Member,"Diaz, Edgardo Penascosa",Ed,Liberal Party,11072
Ifugao,Provincial Governor,"Cappleman, Benjamin Buduhan",Ben,Independent,27651
Ifugao,Provincial Vice-Governor,"Prudenciano, Glenn Doclosen",Glenn,Lakas-Christian Muslim Democrats,18966
Ifugao,Provincial Board Member,"Dinamling, Nora Dulnuan",None,Lakas-Christian Muslim Democrats,14585
Ifugao,Provincial Board Member,"Mayam-O, Pedro Guhmi",Pete,Independent,13865
Ifugao,Provincial Board Member,"Ayahao, Lucio Jr. Dumapi",Jun,Lakas-Christian Muslim Democrats,12849
Ifugao,Provincial Board Member,"Humiwat, Robert Kindipan",Ebet,Independent,11761
Ifugao,Provincial Board Member,"Maguiwe, Noli Gopeng",Noah,Lakas-Christian Muslim Democrats,12274
Ifugao,Provincial Board Member,"Balitang, Eugene Mariano",Gene,Liberal Party,11705
Ifugao,Provincial Board Member,"Odan, Joseph Juquiad",Jojo,Liberal Party,10347
Ifugao,Provincial Board Member,"Guingayan, Aldrin Banawan",Joekid,Liberal Party,10251
Ilocos Norte,Provincial Governor,"Marcos, Ferdinand Jr. Romualdez",Bongbong Marcos,Kilusang Bagong Lipunan,23945
Ilocos Norte,Provincial Vice-Governor,"Chua, Windell Daguio",Windell,Kilusang Bagong Lipunan,158083
Ilocos Norte,Provincial Board Member,"Salenda, Ameurfina Respicio",Amor,Independent,70703
Ilocos Norte,Provincial Board Member,"Keon, Michael Marcos",None,Kilusang Bagong Lipunan,62654
Ilocos Norte,Provincial Board Member,"Sin, Shirley Ong",Sos,Kilusang Bagong Lipunan,61065
Ilocos Norte,Provincial Board Member,"Bueno, Purisima Andres",Puring,Kilusang Bagong Lipunan,50091
Ilocos Norte,Provincial Board Member,"Peralta, Renato Ma Raquiza",Atong Rp,Aksyon Demokratiko,46719
Ilocos Norte,Provincial Board Member,"Marcos, Marinao II Velez",Marcos,Kilusang Bagong Lipunan,80505
Ilocos Norte,Provincial Board Member,"Barba, Eugenio Angelo Marcos",Barba,Kilusang Bagong Lipunan,79392
Ilocos Norte,Provincial Board Member,"Crisostomo, Da Vinci Manuel",-,Kilusang Bagong Lipunan,70623
Ilocos Norte,Provincial Board Member,"Abadilla, Carlito Nolasco",Lito,Kilusang Bagong Lipunan,59561
Ilocos Norte,Provincial Board Member,"Nalupta, Ma Elena Marders",Elena,Lakas-Christian Muslim Democrats,59347
Ilocos Sur,Provincial Governor,"Singson, Luis Crisologo",Chavit,Lakas-Christian Muslim Democrats,157869
Ilocos Sur,Provincial Vice-Governor,"Savellano, Deogracias Victor Barbers",Dv,Lakas-Christian Muslim Democrats,177465
Ilocos Sur,Provincial Board Member,"Singson, Ronald Verzosa",Ronald,Lakas-Christian Muslim Democrats,65792
Ilocos Sur,Provincial Board Member,"Purisima, Azucena Abaya",Chuchi,Lakas-Christian Muslim Democrats,56047
Ilocos Sur,Provincial Board Member,"Singson, Jeremias Crisologo",Jerry,Nationalist People's Coalition,55191
Ilocos Sur,Provincial Board Member,"Tesoro, Orlino Tajon",Orling,Lakas-Christian Muslim Democrats,45415
Ilocos Sur,Provincial Board Member,"Rapanut, Ronnie R.",-,Laban ng Demokratikong Pilipino/Koalisyon ng Nagkakaisang Pilipino,34359
