province,position,name,nickname,party_affliation,votes_obtained,ledgist_district
Camarines Norte,"Member, Sangguniang Panlalawigan","Gache, Rodolfo De Vera",Pol,Liberal Party,48615,Second
Camarines Norte,"Member, Sangguniang Panlalawigan","Jerez, Senen Asis",Senen,National Unity Party,46326,Second
Camarines Norte,"Member, Sangguniang Panlalawigan","Marmol, Romeo Robles",Kalbo,Liberal Party,42071,Second
Camarines Norte,"Member, Sangguniang Panlalawigan","Qui, Gerardo Ge",Gerry,Independent,39707,Second
Camarines Norte,"Member, Sangguniang Panlalawigan","Herrera, Renee Ferrer",Renee,National Unity Party,39178,Second
Camarines Sur,Provincial Governor,"Villafuerte, Miguel Reyes",Lray Jr-Migz,Nacionalista Party,263792,-
Camarines Sur,Provincial Vice-Governor,"Pe, Fortunato Cari",Ato,Nacionalista Party,317622,-
Camarines Sur,"Member, Sangguniang Panlalawigan","Julia, Nelson Bas",Son,Nationalist People's Coalition,43340,Third
Camarines Sur,"Member, Sangguniang Panlalawigan","Naval, Angel Garchitorena",Ange,Nacionalista Party,40496,Third
Camarines Sur,"Member, Sangguniang Panlalawigan","Pacamarra, Gilmar Salva",Maymay,Nationalist People's Coalition,53738,Fourth
Camarines Sur,"Member, Sangguniang Panlalawigan","Simando, Amador Laurel",Badong,Liberal Party,52704,Fourth
Camarines Sur,"Member, Sangguniang Panlalawigan","Figuracion, Fabio Fortuna",Butch,Nacionalista Party,70606,Fifth
Camarines Sur,"Member, Sangguniang Panlalawigan","Espiritu, Rudito Jr. Panga",Nono,Nacionalista Party,64804,Fifth
Camarines Sur,"Member, Sangguniang Panlalawigan","Noble, Emmanuel Haber",Manny,Nacionalista Party,61372,Fifth
Camiguin,Provincial Governor,"Villafuerte, Miguel Reyes",Lray Jr-Migz,Nacionalista Party,263792,-
Camiguin,Provincial Vice-Governor,"Pe, Fortunato Cari",Ato,Nacionalista Party,317622,-
Camiguin,"Member, Sangguniang Panlalawigan","Julia, Nelson Bas",Son,Nationalist People's Coalition,43340,Third
Camiguin,"Member, Sangguniang Panlalawigan","Naval, Angel Garchitorena",Ange,Nacionalista Party,40496,Third
Camiguin,"Member, Sangguniang Panlalawigan","Pacamarra, Gilmar Salva",Maymay,Nationalist People's Coalition,53738,Fourth
Camiguin,"Member, Sangguniang Panlalawigan","Simando, Amador Laurel",Badong,Liberal Party,52704,Fourth
Camiguin,"Member, Sangguniang Panlalawigan","Figuracion, Fabio Fortuna",Butch,Nacionalista Party,70606,Fifth
Camiguin,"Member, Sangguniang Panlalawigan","Espiritu, Rudito Jr. Panga",Nono,Nacionalista Party,64804,Fifth
Camiguin,"Member, Sangguniang Panlalawigan","Noble, Emmanuel Haber",Manny,Nacionalista Party,61372,Fifth
Capiz,Provincial Governor,"Tanco, Victor Arancillo",Vic,Liberal Party,232986,-
Capiz,Provincial Vice-Governor,"Contreras, Esteban Evan Bacero",Nonoy,Liberal Party,218788,-
Capiz,"Member, Sangguniang Panlalawigan","Almalbis, Blesilda Perez",Gingging,Liberal Party,91248,First
Capiz,"Member, Sangguniang Panlalawigan","Billones, Emmanuel Jr. Andaya",Tawi Jr.,Liberal Party,76850,First
Capiz,"Member, Sangguniang Panlalawigan","Magallanes, Eduardo Mabasa",Maga,Liberal Party,68567,First
Capiz,"Member, Sangguniang Panlalawigan","Ignacio, Roberto Villaruz",Bobby,Liberal Party,68013,First
Capiz,"Member, Sangguniang Panlalawigan","Martin, Enrique Villanueva",Ricky,Liberal Party,59495,First
Capiz,"Member, Sangguniang Panlalawigan","Cruz Am, Aldwin Amane",Aldy,Liberal Party,74965,Second
Capiz,"Member, Sangguniang Panlalawigan","Palomar, Karen Artuz",Baby,Liberal Party,72420,Second
Capiz,"Member, Sangguniang Panlalawigan","Martinez, Elueper Moises",Bulilit,Liberal Party,57888,Second
Capiz,"Member, Sangguniang Panlalawigan","Layo, Jeffrey Leal",Jeff,National Unity Party,51515,Second
Capiz,"Member, Sangguniang Panlalawigan","Robles, Camilo Barrientos",Milo,National Unity Party,49373,Second
Cataduanes,Provincial Governor,"Wong, Araceli Bernardino",Cely,Independent,67252,-
Cataduanes,Provincial Vice-Governor,"Teves, Jose Jr. Joson",Bong,Lakas-Christian Muslim Democrats,68267,-
Cataduanes,"Member, Sangguniang Panlalawigan","Reyes, Jorge Cambonga",George,Liberal Party,38168,First
