brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
160203012,160203012,AGUSAN DEL NORTE,CABADBARAN,Comagascas,2007,623,2945,64,402,524,89,17,112,41.200001,100,12.6,-,-,-,-,272,796,1,0.2,0,0,15,2.4000001,16,2.5999999,376,60.400002,272,22,3.5,89,14.3,43.700001,27,0.89999998,72,11.6,916,8,0.89999998,-,-,-,-,-,-,-,-,-,2,3,203012
160203013,160203013,AGUSAN DEL NORTE,CABADBARAN,Concepcion,2007,145,693,12,106,137,14,10.2,28,46.700001,32,16.200001,-,-,-,-,60,197,9,8.5,0,0,0,0,0,0,87,60,69,0,0,25,17.200001,47.599998,1,0.1,0,0,237,7,3,-,-,-,-,-,-,-,-,-,2,3,203013
160203014,160203014,AGUSAN DEL NORTE,CABADBARAN,Del Pilar,2007,714,3432,94,572,573,83,14.5,146,49.299999,144,16.6,-,-,-,-,296,869,26,4.5,1,1.1,2,0.30000001,76,10.6,333,46.599998,203,20,2.8,69,9.6999998,28.4,86,2.5,5,0.69999999,1230,14,1.1,-,-,-,-,-,-,-,-,-,2,3,203014
160203016,160203016,AGUSAN DEL NORTE,CABADBARAN,Katugasan,2007,288,1229,21,150,209,44,21.1,53,45.700001,56,17.200001,-,-,-,-,116,325,0,0,1,4.5,1,0.30000001,1,0.30000001,162,56.299999,113,3,1,15,5.1999998,39.200001,2,0.2,0,0,326,1,0.30000001,-,-,-,-,-,-,-,-,-,2,3,203016
160203017,160203017,AGUSAN DEL NORTE,CABADBARAN,Kauswagan,2007,513,2362,47,313,360,88,24.4,73,36,84,14.9,-,-,-,-,203,563,5,1.6,0,0,6,1.2,23,4.5,238,46.400002,161,5,1,51,9.8999996,31.4,1,0,0,0,836,14,1.7,-,-,-,-,-,-,-,-,-,2,3,203017
160203018,160203018,AGUSAN DEL NORTE,CABADBARAN,La Union,2007,1069,4864,132,712,865,180,20.799999,192,42.5,195,14.8,-,-,-,-,452,1317,3,0.40000001,0,0,197,18.4,49,4.5999999,646,60.400002,492,2,0.2,205,19.200001,46,8,0.2,89,8.3000002,1387,32,2.3,-,-,-,-,-,-,-,-,-,2,3,203018
160203019,160203019,AGUSAN DEL NORTE,CABADBARAN,Mabini,2007,830,4080,118,660,682,113,16.6,122,32.400002,108,10.2,-,-,-,-,377,1059,16,2.4000001,1,0.80000001,45,5.4000001,48,5.8000002,329,39.599998,183,59,7.0999999,73,8.8000002,22,154,3.8,44,5.3000002,1259,22,1.7,-,-,-,-,-,-,-,-,-,2,3,203019
160203041,160203041,AGUSAN DEL NORTE,CABADBARAN,Mahaba,2007,221,1073,27,160,201,34,16.9,52,46,50,15.9,-,-,-,-,113,314,0,0,0,0,4,1.8,4,1.8,196,88.699997,174,121,54.799999,53,24,78.699997,2,0.2,98,44.299999,316,1,0.30000001,-,-,-,-,-,-,-,-,-,2,3,203041
160203021,160203021,AGUSAN DEL NORTE,CABADBARAN,Poblacion 1,2007,187,876,12,105,129,30,23.299999,33,34,24,10.6,-,-,-,-,97,226,0,0,0,0,0,0,5,2.7,73,39,50,1,0.5,7,3.7,26.700001,1,0.1,9,4.8000002,284,0,0,-,-,-,-,-,-,-,-,-,2,3,203021
160203022,160203022,AGUSAN DEL NORTE,CABADBARAN,Poblacion 10,2007,92,425,4,35,67,10,14.9,13,28.299999,8,7.0999999,-,-,-,-,46,113,3,8.6000004,0,0,0,0,9,9.8000002,29,31.5,23,0,0,4,4.3000002,25,46,10.8,3,3.3,163,0,0,-,-,-,-,-,-,-,-,-,2,3,203022
160203023,160203023,AGUSAN DEL NORTE,CABADBARAN,Poblacion 11,2007,110,413,6,37,46,2,4.3000002,14,30.4,4,4.3000002,-,-,-,-,46,92,0,0,0,0,2,1.8,19,17.299999,24,21.799999,16,8,7.3000002,1,0.89999998,14.5,0,0,1,0.89999998,160,11,6.9000001,-,-,-,-,-,-,-,-,-,2,3,203023
160203024,160203024,AGUSAN DEL NORTE,CABADBARAN,Poblacion 12,2007,382,1920,42,233,263,54,20.5,42,27.5,35,8.3999996,-,-,-,-,153,416,1,0.40000001,0,0,5,1.3,9,2.4000001,148,38.700001,96,5,1.3,5,1.3,25.1,1,0.1,1,0.30000001,580,12,2.0999999,-,-,-,-,-,-,-,-,-,2,3,203024
160203025,160203025,AGUSAN DEL NORTE,CABADBARAN,Poblacion 2,2007,113,582,9,63,68,17,25,17,33.299999,19,16,-,-,-,-,51,119,0,0,0,0,0,0,0,0,46,40.700001,36,0,0,1,0.89999998,31.9,15,2.5999999,0,0,158,5,3.2,-,-,-,-,-,-,-,-,-,2,3,203025
160203026,160203026,AGUSAN DEL NORTE,CABADBARAN,Poblacion 3,2007,415,1840,48,271,324,70,21.6,61,39.099998,56,11.7,-,-,-,-,156,480,8,3,0,0,14,3.4000001,44,10.6,153,36.900002,87,3,0.69999999,25,6,21,4,0.2,109,26.299999,597,5,0.80000001,-,-,-,-,-,-,-,-,-,2,3,203026
160203027,160203027,AGUSAN DEL NORTE,CABADBARAN,Poblacion 4,2007,327,1476,29,165,210,32,15.2,26,20.299999,19,5.5999999,-,-,-,-,128,338,2,1.2,0,0,0,0,5,1.5,107,32.700001,63,0,0,15,4.5999999,19.299999,16,1.1,14,4.3000002,452,9,2,-,-,-,-,-,-,-,-,-,2,3,203027
160203028,160203028,AGUSAN DEL NORTE,CABADBARAN,Poblacion 5,2007,152,631,8,53,76,13,17.1,11,15.9,8,5.5,-,-,-,-,69,145,0,0,0,0,0,0,7,4.5999999,37,24.299999,27,3,2,1,0.69999999,17.799999,0,0,0,0,219,4,1.8,-,-,-,-,-,-,-,-,-,2,3,203028
160203029,160203029,AGUSAN DEL NORTE,CABADBARAN,Poblacion 6,2007,250,1211,23,143,192,43,22.4,33,34.700001,32,11.1,-,-,-,-,95,287,3,2.0999999,0,0,12,4.8000002,7,2.8,76,30.4,49,6,2.4000001,33,13.2,19.6,46,3.8,0,0,379,7,1.8,-,-,-,-,-,-,-,-,-,2,3,203029
160203030,160203030,AGUSAN DEL NORTE,CABADBARAN,Poblacion 7,2007,326,1582,42,229,241,45,18.700001,47,34.599998,33,8.8000002,-,-,-,-,136,377,0,0,0,0,2,0.60000002,1,0.30000001,136,41.700001,83,0,0,33,10.1,25.5,14,0.89999998,14,4.3000002,485,7,1.4,-,-,-,-,-,-,-,-,-,2,3,203030
160203031,160203031,AGUSAN DEL NORTE,CABADBARAN,Poblacion 8,2007,107,460,9,48,51,7,13.7,7,22.6,5,6.0999999,-,-,-,-,31,82,0,0,0,0,5,4.6999998,6,5.5999999,25,23.4,16,5,4.6999998,6,5.5999999,15,14,3,1,0.89999998,161,7,4.3000002,-,-,-,-,-,-,-,-,-,2,3,203031
160203032,160203032,AGUSAN DEL NORTE,CABADBARAN,Poblacion 9,2007,608,2851,67,379,466,76,16.299999,84,30.299999,56,7.5,-,-,-,-,277,743,29,7.6999998,0,0,0,0,6,1,94,15.5,43,1,0.2,35,5.8000002,7.0999999,53,1.9,25,4.0999999,804,39,4.9000001,-,-,-,-,-,-,-,-,-,2,3,203032
160203033,160203033,AGUSAN DEL NORTE,CABADBARAN,Puting Bato,2007,341,1722,51,293,325,80,24.6,115,62.5,130,25.5,-,-,-,-,184,509,20,6.8000002,0,0,16,4.6999998,4,1.2,224,65.699997,170,41,12,69,20.200001,49.900002,16,0.89999998,75,22,548,4,0.69999999,-,-,-,-,-,-,-,-,-,2,3,203033
160203037,160203037,AGUSAN DEL NORTE,CABADBARAN,Sanghan,2007,512,2421,61,395,412,107,26,110,46.599998,147,22.700001,-,-,-,-,236,648,6,1.5,0,0,10,2,6,1.2,321,62.700001,263,3,0.60000002,77,15,51.400002,0,0,0,0,687,1,0.1,-,-,-,-,-,-,-,-,-,2,3,203037
