particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
     National Water Resources Board,39420,12740,2105,36206,17009,540,42160,21059,2500,,
     Palawan Council for Sustainable,,,,,,,,,,,
        Development Staff,32937,24733,0,29738,25966,348,35605,26583,1618,,
,,,,,,,,,,,
   Department of Finance,6519858,14884657,2595940,5719840,14377898,3077273,6438881,23094584,1315545,1,
     Office of the Secretary,180744,237684,1510739,166461,217199,1182660,209303,425088,2300,,
     Bureau of Customs,1421899,3809878,246000,1158707,7542326,740240,1272458,7639781,211822,,
     Bureau of Internal Revenue,3829944,2585970,761824,3427037,6194799,707563,3908382,14523804,1040453,,
     Bureau of Local Government Finance,137928,80099,4673,117154,60998,3250,133315,63235,10000,,
     Bureau of the Treasury,374177,7833392,23091,322428,132553,88980,368896,190937,0,,
     Central Board of Assessment Appeals,10360,1154,0,8095,1183,0,9733,1212,1200,,
     Cooperative Development Authority,246908,181704,6382,216158,73572,32200,253651,82212,18773,,
     Insurance Commission,77457,52387,43153,70044,63987,73935,34350,74777,29551,,
     National Tax Research Center,34814,11242,78,30539,12073,0,34864,12549,1446,,
     Privatization and Management Office,23285,0,0,28651,0,0,42442,0,0,,
     Securities and Exchange Commission,182342,91147,0,174566,79208,248445,171487,80989,0,,
,,,,,,,,,,,
   Department of Foreign Affairs,5517832,7230482,217336,5479523,5016688,491936,5713654,5105067,893713,1,
     Office of the Secretary,5479023,7205245,216965,5441729,4992223,490871,5671712,5079244,893548,,
     Foreign Service Institute,31813,10795,200,30613,11576,1010,34726,11863,165,,
     Technical Cooperation Council of the Philippines,1130,1673,171,1061,2288,55,1173,3100,0,,
     UNESCO National Commission of the Philippines,5866,12769,0,6120,10601,0,6043,10860,0,,
,,,,,,,,,,,
   Department of Health,9509830,13483923,7809666,8430764,26502301,8538849,9819802,30920187,229891,1,
     Office of the Secretary,9309325,13111458,7801858,8295301,26024235,8528000,9664220,30442139,218176,,
     Commission on Population,149581,149211,7808,98579,197777,3099,111375,197777,4715,,
     National Nutrition Council,50924,223254,0,36884,280289,7750,44207,280271,7000,,
,,,,,,,,,,,
   Department of the Interior and Local Government,90504503,10475328,1840056,61455023,11021605,3823498,73064991,15307782,3359797,1,
     Office of the Secretary,2251445,1055127,842,1855367,1348924,770000,2262529,4770328,30760,,
     Bureau of Fire Protection,7661341,872305,401902,5718448,992329,851330,6516704,1019206,969830,,
     Bureau of Jail Management and Penology,3738810,1814907,125043,2949467,1849850,80968,3570938,2068011,137807,,
     Local Government Academy,20787,92599,0,17702,68948,0,20305,82636,0,,
     National Police Commission,1181085,117997,0,1241673,125128,0,1302214,131099,0,,
     Philippine National Police,74978997,6032892,1303293,49053355,6133040,2100000,58678293,6722917,2100000,,
     Philippine Public Safety College,672038,489501,8976,619011,503386,21200,714008,513585,121400,,
,,,,,,,,,,,
   Department of Justice,7432226,2385329,151061,6618567,2526540,291956,7880687,2753431,203972,1,
     Office of the Secretary,2648534,351953,49152,2425144,438436,148822,2822253,564180,37000,,
     Bureau of Corrections,574077,973181,11827,504860,1051187,35860,619489,1135395,66216,,
     Bureau of Immigration,327529,178530,0,294843,181344,10000,322043,176053,94756,,
     Land Registration Authority,698395,271275,24402,582036,240230,30000,632048,259504,0,,
     National Bureau of Investigation,651725,277782,53326,573184,288408,27274,682364,285420,0,,
     Office of the Government Corporate Counsel,75732,10741,0,66956,11295,0,84517,11461,0,,
     Office of the Solicitor General,384923,102393,11320,334025,114251,40000,399426,115983,6000,,
     Parole and Probation Administration,486189,67214,26,417059,68272,0,495732,69370,0,,
     Presidential Commission on Good Government,56773,70569,1008,50895,45582,0,60457,46281,0,,
     Public Attorney's Office,1528349,81691,0,1369565,87535,0,1762358,89784,0,,
,,,,,,,,,,,
   Department of Labor and Employment,3762415,3865823,228815,3300913,3586503,337724,3856111,3909704,317473,1,
     Office of the Secretary,984807,1331978,46474,924605,1388374,50343,1098905,1598118,156427,,
     Institute for Labor Studies,18066,6522,2652,15930,8015,2236,19610,8227,0,,
     National Conciliation and Mediation Board,95229,49817,1151,83926,56307,14444,108736,62446,21214,,
     National Labor Relations Commission,605690,106035,1263,441742,113489,1800,517997,122595,2353,,
     National Maritime Polytechnic,39519,29476,34255,34125,31880,48150,38456,34360,24300,,
     National Wages and Productivity Commission,103305,42427,17643,94798,45698,33338,110902,55172,4500,,
     Philippine Overseas Employment Administration,199086,128266,31574,176789,131527,16200,216369,135149,36182,,
     Professional Regulation Commission,239484,237177,45833,217898,288207,151213,270621,311984,32191,,
     Technical Education and Skills,,,,,,,,,,,
        Development Authority,1477229,1934125,47970,1311100,1523006,20000,1474515,1581653,40306,,
,,,,,,,,,,,
   Department of National Defense,96019946,19145032,1845427,47735815,19126784,5858878,55335706,19848285,5428110,1,
     DND Proper (Office of the Secretary),113686,254227,120000,107104,350703,232500,126661,361846,232500,,
     Government Arsenal,180039,307463,6732,161964,468583,26367,185732,553569,40000,,
     National Defense College of the Philippines,23312,26610,88,22479,30511,0,28737,31059,0,,
     Office of Civil Defense,94314,620101,62500,78707,1149305,0,91002,573937,0,,
,,,,,,,,,,,
     Philippine Veterans Affairs Office,13293781,634834,5890,503482,652266,33000,579009,664780,0,1,
        Philippine Veterans Affairs Office (Proper),12797375,261997,0,86009,265972,0,112664,269298,0,,
        Veterans Memorial Medical Center,496406,372837,5890,417473,386294,33000,466345,395482,0,,
,,,,,,,,,,,
     Armed Forces of the Philippines,82314814,17301797,1650217,46862079,16475416,5567011,54324565,17663094,5155610,1,
        Philippine Army (Land Forces),35279063,5358088,137888,29944701,5331087,158670,34674614,5895428,40220,,
        Philippine Air Force (Air Force),7387528,4114865,0,6307286,4094263,180250,7348863,4232870,60918,,
        Philippine Navy (Naval Forces),9619983,3676903,0,8137865,3845402,156848,9314391,4152641,0,,
"        General Headquarters, AFP and AFP",,,,,,,,,,,
           Wide Service Support Units (AFPWSSUS),30028240,4151941,1512329,2472227,3204664,5071243,2986697,3382155,5054472,,
,,,,,,,,,,,
   Department of Public Works and Highways,5119160,12020784,104864879,4512243,11614525,109615088,4567869,12719668,148286245,1,
     Office of the Secretary,5119160,12020784,104864879,4512243,11614525,109615088,4567869,12719668,148286245,,
,,,,,,,,,,,
   Department of Science and Technology,3056916,6267786,733920,2632792,5732915,982752,2159786,6828265,1101751,1,
     Office of the Secretary,364336,3209996,82780,294702,1609352,144460,322620,2034099,12500,,
     Advanced Science and Technology Institute,35533,86801,6332,30585,29187,21145,36090,35713,15000,,
     Food and Nutrition Research Institute,73549,74213,22504,61795,49751,47902,79047,112213,30000,,
     Forest Products Research and Development Institute,70795,23820,21187,61236,19162,1332,87154,19734,11235,,
     Industrial Technology Development Institute,137677,49721,19020,119789,125849,0,145326,104966,21300,,
     Information and Communications,,,,,,,,,,,
        Technology Office,1201078,216212,3429,1072069,214794,1300,257182,216649,0,,
     Metals Industry Research and Development Center,91585,43158,22665,80187,129223,35094,94931,534235,10850,,
     National Academy of Science and Technology,6944,34972,0,6142,36367,278,6890,44213,180,,
     National Research Council of the Philippines,22005,18146,8,17792,37799,669,18553,27769,7130,,
"     Philippine Atmospheric, Geophysical and",,,,,,,,,,,
        Astronomical Services Administration,306935,440883,456803,284622,585208,413816,355167,463367,643671,,
"     Philippine Council for Agriculture,",,,,,,,,,,,
        Aquatic and Natural Resources,,,,,,,,,,,
        Research and Development,126771,262771,880,88325,256531,1495,97800,741579,8466,,
     Philippine Council for Health Research,,,,,,,,,,,
        and Development,24187,72945,3987,21565,235533,5190,29109,209193,500,,
"     Philippine Council for Industry, Energy",,,,,,,,,,,
        and Emerging Technology Research and Development,40380,578355,1486,27538,567314,1000,37392,408811,1000,,
     Philippine Institute of Volcanology and Seismology,84584,82260,16339,71246,79108,69685,84014,86393,66619,,
     Philippine Nuclear Research Institute,95654,50852,22878,79659,52323,8479,100715,56844,31000,,
     Philippine Science High School,257428,209067,34415,215005,274996,215434,291926,281730,224100,,
     Philippine Textile Research Institute,37154,17346,8003,33379,16975,3273,37383,16247,6000,,
     Science Education Institute,24364,745725,990,21027,1347385,1200,25110,1370313,1200,,
     Science and Technology Information Institute,26375,13898,149,18572,18956,0,24678,22531,0,,
     Technology Application and Promotion Institute,29582,36645,10065,27557,47102,11000,28699,41666,11000,,
,,,,,,,,,,,
   Department of Social Welfare and Development,1018946,36678088,501922,931137,47729523,186291,1168862,55074660,5677,1,
     Office of the Secretary,937362,36600731,499343,863469,47649607,182621,1074396,54981996,1928,,
     Council for the Welfare of Children,13376,17560,1076,12653,15976,365,15471,22881,1275,,
     Inter-Country Adoption Board,8956,18172,1118,6675,18545,740,13253,21260,575,,
     National Council on Disability Affairs,22664,9928,0,19855,9900,1665,24858,11349,1899,,
     National Youth Commission,36588,31697,385,28485,35495,900,40884,37174,0,,
,,,,,,,,,,,
   Department of Tourism,367350,1155470,175000,321330,1242868,90000,359862,2233356,386049,1,
     Office of the Secretary,271360,996971,175000,234471,1147942,0,262655,2136027,233866,,
     Intramuros Administration,23165,17851,0,21863,13189,0,25363,13633,0,,
     National Parks Development Committee,72825,140648,0,64996,81737,90000,71844,83696,152183,,
,,,,,,,,,,,
   Department of Trade and Industry,1296833,1335875,382185,1125036,1577145,82480,1295355,1527972,40862,1,
     Office of the Secretary,1095570,1140970,378992,941309,1368490,42000,1082598,1293305,31700,,
     Board of Investments,114796,121425,1568,104720,126329,0,125846,142209,3500,,
     Construction Industry Authority of the Philippines,29548,17851,0,27476,22884,0,29943,31597,4414,,
     Construction Manpower Development Foundation,13148,10228,408,12225,10165,0,14357,10406,0,,
     Philippine Trade Training Center,18866,17140,1217,17189,18123,39940,20555,18556,0,,
     Product Development and Design Center of,,,,,,,,,,,
        the Philippines,24905,28261,0,22117,31154,540,22056,31899,1248,,
,,,,,,,,,,,
   Department of Transportation and Communications,4427647,13486092,12026627,3327822,9417067,21372758,4249953,10565024,17932938,1,
     Office of the Secretary,1366531,12248892,11982559,1205078,8069180,21113601,1371412,8414300,16812340,,
     Civil Aeronautics Board,31230,15512,2000,29093,15878,5000,34490,17660,5000,,
     Maritime Industry Authority,183350,174367,1805,165613,218130,0,197109,271592,327400,,
     Office of Transportation Cooperatives,12588,4006,100,11301,4306,100,13216,4942,1085,,
     Office for Transportation Security,234301,116185,22325,209708,123754,50000,300967,176560,100000,,
     Philippine Coast Guard,2588765,922898,17838,1698181,981125,204057,2319388,1669130,682082,,
     Toll Regulatory Board,10882,4232,0,8848,4694,0,13371,10840,5031,,
,,,,,,,,,,,
   National Economic and Development Authority,1429255,1007482,70454,1285351,1608962,41009,1514789,3411480,154037,1,
     Office of the Director-General,520323,260073,36756,476085,326156,23000,574335,328319,48965,,
     National Statistical Coordination Board,61298,37637,4374,54121,37710,756,60038,43368,2288,,
