region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
V (Bicol Region),Naga,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,-
V (Bicol Region),Naga,G. Aviation,13,49,256,64,377,-,-,-,-,-,-,-,759
V (Bicol Region),Naga,Military,15,-,137,11,9,32,-,-,-,-,-,-,204
V (Bicol Region),Sorsogon,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Virac,pal,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Virac,Air Philippines,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Virac,Cebu Pacific,2092,2001,2271,2165,2354,7459,2222,-,-,-,-,-,20564
V (Bicol Region),Virac,Sky Jet,-,-,-,860,1540,2177,-,-,-,-,-,-,4577
V (Bicol Region),Virac,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
V (Bicol Region),Virac,G. Aviation,4,-,-,14,4,-,-,-,-,-,-,-,22
V (Bicol Region),Virac,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
Region VI,Antique,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
-,Bacolod,PAL,34378,29951,36674,38588,34368,30973,30889,-,-,-,-,-,235821
VI (Western Visayas),Bacolod,Seair,8426,7212,8582,8865,9414,6724,11204,-,-,-,-,-,60427
VI (Western Visayas),Bacolod,Cebu Pacific,57976,53735,62677,76065,76170,463832,54818,-,-,-,-,-,845273
VI (Western Visayas),Bacolod,Zest Air,-,-,-,-,5631,8737,8530,-,-,-,-,-,22898
VI (Western Visayas),Bacolod,Air Philippines,3055,3138,2981,2612,2470,3376,4789,-,-,-,-,-,22421
VI (Western Visayas),Bacolod,G. Aviation,-,-,-,1388,533,280,212,-,-,-,-,-,2413
VI (Western Visayas),Bacolod,Military,-,-,-,78,-,15,-,-,-,-,-,-,93
VI (Western Visayas),Caticlan,Cebu Pacific,37529,33550,33315,-,-,-,24166,-,-,-,-,-,128560
VI (Western Visayas),Caticlan,Air Philippines,21656,18294,21697,-,-,-,19809,-,-,-,-,-,81456
VI (Western Visayas),Caticlan,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Caticlan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
