region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
IV-B (MIMAROPA),Cuyo,Military,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0,-
IV-A (CALABARZON)),Jomalig,G. Aviation,8,2,26,0,0,0,0,0,0,0,0,0,36,-
IV-B (MIMAROPA),Lubang,G. Aviation,22,1364,1870,1014,1190,1456,1210,0,0,0,0,0,8126,-
IV-B (MIMAROPA),Lubang,Military,0,0,0,0,0,2,0,0,0,0,0,0,2,-
IV-B (MIMAROPA),Mamburao,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Mamburao,G. Aviation,68,66,104,38,48,0,0,16,0,0,0,0,340,-
IV-B (MIMAROPA),Marinduque,Zest Air,62,54,60,60,0,0,0,0,0,0,0,0,236,-
IV-B (MIMAROPA),Marinduque,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Marinduque,G. Aviation,-,16,0,16,0,0,0,0,0,0,0,0,32,-
IV-B (MIMAROPA),Puerto Princesa ,PAL,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Puerto Princesa ,PALEX,350,298,316,266,274,326,326,0,0,0,0,0,2156,-
IV-B (MIMAROPA),Puerto Princesa ,Cebu Pacific,350,310,330,376,392,328,306,0,0,0,0,0,2392,-
IV-B (MIMAROPA),Puerto Princesa ,Air Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Puerto Princesa ,Seair,62,56,56,60,62,60,62,0,0,0,0,0,418,-
IV-B (MIMAROPA),Puerto Princesa ,Zest Air,238,144,266,274,212,178,50,0,0,0,0,0,1362,-
IV-B (MIMAROPA),Puerto Princesa ,Lion Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Puerto Princesa ,G. Aviation,130,146,150,230,316,260,162,0,0,0,0,0,1394,-
IV-B (MIMAROPA),Puerto Princesa ,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Romblon,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),Romblon,Zest Air,26,22,26,26,6,0,0,0,0,0,0,0,106,-
IV-B (MIMAROPA),Romblon,G. Aviation,6,4,0,10,14,12,0,0,0,0,0,0,46,-
IV-B (MIMAROPA),Romblon,Military,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),San Jose,PAL,-,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),San Jose,Air Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),San Jose,Cebu Pacific,34,30,36,34,42,42,42,0,0,0,0,0,260,-
IV-B (MIMAROPA),San Jose,Zest Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
IV-B (MIMAROPA),San Jose,G. Aviation,74,112,84,54,70,188,94,0,0,0,0,0,676,-
