region,airport,airline_operation,january,february,march,april,may,june,july,august,september,october,november,december,total
V (Bicol Region),Legaspi,Zest Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
V (Bicol Region),Legaspi,G. Aviation,22,18,54,54,38,30,18,26,30,16,30,42,378
V (Bicol Region),Legaspi,Military,6,80,50,124,182,106,66,72,64,60,14,76,900
V (Bicol Region),Masbate,Zest Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
V (Bicol Region),Masbate,G. Aviation,2,6,56,42,            -  ,            -  ,4,4,2,            -  ,4,14,134
V (Bicol Region),Masbate,PAL,60,54,60,58,62,60,58,62,56,62,56,50,698
V (Bicol Region),Masbate,Military,            -  ,            -  ,            -  ,4,4,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,8
V (Bicol Region),Naga,Cebu Pacific,102,94,100,102,100,94,96,102,88,98,96,96,1168
V (Bicol Region),Naga,PAL,90,86,98,122,126,122,114,128,114,110,116,108,1334
V (Bicol Region),Naga,G. Aviation,4,8,6,26,12,12,10,4,8,6,8,4,108
V (Bicol Region),Naga,Military,            -  ,2,6,8,            -  ,30,             -  ,            -  ,               -  ,4,2,              -  ,52
V (Bicol Region),Sorsogon,G. Aviation,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
V (Bicol Region),Virac,Cebu Pacific,34,32,32,34,36,36,28,32,30,32,34,26,386
V (Bicol Region),Virac,A. Spirit,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
V (Bicol Region),Virac,G. Aviation,            -  ,            -  ,4,            -  ,6,4,             -  ,4,               -  ,2,4,              -  ,24
V (Bicol Region),Virac,Military,            -  ,4,            -  ,            -  ,2,            -  ,8,            -  ,               -  ,            -  ,8,              -  ,22
VI (Western Visayas),Antique,G. Aviation, no report submitted ,,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
VI (Western Visayas),Bacolod,PAL,278,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,278
VI (Western Visayas),Bacolod,Seair,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
VI (Western Visayas),Bacolod,Cebu Pacific,378,538,634,644,676,            -  ,498,572,490,592,618,584,6224
VI (Western Visayas),Bacolod,Zest Air,62,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,62
VI (Western Visayas),Bacolod,Air Philippine,108,284,248,316,310,            -  ,244,186,180,204,240,306,2626
VI (Western Visayas),Bacolod,Tiger Airways,100,70,98,156,150,            -  ,136,102,106,158,118,122,1316
VI (Western Visayas),Bacolod,Military,            -  ,            -  ,76,66,22,            -  ,4,94,100,32,              -  ,              -  ,394
VI (Western Visayas),Bacolod,G. Aviation,84,378,310,170,318,            -  ,372,400,60,252,188,324,2856
VI (Western Visayas),Caticlan,Zest Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
VI (Western Visayas),Caticlan,Cebu Pacific,652,            -  ,680,676,722,678,658,670,580,532,              -  ,482,6330
VI (Western Visayas),Caticlan,Air Philippine,638,            -  ,608,578,588,506,502,498,370,434,              -  ,310,5032
VI (Western Visayas),Caticlan,Seair,            -  ,            -  ,            -  ,22,56,36,10,            -  ,               -  ,            -  ,              -  ,              -  ,124
VI (Western Visayas),Caticlan,G. Aviation,132,            -  ,108,172,176,76,36,78,62,86,              -  ,142,1068
VI (Western Visayas),Caticlan,Military,            -  ,            -  ,            -  ,            -  ,4,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,4
VI (Western Visayas),Iloilo (International),Cebu Pacific,46,40,46,46,44,40,34,38,36,38,34,52,494
VI (Western Visayas),Iloilo,PAL,452,392,330,298,276,242,246,308,296,310,300,306,3756
VI (Western Visayas),Iloilo,Cebu Pacific,748,652,724,714,750,756,668,730,610,672,652,780,8456
VI (Western Visayas),Iloilo,Air Philippine,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
VI (Western Visayas),Iloilo,Zest Air,62,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,62
VI (Western Visayas),Iloilo,Seair,62,56,66,120,118,118,120,114,108,136,178,170,1366
VI (Western Visayas),Iloilo,G. Aviation,314,282,302,320,388,252,400,292,370,152,126,114,3312
VI (Western Visayas),Iloilo,Military,16,10,8,8,50,56,28,8,4,20,20,12,240
VI (Western Visayas),Kalibo (International),PAL,110,120,176,170,184,182,222,226,178,190,172,172,2102
VI (Western Visayas),Kalibo (International),Air Philippine,104,54,6,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,164
VI (Western Visayas),Kalibo (International),Cebu Pacific,110,110,92,90,172,160,148,154,96,76,60,72,1340
VI (Western Visayas),Kalibo (International),Silk Air,            -  ,            -  ,            -  ,            -  ,4,28,28,14,26,26,26,24,176
VI (Western Visayas),Kalibo (International),China M. Air,28,26,16,16,18,18,36,22,34,36,36,36,322
VI (Western Visayas),Kalibo (International),China S. Air,4,4,4,4,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,16
VI (Western Visayas),Kalibo (International),Air Asia or Zest Airways,204,176,168,182,224,210,234,224,132,126,140,136,2156
VI (Western Visayas),Kalibo (International),Tiger Air/Seair,54,88,90,86,            -  ,            -  ,98,108,54,32,24,26,660
VI (Western Visayas),Kalibo (International),Trans Asia Airlines,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,28,16,               -  ,            -  ,              -  ,              -  ,44
VI (Western Visayas),Kalibo (International),Sky Jet,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,14,               -  ,            -  ,              -  ,              -  ,14
VI (Western Visayas),Kalibo (International),Yukutia Air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,4,4
VI (Western Visayas),Kalibo (Domestic),PAL,60,148,26,16,            -  ,184,196,206,154,224,212,258,1684
VI (Western Visayas),Kalibo (Domestic),Cebu Pacific,296,290,266,248,498,462,300,198,244,224,216,244,3486
VI (Western Visayas),Kalibo (Domestic),Air Philippine,238,216,188,228,272,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,1142
VI (Western Visayas),Kalibo (Domestic),Air Asia or Zest Airways,424,396,446,516,602,360,484,258,308,310,300,374,4778
VI (Western Visayas),Kalibo (Domestic),Seair,150,116,170,216,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,652
VI (Western Visayas),Kalibo (Domestic),Tiger Airways,150,116,170,216,            -  ,            -  ,206,276,218,160,120,104,1736
VI (Western Visayas),Kalibo (Domestic),Sky Jet,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,4,4,              -  ,16,24
VI (Western Visayas),Kalibo (Domestic),silk air,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,6,              -  ,              -  ,6
VI (Western Visayas),Kalibo (Domestic),G. Aviation,80,            -  ,62,66,28,30,14,22,12,28,40,16,398
VI (Western Visayas),Kalibo (Domestic),Military,8,34,            -  ,8,4,4,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,58
VI (Western Visayas),Roxas,PALEX,62,54,62,64,62,62,62,62,60,62,60,54,726
VI (Western Visayas),Roxas,Cebu Pacific,76,56,62,62,62,60,60,62,60,98,106,62,826
VI (Western Visayas),Roxas,Tiger Airways,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,18,58,56,132
VI (Western Visayas),Roxas,G. Aviation,40,26,24,34,30,10,14,14,20,10,14,14,250
VI (Western Visayas),Roxas,Military,            -  ,            -  ,            -  ,            -  ,8,6,2,            -  ,6,4,4,4,34
VII (Central Visayas),Dumaguete,PALEX,124,112,120,122,132,126,120,124,112,120,118,180,1510
VII (Central Visayas),Dumaguete,PAL,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
VII (Central Visayas),Dumaguete,Cebu Pacific,206,148,198,206,218,184,166,184,158,170,170,122,1924
VII (Central Visayas),Dumaguete,G. Aviation,210,476,408,360,384,488,354,484,542,424,498,310,4728
VII (Central Visayas),Dumaguete,Military,8,4,18,2,14,24,30,26,10,4,6,2,140
VII (Central Visayas),Mactan,International,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
VII (Central Visayas),Mactan,Domestic,            -  ,            -  ,            -  ,            -  ,            -  ,            -  ,             -  ,            -  ,               -  ,            -  ,              -  ,              -  ,             -  
