region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,,,
IV-B (MIMAROPA),Pinamalayan,Seair, no report submitted ,, -   , -   , -   , -   ,50,2, -   , -   , -   , -   ,52,,,
IV-B (MIMAROPA),Wasig,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
V (Bicol Region),Bulan,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
V (Bicol Region),Daet,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
V (Bicol Region),Legaspi,PAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
V (Bicol Region),Legaspi,PALEX,90,78,92,118,128,116,126,136,122,124,110,120,1360,,,
V (Bicol Region),Legaspi,Cebu Pacific,204,220,254,170,168,160,166,170,178,246,212,232,2380,,,
V (Bicol Region),Legaspi,Cebgo, -   , -   , -   ,108,120,98,118,122,88,28,32,32,746,,,
V (Bicol Region),Legaspi,G. Aviation,30,26,14,26,36,32,18,32,32,88,30,450,814,,,
V (Bicol Region),Legaspi,Military,16,64,38,44,12,50,46,22,62,40,22,48,464,,,
V (Bicol Region),Masbate,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
V (Bicol Region),Masbate,G. Aviation,4,6,6,12,4, -   , -   , -   ,10,6,6,8,62,,,
V (Bicol Region),Masbate,PALEX,60,54,62,60,62,60,62,62,60,62,56,60,720,,,
V (Bicol Region),Masbate,Military, -   ,4,4, -   , -   , -   , -   , -   ,6, -   ,2,10,26,,,
V (Bicol Region),Naga,Cebu Pacific,112,92,126,116,92,94,92,84,84,76,56,86,1110,,,
V (Bicol Region),Naga,PAL,90,112,106,94,114,122,132,128,128,120,112,124,1382,,,
V (Bicol Region),Naga,G. Aviation,8,14,2,18,20,10,12,26,14,12,32,10,178,,,
V (Bicol Region),Naga,Military,4,6,4,20,2, -   ,2,16,2,2,10,4,72,,,
V (Bicol Region),Sorsogon,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
V (Bicol Region),Virac,Cebu Pacific,30,32,34,34,36,34,32,36,34,34,34,32,402,,,
V (Bicol Region),Virac,A. Spirit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
V (Bicol Region),Virac,G. Aviation, -   ,6, -   , -   ,4, -   ,8, -   ,6,6, -   ,4,34,,,
V (Bicol Region),Virac,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Antique,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Bacolod,PAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Bacolod,Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Bacolod,Cebu Pacific,546,528,608,636,644,564,1160,540,916,1108,936,526,8712,,,
VI (Western Visayas),Bacolod,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Bacolod,PALEX,306,220,312,318,332,328,676,336,648,668,600,354,5098,,,
VI (Western Visayas),Bacolod,cebgo,120,110,118,58,62,62,8,40,40,24,120,58,820,,,
VI (Western Visayas),Bacolod,Military,14,62,2, -   , -   ,26,66,72, -   , -   , -   , -   ,242,,,
VI (Western Visayas),Bacolod,G. Aviation,340,370,488, -   ,308,548,606,606, -   , -   , -   ,322,3588,,,
VI (Western Visayas),Caticlan,Sky Jet, -   , -   , -   , -   , -   , -   ,8,32,30,40,44,56,210,,,
VI (Western Visayas),Caticlan,Cebu Pacific, -   , -   ,672,720,724,628,630,506,474,532,456,522,5864,,,
VI (Western Visayas),Caticlan,Air Philippines, -   , -   ,532,468,548,510,466,450,400,568,506,562,5010,,,
VI (Western Visayas),Caticlan,Seair, -   , -   ,2,2, -   , -   , -   , -   , -   , -   , -   , -   ,4,,,
VI (Western Visayas),Caticlan,G. Aviation, -   , -   ,108,188,182,90,90,168,158,156,138,172,1450,,,
VI (Western Visayas),Caticlan,Military, -   , -   , -   ,4,86,12,8, -   , -   , -   , -   ,4,114,,,
VI (Western Visayas),Iloilo International,Cebu Pacific,56,36,42,52,52,48,46,44,44,44,36,66,566,,,
VI (Western Visayas),Iloilo,PAL,306,278,320,388,410,394,406,406,396,404,364,412,4484,,,
VI (Western Visayas),Iloilo,Cebu Pacific,734,696,844,790,806,662,688,654,662,794,716,810,8856,,,
VI (Western Visayas),Iloilo,Air Philippines, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Iloilo,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Iloilo,cebgo,162,118,168,210,232,230,164,172,148,34,20,58,1716,,,
VI (Western Visayas),Iloilo,G. Aviation,124,294,918,968,588,526,408,594,420,160,382,388,5770,,,
VI (Western Visayas),Iloilo,Military,38,30,6,28,48,86,52,16,90,70,14,38,516,,,
VI (Western Visayas),Kalibo (International),PAL,248,218,126,124,126,104,178,304,158,134,134,220,2074,,,
VI (Western Visayas),Kalibo (International),Air Philippines, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Kalibo (International),Cebu Pacific,76,110,126,128,136,130,194,208,200,194,152,156,1810,,,
VI (Western Visayas),Kalibo (International),Silk Air,26,22,28,24,28,34,26,18,16,22,26,28,298,,,
VI (Western Visayas),Kalibo (International),China M. Air,28,32,34,36,38,34,36,34,32,34,32,36,406,,,
VI (Western Visayas),Kalibo (International),China S. Air,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,,,
VI (Western Visayas),Kalibo (International),Air Asia or Zest Air,142,162,186,186,198,174,246,268,258,224,306,240,2590,,,
VI (Western Visayas),Kalibo (International),Seair,26,28,46,54,54,54,110,46,36,34,32,26,546,,,
VI (Western Visayas),Kalibo (International),Trans Asia Airlines, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Kalibo (International),Jinair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,36,36,,,
VI (Western Visayas),Kalibo (International),Yukutia Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Kalibo (Domestic),PAL,252,194,124,288,272,240,250,298,270,404,238,308,3138,,,
VI (Western Visayas),Kalibo (Domestic),Cebu Pacific,272,272,312,402,450,380,366,386,384,404,392,478,4498,,,
VI (Western Visayas),Kalibo (Domestic),Air Philippines, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Kalibo (Domestic),Air Asia or Zest Air,420,366,402,478,430,398,368,354,310,340,330,364,4560,,,
VI (Western Visayas),Kalibo (Domestic),Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VI (Western Visayas),Kalibo (Domestic),Tiger Air,110,108,120,66,70,54,84,80,42,24,22, -   ,780,,,
VI (Western Visayas),Kalibo (Domestic),Sky Jet,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,,,
VI (Western Visayas),Kalibo (Domestic),silk air,22,22, -   ,8,22,22,26,16,14,18,26,12,208,,,
VI (Western Visayas),Kalibo (Domestic),G. Aviation,36,24,16,34,66,34,14,36,30,40,24,48,402,,,
VI (Western Visayas),Kalibo (Domestic),Military, -   , -   , -   , -   ,6, -   , -   , -   , -   ,4, -   , -   ,10,,,
VI (Western Visayas),Roxas,PAL,30,30,30,60,62,60,62,32,60,62,56,62,606,,,
VI (Western Visayas),Roxas,Cebu Pacific,28,30,30,60,64,60,64,30,72,116,100,116,770,,,
VI (Western Visayas),Roxas,Tiger Air,30,30,28,58,62,46,48,30,36, -   , -   , -   ,368,,,
VI (Western Visayas),Roxas,G. Aviation,14,6,4,34,18,28,12,4,38,20,38,30,246,,,
VI (Western Visayas),Roxas,Military,4,12,4,10,8,2,8,2,16,20, -   ,4,90,,,
VII (Central Visayas),Dumaguete,PALEX,118,110,124,120,124,120,122,124,118,118,104,122,1424,,,
VII (Central Visayas),Dumaguete,PAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VII (Central Visayas),Dumaguete,Cebu Pacific,186,192,206,238,248,232,242,224,234,236,210,238,2500,,,
VII (Central Visayas),Dumaguete,G. Aviation,464,620,608,586,436,410,604,554,624,508,536,284,5770,,,
VII (Central Visayas),Dumaguete,Military,20,22,2,2,4,12,10,6,14,4,10,4,90,,,
VII (Central Visayas),Mactan,International, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VII (Central Visayas),Mactan,Domestic, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VII (Central Visayas),Mactan,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VII (Central Visayas),Mactan,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VII (Central Visayas),Siquijor,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VII (Central Visayas),Tagbilaran,PAL,134,112,132,178,184,150,124,120,116,116,102,152,1620,,,
VII (Central Visayas),Tagbilaran,Cebu Pacific,58,54,62,94,124,76,62,62,90,168,166,176,1192,,,
VII (Central Visayas),Tagbilaran,Air Philippines, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
VII (Central Visayas),Tagbilaran,Zest Air,162,152,166,180,184,180,184,174,174,172,156,184,2068,,,
VII (Central Visayas),Tagbilaran,G. Aviation,68,116,102,90,42,72,128,76,62,86,108,78,1028,,,
