region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
VII (Central Visayas),Siquijor,G. Aviation,90,6,20,40,34,72,78,120,76,88,62,46,732
VII (Central Visayas),Tagbilaran,PAL,184,6,184,180,186,152,162,140,120,70,126,156,1666
VII (Central Visayas),Tagbilaran,Cebu Pacific,126,110,124,122,124,120,124,124,120,116,118,124,1452
VII (Central Visayas),Tagbilaran,Air Philippines,124,112,124,118,124,120,124,124,120,120,120,124,1454
VII (Central Visayas),Tagbilaran,Zest Air,124,110,124,120,124,120,122,120,118,124,120,122,1448
VII (Central Visayas),Tagbilaran,G. Aviation,148,136,164,118,104,78,206,126,142,118,150,156,1646
VII (Central Visayas),Tagbilaran,Mid Sea Express,2,60,36,34,44,50,78,68,38,30,22,30,492
VII (Central Visayas),Tagbilaran,Military,0,0,2,0,2,4,10,24,0,6,10,2,60
VII (Central Visayas),Ubay,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
VII (Central Visayas),Bantayan,G. Aviation,no report submitted,no report submitted,82,0,0,0,0,0,0,0,0,0,82
VIII (Eastern Visayas),Biliran,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Borongan,G. Aviation,no landing and take-off,no landing and take-off,no landing and take-off,0,0,0,0,8,0,0,0,0,8
VIII (Eastern Visayas),Calbayog,PAL,0,0,0,0,0,0,0,0,-,-,-,-,0
VIII (Eastern Visayas),Calbayog,Cebu Pacific,0,0,0,0,0,36,48,44,48,44,0,0,220
VIII (Eastern Visayas),Calbayog,Zest Air,52,52,48,48,56,52,48,52,48,24,0,0,480
VIII (Eastern Visayas),Calbayog,Air Philippines,52,48,56,52,124,68,72,68,64,72,0,0,676
VIII (Eastern Visayas),Calbayog,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Catarman,Asian Spirit,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Catarman,PAL,0,0,44,48,0,56,60,52,-,0,64,56,380
VIII (Eastern Visayas),Catarman,Cebu Pacific,32,40,44,48,0,56,60,-,64,-,-,56,400
VIII (Eastern Visayas),Catarman,Air Philippines,128,120,132,164,108,120,120,124,120,0,112,120,1368
VIII (Eastern Visayas),Catarman,Zest Air,56,60,40,72,60,68,68,72,68,0,68,68,700
VIII (Eastern Visayas),Catarman,G. Aviation,0,12,4,0,0,0,0,0,0,0,0,0,16
VIII (Eastern Visayas),Catbalogan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Guiuan,G. Aviation,2,0,0,0,2,0,2,2,0,4,0,0,12
VIII (Eastern Visayas),Hilongos,G. Aviation,24,0,0,30,0,170,604,188,96,0,0,0,1112
VIII (Eastern Visayas),Maasin,G. Aviation,36,0,0,28,0,290,0,262,228,0,0,0,844
VIII (Eastern Visayas),Ormoc,Zest Air,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Ormoc,Air Philippines,0,0,0,0,0,0,0,0,0,0,-,0,0
VIII (Eastern Visayas),Ormoc,Military,38,0,0,0,0,0,0,0,0,0,0,0,38
VIII (Eastern Visayas),Ormoc,G. Aviation,342,474,742,588,554,554,426,344,366,0,676,436,5502
VIII (Eastern Visayas),Tacloban,PAL,186,168,184,356,372,360,372,372,320,136,324,364,3514
VIII (Eastern Visayas),Tacloban,Air Philippines,122,122,62,236,124,120,168,244,240,256,304,354,2352
VIII (Eastern Visayas),Tacloban,Cebu Pacific,328,274,306,600,620,596,596,580,568,588,600,744,6400
VIII (Eastern Visayas),Tacloban,Zest Air,84,104,120,236,248,232,248,180,232,244,240,316,2484
VIII (Eastern Visayas),Tacloban,Seair,0,0,32,0,0,0,0,0,0,0,0,0,32
VIII (Eastern Visayas),Tacloban,G. Aviation,14,28,32,60,16,36,36,22,28,40,22,22,356
VIII (Eastern Visayas),Tacloban,Military,8,4,2,0,4,8,0,6,2,-,2,6,42
ARMM,Cagayan de Sulu,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Dipolog,PAL,54,48,50,44,44,42,46,42,38,28,36,44,516
IX (Zamboanga Peninsula),Dipolog,Cebu Pacific,98,88,94,92,98,94,98,98,96,98,94,96,1144
IX (Zamboanga Peninsula),Dipolog,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Dipolog,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Ipil,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMM,Jolo,Air Phil Express,26,0,28,26,26,26,226,26,26,26,26,26,488
ARMM,Jolo,PAL,0,0,0,0,0,0,124,0,0,0,0,0,124
ARMM,Jolo,Cebu Pacific,0,0,0,0,0,0,284,0,0,0,0,0,284
ARMM,Jolo,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Liloy,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Pagadian,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Pagadian,Air Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Pagadian,Cebu Pacific,80,72,74,96,98,94,94,92,102,102,0,0,904
IX (Zamboanga Peninsula),Sanga-Sanga,Air Phil Express,f,54,60,58,36,34,36,0,0,0,0,0,278
IX (Zamboanga Peninsula),Siocon,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Zamboanga***,PAL,140,112,122,118,124,120,124,124,104,52,120,118,1378
IX (Zamboanga Peninsula),Zamboanga***,Cebu Pacific,270,230,246,294,310,252,284,290,282,334,316,312,3420
IX (Zamboanga Peninsula),Zamboanga***,Air Philippines,414,356,338,330,248,240,226,248,236,280,276,304,3496
IX (Zamboanga Peninsula),Zamboanga***,Zest Air,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Zamboanga***,Asian Spirit,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Zamboanga***,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0
IX (Zamboanga Peninsula),Zamboanga***,Military,0,0,594,0,0,0,0,1010,914,892,872,934,5216
IX (Zamboanga Peninsula),Zamboanga***,G. Aviation,56,64,0,74,86,0,98,50,66,68,104,108,774
XIII (Caraga),Butuan,PAL,58,52,62,60,62,60,62,62,52,42,60,62,694
XIII (Caraga),Butuan,Cebu Pacific,168,150,172,172,186,178,184,186,180,212,208,254,2250
XIII (Caraga),Butuan,G. Aviation,16,8,24,26,16,16,28,22,20,10,18,8,212
XIII (Caraga),Butuan,Military,16,4,12,12,8,8,14,14,16,18,16,12,150
X (Northern Mindanao),Cagayan de Oro,PAL,268,258,256,272,256,240,248,246,212,116,192,260,2824
X (Northern Mindanao),Cagayan de Oro,Cebu Pacific,306,268,564,292,308,296,316,346,320,320,308,308,3952
X (Northern Mindanao),Cagayan de Oro,G. Aviation,306,268,0,292,308,296,316,346,320,320,308,308,3388
X (Northern Mindanao),Cagayan de Oro,Zest Air,0,0,0,0,0,0,48,60,60,92,110,88,458
X (Northern Mindanao),Cagayan de Oro,Military,0,0,0,0,0,0,0,0,6,0,0,0,6
X (Northern Mindanao),Camiguin,Seair,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
X (Northern Mindanao),Ozamis,PAL,42,40,44,42,44,44,44,42,34,2,26,34,438
X (Northern Mindanao),Ozamis,Air Philippines,48,54,62,0,62,60,62,72,26,90,94,98,728
X (Northern Mindanao),Ozamis,Cebu Pacific,96,148,98,120,124,108,104,120,120,124,120,124,1406
X (Northern Mindanao),Ozamis,G. Aviation,0,0,0,0,0,4,0,0,0,30,0,0,34
XIII (Caraga),Siargao,Cebu Pacific,18,16,20,14,0,0,18,18,18,18,16,0,156
XIII (Caraga),Siargao,G. Aviation,2,6,0,42,0,0,12,18,16,14,6,0,116
XIII (Caraga),Surigao,PAL,0,0,0,0,0,0,0,0,0,0,0,0,0
XIII (Caraga),Surigao,Cebu Pacific,32,28,40,40,44,0,0,62,68,82,60,82,538
XIII (Caraga),Surigao,Air Philippines,84,86,110,54,62,0,0,62,60,58,60,54,690
XIII (Caraga),Surigao,Zest Air,0,0,0,0,0,0,0,0,0,68,0,0,68
XIII (Caraga),Surigao,G. Aviation,30,30,34,46,68,0,0,52,40,0,58,26,384
XII (SOCCSKSARGEN),Allah Valley,G. Aviation,0,6,8,18,12,0,4,4,10,0,0,2,64
XIII (Caraga),Bislig,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
XII (SOCCSKSARGEN),General Santos Tambler,Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0
XII (SOCCSKSARGEN),General Santos Tambler,PAL,62,56,62,60,62,60,62,62,54,46,60,62,708
XII (SOCCSKSARGEN),General Santos Tambler,Cebu Pacific,166,164,170,214,218,176,160,152,148,194,186,240,2188
XII (SOCCSKSARGEN),General Santos Tambler,Air Philippines,0,0,0,0,0,0,0,0,0,24,60,62,146
XII (SOCCSKSARGEN),General Santos Tambler,G. Aviation,0,6,28,0,36,20,8,8,16,14,38,24,198
XI (Davao Region),Davao (International),Silk Air,46,40,44,42,44,44,44,44,42,46,42,44,522
XI (Davao Region),Davao (Domestic),PAL,254,230,258,242,254,240,248,250,226,174,242,250,2868
XI (Davao Region),Davao (Domestic),Cebu Pacific,706,678,754,738,770,744,754,754,728,794,800,914,9134
XI (Davao Region),Davao (Domestic),Air Philippines,456,408,428,464,432,388,358,390,390,424,410,408,4956
XI (Davao Region),Davao (Domestic),Zest Air,138,138,166,164,168,160,114,82,120,134,142,150,1676
XI (Davao Region),Davao (Domestic),Tiger Airways,0,0,0,0,0,0,0,0,0,0,26,26,52
