brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
76102020,76102020,SIQUIJOR,LARENA,Ponong,2006,64,263,0,25,35,4,11.4,1,7.0999999,0,0,-,-,-,-,14,49,0,0,0,-,14,21.9,1,1.6,32,50,21,0,0,2,3.0999999,32.799999,0,0,0,0,93,13,14,-,-,-,-,-,-,-,-,-,61,2,6102020
76102021,76102021,SIQUIJOR,LARENA,Sabang,2006,116,534,6,64,76,13,17.1,15,27.799999,10,7.6999998,-,-,-,-,54,130,4,6.3000002,0,0,1,0.89999998,1,0.89999998,65,56,47,1,0.89999998,2,1.7,40.5,0,0,5,4.3000002,252,37,14.7,-,-,-,-,-,-,-,-,-,61,2,6102021
76102022,76102022,SIQUIJOR,LARENA,Sandugan,2006,229,986,24,115,145,29,20,35,37.599998,26,10.9,-,-,-,-,93,238,1,0.89999998,1,4,0,0,2,0.89999998,105,45.900002,76,3,1.3,14,6.0999999,33.200001,2,0.2,0,0,398,55,13.8,-,-,-,-,-,-,-,-,-,61,2,6102022
76102019,76102019,SIQUIJOR,LARENA,South Poblacion,2006,171,811,12,78,101,20,19.799999,17,25,11,6.5,-,-,-,-,68,169,1,1.3,0,0,11,6.4000001,5,2.9000001,14,8.1999998,7,0,0,4,2.3,4.0999999,0,0,1,0.60000002,348,60,17.200001,-,-,-,-,-,-,-,-,-,61,2,6102019
76102023,76102023,SIQUIJOR,LARENA,Taculing,2006,103,400,1,37,70,20,28.6,9,27.299999,7,6.8000002,-,-,-,-,33,103,0,0,0,0,1,1,0,0,37,35.900002,24,7,6.8000002,11,10.7,23.299999,0,0,0,0,158,22,13.9,-,-,-,-,-,-,-,-,-,61,2,6102023
76103001,76103001,SIQUIJOR,LAZI,Campalanas,2006,380,1726,34,232,302,66,21.9,47,30.5,36,7.9000001,-,-,-,-,154,456,3,1.3,0,0,6,1.6,1,0.30000001,30,7.9000001,21,10,2.5999999,98,25.799999,5.5,0,0,1,0.30000001,649,56,8.6000004,-,-,-,-,-,-,-,-,-,61,3,6103001
76103002,76103002,SIQUIJOR,LAZI,Cangclaran,2006,136,518,7,57,89,10,11.2,9,24.299999,5,4,-,-,-,-,37,126,1,1.8,0,0,2,1.5,5,3.7,23,16.9,20,22,16.200001,59,43.400002,14.7,0,0,1,0.69999999,203,10,4.9000001,-,-,-,-,-,-,-,-,-,61,3,6103002
76103003,76103003,SIQUIJOR,LAZI,Cangomantong,2006,185,698,11,84,106,22,20.799999,38,58.5,30,17.5,-,-,-,-,65,171,0,0,0,0,16,8.6000004,1,0.5,4,2.2,4,8,4.3000002,85,45.900002,2.2,0,0,3,1.6,307,25,8.1000004,-,-,-,-,-,-,-,-,-,61,3,6103003
76103004,76103004,SIQUIJOR,LAZI,Capalasanan,2006,205,759,4,46,110,17,15.5,30,50,24,14.1,-,-,-,-,60,170,0,0,0,0,7,3.4000001,0,0,8,3.9000001,5,12,5.9000001,70,34.099998,2.4000001,0,0,0,0,306,53,17.299999,-,-,-,-,-,-,-,-,-,61,3,6103004
76103005,76103005,SIQUIJOR,LAZI,Catamboan (Pob.),2006,305,1124,10,101,139,39,28.1,51,55.400002,38,16.5,-,-,-,-,92,231,1,1,0,0,21,6.9000001,9,3,24,7.9000001,21,16,5.1999998,52,17,6.9000001,0,0,0,0,489,120,24.5,-,-,-,-,-,-,-,-,-,61,3,6103005
76103006,76103006,SIQUIJOR,LAZI,Gabayan,2006,442,1818,38,229,289,74,25.6,45,31.9,36,8.3999996,-,-,-,-,141,430,0,0,0,0,50,11.3,18,4.0999999,1,0.2,1,34,7.6999998,193,43.700001,0.2,0,0,0,0,751,58,7.6999998,-,-,-,-,-,-,-,-,-,61,3,6103006
76103007,76103007,SIQUIJOR,LAZI,Kimba,2006,140,328,2,15,24,4,16.700001,8,42.099998,9,20.9,-,-,-,-,19,43,0,0,0,0,121,86.400002,0,0,13,9.3000002,12,3,2.0999999,8,5.6999998,8.6000004,0,0,0,0,124,14,11.3,-,-,-,-,-,-,-,-,-,61,3,6103007
76103008,76103008,SIQUIJOR,LAZI,Kinamandagan,2006,190,804,11,95,114,25,21.9,23,33.299999,21,11.5,-,-,-,-,69,183,0,0,0,0,6,3.2,4,2.0999999,4,2.0999999,3,32,16.799999,46,24.200001,1.6,0,0,0,0,296,94,31.799999,-,-,-,-,-,-,-,-,-,61,3,6103008
76103009,76103009,SIQUIJOR,LAZI,Lower Cabangcalan,2006,180,859,9,97,120,26,21.700001,29,37.700001,20,10.2,-,-,-,-,77,197,3,3.0999999,0,0,3,1.7,2,1.1,33,18.299999,26,1,0.60000002,36,20,14.4,0,0,6,3.3,303,39,12.9,-,-,-,-,-,-,-,-,-,61,3,6103009
76103010,76103010,SIQUIJOR,LAZI,Nagerong,2006,263,1082,12,88,132,26,19.700001,21,22.6,12,5.3000002,-,-,-,-,93,225,0,0,0,0,15,5.6999998,9,3.4000001,1,0.40000001,1,1,0.40000001,46,17.5,0.40000001,0,0,0,0,463,51,11,-,-,-,-,-,-,-,-,-,61,3,6103010
76103011,76103011,SIQUIJOR,LAZI,Po-o,2006,165,694,8,64,75,18,24,15,24.6,12,8.8000002,-,-,-,-,61,136,0,0,0,0,3,1.8,5,3,3,1.8,2,3,1.8,12,7.3000002,1.2,0,0,0,0,285,39,13.7,-,-,-,-,-,-,-,-,-,61,3,6103011
76103012,76103012,SIQUIJOR,LAZI,Simacolong,2006,366,1359,30,161,198,46,23.200001,32,30.200001,25,8.1999998,-,-,-,-,106,304,0,0,0,0,4,1.1,14,3.8,32,8.6999998,32,0,0,81,22.1,8.6999998,0,0,0,0,500,94,18.799999,-,-,-,-,-,-,-,-,-,61,3,6103012
76103013,76103013,SIQUIJOR,LAZI,Tagmanocan,2006,177,454,3,25,39,11,28.200001,13,46.400002,14,20.9,-,-,-,-,28,67,0,0,0,0,1,0.60000002,1,0.60000002,24,13.6,9,0,0,50,28.200001,5.0999999,0,0,0,0,181,32,17.700001,-,-,-,-,-,-,-,-,-,61,3,6103013
76103014,76103014,SIQUIJOR,LAZI,Talayong,2006,140,564,3,53,92,15,16.299999,15,35.700001,11,8.1999998,-,-,-,-,42,134,0,0,0,0,4,2.9000001,1,0.69999999,11,7.9000001,4,0,0,24,17.1,2.9000001,0,0,15,10.7,220,31,14.1,-,-,-,-,-,-,-,-,-,61,3,6103014
76103015,76103015,SIQUIJOR,LAZI,Tigbawan (Pob.),2006,325,1350,0,76,206,42,20.4,30,25.6,16,5,-,-,-,-,117,323,0,0,0,-,3,0.89999998,8,2.5,11,3.4000001,6,6,1.8,30,9.1999998,1.8,0,0,1,0.30000001,500,113,22.6,-,-,-,-,-,-,-,-,-,61,3,6103015
76103016,76103016,SIQUIJOR,LAZI,Tignao,2006,222,888,17,101,117,23,19.700001,21,25.299999,12,6,-,-,-,-,83,200,0,0,0,0,3,1.4,0,0,4,1.8,2,2,0.89999998,28,12.6,0.89999998,0,0,0,0,329,46,14,-,-,-,-,-,-,-,-,-,61,3,6103016
76103017,76103017,SIQUIJOR,LAZI,Upper Cabangcalan,2006,140,477,9,55,72,22,30.6,21,55.299999,21,19.1,-,-,-,-,38,110,0,0,0,0,23,16.4,2,1.4,3,2.0999999,3,0,0,30,21.4,2.0999999,0,0,0,0,166,19,11.4,-,-,-,-,-,-,-,-,-,61,3,6103017
76103018,76103018,SIQUIJOR,LAZI,Ytaya,2006,164,724,14,91,98,28,28.6,13,22.799999,16,10.3,-,-,-,-,57,155,0,0,0,0,4,2.4000001,2,1.2,7,4.3000002,4,25,15.2,39,23.799999,2.4000001,0,0,0,0,280,36,12.9,-,-,-,-,-,-,-,-,-,61,3,6103018
76104001,76104001,SIQUIJOR,MARIA,Bogo,2006,175,660,16,67,109,24,22,26,43.299999,32,18.9,-,-,-,-,60,169,0,0,0,0,9,5.0999999,4,2.3,101,57.700001,81,0,0,49,28,46.299999,0,0,0,0,205,11,5.4000001,-,-,-,-,-,-,-,-,-,61,4,6104001
76104002,76104002,SIQUIJOR,MARIA,Bonga,2006,101,442,15,57,63,20,31.700001,20,48.799999,27,26,-,-,-,-,41,104,0,0,0,0,4,4,4,4,71,70.300003,62,1,1,34,33.700001,61.400002,0,0,1,1,130,13,10,-,-,-,-,-,-,-,-,-,61,4,6104002
76104003,76104003,SIQUIJOR,MARIA,Cabal-asan,2006,75,290,3,22,37,18,48.599998,11,36.700001,23,34.299999,-,-,-,-,30,67,0,0,0,0,12,16,0,0,23,30.700001,10,0,0,6,8,13.3,0,0,0,0,115,32,27.799999,-,-,-,-,-,-,-,-,-,61,4,6104003
