Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Disbursement_Rate,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Time_Elapsed,Utilization_Rate,Balance,Loan_Status
PH-P221,Help for Catubig Agricultural Advancement Project Stage I,GOJ-JICA,Project,NIA,VIII,3.70,1.63,1.15,2.86,9.34,1.23,1.88,1.86,2.15,7.12,0.00,0.00,0.00,0.00,131.11%,0.00,32.25,32.25,27.17,25.17,57.41,57.41,107.92%,-1.99,0,28.95%,3/28/06,1/23/13,1/23/02,63.07%,47.32%,30.24,Ongoing
PH-P229,Bago River Irrigation System Rehab. And Improvement Project,GOJ-JICA,Project,NIA,VI,0.17,0.73,0.86,2.05,3.81,3.21,3.50,1.24,2.29,10.24,0.00,0.00,0.00,0.00,37.17%,0.00,16.03,16.03,19.65,24.18,35.53,35.53,81.27%,4.53,0,23.74%,3/29/06,,2/21/03,83.69%,55.32%,15.87,Ongoing
BLA-04055,NorthRail Project Phase 1 Section 1,China,Project,NLRC,NCR,7.96,0.00,7.11,0.00,15.07,47.17,39.83,33.39,33.39,153.78,0.00,0.00,0.00,0.00,9.80%,0.00,287.47,287.47,127.60,380.00,400.00,400.00,33.58%,252.40,0,5.24%,3/30/06,12/31/12,9/13/04,51.80%,31.90%,272.40,Ongoing
CHI-5,"Northrail Project Phase I, Section II",China,Project,NLRC,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,500.00,500.00,0,0.00,0,0.00%,,,,,0.00%,500.00,Newly Signed
France B150A1,Philippine Rural Electrification Service Project (PRES),France,Project,NPC,V,0.00,0.00,0.00,16.79,16.79,0.00,0.00,0.00,16.79,16.79,0.00,0.00,0.00,0.00,100.00%,0.00,0.00,0.00,16.79,19.83,22.94,22.94,84.70%,3.03,0,0.00%,6/30/08,5/15/10,10/4/06,62.09%,73.21%,6.15,Ongoing
PH-4887,Bicol Power Restoration Project,WB,Project,NPC,V,0.00,6.65,2.80,2.11,11.56,0.00,0.00,2.80,2.11,4.91,0.00,0.00,0.00,0.00,235.52%,0.00,0.00,0.00,11.56,12.94,12.94,12.94,89.37%,1.38,0,0.00%,7/30/08,9/30/08,5/21/08,169.70%,89.37%,1.38,Closed
PH-P213,Mindanao Container Terminal Project,GOJ-JICA,Project,PHIVIDEC,X,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00%,0.01,0.01,0.00,78.47,78.47,78.48,78.47,100.00%,0.00,0.01,0.00%,9/4/08,,9/4/00,104.04%,100.00%,0.00,Closed
KfW-1998-66-609,Upgrading of the Philippine Merchant Marine Academy,Germany,Project,PMMA,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,3.30,3.39,15.97,19.27,19.27,19.27,82.88%,3.30,0,0.00%,12/30/05,12/31/07,6/1/02,117.95%,82.88%,3.30,Closed
PH-P233,Northern Luzon Wind Power Project,GOJ-JICA,Project,PNOC,I,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.88,0.00,0.00,0.00,0.00%,51.88,51.88,0.00,0.00,0.00,51.88,0.00,0,0.00,51.88,0.00%,10/24/07,,10/24/02,123.77%,0.00%,0.00,Closed
PHL-7,Northrail-Southrail Linkage Project,Korea,Project,PNR,NCR,0.00,0.00,0.00,0.00,0.00,4.14,0.00,0.00,8.76,12.90,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,22.05,37.59,50.42,50.42,58.66%,15.54,0,0.00%,3/16/07,12/29/10,3/16/05,65.56%,43.73%,28.37,Ongoing
PH-P187,Batangas Port Development Project,GOJ-JICA,Project,PPA,IV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.43,0.00,2.42,0.00%,4.85,2.26,-2.59,135.76,135.76,138.19,135.76,100.00%,0.00,2.421,0.00%,1/7/05,1/7/08,1/7/99,110.92%,100.00%,0.00,Closed
1746-PHI,Pasig River Envi. Mngmt & Rehab Sector Dev't Program,ADB,Project,PRRC,NCR,4.72,7.14,1.43,0.81,14.10,0.00,0.00,8.71,0.00,8.71,0.00,0.00,0.00,0.00,161.88%,0.00,26.07,26.07,63.03,75.00,75.00,75.00,84.04%,11.97,0,54.08%,1/31/06,3/5/09,8/17/00,97.95%,84.04%,11.97,Ongoing
1746-PHI,Pasig River Envi. Mngmt & Rehab Sector Dev't Program,ADB,Project,PRRC,NCR,4.72,7.14,1.43,0.81,14.10,0.00,0.00,8.71,0.00,8.71,0.00,0.00,0.00,0.00,161.88%,0.00,26.07,26.07,63.03,75.00,75.00,75.00,84.04%,11.97,0,54.08%,1/31/06,3/5/09,8/17/00,97.95%,84.04%,11.97,Ongoing
Belgian-2,Pasig River Dredging Project,Belgium,Project,PRRC,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,104.54,104.54,0,0.00,0,0.00%,12/15/10,,4/30/09,-20.20%,0.00%,104.54,Newly Signed
2186-PHI,Small and Medium Enterprise Development Support Project,ADB,Project,SB Corp,Nationwide,3.86,5.45,0.00,0.00,9.31,1.65,1.65,1.65,1.65,6.60,0.00,0.00,0.00,0.00,141.03%,0.00,6.77,6.77,21.00,13.45,24.47,24.47,156.15%,-7.55,0,137.53%,4/30/11,2/13/09,2/28/06,95.93%,85.81%,3.47,Ongoing
BMZ-200165969,"Micro, Small and Medium Enterprise Program",Germany,Project,SB Corp,Nationwide,0.35,0.00,2.34,0.00,2.69,1.52,1.52,1.52,1.52,6.08,0.00,0.00,0.00,0.00,44.24%,0.00,,0.00,5.96,17.77,17.77,17.77,33.51%,11.82,0,0.00%,12/30/08,12/30/10,8/25/06,54.09%,33.51%,11.82,Ongoing
PH-P215,Subic Bay Port Development Project,GOJ-JICA,Project,SBMA,III,8.65,2.52,3.44,0.15,14.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,56.58,56.58,127.93,147.95,181.27,181.27,86.47%,20.02,0,26.08%,12/27/09,12/27/10,1/27/01,79.95%,70.57%,53.34,Ongoing
PH-P238,Subic Bay Freeport Environmental Management Project II,GOJ-JICA,Project,SBMA,III,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,8.78,8.78,0.00,7.22,10.92,10.92,0.00%,7.22,0,0.00%,11/10/12,,11/10/03,57.12%,0.00%,10.92,Ongoing
2489-PHI,Governance in Justice Sector Reform Program (Subprogram I),ADB,Program,SC,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,300.00,300.00,0,0.00,0,0.00%,2/28/10,,2/10/09,-10.70%,0.00%,300.00,Newly Signed
PH-7191,Judicial Reform Support Project,WB,Project,SC,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,10.46,21.39,21.90,21.90,48.90%,10.93,0,0.00%,12/31/09,6/30/12,12/4/03,59.21%,47.76%,11.44,Ongoing
1750-PHI,Technical Education and Skills Development Project,ADB,Project,TESDA,Multi-Regional,0.57,0.49,0.00,0.04,1.10,0.37,0.49,0.00,0.00,0.87,0.00,0.00,0.00,0.00,127.07%,0.00,5.73,5.73,16.63,21.26,25.00,21.26,78.22%,4.63,3.738,19.24%,12/31/06,12/31/08,1/9/01,100.00%,78.21%,4.63,Closed
BMZ 2000-66-142,Expansion of Dual Education and Training Project,Germany,Project,TESDA,Luzon Wide,0.54,0.34,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,2.73,2.73,10.71,10.71,10.71,10.71,100.00%,0.00,0,32.26%,6/30/04,12/31/06,1/30/01,133.83%,100.00%,0.00,Closed
G1/G3219588/1,Development of Centers of Excellence in Modern Manufacturing,Austria,Project,TESDA,Multi-Regional,2.60,0.00,0.00,2.95,5.54,1.26,0.69,4.04,0.00,5.99,0.00,0.00,0.00,0.00,92.52%,0.00,7.06,7.06,13.64,15.00,15.15,15.15,90.92%,1.36,0,78.54%,5/30/05,5/17/09,5/30/02,94.61%,90.01%,1.51,Ongoing
NDF-331,Technical Education and Skills Development Project,NDF,Project,TESDA,Multi-Regional,0.16,0.54,3.33,0.02,4.04,0.68,3.04,0.00,0.00,3.72,0.00,0.00,0.00,0.00,108.68%,0.00,5.99,5.99,7.49,9.44,9.44,9.44,79.30%,1.95,0,67.45%,12/31/05,9/30/08,9/25/00,103.14%,79.30%,1.95,Closed
OPEC 841-P,Technical Education and Skills Development Project,OPEC,Project,TESDA,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,7.00,7.00,7.00,7.00,100.00%,0.00,0,0.00%,6/30/05,12/31/07,9/1/01,115.83%,100.00%,0.00,Closed
1984-PHI,Electricity Market and Transmission Development Project,ADB,Project,TRANSCO,Nationwide,9.73,1.52,0.91,1.76,13.91,2.81,4.05,5.28,1.37,13.51,0.00,0.00,0.00,0.00,102.97%,0.00,22.19,22.19,31.72,36.27,40.00,40.00,87.48%,4.54,0,62.70%,6/30/09,8/3/09,3/9/04,89.10%,79.31%,8.28,Ongoing
