year,region,country of origin,dimensions,php_per_board_foot
2005,VI (Western Visayas),Malaysia,"2""x4""x8'",31.49
2005,VI (Western Visayas),Papua New Guinea,"2""x4""x8'",-
2005,VI (Western Visayas),Solomon Islands,"2""x4""x8'",-
2005,VII (Central Visayas),Brazil,"2""x4""x8'",-
2005,VII (Central Visayas),Indonesia,"2""x4""x8'",-
2005,VII (Central Visayas),Malaysia,"2""x4""x8'",26.6
2005,VII (Central Visayas),Papua New Guinea,"2""x4""x8'",-
2005,VII (Central Visayas),Solomon Islands,"2""x4""x8'",-
2005,VIII (Eastern Visayas),Brazil,"2""x4""x8'",28
2005,VIII (Eastern Visayas),Indonesia,"2""x4""x8'",-
2005,VIII (Eastern Visayas),Malaysia,"2""x4""x8'",26.25
2005,VIII (Eastern Visayas),Papua New Guinea,"2""x4""x8'",-
2005,VIII (Eastern Visayas),Solomon Islands,"2""x4""x8'",-
2005,XIII (Caraga),Brazil,"2""x4""x8'",-
2005,XIII (Caraga),Indonesia,"2""x4""x8'",-
2005,XIII (Caraga),Malaysia,"2""x4""x8'",21.5
2005,XIII (Caraga),Papua New Guinea,"2""x4""x8'",-
2005,XIII (Caraga),Solomon Islands,"2""x4""x8'",-
2004,National,Brazil,"2""x4""x8'",26.19
2004,National,Indonesia,"2""x4""x8'",22.16
2004,National,Malaysia,"2""x4""x8'",24.34
2004,National,Papua New Guinea,"2""x4""x8'",24.67
2004,National,Solomon Islands,"2""x4""x8'",25.35
2004,NCR,Brazil,"2""x4""x8'",25.14
2004,NCR,Indonesia,"2""x4""x8'",22.27
2004,NCR,Malaysia,"2""x4""x8'",24.3
2004,NCR,Papua New Guinea,"2""x4""x8'",-
2004,NCR,Solomon Islands,"2""x4""x8'",24.72
2004,CAR,Brazil,"2""x4""x8'",-
2004,CAR,Indonesia,"2""x4""x8'",-
2004,CAR,Malaysia,"2""x4""x8'",21.46
2004,CAR,Papua New Guinea,"2""x4""x8'",-
2004,CAR,Solomon Islands,"2""x4""x8'",-
2004,I (Ilocos Region),Brazil,"2""x4""x8'",27.17
2004,I (Ilocos Region),Indonesia,"2""x4""x8'",-
2004,I (Ilocos Region),Malaysia,"2""x4""x8'",24.46
2004,I (Ilocos Region),Papua New Guinea,"2""x4""x8'",27.33
2004,I (Ilocos Region),Solomon Islands,"2""x4""x8'",26.42
2004,II (Cagayan Valley),Brazil,"2""x4""x8'",26
2004,II (Cagayan Valley),Indonesia,"2""x4""x8'",-
2004,II (Cagayan Valley),Malaysia,"2""x4""x8'",21.44
2004,II (Cagayan Valley),Papua New Guinea,"2""x4""x8'",-
2004,II (Cagayan Valley),Solomon Islands,"2""x4""x8'",-
2004,III (Central Luzon),Brazil,"2""x4""x8'",23.19
2004,III (Central Luzon),Indonesia,"2""x4""x8'",22.17
2004,III (Central Luzon),Malaysia,"2""x4""x8'",21.9
2004,III (Central Luzon),Papua New Guinea,"2""x4""x8'",23.85
2004,III (Central Luzon),Solomon Islands,"2""x4""x8'",24.18
2004,IV-A (CALABARZON),Brazil,"2""x4""x8'",25.77
2004,IV-A (CALABARZON),Indonesia,"2""x4""x8'",22.04
2004,IV-A (CALABARZON),Malaysia,"2""x4""x8'",24.13
2004,IV-A (CALABARZON),Papua New Guinea,"2""x4""x8'",22.83
2004,IV-A (CALABARZON),Solomon Islands,"2""x4""x8'",23.92
2004,IV-B (MIMAROPA),Brazil,"2""x4""x8'",-
2004,IV-B (MIMAROPA),Indonesia,"2""x4""x8'",-
2004,IV-B (MIMAROPA),Malaysia,"2""x4""x8'",27
2004,IV-B (MIMAROPA),Papua New Guinea,"2""x4""x8'",-
2004,IV-B (MIMAROPA),Solomon Islands,"2""x4""x8'",-
2004,V (Bicol Region),Brazil,"2""x4""x8'",-
2004,V (Bicol Region),Indonesia,"2""x4""x8'",-
2004,V (Bicol Region),Malaysia,"2""x4""x8'",-
2004,V (Bicol Region),Papua New Guinea,"2""x4""x8'",-
2004,V (Bicol Region),Solomon Islands,"2""x4""x8'",27.5
2004,VI (Western Visayas),Brazil,"2""x4""x8'",29.85
2004,VI (Western Visayas),Indonesia,"2""x4""x8'",-
2004,VI (Western Visayas),Malaysia,"2""x4""x8'",26.14
2004,VI (Western Visayas),Papua New Guinea,"2""x4""x8'",-
2004,VI (Western Visayas),Solomon Islands,"2""x4""x8'",-
2004,VII (Central Visayas),Brazil,"2""x4""x8'",-
2004,VII (Central Visayas),Indonesia,"2""x4""x8'",-
2004,VII (Central Visayas),Malaysia,"2""x4""x8'",26.6
2004,VII (Central Visayas),Papua New Guinea,"2""x4""x8'",-
2004,VII (Central Visayas),Solomon Islands,"2""x4""x8'",-
2004,VIII (Eastern Visayas),Brazil,"2""x4""x8'",-
2004,VIII (Eastern Visayas),Indonesia,"2""x4""x8'",-
2004,VIII (Eastern Visayas),Malaysia,"2""x4""x8'",26
2004,VIII (Eastern Visayas),Papua New Guinea,"2""x4""x8'",-
2004,VIII (Eastern Visayas),Solomon Islands,"2""x4""x8'",-
2003,National,Indonesia,"2""x4""x8'",21.08
2003,National,Malaysia,"2""x4""x8'",20.98
2003,National,Solomon Islands,"2""x4""x8'",24.1
2003,NCR,Indonesia,"2""x4""x8'",23
2003,NCR,Malaysia,"2""x4""x8'",14
2003,NCR,Solomon Islands,"2""x4""x8'",21.17
2003,CAR,Indonesia,"2""x4""x8'",-
2003,CAR,Malaysia,"2""x4""x8'",20.37
2003,CAR,Solomon Islands,"2""x4""x8'",-
2003,I (Ilocos Region),Indonesia,"2""x4""x8'",21
2003,I (Ilocos Region),Malaysia,"2""x4""x8'",23.67
2003,I (Ilocos Region),Solomon Islands,"2""x4""x8'",24.43
2003,II (Cagayan Valley),Indonesia,"2""x4""x8'",-
2003,II (Cagayan Valley),Malaysia,"2""x4""x8'",21.5
2003,II (Cagayan Valley),Solomon Islands,"2""x4""x8'",-
2003,III (Central Luzon),Indonesia,"2""x4""x8'",-
2003,III (Central Luzon),Malaysia,"2""x4""x8'",20.76
2003,III (Central Luzon),Solomon Islands,"2""x4""x8'",23.61
2003,IV-A (CALABARZON),Indonesia,"2""x4""x8'",19.25
2003,IV-A (CALABARZON),Malaysia,"2""x4""x8'",20
2003,IV-A (CALABARZON),Solomon Islands,"2""x4""x8'",-
2003,V (Bicol Region),Indonesia,"2""x4""x8'",-
2003,V (Bicol Region),Malaysia,"2""x4""x8'",-
2003,V (Bicol Region),Solomon Islands,"2""x4""x8'",27.19
2003,VIII (Eastern Visayas),Indonesia,"2""x4""x8'",-
2003,VIII (Eastern Visayas),Malaysia,"2""x4""x8'",26
2003,VIII (Eastern Visayas),Solomon Islands,"2""x4""x8'",-
2003,XIII (Caraga),Indonesia,"2""x4""x8'",-
2003,XIII (Caraga),Malaysia,"2""x4""x8'",21.5
2003,XIII (Caraga),Solomon Islands,"2""x4""x8'",-
