province,age_group,total_registered_farmers_farm_laborers_and_fishermen_total,total_registered_farmers_farm_laborers_and_fishermen_male,total_registered_farmers_farm_laborers_and_fishermen_female,number_of_registered_farmers_total,number_of_registered_farmers_male,number_of_registered_farmers_female,number_of_registered_farm_laborers_total,number_of_registered_farm_laborers_male,number_of_registered_farm_laborers_female,number_of_registered_fishermen_total,number_of_registered_fishermen_male,number_of_registered_fishermen_female
Masbate,Total,151229,124750,26479,85622,72881,12741,60785,45101,15684,47835,45978,1857
Masbate,5 to 9,163,96,67,1,1,0,140,78,62,29,21,8
Masbate,10 to 14,1785,1427,358,82,66,16,1328,1011,317,501,462,39
Masbate,15 to 19,7025,6305,720,910,797,113,4160,3552,608,2833,2778,55
Masbate,20 to 24,11246,10093,1153,4322,3900,422,5327,4550,777,4413,4313,100
Masbate,25 to 29,15576,13820,1756,7545,6867,678,6853,5690,1163,5858,5694,164
Masbate,30 to 34,17510,15135,2375,9189,8242,947,7140,5599,1541,6552,6357,195
Masbate,35 to 39,18368,15726,2642,10389,9260,1129,7325,5666,1659,6673,6441,232
Masbate,40 to 44,17147,14157,2990,10269,8902,1367,6668,4852,1816,5755,5533,222
Masbate,45 to 49,16326,13326,3000,10217,8867,1350,6176,4288,1888,5160,4934,226
Masbate,50 to 54,13682,10908,2774,8991,7615,1376,5011,3354,1657,3945,3782,163
Masbate,55 to 59,11350,8775,2575,7789,6407,1382,4018,2561,1457,2817,2665,152
Masbate,60 to 64,7931,5948,1983,5719,4533,1186,2666,1661,1005,1647,1526,121
Masbate,65 to 69,5986,4223,1763,4515,3397,1118,1892,1082,810,935,839,96
Masbate,70 to 74,3951,2692,1259,3114,2258,856,1204,675,529,444,394,50
Masbate,75 to 79,2160,1464,696,1750,1229,521,588,338,250,203,179,24
Masbate,80 to 84,734,482,252,604,406,198,199,104,95,49,41,8
Masbate,85 years old and over,237,138,99,192,117,75,63,25,38,10,8,2
Masbate,Don't know,28,20,8,11,7,4,9,5,4,9,9,0
Masbate,Not reported,24,15,9,13,10,3,18,10,8,2,2,0
Mountain Province,Total,39751,23249,16502,24056,16574,7482,26754,14727,12027,1423,1285,138
Mountain Province,5 to 9,40,27,13,0,0,0,40,27,13,0,0,0
Mountain Province,10 to 14,550,291,259,14,8,6,548,289,259,8,8,0
Mountain Province,15 to 19,1968,1270,698,243,193,50,1876,1199,677,38,38,0
Mountain Province,20 to 24,3218,2028,1190,950,754,196,2856,1769,1087,80,76,4
Mountain Province,25 to 29,3751,2426,1325,1748,1372,376,3045,1905,1140,146,132,14
Mountain Province,30 to 34,4058,2520,1538,2314,1749,565,3025,1778,1247,159,150,9
Mountain Province,35 to 39,4179,2557,1622,2674,2029,645,2986,1670,1316,185,172,13
Mountain Province,40 to 44,4072,2382,1690,2695,1922,773,2751,1454,1297,183,161,22
Mountain Province,45 to 49,4310,2536,1774,3032,2162,870,2732,1426,1306,175,154,21
Mountain Province,50 to 54,3618,2072,1546,2633,1820,813,2133,1069,1064,153,132,21
Mountain Province,55 to 59,3210,1815,1395,2382,1581,801,1849,912,937,117,104,13
Mountain Province,60 to 64,2275,1188,1087,1759,1070,689,1102,490,612,77,67,10
Mountain Province,65 to 69,1650,841,809,1283,752,531,752,327,425,51,46,5
Mountain Province,70 to 74,1326,664,662,1071,595,476,540,228,312,30,26,4
Mountain Province,75 to 79,886,354,532,721,319,402,321,108,213,13,12,1
Mountain Province,80 to 84,413,172,241,337,152,185,141,50,91,3,2,1
Mountain Province,85 years old and over,227,106,121,200,96,104,57,26,31,5,5,0
Mountain Province,Don't know,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Province,Not reported,0,0,0,0,0,0,0,0,0,0,0,0
North Cotabato,Total,274887,215570,59317,164683,141176,23507,165351,122221,43130,19820,18346,1474
North Cotabato,5 to 9,1113,619,494,26,21,5,1085,594,491,31,26,5
North Cotabato,10 to 14,5794,3705,2089,361,289,72,5535,3476,2059,336,285,51
North Cotabato,15 to 19,17334,13767,3567,3629,3210,419,15126,11795,3331,1221,1136,85
North Cotabato,20 to 24,26285,21972,4313,11040,9920,1120,19739,16116,3623,2086,1966,120
North Cotabato,25 to 29,33085,27567,5518,18149,16353,1796,21880,17526,4354,2600,2457,143
North Cotabato,30 to 34,33672,27418,6254,20467,18230,2237,20820,16037,4783,2745,2566,179
North Cotabato,35 to 39,34130,26987,7143,21767,19099,2668,20288,14863,5425,2703,2516,187
North Cotabato,40 to 44,31682,24678,7004,21452,18561,2891,17694,12595,5099,2457,2271,186
North Cotabato,45 to 49,27947,21251,6696,19412,16472,2940,14983,10265,4718,1882,1716,166
North Cotabato,50 to 54,21598,16423,5175,15702,13123,2579,10792,7380,3412,1410,1288,122
North Cotabato,55 to 59,16551,12377,4174,12435,10088,2347,7527,5071,2456,928,842,86
North Cotabato,60 to 64,11244,8296,2948,8689,6914,1775,4727,3103,1624,695,628,67
North Cotabato,65 to 69,6604,4851,1753,5269,4117,1152,2461,1629,832,380,338,42
North Cotabato,70 to 74,4098,2910,1188,3303,2476,827,1413,924,489,172,152,20
North Cotabato,75 to 79,2048,1444,604,1660,1235,425,660,411,249,98,90,8
North Cotabato,80 to 84,759,530,229,611,453,158,243,152,91,22,20,2
North Cotabato,85 years old and over,324,244,80,269,212,57,92,58,34,14,12,2
North Cotabato,Don't know,266,211,55,179,150,29,161,127,34,26,23,3
North Cotabato,Not reported,353,320,33,263,253,10,125,99,26,14,14,0
Northern Samar,Total,96050,84718,11332,51441,46457,4984,55761,47840,7921,23833,22938,895
Northern Samar,5 to 9,40,26,14,1,1,0,36,22,14,4,4,0
Northern Samar,10 to 14,1075,831,244,84,71,13,956,723,233,218,200,18
Northern Samar,15 to 19,5146,4779,367,978,926,52,4264,3920,344,1209,1191,18
Northern Samar,20 to 24,8166,7672,494,2719,2607,112,6134,5699,435,1989,1948,41
Northern Samar,25 to 29,10178,9491,687,4397,4201,196,6870,6299,571,2630,2567,63
Northern Samar,30 to 34,10751,9884,867,5177,4905,272,6710,6003,707,3163,3078,85
Northern Samar,35 to 39,11904,10663,1241,6330,5875,455,7006,6070,936,3239,3131,108
Northern Samar,40 to 44,10546,9374,1172,6059,5573,486,5713,4862,851,3015,2916,99
Northern Samar,45 to 49,10083,8788,1295,6240,5665,575,5276,4358,918,2654,2528,126
Northern Samar,50 to 54,8035,6778,1257,5181,4564,617,3949,3116,833,1960,1867,93
Northern Samar,55 to 59,6908,5800,1108,4660,4071,589,3265,2571,694,1566,1483,83
Northern Samar,60 to 64,5187,4262,925,3688,3138,550,2336,1790,546,1005,944,61
Northern Samar,65 to 69,4011,3203,808,2939,2437,502,1639,1224,415,677,619,58
Northern Samar,70 to 74,2344,1864,480,1734,1413,321,949,711,238,319,297,22
Northern Samar,75 to 79,1159,892,267,862,688,174,452,317,135,144,128,16
Northern Samar,80 to 84,371,292,79,290,236,54,141,101,40,32,28,4
Northern Samar,85 years old and over,114,93,21,88,74,14,45,38,7,5,5,0
Northern Samar,Don't know,27,22,5,10,9,1,17,13,4,4,4,0
Northern Samar,Not reported,5,4,1,4,3,1,3,3,0,0,0,0
Romblon,Total,53096,38995,14101,28058,20738,7320,23123,15570,7553,20313,17952,2361
Romblon,5 to 9,73,38,35,0,0,0,28,16,12,49,25,24
Romblon,10 to 14,626,431,195,19,12,7,380,261,119,327,240,87
Romblon,15 to 19,1911,1584,327,109,81,28,1137,905,232,1025,906,119
Romblon,20 to 24,2829,2379,450,528,412,116,1578,1290,288,1415,1287,128
Romblon,25 to 29,4168,3449,719,1390,1156,234,2109,1650,459,2032,1864,168
Romblon,30 to 34,5041,3991,1050,2114,1702,412,2507,1838,669,2330,2104,226
Romblon,35 to 39,5865,4527,1338,2830,2250,580,2702,1893,809,2708,2419,289
Romblon,40 to 44,6271,4782,1489,3314,2611,703,2803,1925,878,2729,2467,262
Romblon,45 to 49,6254,4579,1675,3610,2808,802,2748,1746,1002,2418,2158,260
Romblon,50 to 54,5488,3944,1544,3394,2583,811,2246,1360,886,1957,1723,234
Romblon,55 to 59,4553,3153,1400,3086,2246,840,1760,1056,704,1440,1251,189
Romblon,60 to 64,3537,2252,1285,2516,1675,841,1259,668,591,888,726,162
Romblon,65 to 69,2793,1735,1058,2123,1370,753,901,484,417,506,414,92
Romblon,70 to 74,1958,1177,781,1588,1000,588,535,264,271,314,238,76
Romblon,75 to 79,1150,654,496,952,554,398,301,153,148,118,89,29
Romblon,80 to 84,396,217,179,331,188,143,85,40,45,46,32,14
Romblon,85 years old and over,144,79,65,127,73,54,30,14,16,4,2,2
Romblon,Don't know,18,12,6,14,10,4,5,2,3,2,2,0
Romblon,Not reported,21,12,9,13,7,6,9,5,4,5,5,0
Western Samar,Total,133394,109583,23811,63067,56249,6818,62258,44256,18002,37257,36500,757
Western Samar,5 to 9,121,84,37,0,0,0,117,80,37,4,4,0
Western Samar,10 to 14,2100,1680,420,21,21,0,1807,1400,407,350,335,15
Western Samar,15 to 19,7865,7049,816,456,416,40,5711,4937,774,2290,2268,22
Western Samar,20 to 24,10660,9451,1209,2549,2398,151,6538,5440,1098,3318,3291,27
Western Samar,25 to 29,12447,10930,1517,4536,4272,264,6696,5378,1318,3958,3921,37
Western Samar,30 to 34,13948,11908,2040,6131,5746,385,6807,5109,1698,4490,4403,87
Western Samar,35 to 39,16280,13613,2667,7873,7327,546,7552,5331,2221,5127,5042,85
Western Samar,40 to 44,14972,12235,2737,7633,7037,596,6535,4292,2243,4677,4578,99
Western Samar,45 to 49,14384,11596,2788,7826,7062,764,5849,3718,2131,4338,4227,111
Western Samar,50 to 54,11590,9116,2474,6636,5888,748,4650,2821,1829,3171,3068,103
Western Samar,55 to 59,9861,7697,2164,6034,5256,778,3750,2240,1510,2428,2365,63
Western Samar,60 to 64,7219,5340,1879,4704,3904,800,2572,1379,1193,1426,1378,48
Western Samar,65 to 69,5677,4210,1467,4003,3247,756,1862,1041,821,916,885,31
Western Samar,70 to 74,3396,2517,879,2499,1984,515,1005,579,426,430,413,17
Western Samar,75 to 79,1959,1462,497,1490,1167,323,555,345,210,223,215,8
Western Samar,80 to 84,666,496,170,510,389,121,176,110,66,64,62,2
Western Samar,85 years old and over,167,134,33,130,105,25,43,36,7,20,18,2
Western Samar,Don't know,65,55,10,29,25,4,27,19,8,23,23,0
Western Samar,Not reported,17,10,7,7,5,2,6,1,5,4,4,0
Siquijor,Total,22119,14802,7317,16843,11696,5147,7582,4544,3038,7421,6443,978
Siquijor,5 to 9,25,8,17,0,0,0,14,3,11,14,6,8
Siquijor,10 to 14,171,121,50,25,19,6,109,74,35,88,65,23
Siquijor,15 to 19,535,436,99,169,136,33,281,227,54,233,209,24
Siquijor,20 to 24,940,751,189,411,317,94,431,334,97,452,407,45
Siquijor,25 to 29,1506,1112,394,902,669,233,632,433,199,692,612,80
Siquijor,30 to 34,1974,1413,561,1338,993,345,776,500,276,876,783,93
Siquijor,35 to 39,2250,1547,703,1648,1175,473,829,516,313,941,834,107
Siquijor,40 to 44,2432,1631,801,1867,1341,526,868,496,372,949,824,125
Siquijor,45 to 49,2474,1650,824,2019,1439,580,883,493,390,914,794,120
Siquijor,50 to 54,2374,1585,789,1965,1412,553,771,430,341,787,683,104
Siquijor,55 to 59,2077,1330,747,1750,1203,547,662,349,313,597,513,84
Siquijor,60 to 64,1741,1072,669,1487,979,508,505,261,244,401,327,74
Siquijor,65 to 69,1515,940,575,1326,866,460,404,210,194,279,229,50
Siquijor,70 to 74,1098,648,450,991,608,383,247,131,116,136,109,27
Siquijor,75 to 79,657,373,284,608,359,249,114,58,56,48,34,14
Siquijor,80 to 84,245,127,118,237,125,112,37,18,19,13,13,0
Siquijor,85 years old and over,100,54,46,96,52,44,16,9,7,1,1,0
Siquijor,Don't know,5,4,1,4,3,1,3,2,1,0,0,0
Siquijor,Not reported,0,0,0,0,0,0,0,0,0,0,0,0
Sultan Kudarat,Total,153985,124240,29745,79647,71070,8577,99142,75351,23791,19623,17427,2196
Sultan Kudarat,5 to 9,422,264,158,5,4,1,343,222,121,87,50,37
Sultan Kudarat,10 to 14,2955,1897,1058,89,64,25,2583,1638,945,473,339,134
Sultan Kudarat,15 to 19,8661,6574,2087,1271,1074,197,7346,5419,1927,1189,1011,178
Sultan Kudarat,20 to 24,14430,11893,2537,5098,4625,473,11006,8760,2246,1968,1742,226
Sultan Kudarat,25 to 29,18287,15340,2947,8298,7634,664,12655,10151,2504,2643,2376,267
Sultan Kudarat,30 to 34,19779,16786,2993,10112,9418,694,12794,10285,2509,2854,2628,226
Sultan Kudarat,35 to 39,19954,16580,3374,10974,10118,856,12448,9649,2799,2817,2574,243
Sultan Kudarat,40 to 44,18659,15308,3351,10561,9660,901,11485,8680,2805,2524,2306,218
Sultan Kudarat,45 to 49,15902,12784,3118,9762,8773,989,9584,7087,2497,1815,1624,191
