year,region,type,dimensions_ft,thickness_in,thickness_mm,php_per_panel
2012,CAR,ordinary plywood,4'x8',0.1875,4.7625,267.88
2012,CAR,ordinary plywood,4'x8',0.25,6.35,311.35
2012,CAR,ordinary plywood,4'x8',0.5,12.7,525.28
2012,CAR,ordinary plywood,4'x8',0.75,19.05,872.51
2012,CAR,marine plywood,4'x8',0.25,6.35,-
2012,CAR,marine plywood,4'x8',0.5,12.7,-
2012,CAR,marine plywood,4'x8',0.75,19.05,-
2012,CAR,plyboard,4'x8',0.75,19.05,821.62
2012,I (Ilocos Region),ordinary plywood,4'x8',0.125,3.175,208.5
2012,I (Ilocos Region),ordinary plywood,4'x8',0.1875,4.7625,273.54
2012,I (Ilocos Region),ordinary plywood,4'x8',0.25,6.35,305.05
2012,I (Ilocos Region),ordinary plywood,4'x8',0.5,12.7,534.3
2012,I (Ilocos Region),ordinary plywood,4'x8',0.75,19.05,831.97
2012,I (Ilocos Region),marine plywood,4'x8',0.25,6.35,326.14
2012,I (Ilocos Region),marine plywood,4'x8',0.5,12.7,620.56
2012,I (Ilocos Region),marine plywood,4'x8',0.75,19.05,989.09
2012,I (Ilocos Region),plyboard,4'x8',0.75,19.05,803.88
2012,II (Cagayan Valley),ordinary plywood,4'x8',0.125,3.175,209.27
2012,II (Cagayan Valley),ordinary plywood,4'x8',0.1875,4.7625,284.46
2012,II (Cagayan Valley),ordinary plywood,4'x8',0.25,6.35,308.7
2012,II (Cagayan Valley),ordinary plywood,4'x8',0.5,12.7,524.15
2012,II (Cagayan Valley),ordinary plywood,4'x8',0.75,19.05,851.16
2012,II (Cagayan Valley),marine plywood,4'x8',0.25,6.35,362.69
2012,II (Cagayan Valley),marine plywood,4'x8',0.5,12.7,617.1
2012,II (Cagayan Valley),marine plywood,4'x8',0.75,19.05,974.44
2012,II (Cagayan Valley),plyboard,4'x8',0.75,19.05,775.17
2012,III (Central Luzon),ordinary plywood,4'x8',0.125,3.175,210.37
2012,III (Central Luzon),ordinary plywood,4'x8',0.1875,4.7625,311.11
2012,III (Central Luzon),ordinary plywood,4'x8',0.25,6.35,296.81
2012,III (Central Luzon),ordinary plywood,4'x8',0.5,12.7,470.34
2012,III (Central Luzon),ordinary plywood,4'x8',0.75,19.05,793.17
2012,III (Central Luzon),marine plywood,4'x8',0.25,6.35,331.42
2012,III (Central Luzon),marine plywood,4'x8',0.5,12.7,591.4
2012,III (Central Luzon),marine plywood,4'x8',0.75,19.05,929.78
2012,III (Central Luzon),plyboard,4'x8',0.75,19.05,720.85
2012,IV-A (CALABARZON),ordinary plywood,4'x8',0.125,3.175,223.01
2012,IV-A (CALABARZON),ordinary plywood,4'x8',0.1875,4.7625,285.35
2012,IV-A (CALABARZON),ordinary plywood,4'x8',0.25,6.35,319.37
2012,IV-A (CALABARZON),ordinary plywood,4'x8',0.5,12.7,506.09
2012,IV-A (CALABARZON),ordinary plywood,4'x8',0.75,19.05,776.55
2012,IV-A (CALABARZON),marine plywood,4'x8',0.25,6.35,366.13
2012,IV-A (CALABARZON),marine plywood,4'x8',0.5,12.7,624.05
2012,IV-A (CALABARZON),marine plywood,4'x8',0.75,19.05,948.86
2012,IV-A (CALABARZON),plyboard,4'x8',0.75,19.05,771.32
2012,IV-B (MIMAROPA),ordinary plywood,4'x8',0.125,3.175,232.5
2012,IV-B (MIMAROPA),ordinary plywood,4'x8',0.1875,4.7625,277.5
2012,IV-B (MIMAROPA),ordinary plywood,4'x8',0.25,6.35,324
2012,IV-B (MIMAROPA),ordinary plywood,4'x8',0.5,12.7,552.5
2012,IV-B (MIMAROPA),ordinary plywood,4'x8',0.75,19.05,880
2012,IV-B (MIMAROPA),marine plywood,4'x8',0.25,6.35,350.32
2012,IV-B (MIMAROPA),marine plywood,4'x8',0.5,12.7,596.92
2012,IV-B (MIMAROPA),marine plywood,4'x8',0.75,19.05,939.33
2012,IV-B (MIMAROPA),plyboard,4'x8',0.75,19.05,823.54
2012,V (Bicol Region),ordinary plywood,4'x8',0.125,3.175,216.67
2012,V (Bicol Region),ordinary plywood,4'x8',0.1875,4.7625,300
2012,V (Bicol Region),ordinary plywood,4'x8',0.25,6.35,313.33
2012,V (Bicol Region),ordinary plywood,4'x8',0.5,12.7,540
2012,V (Bicol Region),ordinary plywood,4'x8',0.75,19.05,878.33
2012,V (Bicol Region),marine plywood,4'x8',0.25,6.35,348.89
2012,V (Bicol Region),marine plywood,4'x8',0.5,12.7,731.39
2012,V (Bicol Region),marine plywood,4'x8',0.75,19.05,1058.56
2012,V (Bicol Region),plyboard,4'x8',0.75,19.05,794.03
2012,VI (Western Visayas),ordinary plywood,4'x8',0.125,3.175,185.35
2012,VI (Western Visayas),ordinary plywood,4'x8',0.1875,4.7625,277.27
2012,VI (Western Visayas),ordinary plywood,4'x8',0.25,6.35,293.41
2012,VI (Western Visayas),ordinary plywood,4'x8',0.5,12.7,505.68
2012,VI (Western Visayas),ordinary plywood,4'x8',0.75,19.05,796.63
2012,VI (Western Visayas),marine plywood,4'x8',0.25,6.35,316.92
2012,VI (Western Visayas),marine plywood,4'x8',0.5,12.7,629.96
2012,VI (Western Visayas),marine plywood,4'x8',0.75,19.05,-
2012,VI (Western Visayas),plyboard,4'x8',0.75,19.05,720.78
2012,VII (Central Visayas),ordinary plywood,4'x8',0.125,3.175,209.61
2012,VII (Central Visayas),ordinary plywood,4'x8',0.1875,4.7625,264.58
2012,VII (Central Visayas),ordinary plywood,4'x8',0.25,6.35,296
2012,VII (Central Visayas),ordinary plywood,4'x8',0.5,12.7,506.33
2012,VII (Central Visayas),ordinary plywood,4'x8',0.75,19.05,793.28
2012,VII (Central Visayas),marine plywood,4'x8',0.25,6.35,316.52
2012,VII (Central Visayas),marine plywood,4'x8',0.5,12.7,653.58
2012,VII (Central Visayas),marine plywood,4'x8',0.75,19.05,959.4
2012,VII (Central Visayas),plyboard,4'x8',0.75,19.05,682.37
2012,VIII (Eastern Visayas),ordinary plywood,4'x8',0.125,3.175,246.13
2012,VIII (Eastern Visayas),ordinary plywood,4'x8',0.1875,4.7625,275.5
2012,VIII (Eastern Visayas),ordinary plywood,4'x8',0.25,6.35,307.5
2012,VIII (Eastern Visayas),ordinary plywood,4'x8',0.5,12.7,536.25
2012,VIII (Eastern Visayas),ordinary plywood,4'x8',0.75,19.05,887
2012,VIII (Eastern Visayas),marine plywood,4'x8',0.25,6.35,339.75
2012,VIII (Eastern Visayas),marine plywood,4'x8',0.5,12.7,613.75
2012,VIII (Eastern Visayas),marine plywood,4'x8',0.75,19.05,986.33
2012,VIII (Eastern Visayas),plyboard,4'x8',0.75,19.05,743.25
2012,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.125,3.175,185.39
2012,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.1875,4.7625,260.36
2012,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.25,6.35,287
2012,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.5,12.7,547.08
2012,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.75,19.05,821.67
2012,IX (Zamboanga Peninsula),marine plywood,4'x8',0.25,6.35,359.56
2012,IX (Zamboanga Peninsula),marine plywood,4'x8',0.5,12.7,693.75
2012,IX (Zamboanga Peninsula),marine plywood,4'x8',0.75,19.05,1081.49
2012,IX (Zamboanga Peninsula),plyboard,4'x8',0.75,19.05,710.36
2012,X (Northern Mindanao),ordinary plywood,4'x8',0.125,3.175,178
2012,X (Northern Mindanao),ordinary plywood,4'x8',0.1875,4.7625,214.5
2012,X (Northern Mindanao),ordinary plywood,4'x8',0.25,6.35,233.29
2012,X (Northern Mindanao),ordinary plywood,4'x8',0.5,12.7,-
2012,X (Northern Mindanao),ordinary plywood,4'x8',0.75,19.05,-
2012,X (Northern Mindanao),marine plywood,4'x8',0.25,6.35,296
2012,X (Northern Mindanao),marine plywood,4'x8',0.5,12.7,562
2012,X (Northern Mindanao),marine plywood,4'x8',0.75,19.05,-
2012,X (Northern Mindanao),plyboard,4'x8',0.75,19.05,627
2012,XI (Davao Region),ordinary plywood,4'x8',0.125,3.175,200.5
2012,XI (Davao Region),ordinary plywood,4'x8',0.1875,4.7625,258.88
2012,XI (Davao Region),ordinary plywood,4'x8',0.25,6.35,311.74
2012,XI (Davao Region),ordinary plywood,4'x8',0.5,12.7,548.33
2012,XI (Davao Region),ordinary plywood,4'x8',0.75,19.05,-
2012,XI (Davao Region),marine plywood,4'x8',0.25,6.35,391.46
2012,XI (Davao Region),marine plywood,4'x8',0.5,12.7,595.63
2012,XI (Davao Region),marine plywood,4'x8',0.75,19.05,943.72
2012,XI (Davao Region),plyboard,4'x8',0.75,19.05,789.51
2012,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.125,3.175,180
2012,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.1875,4.7625,235
2012,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.25,6.35,-
2012,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.5,12.7,442.5
2012,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.75,19.05,745
2012,XII (SOCCSKSARGEN),marine plywood,4'x8',0.25,6.35,282.5
2012,XII (SOCCSKSARGEN),marine plywood,4'x8',0.5,12.7,635
2012,XII (SOCCSKSARGEN),marine plywood,4'x8',0.75,19.05,1200
2012,XII (SOCCSKSARGEN),plyboard,4'x8',0.75,19.05,620
2012,XIII (Caraga),ordinary plywood,4'x8',0.125,3.175,191.5
2012,XIII (Caraga),ordinary plywood,4'x8',0.1875,4.7625,247.5
2012,XIII (Caraga),ordinary plywood,4'x8',0.25,6.35,267.5
2012,XIII (Caraga),ordinary plywood,4'x8',0.5,12.7,430
2012,XIII (Caraga),ordinary plywood,4'x8',0.75,19.05,-
2012,XIII (Caraga),marine plywood,4'x8',0.25,6.35,292.08
2012,XIII (Caraga),marine plywood,4'x8',0.5,12.7,567.71
2012,XIII (Caraga),marine plywood,4'x8',0.75,19.05,857.92
2012,XIII (Caraga),plyboard,4'x8',0.75,19.05,627.17
2011,National,ordinary plywood,4'x8',0.125,3.175,223.91
2011,National,ordinary plywood,4'x8',0.1875,4.7625,304.14
2011,National,ordinary plywood,4'x8',0.25,6.35,316.46
2011,National,ordinary plywood,4'x8',0.5,12.7,536.49
2011,National,ordinary plywood,4'x8',0.75,19.05,879.01
2011,National,marine plywood,4'x8',0.25,6.35,360.14
2011,National,marine plywood,4'x8',0.5,12.7,661.3
2011,National,marine plywood,4'x8',0.75,19.05,1032.9
2011,National,plyboard,4'x8',0.75,19.05,843.71
2011,NCR,ordinary plywood,4'x8',0.125,3.175,198.19
2011,NCR,ordinary plywood,4'x8',0.1875,4.7625,313.95
2011,NCR,ordinary plywood,4'x8',0.25,6.35,-
