region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
XIII (Caraga),Surigao,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
XII (SOCCSKSARGEN),Allah Valley,G. Aviation,0,6,0,14,6,6,2,12,4,20,4,2,76
XIII (Caraga),Barobo,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
XIII (Caraga),Bislig,G. Aviation,2,0,0,0,0,0,0,0,0,0,0,0,2
XII (SOCCSKSARGEN),General Santos Tambler (International),International,0,0,0,0,0,0,0,0,0,0,0,0,0
XII (SOCCSKSARGEN),General Santos Tambler (International),Merpati Air,0,0,0,0,0,0,0,0,0,0,0,0,0
XII (SOCCSKSARGEN),General santos Tambler (Domestic),Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0
XII (SOCCSKSARGEN),General santos Tambler (Domestic),PAL,62,56,62,60,62,60,62,62,60,62,60,0,668
XII (SOCCSKSARGEN),General santos Tambler (Domestic),Air Philippines,62,56,60,60,62,60,62,62,60,62,60,0,666
XII (SOCCSKSARGEN),General santos Tambler (Domestic),G. Aviation,16,40,10,10,34,12,18,20,10,8,12,0,190
XII (SOCCSKSARGEN),General santos Tambler (Domestic),Military,16,32,6,16,12,6,2,0,0,16,14,0,120
XII (SOCCSKSARGEN),General Santos Buauyan,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
XI (Davao Region),Davao (International),Silk Air,34,32,18,60,62,60,42,62,60,62,60,62,614
XI (Davao Region),Davao (International),Bouraq,0,0,0,0,0,0,0,0,0,0,0,0,0
XI (Davao Region),Davao (International),Merpati Air,8,6,10,8,10,8,8,10,8,10,8,10,104
XI (Davao Region),Davao (Domestic),PAL,202,168,194,182,202,184,186,186,180,186,186,210,2266
XI (Davao Region),Davao (Domestic),Cebu Pacific,418,410,442,402,402,394,404,406,394,416,354,418,4860
XI (Davao Region),Davao (Domestic),Air Philippines,124,112,120,120,118,120,124,124,120,124,120,124,1450
XI (Davao Region),Davao (Domestic),Seair,18,4,0,0,0,0,0,0,0,0,0,0,22
XI (Davao Region),Davao (Domestic),South Phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0
XI (Davao Region),Davao (Domestic),G. Aviation,192,248,312,288,318,334,360,330,324,278,208,178,3370
XI (Davao Region),Davao (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-,-
XI (Davao Region),Mati,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
XIII (Caraga),Tandag,Asian Spirit,36,0,22,26,26,26,26,52,44,44,44,40,386
XIII (Caraga),Tandag,Seair,16,0,0,0,0,0,0,0,0,0,0,0,16
XIII (Caraga),Tandag,G. Aviation,10,0,4,4,4,2,8,12,8,16,24,4,96
XIII (Caraga),Tandag,Military,0,0,0,0,0,0,2,0,0,0,4,0,6
ARMM,Cotabato,PAL,62,56,60,60,60,60,62,60,30,58,60,62,690
ARMM,Cotabato,Cebu Pacific,0,0,0,0,0,46,58,14,0,0,0,42,160
ARMM,Cotabato,Seair,32,32,30,36,34,34,36,36,20,36,34,36,396
ARMM,Cotabato,G. Aviation,12,24,18,32,6,14,24,20,0,8,8,0,166
ARMM,Cotabato,Military,12,12,6,20,10,16,24,12,14,90,26,22,264
X (Northern Mindanao),Iligan,G. Aviation,0,0,0,12,8,4,8,20,8,8,0,8,76
ARMM,Malabang,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
-,Total,Total,30179,27798,30582,31267,32646,27604,26816,27419,21031,24449,24159,25019,328969
