region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
VIII (Eastern Visayas),Tacloban,Zest Air,-,-,2786,9517,9255,7082,6189,7840,5741,4649,3247,5971,-,-
VIII (Eastern Visayas),Tacloban,Air Philippines,-,-,-,-,-,-,-,-,-,-,-,-,0,-
VIII (Eastern Visayas),Tacloban,Seair,-,10,2,359,3,10,3,-,6,-,-,-,393,-
VIII (Eastern Visayas),Tacloban,G. Aviation,-,-,118,86,-,19,-,100,-,34,-,4,361,-
VIII (Eastern Visayas),Tacloban,Military,-,-,-,160,-,-,-,435,5,-,110,-,710,-
ARMM,Cagayan de Tawi-Tawi,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Dipolog,PAL,7946,6772,7025,8754,9541,6691,6148,6582,5533,5307,6263,7013,83575,-
IX (Zamboanga Peninsula),Dipolog,Cebu Pacific,7034,7286,9803,10188,10551,9564,7714,7904,8241,8490,8908,9406,105089,-
IX (Zamboanga Peninsula),Dipolog,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Dipolog,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IX (Zamboanga Peninsula),Dipolog,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IX (Zamboanga Peninsula),Ipil,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Jolo,Seair,994,805,699,-,704,728,798,740,1221,775,750,815,9029,-
ARMM,Jolo,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0,-
ARMM,Jolo,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,-
ARMM,Jolo,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Liloy,G. Aviation,no flight,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Pagadian,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Sanga-Sanga,Seair,-,-,-,-,-,-,-,Total passenger for the whole year,-,-,-,5539,5539,-
ARMM,Sanga-Sanga,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Sanga-Sanga,MosPhil,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Sanga-Sanga,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARMM,Sanga-Sanga,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Siocon,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IX (Zamboanga Peninsula),Zamboanga,PAL,25693,22289,27279,28450,30452,22586,22710,24776,22957,21778,23642,26426,299038,-
IX (Zamboanga Peninsula),Zamboanga,Cebu Pacific,20683,19214,21637,22908,25992,23336,19976,19460,18798,24428,22870,23532,262834,-
IX (Zamboanga Peninsula),Zamboanga,Zest Air,-,-,-,-,-,-,-,-,-,591,770,-,1361,-
IX (Zamboanga Peninsula),Zamboanga,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0,-
IX (Zamboanga Peninsula),Zamboanga,Seair,1956,1636,1596,1368,1573,1545,1723,1735,1563,1772,1658,1559,19684,-
IX (Zamboanga Peninsula),Zamboanga,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-,-
XIII (Caraga),Butuan,PAL,8426,7719,8103,11944,14890,9406,8060,8426,8245,7623,8272,8720,109834,-
XIII (Caraga),Butuan,Cebu Pacific,16707,16009,22403,25758,28391,23802,23461,23130,22248,23683,23444,25965,275001,-
