particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
     Government Arsenal,177458,191786,1427,163488,207545,1640,158178,214983,0,,
     National Defense College of the Philippines,25779,25046,1327,26676,28682,0,26975,27445,0,,
     Office of Civil Defense,74586,378530,1115224,68820,26081,0,63909,26598,0,,
,,,,,,,,,,,
     Philippine Veterans Affairs Office,17447540,533629,1900,484971,553211,43700,485789,565894,0,1,
        Philippine Veterans Affairs Office (Proper),17052261,214025,80,89965,222515,0,88795,225152,0,,
        Military Shrines Service,13057,11260,164,12462,11839,2700,12084,12098,0,,
        Veterans Memorial Medical Center,382222,308344,1656,382544,318857,41000,384910,328644,0,,
,,,,,,,,,,,
     Armed Forces of the Philippines,59168332,17519136,3358877,40500918,13955207,55000,40597431,15056939,0,1,
        Philippine Army (Land Forces),27416730,4234398,98145,25553342,4320892,0,25600702,4931858,0,,
        Philippine Air Force (Air Forces),6006789,3755401,28213,5510353,3466001,0,5528445,3762628,0,,
        Philippine Navy (Maritime Forces),7494146,3002146,27387,6996573,3464887,30000,7015516,3523911,0,,
        General Headquarters (Proper),18250667,6527191,3205132,2440650,2703427,25000,2452768,2838542,0,,
,,,,,,,,,,,
   Department of Public Works and Highways,4085723,16459413,117366489,3937280,16278017,117298466,3850321,14953900,86446368,1,
     Office of the Secretary,4085723,16459413,117366489,3937280,16278017,117298466,3850321,14953900,86446368,,
,,,,,,,,,,,
   Department of Science and Technology,1545273,2655648,782860,1377489,3253239,1143200,1293582,3526294,42496,1,
     Office of the Secretary,262671,583552,98520,240615,1812367,202841,218787,1810925,27236,,
     Advanced Science and Technology Institute,14178,13743,9290,16534,15896,0,16313,21795,0,,
     Food and Nutrition Research Institute,60748,94789,10320,51783,34176,12300,49649,29407,0,,
     Forest Products Research and Development Institute,62625,28694,16090,60508,18307,6500,59868,19424,7500,,
     Industrial Technology Development Institute,131994,37650,49094,118865,37042,4400,115628,41877,0,,
     Metals Industry Research and Development Center,75939,37157,6227,70616,27022,1050,67797,27832,0,,
     National Academy of Science and Technology,4955,27559,3098,4850,28752,1000,5031,30980,210,,
     National Research Council of the Philippines,16680,15823,897,15363,16171,0,15308,16677,0,,
"     Philippine Atmospheric, Geophysical and",,,,,,,,,,,
        Astronomical Services Administration,330383,147718,258516,261450,168531,337500,229081,385146,0,,
     Philippine Council for Advanced Science,,,,,,,,,,,
        and Technology Research and Development,12257,67061,566,13201,73140,300,13103,78124,0,,
"     Philippine Council for Agriculture,",,,,,,,,,,,
        Forestry and Natural Resources,,,,,,,,,,,
        Research and Development,80383,261489,3278,60797,205099,7100,59226,209046,450,,
     Philippine Council for Aquatic and,,,,,,,,,,,
        Marine Research and Development,16276,163494,5000,15952,19552,5000,15840,19870,0,,
     Philippine Council for Health Research,,,,,,,,,,,
        and Development,18829,45023,980,17356,38033,0,16670,39046,0,,
     Philippine Council for Industry and,,,,,,,,,,,
        Energy Research and Development,17825,157198,751,15680,28139,0,14812,28968,0,,
     Philippine Institute of Volcanology and Seismology,63211,36256,24181,57891,45431,65225,57112,51703,3000,,
     Philippine Nuclear Research Institute,79265,49535,29840,76536,32927,17787,73021,34033,0,,
     Philippine Science High School,166834,138709,249270,176818,189568,468197,185617,214976,4100,,
     Philippine Textile Research Institute,62123,15825,4029,39309,13619,2000,25354,14609,0,,
     Science Education Institute,16868,651926,546,17079,401266,0,16322,402993,0,,
     Science and Technology Information Institute,26782,19441,1825,22016,17554,2000,16181,18062,0,,
     Technology Application and Promotion Institute,24447,63006,10542,24270,30647,10000,22862,30801,0,,
,,,,,,,,,,,
