Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
          National Council on Disability Affairs,0,0,0,0,"11,180",67,0,0,0,0,0,0,"11,247"
          National Intelligence Coordinating Agency,0,0,0,"5,146",0,"4,356",0,0,0,0,0,0,"9,502"
          National Water Resources Board,0,0,0,0,0,"1,528",0,0,54,0,0,0,"1,582"
          National Youth Commission,0,0,0,0,0,"1,248",0,0,0,0,0,0,"1,248"
          Office on Muslim Affairs,0,0,0,0,0,150,0,0,0,0,0,0,150
          Optical Media Board,0,0,0,0,0,246,0,"1,694",0,0,0,0,"1,940"
          Philippine Drug Enforcement Agency,0,0,0,0,"15,487","2,147",0,"12,232","40,975",0,0,0,"70,841"
          Philippine Racing Commission,0,0,0,0,0,"1,600",0,0,0,0,0,0,"1,600"
          Philippine Sports Commission,0,0,0,0,"31,829",0,0,0,0,0,0,0,"31,829"
          Presidential Commission for the Urban Poor,0,0,0,0,0,875,0,797,0,0,0,0,"1,672"
          Presidential Legislative Liaison Office,0,0,0,0,0,47,0,0,0,0,0,0,47
          Presidential Management Staff,0,0,0,0,"2,872","21,933",0,130,"1,798",0,0,0,"26,733"
          Securities and Exchange Commission,0,0,0,0,"87,526","57,053",0,112,"2,765",0,0,0,"147,456"
,,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,0,0,0,"947,510","6,387","17,302",0,0,"32,000","459,018",0,0,"1,462,217"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Autonomous Regional Government in Muslim Mindanao,0,0,0,"947,510","6,387","17,302",0,0,"32,000","459,018",0,0,"1,462,217"
,,,,,,,,,,,,,
     The Judiciary,0,0,0,"6,500","93,635","84,853",0,0,0,0,0,0,"184,988"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Supreme Court of the Philippines and the,,,,,,,,,,,,,
                Lower Courts,0,0,0,0,0,"54,333",0,0,0,0,0,0,"54,333"
          Sandiganbayan,0,0,0,0,"84,597","7,739",0,0,0,0,0,0,"92,336"
          Court of Appeals,0,0,0,0,"1,941","21,724",0,0,0,0,0,0,"23,665"
          Court of Tax Appeals,0,0,0,"6,500","7,097","1,057",0,0,0,0,0,0,"14,654"
,,,,,,,,,,,,,
     Civil Service Commission,0,0,0,0,291,"2,603",0,100,72,0,0,0,"3,066"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Civil Service Commission,0,0,0,0,0,828,0,100,72,0,0,0,"1,000"
               Career Executive Service Board,0,0,0,0,291,"1,775",0,0,0,0,0,0,"2,066"
,,,,,,,,,,,,,
     Commission on Audit,0,0,0,0,0,"52,501",0,0,0,0,0,0,"52,501"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,,
     Commission on Elections,0,0,0,0,0,"669,479",0,0,0,0,0,0,"669,479"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,,
     Office of the Ombudsman,0,0,0,"16,122","62,197","6,034",0,"9,582",666,0,0,0,"94,601"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,,
     Commission on Human Rights,0,0,0,0,0,"5,477",0,"4,606","2,257",0,0,0,"12,340"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
SPECIAL PURPOSE FUNDS,"1,551,505","3,141,115",0,"230,612","18,730","10,476",0,"10,354",0,"2,711,554",0,"14,393,000","22,067,346"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,,
,,,,,,,,,,,,,
     Budgetary Support to Government Corporations,"1,551,505","2,861,432",0,0,0,0,0,0,0,0,0,"14,393,000","18,805,937"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Department of Agriculture,"30,500",0,0,0,0,0,0,0,0,0,0,0,"30,500"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Philippine Crop Insurance Corporation,"30,500",0,0,0,0,0,0,0,0,0,0,0,"30,500"
,,,,,,,,,,,,,
          Department of Trade and Industry,"200,000","87,813",0,0,0,0,0,0,0,0,0,0,"287,813"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Aurora Special Economic Zone Authority,"200,000",0,0,0,0,0,0,0,0,0,0,0,"200,000"
               Small Business Guarantee and Finance Corporation,0,"87,813",0,0,0,0,0,0,0,0,0,0,"87,813"
,,,,,,,,,,,,,
          Department of Transportation and Communications,0,"2,773,619",0,0,0,0,0,0,0,0,0,0,"2,773,619"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Light Rail Transit Authority,0,"2,773,619",0,0,0,0,0,0,0,0,0,0,"2,773,619"
,,,,,,,,,,,,,
          Office of the Press Secretary,"228,575",0,0,0,0,0,0,0,0,0,0,0,"228,575"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
"               People`s Television Network, Incorporated","228,575",0,0,0,0,0,0,0,0,0,0,0,"228,575"
,,,,,,,,,,,,,
          Other Executive Offices,"1,092,430",0,0,0,0,0,0,0,0,0,0,0,"1,092,430"
