particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
               University of Eastern Philippines,"103,477",0,"5,390",0,0,"4,815",0,"2,840",0,"12,899",761,0,"1,297",0,703,0,759,"10,774","12,660",0,0,"22,878",0,"179,253"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - WESTERN MINDANAO,"290,422",0,"12,389",0,0,"4,597",0,0,0,"34,326","2,050",0,"1,891",0,"1,874",0,334,"8,306","34,304",0,0,"67,680",0,"458,173"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               J. H. Cerilles State College,"16,807",0,528,0,0,0,0,0,0,"1,996",126,0,159,0,120,0,0,360,"1,790",0,0,"3,951",0,"25,837"
               Jose Rizal Memorial State College,"67,021",0,"3,067",0,0,"1,755",0,0,0,"8,143",516,0,524,0,503,0,271,676,"8,348",0,0,"19,135",0,"109,959"
               Western Mindanao State University,"138,431",0,"4,154",0,0,"1,891",0,0,0,"16,277",895,0,827,0,867,0,0,"5,656","15,844",0,0,"28,133",0,"212,975"
               Zamboanga City State Polytechnic College,"30,854",0,"1,578",0,0,730,0,0,0,"3,682",218,0,200,0,211,0,0,888,"3,663",0,0,"7,325",0,"49,349"
               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,"37,309",0,"3,062",0,0,221,0,0,0,"4,228",295,0,181,0,173,0,63,726,"4,659",0,0,"9,136",0,"60,053"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,"436,506",0,"12,131","1,500",0,"4,189",0,998,0,"48,191","2,749",0,"3,951",0,"2,321",0,0,"28,084","48,311",0,0,"103,941",0,"692,872"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bukidnon State College,"36,081",0,"1,826",0,0,0,0,0,0,"4,382",227,0,437,0,221,0,0,"2,882","4,030",0,0,"8,337",0,"58,423"
               Camiguin Polytechnic State College,"13,724",0,254,0,0,0,0,0,0,"1,599",101,0,105,0,101,0,0,214,"1,394",0,0,"3,205",0,"20,697"
               Central Mindanao University,"110,165",0,"2,292",0,0,"3,334",0,0,0,"13,720",946,0,837,0,811,0,0,"4,543","13,031",0,0,"47,479",0,"197,158"
               Mindanao University of Science and Technology,"38,967",0,"1,897",0,0,158,0,0,0,"4,790",211,0,125,0,80,0,0,"14,852","5,423",0,0,"10,012",0,"76,515"
               MSU-Iligan Institute of Technology,"215,666",0,"4,619","1,500",0,697,0,998,0,"20,933","1,131",0,"2,263",0,983,0,0,"3,367","21,952",0,0,"29,237",0,"303,346"
               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,"13,503",0,952,0,0,0,0,0,0,"1,759",73,0,130,0,69,0,0,"2,055","1,499",0,0,"3,868",0,"23,908"
               Northwestern Mindanao State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"8,400",0,291,0,0,0,0,0,0,"1,008",60,0,54,0,56,0,0,171,982,0,0,"1,803",0,"12,825"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region XI - SOUTHEASTERN MINDANAO,"139,157",0,"6,205",0,0,"5,577",0,0,0,"16,423",916,0,"1,596",0,"2,223",0,1,"4,648","13,621",0,0,"35,134",0,"225,501"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Davao del Norte State College,"17,976",0,208,0,0,0,0,0,0,"2,151",136,0,214,0,127,0,1,480,"2,142",0,0,"5,117",0,"28,552"
               Davao Oriental State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"21,278",0,942,0,0,12,0,0,0,"2,687",152,0,240,0,146,0,0,833,"2,570",0,0,"6,745",0,"35,605"
               Southern Philippines Agri-Business and,,,,,,,,,,,,,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,"17,427",0,0,0,0,25,0,0,0,"2,095",124,0,209,0,124,0,0,713,"2,039",0,0,"4,846",0,"27,602"
               University of Southeastern Philippines,"82,476",0,"5,055",0,0,"5,540",0,0,0,"9,490",504,0,933,0,"1,826",0,0,"2,622","6,870",0,0,"18,426",0,"133,742"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region XII - CENTRAL MINDANAO,"250,081",0,"10,209",0,0,"2,602",0,0,0,"30,023","1,585",0,"1,623",0,"1,516",0,0,"7,233","28,128",0,0,"50,573",0,"383,573"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cotabato City State Polytechnic College,"38,510",0,"1,017",0,0,576,0,0,0,"4,588",255,0,234,0,243,0,0,"1,245","3,822",0,0,"7,874",0,"58,364"
               Cotabato Foundation College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"30,312",0,"4,541",0,0,546,0,0,0,"3,664",233,0,362,0,213,0,0,"1,071","4,026",0,0,"8,234",0,"53,202"
               Sultan Kudarat Polytechnic State College,"45,513",0,862,0,0,629,0,0,0,"5,451",301,0,279,0,294,0,0,"1,343","5,211",0,0,"9,214",0,"69,097"
               University of Southern Mindanao,"135,746",0,"3,789",0,0,851,0,0,0,"16,320",796,0,748,0,766,0,0,"3,574","15,069",0,0,"25,251",0,"202,910"
,,,,,,,,,,,,,,,,,,,,,,,,
          Caraga Administrative Region,"137,273",0,"9,059",0,0,"1,280",0,0,0,"16,305",978,0,966,0,947,0,0,"4,235","17,177",0,0,"36,018",0,"224,238"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,"13,206",0,448,0,0,384,0,0,0,"1,443",94,0,59,0,94,0,0,443,"1,782",0,0,"2,935",0,"20,888"
               Northern Mindanao State Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"32,449",0,"2,342",0,0,799,0,0,0,"3,943",225,0,398,0,208,0,0,"1,805","4,580",0,0,"8,985",0,"55,734"
               Surigao del Sur Polytechnic State College,"49,451",0,"3,492",0,0,65,0,0,0,"5,846",361,0,232,0,356,0,0,807,"5,869",0,0,"14,575",0,"81,054"
               Surigao State College of Technology,"42,167",0,"2,777",0,0,32,0,0,0,"5,073",298,0,277,0,289,0,0,"1,180","4,946",0,0,"9,523",0,"66,562"
,,,,,,,,,,,,,,,,,,,,,,,,
          Autonomous Region in Muslim Mindanao,"969,031",0,"30,619","1,218",0,"54,590",0,"5,958",0,"114,651","6,603",0,"7,275",0,"5,934",0,0,"16,196","112,100",0,0,"214,976",0,"1,539,151"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Adiong Memorial Polytechnic State College,"6,548",0,147,0,0,0,0,0,0,718,51,0,82,0,0,0,0,210,"1,191",0,0,"1,303",0,"10,250"
               Basilan State College,"20,330",0,268,0,0,0,0,0,0,"2,453",141,0,132,0,75,0,0,459,"2,339",0,0,"4,650",0,"30,847"
               Mindanao State University,"765,751",0,"22,945",533,0,"22,123",0,652,0,"91,734","5,081",0,"5,291",0,"4,676",0,0,"12,636","89,143",0,0,"165,948",0,"1,186,513"
               MSU-Tawi-Tawi College of Technology and Oceanography,"134,954",0,"5,949",685,0,"30,280",0,"5,306",0,"14,722","1,034",0,"1,497",0,901,0,0,"1,681","14,521",0,0,"32,927",0,"244,457"
               Sulu State College,"22,379",0,792,0,0,"2,187",0,0,0,"2,737",165,0,153,0,158,0,0,632,"2,711",0,0,"6,153",0,"38,067"
               Tawi-Tawi Regional Agricultural College,"19,069",0,518,0,0,0,0,0,0,"2,287",131,0,120,0,124,0,0,578,"2,195",0,0,"3,995",0,"29,017"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Energy,"123,623",0,0,0,0,678,0,0,0,"14,608",702,0,"1,499",0,680,0,0,"5,504","13,898",0,0,"21,667",0,"182,859"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"123,623",0,0,0,0,678,0,0,0,"14,608",702,0,"1,499",0,680,0,0,"5,504","13,898",0,0,"21,667",0,"182,859"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Environment and Natural Resources,"3,519,365","30,063","222,564",0,0,"87,886",212,"1,513",113,"423,637","28,478",0,"36,557",0,"28,371",0,267,"98,844","414,322","1,257","6,896","992,480","32,235","5,925,060"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"2,467,436",0,"197,968",0,0,"66,465",0,0,0,"299,108","20,826",0,"25,573",0,"18,978",0,0,"57,343","292,315",0,0,"708,345",0,"4,154,357"
          Environmental Management Bureau,"114,825",0,"8,066",0,0,"1,398",0,0,113,"13,878",810,0,"1,388",0,718,0,88,"2,392","13,649",0,0,"51,771",0,"209,096"
          Land Registration Authority,"340,402",0,"10,017",0,0,"15,215",0,0,0,"39,026","2,765",0,"3,720",0,"4,756",0,179,"15,248","42,002","1,257",0,"107,262",0,"581,849"
          Mines and Geo-Sciences Bureau,"257,513",0,0,0,0,"1,552",0,0,0,"27,120","1,431",0,"2,559",0,"1,380",0,0,"7,046","26,967",0,0,"47,265",0,"372,833"
          National Commission on Indigenous Peoples,"241,083",0,0,0,0,"2,819",0,0,0,"28,610","1,685",0,"1,781",0,"1,611",0,0,"12,023","27,307",0,0,"55,710",0,"372,629"
          National Mapping and Resource Information Authority,"83,027","30,063","6,513",0,0,437,212,"1,513",0,"14,082",870,0,"1,355",0,841,0,0,"3,628","10,387",0,"6,896","19,056","32,235","211,115"
          Palawan Council for Sustainable Development Staff,"15,079",0,0,0,0,0,0,0,0,"1,813",91,0,181,0,87,0,0,"1,164","1,695",0,0,"3,071",0,"23,181"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Finance,"3,113,854",0,"23,999",0,0,"175,084",0,"5,162",0,"371,220","21,797",0,"31,251",0,"20,835",0,"2,897","69,218","754,919",16,0,"770,351",0,"5,360,603"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"81,992",0,151,0,0,"1,110",0,0,0,"9,931",463,0,472,0,456,0,297,"6,131","9,260",0,0,"24,801",0,"135,064"
          Bureau of Customs,"722,535",0,"2,502",0,0,"113,917",0,0,0,"85,309","5,627",0,"5,126",0,"5,040",0,0,"14,513","477,765",0,0,"154,087",0,"1,586,421"
          Bureau of Internal Revenue,"1,873,093",0,0,0,0,"49,958",0,"3,746",0,"224,884","13,043",0,"22,765",0,"12,791",0,"2,600","27,780","218,333",16,0,"492,657",0,"2,941,666"
          Bureau of Local Government Finance,"63,936",0,0,0,0,318,0,0,0,"7,711",409,0,700,0,387,0,0,"3,976","7,505",0,0,"15,809",0,"100,751"
          Bureau of the Treasury,"186,100",0,0,0,0,"5,355",0,"1,416",0,"22,385","1,108",0,"1,030",0,"1,076",0,0,"10,596","21,155",0,0,"44,888",0,"295,109"
          Central Board of Assessment Appeals,"5,007",0,0,0,0,185,0,0,0,364,28,0,48,0,23,0,0,413,489,0,0,730,0,"7,287"
          Cooperative Development Authority,"125,506",0,956,0,0,"3,849",0,0,0,"14,274",793,0,838,0,749,0,0,"3,358","14,547",0,0,"24,831",0,"189,701"
          Insurance Commission,"37,591",0,73,0,0,0,0,0,0,"4,494",219,0,205,0,213,0,0,"1,646","4,287",0,0,"8,846",0,"57,574"
          National Tax Research Center,"18,094",0,0,0,0,95,0,0,0,"1,868",107,0,67,0,100,0,0,691,"1,578",0,0,"3,702",0,"26,302"
          Privatization and Management Office,0,0,"20,317",0,0,297,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,"20,728"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Foreign Affairs,"422,615",0,"322,146",0,0,"50,842",0,0,204,"47,567","2,259",0,"4,843",0,"2,232",0,0,"12,332","48,456",0,0,"3,521,538",0,"4,435,034"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"406,622",0,"320,702",0,0,"50,834",0,0,0,"45,716","2,161",0,"4,664",0,"2,132",0,0,"9,654","46,708",0,0,"3,518,508",0,"4,407,701"
          Foreign Service Institute,"13,021",0,868,0,0,8,0,0,0,"1,511",80,0,150,0,82,0,0,"2,343","1,418",0,0,"2,525",0,"22,006"
          Technical Cooperation Council of the Philippines,386,0,215,0,0,0,0,0,0,48,4,0,4,0,3,0,0,77,50,0,0,118,0,905
          UNESCO National Commission of the Philippines,"2,586",0,361,0,0,0,0,0,204,292,14,0,25,0,15,0,0,258,280,0,0,387,0,"4,422"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Health,"4,042,761",0,"166,046",0,0,"101,526",0,"3,692",0,"474,636","31,762",0,"43,674",0,"27,406",0,"1,332","53,871","490,055",0,0,"2,013,900",0,"7,450,661"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"3,969,465",0,"165,864",0,0,"100,491",0,"1,285",0,"465,888","31,259",0,"42,916",0,"26,916",0,"1,205","47,840","481,569",0,0,"1,965,578",0,"7,300,276"
          Commission on Population,"52,586",0,182,0,0,344,0,"1,074",0,"6,244",373,0,484,0,362,0,0,"4,525","6,123",0,0,"37,006",0,"109,303"
          National Nutrition Council,"20,710",0,0,0,0,691,0,"1,333",0,"2,504",130,0,274,0,128,0,127,"1,506","2,363",0,0,"11,316",0,"41,082"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of the Interior and Local Government,"2,101,019","22,875,420","25,732",0,0,"4,073,130","95,612","2,538,224",552,"248,109","15,146","184,712","17,784","173,199","13,288","167,444",0,"114,539","236,173",0,"8,079,402","1,772,486","20,793,501","63,525,472"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,063,143",0,"17,858",0,0,"49,294",0,0,0,"121,537","5,767",0,"9,331",0,"5,777",0,0,"29,580","116,913",0,0,"222,539",0,"1,641,739"
          Bureau of Fire Protection,"66,451","2,078,458",0,0,0,"251,047",0,"282,134",0,"7,258",842,"23,599",162,"18,359",189,"16,056",0,336,"8,206",0,"416,597","326,290","1,969,732","5,465,716"
          Bureau of Jail Management and Penology,"13,215","1,041,237",0,0,0,0,"95,612","67,699",0,"1,624",98,"8,807",137,"11,842",29,"2,557",0,632,"1,617",0,"229,442","82,490","936,719","2,493,757"
          Local Government Academy,"8,972",0,0,0,0,0,0,0,0,"1,096",56,0,92,0,53,0,0,301,930,0,0,"1,840",0,"13,340"
          National Police Commission,"205,355",0,"1,316",0,0,"1,967",0,0,552,"22,908","1,256",0,"1,646",0,"1,141",0,0,"15,316","20,075",0,0,"47,505","574,362","893,399"
          Philippine National Police,"663,211","19,576,282",0,0,0,"3,770,822",0,"2,188,391",0,"86,782","6,744","151,072","6,063","141,764","5,733","147,597",0,"1,935","72,785",0,"7,433,363","1,082,282","17,230,803","52,565,629"
          Philippine Public Safety College,"80,672","179,443","6,558",0,0,0,0,0,0,"6,904",383,"1,234",353,"1,234",366,"1,234",0,"66,439","15,647",0,0,"9,540","81,885","451,892"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Justice,"2,500,602",0,"37,602",0,0,"79,659",0,"18,941",219,"285,583","14,979",0,"14,255",0,"13,412",0,538,"388,706","265,323","9,195",0,"714,498",0,"4,343,512"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"965,299",0,"6,268",0,0,"24,203",0,0,219,"106,945","4,857",0,"4,307",0,"4,443",0,0,"237,130","98,052",97,0,"327,424",0,"1,779,244"
          Bureau of Corrections,"273,020",0,0,0,0,"12,343",0,0,0,"31,116","2,866",0,"2,661",0,"2,086",0,0,"2,261","31,524",0,0,"113,219",0,"471,096"
          Bureau of Immigration,"142,427",0,"8,400",0,0,"6,260",0,0,0,"17,089","1,186",0,"1,410",0,"1,079",0,0,619,"18,263",0,0,"36,914",0,"233,647"
          Commission on the Settlement of Land Problems,"11,720",0,0,0,0,0,0,0,0,"1,283",85,0,79,0,76,0,538,"1,191","1,389",911,0,"3,633",0,"20,905"
          National Bureau of Investigation,"309,909",0,"13,063",0,0,"10,080",0,0,0,"35,581","1,945",0,"1,353",0,"1,856",0,0,"17,207","34,679",0,0,"77,836",0,"503,509"
          Office of the Government Corporate Counsel,"25,606",0,"1,733",0,0,186,0,0,0,"2,566",133,0,106,0,57,0,0,"7,057","2,931","4,472",0,"4,556",0,"49,403"
          Office of the Solicitor General,"92,012",0,0,0,0,"1,409",0,"15,095",0,"9,695",515,0,"1,128",0,505,0,0,"20,179","10,617","3,715",0,"28,767",0,"183,637"
          Parole and Probation Administration,"237,789",0,0,0,0,"11,722",0,"1,593",0,"27,878","1,306",0,"1,249",0,"1,270",0,0,"17,530","24,263",0,0,"41,976",0,"366,576"
          Presidential Commission on Good Government,"24,506",0,"8,138",0,0,0,0,0,0,"2,692",131,0,119,0,121,0,0,"2,928","2,215",0,0,"3,189",0,"44,039"
          Public Attorney's Office,"418,314",0,0,0,0,"13,456",0,"2,253",0,"50,738","1,955",0,"1,843",0,"1,919",0,0,"82,604","41,390",0,0,"76,984",0,"691,456"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Labor and Employment,"1,533,945",0,"48,728","12,460",0,"27,448",0,"29,897","18,020","177,315","10,229",0,"12,313",0,"9,297",0,238,"131,492","169,559","10,257",0,"457,539",0,"2,648,737"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"377,084",0,"9,153",0,0,"9,789",0,0,0,"42,390","2,168",0,"2,208",0,"1,646",0,0,"17,283","36,449",0,0,"225,756",0,"723,926"
          Institute for Labor Studies,"9,233",0,569,0,0,0,0,0,0,963,48,0,97,0,48,0,0,557,896,0,0,"1,218",0,"13,629"
          National Conciliation and Mediation Board,"40,755",0,0,0,0,"3,822",0,0,0,"4,833",229,0,158,0,229,0,0,"2,704","4,492",0,0,"9,584",0,"66,806"
          National Labor Relations Commission,"200,953",0,495,0,0,"10,366",0,"25,659",0,"21,137","1,115",0,"2,521",0,"1,118",0,0,"29,298","23,627","5,719",0,"39,923",0,"361,931"
          National Maritime Polytechnic,"22,200",0,0,0,0,355,0,0,0,"2,053",132,0,209,0,114,0,0,"2,003","2,063",0,0,"3,399",0,"32,528"
          National Wages and Productivity Commission,"35,359",0,"2,394",0,0,337,0,0,"15,081","4,321",218,0,237,0,192,0,238,"2,565","3,852",0,0,"7,594",0,"72,388"
          Philippine Overseas Employment Administration,"101,394",0,"2,764",0,0,"1,123",0,0,0,"11,945",481,0,"1,244",0,482,0,0,"6,063","11,241",0,0,"16,139",0,"152,876"
          Professional Regulation Commission,"62,086",0,422,0,0,"1,625",0,0,0,"7,354",501,0,726,0,455,0,0,"46,921","7,543","4,538",0,"17,706",0,"149,877"
          Technical Education and Skills Development Authority,"684,881",0,"32,931","12,460",0,31,0,"4,238","2,939","82,319","5,337",0,"4,913",0,"5,013",0,0,"24,098","79,396",0,0,"136,220",0,"1,074,776"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of National Defense,"1,277,763","16,990,856","403,663",0,0,"3,594,862",0,"2,581,400",0,"154,168","14,339","147,978","14,724","140,087","12,022","142,396",0,"16,609","154,980",0,"30,252,521","1,941,460","19,149,645","76,989,473"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          DND Proper (Office of the Secretary),"45,537",0,"13,211",0,0,287,0,"1,483",0,"5,410",310,0,543,0,317,0,0,"2,594","5,145",0,0,"20,941",0,"95,778"
          Government Arsenal,"85,322",0,494,0,0,"3,326",0,"3,799",0,"10,258",776,0,998,0,749,0,0,299,"10,714",0,0,"60,723",0,"177,458"
          National Defense College of the Philippines,"11,799",0,998,0,0,752,0,0,0,"1,338",77,0,110,0,72,0,0,"5,379",944,0,0,"4,310",0,"25,779"
          Office of Civil Defense,"43,779",0,"1,322",0,0,"2,686",0,603,0,"5,068",310,0,505,0,361,0,0,"2,744","4,911",0,0,"12,297",0,"74,586"
          Philippine Veterans Affairs Office,"228,112",0,"79,502",0,0,"6,402",0,0,0,"28,091","1,941",0,"2,684",0,"1,744",0,0,"3,822","27,627",0,"16,960,260","107,355",0,"17,447,540"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Veterans Affairs Office (Proper),"48,279",0,"13,546",0,0,201,0,0,0,"5,365",371,0,535,0,343,0,0,"3,213","5,542",0,"16,960,260","14,606",0,"17,052,261"
               Military Shrines Service,"7,654",0,40,0,0,585,0,0,0,918,81,0,71,0,66,0,0,73,"1,011",0,0,"2,558",0,"13,057"
               Veterans Memorial Medical Center,"172,179",0,"65,916",0,0,"5,616",0,0,0,"21,808","1,489",0,"2,078",0,"1,335",0,0,536,"21,074",0,0,"90,191",0,"382,222"
,,,,,,,,,,,,,,,,,,,,,,,,
          Armed Forces of the Philippines,"863,214","16,990,856","308,136",0,0,"3,581,409",0,"2,575,515",0,"104,003","10,925","147,978","9,884","140,087","8,779","142,396",0,"1,771","105,639",0,"13,292,261","1,735,834","19,149,645","59,168,332"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Army (Land Forces),"178,859","10,591,811","56,252",0,0,"2,218,510",0,0,0,"19,393","1,558","97,871","1,431","91,619","1,397","94,524",0,526,"20,601",0,0,"911,132","13,131,246","27,416,730"
               Philippine Air Force (Air Forces),"211,389","2,320,845","42,771",0,0,"545,539",0,"13,249",0,"26,691","2,282","19,508","1,986","18,024","1,797","18,660",0,246,"26,924",0,0,"270,265","2,486,613","6,006,789"
               Philippine Navy (Maritime Forces),"152,881","3,507,795","58,142",0,0,"721,496",0,0,0,"17,806","1,444","27,816","1,294","26,030","1,182","26,830",0,336,"16,755",0,0,"219,347","2,714,992","7,494,146"
               General Headquarters (Proper),"320,085","570,405","150,971",0,0,"95,864",0,"2,562,266",0,"40,113","5,641","2,783","5,173","4,414","4,403","2,382",0,663,"41,359",0,"13,292,261","335,090","816,794","18,250,667"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Public Works and Highways,"2,660,520",0,"6,361",0,0,"75,358",0,"17,454",459,"314,631","19,044",0,"24,268",0,"16,980",0,293,"31,675","283,515",0,0,"635,165",0,"4,085,723"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"2,660,520",0,"6,361",0,0,"75,358",0,"17,454",459,"314,631","19,044",0,"24,268",0,"16,980",0,293,"31,675","283,515",0,0,"635,165",0,"4,085,723"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Science and Technology,"764,059",0,"10,344",0,0,"45,405",0,"3,150","3,015","91,795","4,719",0,"7,106",0,"4,570",0,"2,970","22,907","85,293",0,0,"491,620","8,320","1,545,273"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"109,667",0,"1,993",0,0,"7,604",0,"1,211",0,"13,102",599,0,859,0,586,0,559,"6,942","11,628",0,0,"107,921",0,"262,671"
          Advanced Science and Technology Institute,"5,987",0,447,0,0,140,0,0,0,738,37,0,35,0,11,0,0,460,694,0,0,"5,629",0,"14,178"
          Food and Nutrition Research Institute,"32,203",0,737,0,0,630,0,0,0,"3,844",202,0,188,0,198,0,54,"1,092","3,671",0,0,"13,802","4,127","60,748"
          Forest Products Research and Development Institute,"35,203",0,0,0,0,772,0,0,0,"4,230",254,0,410,0,240,0,0,"1,333","3,740",0,0,"16,443",0,"62,625"
          Industrial Technology Development Institute,"69,145",0,"2,900",0,0,"2,023",0,544,0,"8,255",415,0,386,0,404,0,0,"1,241","7,789",0,0,"38,892",0,"131,994"
          Metals Industry Research and Development Center,"37,601",0,0,0,0,564,0,0,0,"4,532",229,0,214,0,226,0,58,"1,016","4,315",0,0,"27,184",0,"75,939"
          National Academy of Science and Technology,"2,239",0,71,0,0,267,0,0,103,276,13,0,12,0,26,0,0,246,254,0,0,"1,448",0,"4,955"
          National Research Council of the Philippines,"7,457",0,0,0,0,344,0,0,"1,564",945,46,0,100,0,40,0,0,369,856,0,0,"4,959",0,"16,680"
"          Philippine Atmospheric, Geophysical and",,,,,,,,,,,,,,,,,,,,,,,,
                Astronomical Services Administration,"170,548",0,570,0,0,"22,953",0,0,0,"20,099","1,044",0,"2,054",0,"1,032",0,0,949,"19,794",0,0,"91,340",0,"330,383"
          Philippine Council for Advanced Science and,,,,,,,,,,,,,,,,,,,,,,,,
                Technology Research and Development,"6,053",0,0,0,0,0,0,0,94,595,30,0,60,0,30,0,73,613,643,0,0,"4,066",0,"12,257"
"          Philippine Council for Agriculture, Forestry",,,,,,,,,,,,,,,,,,,,,,,,
                and Natural Resources Research and Development,"38,011",0,0,0,0,994,0,0,221,"4,545",233,0,217,0,232,0,0,"1,676","4,262",0,0,"29,992",0,"80,383"
          Philippine Council for Aquatic and Marine,,,,,,,,,,,,,,,,,,,,,,,,
                Research and Development,"9,243",0,0,0,0,98,0,0,0,"1,061",54,0,49,0,50,0,0,718,879,0,0,"4,124",0,"16,276"
          Philippine Council for Health Research and Development,"10,605",0,70,0,0,22,0,0,85,"1,373",60,0,118,0,60,0,8,472,"1,063",0,0,"4,893",0,"18,829"
          Philippine Council for Industry and Energy,,,,,,,,,,,,,,,,,,,,,,,,
                Research and Development,"7,567",0,364,0,0,394,0,0,395,"1,241",47,0,65,0,35,0,"1,020",401,906,0,0,"5,390",0,"17,825"
