brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
13301043,13301043,LA UNION,AGOO,Santa Maria,2011,217,924,24,132,131,21,16,23,30.700001,19,9.1999998,-,-,-,-,75,206,4,3,0,0,4,1.8,1,0.5,95,43.799999,63,34,15.7,6,2.8,29,1,0.1,2,0.89999998,346,17,4.9000001,-,-,-,-,-,-,-,-,-,33,1,3301043
13301044,13301044,LA UNION,AGOO,Santa Monica,2011,221,1007,9,129,151,33,21.9,37,33.299999,34,13,-,-,-,-,111,262,1,0.80000001,0,0,11,5,3,1.4,73,33,36,1,0.5,2,0.89999998,16.299999,1,0.1,0,0,352,7,2,-,-,-,-,-,-,-,-,-,33,1,3301044
13301045,13301045,LA UNION,AGOO,Santa Rita (Nalinac),2011,317,1525,28,213,220,44,20,61,45.200001,61,17.200001,-,-,-,-,135,355,1,0.5,0,0,4,1.3,110,34.700001,145,45.700001,83,141,44.5,23,7.3000002,26.200001,0,0,4,1.3,561,14,2.5,-,-,-,-,-,-,-,-,-,33,1,3301045
13301046,13301046,LA UNION,AGOO,Santa Rita East,2011,156,720,14,73,99,19,19.200001,17,30.9,7,4.5,-,-,-,-,55,154,3,4.0999999,0,0,2,1.3,2,1.3,42,26.9,24,2,1.3,1,0.60000002,15.4,28,3.9000001,0,0,258,7,2.7,-,-,-,-,-,-,-,-,-,33,1,3301046
13301047,13301047,LA UNION,AGOO,Santa Rita Norte,2011,255,1080,18,123,132,19,14.4,26,30.6,16,7.4000001,-,-,-,-,85,217,0,0,0,0,6,2.4000001,13,5.0999999,45,17.6,21,4,1.6,2,0.80000001,8.1999998,0,0,1,0.40000001,422,32,7.5999999,-,-,-,-,-,-,-,-,-,33,1,3301047
13301048,13301048,LA UNION,AGOO,Santa Rita Sur,2011,214,1087,29,149,176,34,19.299999,19,26,7,2.8,-,-,-,-,73,249,0,0,0,0,37,17.299999,10,4.6999998,104,48.599998,68,1,0.5,39,18.200001,31.799999,0,0,9,4.1999998,375,12,3.2,-,-,-,-,-,-,-,-,-,33,1,3301048
13301049,13301049,LA UNION,AGOO,Santa Rita West,2011,136,686,8,71,101,28,27.700001,19,31.700001,10,6.1999998,-,-,-,-,60,161,0,0,0,0,0,0,3,2.2,54,39.700001,33,0,0,2,1.5,24.299999,0,0,0,0,262,6,2.3,-,-,-,-,-,-,-,-,-,33,1,3301049
13308001,13308001,LA UNION,BURGOS,Agpay,2006,127,616,4,56,112,15,13.4,18,32.700001,12,7.1999998,-,-,-,-,55,167,12,21.4,0,0,0,0,0,0,121,95.300003,117,1,0.80000001,0,0,92.099998,0,0,74,58.299999,289,26,9,-,-,-,-,-,-,-,-,-,33,8,3308001
13308002,13308002,LA UNION,BURGOS,Bilis,2006,200,970,16,119,136,27,19.9,23,25.799999,20,8.8999996,-,-,-,-,89,225,11,9.1999998,0,0,5,2.5,1,0.5,111,55.5,90,3,1.5,21,10.5,45,2,0.2,8,4,445,58,13,-,-,-,-,-,-,-,-,-,33,8,3308002
13308003,13308003,LA UNION,BURGOS,Caoayan,2006,97,452,8,57,81,22,27.200001,16,39,19,15.6,-,-,-,-,41,122,8,14,0,0,0,0,1,1,64,66,49,1,1,8,8.1999998,50.5,1,0.2,1,1,157,24,15.3,-,-,-,-,-,-,-,-,-,33,8,3308003
13308004,13308004,LA UNION,BURGOS,Dalacdac,2006,47,235,1,35,41,7,17.1,4,15.4,2,3,-,-,-,-,26,67,4,11.4,0,0,1,2.0999999,1,2.0999999,31,66,23,0,0,5,10.6,48.900002,0,0,0,0,79,6,7.5999999,-,-,-,-,-,-,-,-,-,33,8,3308004
13308005,13308005,LA UNION,BURGOS,Delles,2006,255,1225,31,173,245,47,19.200001,53,47.299999,46,12.9,-,-,-,-,112,357,4,2.3,0,0,4,1.6,1,0.40000001,208,81.599998,179,11,4.3000002,70,27.5,70.199997,2,0.2,7,2.7,602,15,2.5,-,-,-,-,-,-,-,-,-,33,8,3308005
13308006,13308006,LA UNION,BURGOS,Imelda,2006,57,301,9,49,55,11,20,11,50,11,14.3,-,-,-,-,22,77,8,16.299999,0,0,1,1.8,0,0,39,68.400002,29,3,5.3000002,3,5.3000002,50.900002,3,1,0,0,116,9,7.8000002,-,-,-,-,-,-,-,-,-,33,8,3308006
13308007,13308007,LA UNION,BURGOS,Libtong,2006,121,490,14,72,76,10,13.2,19,47.5,12,10.3,-,-,-,-,40,116,10,13.9,0,0,1,0.80000001,3,2.5,89,73.599998,77,10,8.3000002,13,10.7,63.599998,0,0,3,2.5,209,21,10,-,-,-,-,-,-,-,-,-,33,8,3308007
13308008,13308008,LA UNION,BURGOS,Linuan,2006,71,359,10,48,74,11,14.9,23,53.5,26,22.200001,-,-,-,-,43,117,1,2.0999999,0,0,0,0,0,0,66,93,61,70,98.599998,44,62,85.900002,1,0.30000001,19,26.799999,195,1,0.5,-,-,-,-,-,-,-,-,-,33,8,3308008
13308011,13308011,LA UNION,BURGOS,Lower Tumapoc,2006,64,283,7,37,46,7,15.2,11,31.4,9,11.1,-,-,-,-,35,81,6,16.200001,0,0,0,0,0,0,53,82.800003,46,3,4.6999998,4,6.3000002,71.900002,7,2.5,0,0,100,6,6,-,-,-,-,-,-,-,-,-,33,8,3308011
13308009,13308009,LA UNION,BURGOS,New Poblacion,2006,167,753,15,95,105,14,13.3,11,16.700001,2,1.2,-,-,-,-,66,171,3,3.2,0,0,3,1.8,5,3,50,29.9,32,0,0,1,0.60000002,19.200001,0,0,0,0,313,38,12.1,-,-,-,-,-,-,-,-,-,33,8,3308009
13308010,13308010,LA UNION,BURGOS,Old Poblacion,2006,95,490,8,62,59,15,25.4,7,16.700001,4,4,-,-,-,-,42,101,1,1.6,0,0,2,2.0999999,5,5.3000002,36,37.900002,21,3,3.2,1,1.1,22.1,3,0.60000002,0,0,176,21,11.9,-,-,-,-,-,-,-,-,-,33,8,3308010
13308012,13308012,LA UNION,BURGOS,Upper Tumapoc,2006,140,644,4,89,117,14,12,12,21.799999,11,6.4000001,-,-,-,-,55,172,8,9,0,0,0,0,1,0.69999999,88,62.900002,65,42,30,19,13.6,46.400002,0,0,0,0,254,18,7.0999999,-,-,-,-,-,-,-,-,-,33,8,3308012
