program_or_project_1,program_or_project_2,program_or_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Various Local Economic Development Projects,-,4900000,-,-,-,30000,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Completion of admin bldg. at new slaughterhouse,-,650000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Improvement of CEO bldg. (replacement of trusses and roofing),-,500000,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Improvement of Motorpool bldg. and facilities,-,500000,-,-,-,117095.06,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Development of relocation/resettlement sites,-,3778927,-,-,-,-,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Renovation of old PNP Building into a Youth Home with landscaping,-,200000,-,-,-,178134.84,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,"Construction of fence between PNP Station and Mortiz residence, Barangay 22-A",-,100000,-,-,-,86537.52,-,-
Economic Development Program,Capital Expenditures for Local Social and Economic Development Projects,Landbanking,-,3000000,-,-,-,-,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Establishment of City Forest Nursery,-,300000,-,-,-,-,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Nursery Tools,-,66000,-,-,-,-,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Nursery Inputs and Materials,-,66000,-,-,-,-,-,-
Environmental Management Program,Agro-Forestry and Reforestation Project,Completion of City Forest Nursery,-,400000,-,-,-,62073.4,-,-
Environmental Management Program,Solid Waste Management Program,Recycling Program,-,100000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Purchase of Enzymes,-,200000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Fuel and Oil (Bulldozer/Dumptrucks/Loader),-,300000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Composting Materials,-,70000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Repair and Maint. of Compost Bins,-,100000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Site clearing,-,50000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Eco-waste Operations-Composting-Filling of soil materials,-,100000,-,-,-,-,-,-
Environmental Management Program,Solid Waste Management Program,Electrification at eco-waste center,-,250000,-,-,-,-,-,-
