city_or_municipality,position,name,nickname,party_affiliation,voted_obtained
Palompon,Councilor,"Brocoy, Teodoro Matabalan",Teddy,Liberal Party,12593
Palompon,Councilor,"Pacaldo, Edgar Pogoy",Edic,Liberal Party,12927
Palompon,Councilor,"Asayas, Juanito Decio",Nito,Liberal Party,12997
Palompon,Councilor,"Bregaudit, Burt Mari Manalo",Bart,Liberal Party,13147
Palompon,Councilor,"Roble, Brigido, Jr Tapere",Jun,Liberal Party,13257
Palompon,Councilor,"Arevalo, Mesias Palanas",Indoy,Liberal Party,13639
Pastrana,Mayor,"Martillo, Ernesto Navidad",Esto,Lakas-Kampi,5187
Pastrana,Vice-Mayor,"Cayaco, Nestorio Moron",Catoy,Liberal Party,3230
Pastrana,Councilor,"Gerilla, Noel Estopin",Atet,Lakas-Kampi,3965
Pastrana,Councilor,"Pasagui, Reynaldo Dumduma",Rey,Liberal Party,4022
Pastrana,Councilor,"Opiniano, Alvin, Jr Nguyen",Abo,Nationalista Party,4156
Pastrana,Councilor,"Tan, Joe Rex Yupoo",Joe Rex,Liberal Party,4413
Pastrana,Councilor,"Carian, Gerardo Solis",Gerry,Liberal Party,5302
Pastrana,Councilor,"Ala, Jocelyn Martillo",Celyn,Lakas-Kampi,5323
Pastrana,Councilor,"Aures, Elvis Catilogo",Elvis,Lakas-Kampi,5371
Pastrana,Councilor,"Son, Marilyn Empillo",Mylene,Lakas-Kampi,5687
San Isidro,Mayor,"Ang, Alan Perena",Alan,Lakas-Kampi,10775
San Isidro,Vice-Mayor,"Labtic, Octavius Lechido",Chubby,Lakas-Kampi,10772
San Isidro,Councilor,"Mapula, Leonardo Perez",Nardo,Lakas-Kampi,9086
San Isidro,Councilor,"Villorejo, Julius Cirilo Agunias",Loy,Lakas-Kampi,9203
San Isidro,Councilor,"Cuyos, Alberto Pelinos",Bert,Lakas-Kampi,9233
San Isidro,Councilor,"Villarino, Carlo Pacito Lumapak",Jt,Lakas-Kampi,9343
San Isidro,Councilor,"Ecalla, Maximo De La Cruz",Maxi,Lakas-Kampi,9349
San Isidro,Councilor,"Balmoria, Isidro Castro",Cedrick,Lakas-Kampi,9492
San Isidro,Councilor,"Piamonte, Benjamen, Jr Cajegas",Boy,Lakas-Kampi,9674
San Isidro,Councilor,"Fajardo, Rosalina Montillen",Rosa,Lakas-Kampi,9967
San Miguel,Mayor,"Brazil, Prospero Quintana",Pros,Lakas-Kampi,4164
San Miguel,Vice-Mayor,"Lapidario, Richard Len Banez",Chad,Lakas-Kampi,2983
San Miguel,Councilor,"Costa, Marissa Padilla",Maris,Lakas-Kampi,4015
San Miguel,Councilor,"Guy, Charlie Lesigues",Datoy,Liberal Party,4600
San Miguel,Councilor,"Asis, Margarito Alberca",Gigi,Lakas-Kampi,4711
San Miguel,Councilor,"Mendiola, Timoteo, Jr Labalan",Timo,Lakas-Kampi,5019
San Miguel,Councilor,"Gesma, Nonita Trota",Nona,Lakas-Kampi,5691
San Miguel,Councilor,"Acuin, Angel Penaranda",Loker,Liberal Party,5795
San Miguel,Councilor,"Esperas, Cheeryl Enrica Letrondo",Chekay,Lakas-Kampi,5894
San Miguel,Councilor,"Agner, Ruben Gesma",Ben,Liberal Party,6040
Santa Fe,Mayor,"Quemado, Melchor, Sr Morados",Asoy,Lakas-Kampi,3752
Santa Fe,Vice-Mayor,"Monteza, Oscar Josico",Oca,Lakas-Kampi,4477
Santa Fe,Councilor,"Roca, Paciano Gresola",Pacing,Lakas-Kampi,3376
Santa Fe,Councilor,"Salceda, Edgardo, Sr Reyna",Edgar,Lakas-Kampi,3431
Santa Fe,Councilor,"Petiluna, Israel Amado",Ely,Lakas-Kampi,3495
Santa Fe,Councilor,"Echague, Alejandro Estosane",Ali,Lakas-Kampi,3593
Santa Fe,Councilor,"Collado, Nilda Sabanal",Denday,Independent,3778
Santa Fe,Councilor,"Martinez, Jose Petilla",Joe,Lakas-Kampi,3783
Santa Fe,Councilor,"Parado, Froilan Dacillo",Onyan,Independent,4057
Santa Fe,Councilor,"Lantajo, Gorgonio, Jr Velasco",Bebe,Liberal Party,4180
Tabango,Mayor,"Remandaban, Ma Corazon Ellacanao",Maricor,Lakas-Kampi,8222
Tabango,Vice-Mayor,"Velasco, Juan Omega",Juaning,Lakas-Kampi,6607
Tabango,Councilor,"Morilla, Dominador Jr Bohol",Junior,Nationalista Party,5082
Tabango,Councilor,"Baronda, Julius Cesar Macol",Jiji,Lakas-Kampi,5284
Tabango,Councilor,"Manriquez, Herbert Velasco",Bert,Lakas-Kampi,5318
Tabango,Councilor,"Bermoy, Errol Van Nestor Veloso",Errol,Lakas-Kampi,5392
Tabango,Councilor,"Suano, Hebe Diongzon",Hebe,Puwersa ng Masang Pilipino,5573
Tabango,Councilor,"Pastor, Celso Serino",Dodot,Lakas-Kampi,5681
Tabango,Councilor,"Robles, Joel Erme Escalona",Jo,Lakas-Kampi,5792
Tabango,Councilor,"Aropo, Romel Malait",Mel,Lakas-Kampi,7573
Tabontabon,Mayor,"Justimbaste, Priscila Remandaban",Pesing,Lakas-Kampi,3563
Tabontabon,Vice-Mayor,"Cinco, Edgardo Esoy",Edgar,Lakas-Kampi,2326
Tabontabon,Councilor,"Dumagat, Paulino, Jr Manasis",Jun,Partido Demokratiko Sosyalista ng Pilipinas,2430
Tabontabon,Councilor,"Lobrigo, Lourdes Milangco",Ondit,Partido Demokratiko Sosyalista ng Pilipinas,2498
Tabontabon,Councilor,"Redona, Efren Diaz",Efren,Partido Demokratiko Sosyalista ng Pilipinas,2605
Tabontabon,Councilor,"Bibar, Dionisio Banas",Odoy,Partido Demokratiko Sosyalista ng Pilipinas,2661
Tabontabon,Councilor,"Balais, Danilo Echon",Danny,Partido Demokratiko Sosyalista ng Pilipinas,2683
Tabontabon,Councilor,"Cinco, Melissa Lamac",Noknok,Lakas-Kampi,2768
Tabontabon,Councilor,"Bibar, Leonardo Gausin",Leo,Lakas-Kampi,2844
Tabontabon,Councilor,"Sosing, Judy Jaca",Daday,Lakas-Kampi,3018
Tacloban City,Mayor,"Romualdez, Alfred Sison",Alfred,Lakas-Kampi,53304
Tacloban City,Vice-Mayor,"Antoni, Arvin Villablanca",Bimboy,Liberal Party,38732
Tacloban City,Councilor,"Glova, Neil Amistoso",Iyong,Independent,21804
Tacloban City,Councilor,"Mate, Bianco Flores",Bianco,Lakas-Kampi,23278
Tacloban City,Councilor,"Andrade, Robert Chan",Bobby,Liberal Party,27908
Tacloban City,Councilor,"Uy, Jerry Sia",Jerry,Liberal Party,29920
Tacloban City,Councilor,"Granados, Jeric Dane Germo",Tata,Lakas-Kampi,32658
Tacloban City,Councilor,"Chua, Edward Frederick Ida",Edward,Nationalista Party,34866
Tacloban City,Councilor,"Domingo, Victor Emmanuel Villasin",Willy,Independent,36676
Tacloban City,Councilor,"Chua, Edwin Young",Ed,Lakas-Kampi,37487
Tacloban City,Councilor,"Romualdez, Cristina Gonzalez",Kring Kring,Nationalista Party,43204
Tacloban City,Councilor,"Yaokasin, Jerry Tiu",Sambo,Independent,46838
Tanauan,Mayor,"Pagayanan, Agapito, Jr Peralta",Jun,Liberal Party,13133
Tanauan,Vice-Mayor,"Kapunan, Catalina Redona",Cathy,Liberal Party,12887
Tanauan,Councilor,"Varona, Ernesto Mendiola",Erning,Liberal Party,9256
Tanauan,Councilor,"Bernal, Felicito Ignacio",Tito,Liberal Party,9777
Tanauan,Councilor,"Gobenciong, Bernardita Verzosa",Edit,Lakas-Kampi,10122
Tanauan,Councilor,"Malate, Fausto Regis",Ostoy,Lakas-Kampi,10410
Tanauan,Councilor,"Perez, Julius Rodello Creencia",Jigs,Liberal Party,11620
Tanauan,Councilor,"Villero, Asterio Mario Abasola",Mar,Liberal Party,11885
Tanauan,Councilor,"Fiel, Corazon Mueva",Cora,Lakas-Kampi,13270
Tanauan,Councilor,"Tolibas, Raul Cumpio",Boboy,Liberal Party,14369
Tolosa,Mayor,"Ocana, Erwin Cinco",Win,Liberal Party,5056
Tolosa,Vice-Mayor,"Palana, Virginia Lim",Virgie,Lakas-Kampi,4599
Tolosa,Councilor,"Cesista, Rosalinda Calda",Linda,Liberal Party,4034
Tolosa,Councilor,"Mate, Menardo Mengullo",Menard,Lakas-Kampi,4213
Tolosa,Councilor,"Lumbre, Virginia Advincula",Benying,Liberal Party,4347
Tolosa,Councilor,"Ibanez, Desiree Amelita Vivero",Des,Liberal Party,4350
Tolosa,Councilor,"Martinez, Ildefonso Palana",Ponso,Lakas-Kampi,4603
Tolosa,Councilor,"Cerro, Gloria Silvano",Gloria,Lakas-Kampi,4777
Tolosa,Councilor,"Legaspi, Rodolfo Jr Baylon",Jun,Lakas-Kampi,5152
Tolosa,Councilor,"Roa, Jose Mari I Caneda",Joyjoy,Lakas-Kampi,5407
Tunga,Mayor,"Aumento, Amando, Sr Cabeltis",Mando,Lakas-Kampi,2123
Tunga,Vice-Mayor,"Uribe, Jose Capoporo Asoy",Roy,Lakas-Kampi,2219
Tunga,Councilor,"Costelo, Benjamin Esquibel",Ben,Partido Demokratiko Sosyalista ng Pilipinas,1792
Tunga,Councilor,"Sari, Ricardo Buranday",Taba,Independent,1832
Tunga,Councilor,"Ergina, Rex Santillan",Yek,Partido Demokratiko Sosyalista ng Pilipinas,1904
Tunga,Councilor,"Oyzon, Leonora Peruda",Nora,Lakas-Kampi,1983
Tunga,Councilor,"Baac, Egidio Gaspay",Yed,Lakas-Kampi,2064
Tunga,Councilor,"Cubilla, Marilyn Antoni",Lyn,Lakas-Kampi,2103
Tunga,Councilor,"Costelo, Reinbert Chan",Bert,Lakas-Kampi,2179
Tunga,Councilor,"Agda, Catalina Fallorina",Lina,Lakas-Kampi,2287
Villaba,Mayor,"Larrazabal, Claudio M Alvarez",Calaw,Lakas-Kampi,12595
Villaba,Vice-Mayor,"Veloso, Jorge Vallar",Bading,Lakas-Kampi,11386
Villaba,Councilor,"Noynay, Teotimo, Sr Amarilla",Timo,Nationalista Party,7898
Villaba,Councilor,"Pecayo, Ruben Carmelo",Ruben,Lakas-Kampi,8008
Villaba,Councilor,"Meracap, Bonifacio, Jr Gonzaga",Botong,Lakas-Kampi,8066
Villaba,Councilor,"Casas, Perla Nunez",Pearl,Lakas-Kampi,8485
Villaba,Councilor,"Veloso, Robert Rubillos",Bobby,Lakas-Kampi,8814
Villaba,Councilor,"Sumapig, Violeta Tabernero",Letty,Lakas-Kampi,9016
Villaba,Councilor,"Albano, Felix Jr Viagedor",Jun-Jun,Lakas-Kampi,9179
Villaba,Councilor,"Aragon, Eleodora Natividad",Beth,Lakas-Kampi,11925
