region,province,name_of_cooperative,address,contact_person,phone_number
RFU VI,IloIlo,Octagon Farm ,"Cong. Oscar Garin - Igcocolo,Guimbal, Iloilo ",c/o Visayas Field Office ,(032)345-3612 
RFU VI,IloIlo,JOCA Dairy Dev't Cooperative(formerly Igbaras Dairy Farmers Association) ,"Jovellar, Igbaras, Iloilo ",Angel Tidula ,"0906-1992299, 0908-4076435 "
RFU VI,IloIlo,Oton Dairy Dev't Cooperative(formerly Macatuan Irrigators Association) ,"Abilay Norte, Oton, Iloilo ",Angel Tidula ,"0906-1992299, 0908-4076435 "
RFU VI,IloIlo,Ajuy and Barotac Viejo ,Iloilo City,c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,San Isidro Agrarian Reform Beneficiaries MPC ,"San Isidro, Pontevedra Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,San Isidro Muti-Purpose Cooperative ,"San Isidro, Pontevedra Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,PCC - Negros Occ. ,"La Granja, La Carlota City, Negros Occidental",c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,Guinpanaan Community Credit Cooperative ,"Guinpanaan, Moises Padilla Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Provincial Livestock Breeding Center and Dairy Farm (La Granja) ,"La Granja, La Carlota City, Negros Occidental ",c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,San Enrique MPC ,"Batuan, San Enrique, Negros Occidental ",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Sipalay Breeding Center ,"Sipalay, Negros Occidental ",c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,Cod-cod Agrarian Reform Community Cooperative ,"Cod-cod, San Carlos City ",c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,"Barangay Odiong Farmers Association, Inc.  ","Odiong, Moises Padilla Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Cod-cod Multi-purpose Cooperative ,"Cod-cod, San Carlos City ",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Bayabas Multipurpose Cooperative ,"Bayabas, Valladolid, Negros Occidental",c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,Sibucao Multi-purpose Cooperative ,"Sibucao, San Enrique Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Hacienda Vizcaya Multi-Purpose Cooperative ,"Gomez, Pontevedra Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Hacienda Layagon Muti-Purpose Cooperative ,"Lalagsan, La Castellana Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Recreo Multi-Purpose Cooperative ,"Recreo, Pontevedra Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Mansalayao Small Farmers Association ,"Nato, La Castellana Negros Occidental",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,La Granja Farmers Multi-purpose Cooperative ,"La Granja, La Carlota City, Negros Occidental ",Rosendo R. Ocido ,0907-2873120 
RFU VI,Negros Occidental,Maquiling Buffalo Project Group ,"Maquiling, Sagay City, Negros Occidental",c/o Visayas Field Office ,(032)345-3612 
RFU VI,Negros Occidental,Sagay City  Breeding Farm ,"Sagay City, Negros Occidental ",c/o Visayas Field Office ,(032)345-3612 
