particulars,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,amt_u_34,sw1
               Northwestern Mindanao State College of,,,,,,,,,,,,
                     Science and Technology,16500,0,0,1145,0,15355,0,0,0,0,0,0
,,,,,,,,,,,,
          Region XI - DAVAO REGION,304728,0,0,21650,0,283078,0,0,0,0,0,1
               Davao del Norte State College,37973,0,0,2751,0,35222,0,0,0,0,0,0
               Davao Oriental State College of Science,,,,,,,,,,,,
                     and Technology,46091,0,0,3401,0,42690,0,0,0,0,0,0
               Southern Philippines Agri-Business and,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,38826,0,0,2947,0,35879,0,0,0,0,0,0
               University of Southeastern Philippines,181838,0,0,12551,0,169287,0,0,0,0,0,0
,,,,,,,,,,,,
          Region XII - MAIN SOCCSKSARGEN,504335,0,0,38091,0,466244,0,0,0,0,0,1
               Cotabato City State Polytechnic College,71917,0,0,5441,0,66476,0,0,0,0,0,0
               Cotabato Foundation College of Science,,,,,,,,,,,,
                     and Technology,68407,0,0,4814,0,63593,0,0,0,0,0,0
               Sultan Kudarat State University (Sultan,,,,,,,,,,,,
                     Kudarat Polytechnic State College),89918,0,0,6889,0,83029,0,0,0,0,0,0
               University of Southern Mindanao,274093,0,0,20947,0,253146,0,0,0,0,0,0
,,,,,,,,,,,,
          CARAGA ADMINISTRATIVE REGION,302454,0,0,22416,0,280038,0,0,0,0,0,1
               Agusan del Sur State College of,,,,,,,,,,,,
                     Agriculture and Technology,27899,0,0,2075,0,25824,0,0,0,0,0,0
               Caraga State University (Northern,,,,,,,,,,,,
                     Mindanao State Institute of,,,,,,,,,,,,
                     Science and Technology),73186,0,0,5176,0,68010,0,0,0,0,0,0
               Surigao del Sur State University,,,,,,,,,,,,
                     (Surigao del Sur Polytechnic State College),104922,0,0,7844,0,97078,0,0,0,0,0,0
               Surigao State College of Technology,96447,0,0,7321,0,89126,0,0,0,0,0,0
,,,,,,,,,,,,
          AUTONOMOUS REGION IN MUSLIM MINDANAO,1999314,0,0,163168,0,1836146,0,0,0,0,0,1
               Adiong Memorial Polytechnic State College,16249,0,0,1100,0,15149,0,0,0,0,0,0
               Basilan State College,43430,0,0,3168,0,40262,0,0,0,0,0,0
               Mindanao State University,1568102,0,0,129186,0,1438916,0,0,0,0,0,0
               MSU-Tawi-Tawi College of Technology and Oceanography,285057,0,0,23173,0,261884,0,0,0,0,0,0
               Sulu State College,43297,0,0,3399,0,39898,0,0,0,0,0,0
               Tawi-Tawi Regional Agricultural College,43179,0,0,3142,0,40037,0,0,0,0,0,0
,,,,,,,,,,,,
     Department of Energy,1428564,7386163,0,265388,7305718,1163176,80445,0,0,0,0,1
          Office of the Secretary,1428564,7386163,0,265388,7305718,1163176,80445,0,0,0,0,0
,,,,,,,,,,,,
     Department of Environment and Natural Resources,14248919,3230601,0,457152,31500,13776967,3178901,14800,20200,0,0,1
          Office of the Secretary,12140487,2727780,0,378402,0,11762085,2727780,0,0,0,0,0
,,,,,,,,,,,,
          Environmental Management Bureau,594408,238271,0,23153,31500,571255,206771,0,0,0,0,0
,,,,,,,,,,,,
          Mines and Geo-Sciences Bureau,630094,112400,0,33560,0,581734,92200,14800,20200,0,0,0
,,,,,,,,,,,,
          National Mapping and Resource Information Authority,775011,151262,0,16355,0,758656,151262,0,0,0,0,0
,,,,,,,,,,,,
          National Water Resources Board,53215,540,0,3128,0,50087,540,0,0,0,0,0
,,,,,,,,,,,,
          Palawan Council for Sustainable Development Staff,55704,348,0,2554,0,53150,348,0,0,0,0,0
,,,,,,,,,,,,
     Department of Finance,20490409,3077273,0,10644366,491071,9846043,2586202,0,0,0,0,1
          Office of the Secretary,383660,1182660,0,13602,0,370058,1182660,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Customs,8701033,740240,0,6876587,0,1824446,740240,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Internal Revenue,10014507,707563,0,3608415,417136,6406092,290427,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Local Government Finance,178152,3250,0,10169,0,167983,3250,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of the Treasury,454981,88980,0,27819,0,427162,88980,0,0,0,0,0
,,,,,,,,,,,,
          Central Board of Assessment Appeals,9278,0,0,663,0,8615,0,0,0,0,0,0
,,,,,,,,,,,,
          Cooperative Development Authority,289730,32200,0,18609,0,271121,32200,0,0,0,0,0
,,,,,,,,,,,,
          Insurance Commission,134031,73935,0,70095,73935,63936,0,0,0,0,0,0
,,,,,,,,,,,,
          National Tax Research Center,42612,0,0,2588,0,40024,0,0,0,0,0,0
,,,,,,,,,,,,
          Privatization and Management Office,28651,0,0,0,0,28651,0,0,0,0,0,0
,,,,,,,,,,,,
          Securities and Exchange Commission,253774,248445,0,15819,0,237955,248445,0,0,0,0,0
,,,,,,,,,,,,
     Department of Foreign Affairs,10496211,491936,0,76066,0,10420145,491936,0,0,0,0,1
          Office of the Secretary,10433952,490871,0,73274,0,10360678,490871,0,0,0,0,0
,,,,,,,,,,,,
          Foreign Service Institute,42189,1010,0,2329,0,39860,1010,0,0,0,0,0
,,,,,,,,,,,,
          Technical Cooperation Council of the Philippines,3349,55,0,60,0,3289,55,0,0,0,0,0
,,,,,,,,,,,,
          UNESCO National Commission of the Philippines,16721,0,0,403,0,16318,0,0,0,0,0,0
,,,,,,,,,,,,
     Department of Health,35157065,8238849,0,702536,0,34454529,8238849,0,0,0,0,1
          Office of the Secretary,34543536,8228000,0,691573,0,33851963,8228000,0,0,0,0,0
,,,,,,,,,,,,
          Commission on Population,296356,3099,0,7932,0,288424,3099,0,0,0,0,0
,,,,,,,,,,,,
          National Nutrition Council,317173,7750,0,3031,0,314142,7750,0,0,0,0,0
,,,,,,,,,,,,
     Department of the Interior and Local Government,91632661,4553498,0,321719,800000,91310942,3753498,0,0,0,0,1
          Office of the Secretary,4143212,1500000,0,159591,0,3983621,1500000,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Fire Protection,7719348,851330,0,10371,800000,7708977,51330,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Jail Management and Penology,5536385,80968,0,2262,0,5534123,80968,0,0,0,0,0
,,,,,,,,,,,,
          Local Government Academy,86650,0,0,1517,0,85133,0,0,0,0,0,0
,,,,,,,,,,,,
          National Police Commission,1366801,0,0,34190,0,1332611,0,0,0,0,0,0
,,,,,,,,,,,,
          Philippine National Police,71657868,2100000,0,105381,0,71552487,2100000,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Public Safety College,1122397,21200,0,8407,0,1113990,21200,0,0,0,0,0
,,,,,,,,,,,,
     Department of Justice,9189110,553946,0,791328,30000,8397782,523946,0,0,0,0,1
          Office of the Secretary,2867832,450812,0,220171,0,2647661,450812,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Corrections,1556047,35860,0,38877,0,1517170,35860,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Immigration,476187,10000,0,24190,0,451997,10000,0,0,0,0,0
,,,,,,,,,,,,
          Land Registration Authority,824004,30000,0,286985,30000,537019,0,0,0,0,0,0
,,,,,,,,,,,,
          National Bureau of Investigation,861592,27274,0,46307,0,815285,27274,0,0,0,0,0
,,,,,,,,,,,,
          Office of the Government Corporate Counsel,83177,0,0,3948,0,79229,0,0,0,0,0,0
,,,,,,,,,,,,
          Office of the Solicitor General,481363,0,0,25339,0,456024,0,0,0,0,0,0
,,,,,,,,,,,,
          Parole and Probation Administration,485331,0,0,35355,0,449976,0,0,0,0,0,0
,,,,,,,,,,,,
          Presidential Commission on Good Government,96477,0,0,3568,0,92909,0,0,0,0,0,0
,,,,,,,,,,,,
          Public Attorney's Office,1457100,0,0,106588,0,1350512,0,0,0,0,0,0
,,,,,,,,,,,,
     Department of Labor and Employment,6900535,337724,0,250218,0,6557922,319724,92395,18000,0,0,1
          Office of the Secretary,2312979,50343,0,63117,0,2157967,32343,91895,18000,0,0,0
,,,,,,,,,,,,
          Institute for Labor Studies,23945,2236,0,1375,0,22570,2236,0,0,0,0,0
,,,,,,,,,,,,
          National Conciliation and Mediation Board,140233,14444,0,7261,0,132472,14444,500,0,0,0,0
,,,,,,,,,,,,
          National Labor Relations Commission,566152,1800,0,36591,0,529561,1800,0,0,0,0,0
,,,,,,,,,,,,
          National Maritime Polytechnic,66005,48150,0,2802,0,63203,48150,0,0,0,0,0
,,,,,,,,,,,,
          National Wages and Productivity Commission,140496,33338,0,6044,0,134452,33338,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Overseas Employment Administration,308316,16200,0,14933,0,293383,16200,0,0,0,0,0
,,,,,,,,,,,,
          Professional Regulation Commission,508303,151213,0,9735,0,498568,151213,0,0,0,0,0
,,,,,,,,,,,,
          Technical Education and Skills Development Authority,2834106,20000,0,108360,0,2725746,20000,0,0,0,0,0
,,,,,,,,,,,,
     Department of National Defense,101110427,5803878,0,164283,0,100946144,5803878,0,0,0,0,1
          DND Proper (Office of the Secretary),457807,232500,0,7492,0,450315,232500,0,0,0,0,0
,,,,,,,,,,,,
          Government Arsenal,630547,26367,0,11254,0,619293,26367,0,0,0,0,0
,,,,,,,,,,,,
          National Defense College of the Philippines,52990,0,0,1483,0,51507,0,0,0,0,0,0
,,,,,,,,,,,,
          Office of Civil Defense,1228012,0,0,6453,0,1221559,0,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Veterans Affairs Office,8264863,33000,0,34898,0,8229965,33000,0,0,0,0,1
               Philippine Veterans Affairs Office (Proper),7461096,0,0,6999,0,7454097,0,0,0,0,0,0
               Veterans Memorial Medical Center,803767,33000,0,27899,0,775868,33000,0,0,0,0,0
,,,,,,,,,,,,
          Armed Forces of the Philippines,90476208,5512011,0,102703,0,90373505,5512011,0,0,0,0,1
               Philippine Army (Land Forces),35255788,158670,0,20921,0,35234867,158670,0,0,0,0,0
               Philippine Air Force (Air Force),10396549,180250,0,26361,0,10370188,180250,0,0,0,0,0
               Philippine Navy (Naval Forces),11973267,126848,0,15677,0,11957590,126848,0,0,0,0,0
"               General Headquarters, AFP and AFP Wide",,,,,,,,,,,,
                     Service Support Units (AFPWSSUS),32850604,5046243,0,39744,0,32810860,5046243,0,0,0,0,0
,,,,,,,,,,,,
