Particular,A031,A032,A033,A034,A035,A036,A038,A040,A041,A042,A960,Total
          Office of the Presidential Adviser on the,,,,,,,,,,,,
                Peace Process,0,0,0,0,0,"12,500",0,0,0,0,0,"12,500"
          Optical Media Board,0,0,0,0,0,"1,281",0,0,0,0,0,"1,281"
          Philippine Commission on Women (National,,,,,,,,,,,,
                Commission on the Role of Filipino Women),0,0,0,0,0,"2,000",0,0,0,0,0,"2,000"
          Pasig River Rehabilitation Commission,0,0,0,0,0,0,0,0,"57,505",0,0,"57,505"
          Philippine Drug Enforcement Agency,0,0,0,0,0,0,0,"4,376",0,0,0,"4,376"
          Philippine Racing Commission,0,0,0,0,0,800,0,0,0,0,0,800
          Presidential Commission for the Urban Poor,0,0,0,0,0,814,0,0,0,0,0,814
          Presidential Communications Development and,,,,,,,,,,,,
                Strategic Planning Office,0,0,0,0,0,"2,000",0,0,0,0,0,"2,000"
          Presidential Legislative Liaison Office,0,0,0,0,0,90,0,0,0,0,0,90
          Presidential Management Staff,0,0,0,0,0,"10,889",0,0,0,0,0,"10,889"
,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,0,0,0,"1,000,000",0,"5,245","1,500",0,"469,653",0,0,"1,476,398"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Autonomous Regional Government in Muslim Mindanao,0,0,0,"1,000,000",0,"5,245","1,500",0,"469,653",0,0,"1,476,398"
,,,,,,,,,,,,
     Joint Legislative-Executive Councils,0,0,0,0,0,60,0,0,0,0,0,60
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Legislative-Executive Development Advisory Council,0,0,0,0,0,60,0,0,0,0,0,60
,,,,,,,,,,,,
     The Judiciary,0,0,0,0,"82,493","2,625",0,0,0,0,0,"85,118"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Sandiganbayan,0,0,0,0,"82,493","2,625",0,0,0,0,0,"85,118"
,,,,,,,,,,,,
     Civil Service Commission,0,0,0,0,"5,800",0,0,0,0,0,0,"5,800"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Civil Service Commission,0,0,0,0,"5,800",0,0,0,0,0,0,"5,800"
,,,,,,,,,,,,
SPECIAL PURPOSE FUNDS,"1,005,550",0,0,"208,000","18,083,500","1,250,000",0,0,"1,550,000",0,"15,000,000","37,097,050"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,
     Budgetary Support to Government Corporations,"1,005,550",0,0,0,0,0,0,0,0,0,"15,000,000","16,005,550"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Department of Trade and Industry,"100,000",0,0,0,0,0,0,0,0,0,0,"100,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Aurora Pacific Economic Zone and,,,,,,,,,,,,
                     Freeport Authority (formerly ASEZA),"100,000",0,0,0,0,0,0,0,0,0,0,"100,000"
,,,,,,,,,,,,
          Other Executive Offices,"905,550",0,0,0,0,0,0,0,0,0,0,"905,550"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Authority of the Freeport Area of Bataan,"100,000",0,0,0,0,0,0,0,0,0,0,"100,000"
               Cagayan Economic Zone Authority,"294,550",0,0,0,0,0,0,0,0,0,0,"294,550"
               Home Guaranty Corporation,"500,000",0,0,0,0,0,0,0,0,0,0,"500,000"
               Zamboanga City Special Economic Zone Authority,"11,000",0,0,0,0,0,0,0,0,0,0,"11,000"
,,,,,,,,,,,,
