particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_dsc,ssect_dsc,agy_type,owner_cd,dept,agy,owner_dsc,sect_cd
             Insurance Commission,119207,143241,207966,0,0,2012,215,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Privatization and Management Office,31495,28651,28651,0,0,2012,216,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Tax Research Center,41476,39786,42612,0,0,2012,217,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Cooperative Development Authority,304736,274305,321930,0,0,2012,218,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Securities and Exchange Commission,272270,254602,502219,0,0,2012,219,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Special National Public Reconstruction Commission,3000,0,0,0,0,2012,220,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,9603132,11047320,10924823,0,0,2012,221,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Foreign Service Institute,39243,35189,43199,0,0,2012,222,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Technical Cooperation Council of the Philippines,4170,3299,3404,0,0,2012,223,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             UNESCO National Commission of the Philippines,15511,15358,16721,0,0,2012,224,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Immigration,568960,400533,486187,0,0,2012,225,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Government Corporate Counsel,76327,69064,83177,0,0,2012,226,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Solicitor General,505843,425857,481363,0,0,2012,227,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,2718380,2734691,5643212,0,0,2012,228,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,424982,331890,376626,0,0,2012,229,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Research Council of the Philippines,40171,40003,56260,0,0,2012,230,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
"             Philippine Atmospheric, Geophysical and Astronomical
                Services Administration",789404,1075601,1283646,0,0,2012,231,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine Institute of Volcanology and Seismology,181285,205667,220039,0,0,2012,232,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Director-General,754392,763407,825241,0,0,2012,233,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Statistical Coordination Board,97629,90263,92587,0,0,2012,234,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Statistics Office,3170600,1238091,1734177,0,0,2012,235,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine National Volunteer Service Coordinating Agency,12537,13586,13955,0,0,2012,236,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Public-Private Partnership Center of the Philippines,0,0,225720,0,0,2012,237,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Statistical Research and Training Center,17737,35866,27224,0,0,2012,238,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Tariff Commission,47814,46487,49783,0,0,2012,239,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Communications Operations Office (Proper),129390,99137,124151,0,0,2012,240,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Broadcast Services,323832,292653,277772,0,0,2012,241,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Communications Services,31994,28952,32078,0,0,2012,242,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Printing Office,163565,136964,144549,0,0,2012,243,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             News and Information Bureau,110599,91073,95686,0,0,2012,244,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine Information Agency,276689,249569,243201,0,0,2012,245,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Broadcast Staff (RTVM),107766,77809,130509,0,0,2012,246,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Games and Amusements Board,65193,62077,65990,0,0,2012,249,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Movie and Television Review and Classification Board,46418,43774,43109,0,0,2012,250,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Mindanao Development Authority,57826,56164,60016,0,0,2012,251,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Intelligence Coordinating Agency,492589,442346,458616,0,0,2012,252,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Security Council,70142,63295,75541,0,0,2012,253,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Communications Development and Strategic Planning Office,2353,50000,53301,0,0,2012,254,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine Racing Commission,103319,104042,105800,0,0,2012,255,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Legislative Liaison Office,20989,20811,23835,0,0,2012,256,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Management Staff,273595,227153,261826,0,0,2012,257,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine Drug Enforcement Agency,582200,519885,679777,0,0,2012,258,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Optical Media Board,35247,36893,42962,0,0,2012,259,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Anti-Money Laundering Council,10596,9690,30099,0,0,2012,260,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Professional Regulation Commission,521902,474122,659516,0,0,2012,261,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Joint Legislative-Executive Councils,914,2185,2137,0,0,2012,262,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
         Civil Service Commission,729273,670823,648843,0,0,2012,263,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Career Executive Service Board,41742,43035,50099,0,0,2012,264,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Commission on Audit,4766491,4493173,5150948,0,0,2012,265,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Commission on Elections,12792504,2380683,9990834,0,0,2012,266,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Autonomous Regional Government in Muslim Mindanao,10641281,11852801,12468623,0,0,2012,267,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Philippine Institute for Development Studies,19200,25300,33000,0,0,2012,268,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
"      People`s Television Network, Incorporated",4039,0,0,0,0,2012,269,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Development Bank of the Philippines,2447,0,0,0,0,2012,270,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Philippine Deposit Insurance Corporation,4403271,0,0,0,0,2012,271,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Calamity Fund,0,305000,457500,0,0,2012,272,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Contingent Fund,0,833000,833000,0,0,2012,273,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Miscellaneous Personnel Benefits Fund,0,11375864,16339899,0,0,2012,274,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Payapa at Masaganang Pamayanan Fund,0,0,0,0,0,2012,275,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Priority Development Assistance Fund,0,295440,298680,0,0,2012,276,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      E-Government Fund,0,1190000,1000000,0,0,2012,277,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,2716520,2609014,3318644,0,0,2012,278,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Bureau of Corrections,1393550,1546628,1591907,0,0,2012,279,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Land Registration Authority,1015039,790201,854004,0,0,2012,280,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             National Bureau of Investigation,906889,826439,888866,0,0,2012,281,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Parole and Probation Administration,484131,456468,485331,0,0,2012,282,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Bureau of Fire Protection,6648314,8221809,8570678,0,0,2012,283,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Bureau of Jail Management and Penology,4588890,5153053,5617353,0,0,2012,284,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Philippine National Police,60427743,69475778,73757868,0,0,2012,285,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             National Police Commission,1353355,1342359,1366801,0,0,2012,286,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Office of Civil Defense,272289,96393,1228012,0,0,2012,287,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Supreme Court of the Philippines and the Lower Courts,12487474,12783344,12109397,0,0,2012,288,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
                 Presidential Electoral Tribunal,58557,67377,39955,0,0,2012,289,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Sandiganbayan,345098,329549,334556,0,0,2012,290,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Court of Appeals,1058584,946596,1029584,0,0,2012,291,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Court of Tax Appeals,316634,180524,192897,0,0,2012,292,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Office of the Ombudsman,1181452,1109289,785900,0,0,2012,293,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Calamity Fund,0,775000,1162500,0,0,2012,294,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Contingent Fund,0,76000,76000,0,0,2012,295,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Miscellaneous Personnel Benefits Fund,0,11587837,16644369,0,0,2012,296,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Priority Development Assistance Fund,0,24620,24890,0,0,2012,297,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Governance Commission for Government-Owned and Controlled Corporations,0,0,0,0,0,2012,298,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Presidential Commission on Good Government,141194,93101,96477,0,0,2012,299,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Office of the Presidential Adviser on the Peace Process,365533,235880,569639,0,0,2012,300,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Metropolitan Manila Development Authority,1393520,980993,1375469,0,0,2012,301,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Barangay Officials Death Benefits Fund,0,50000,50000,0,0,2012,302,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Financial Subsidy to Local Government Units,3900056,200000,200000,0,0,2012,303,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Special Financial Assistance to Local Government Units,4599910,0,0,0,0,2012,304,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
      International Commitments Fund,0,3174820,2683248,0,0,2012,305,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
      Miscellaneous Personnel Benefits Fund,0,141315,202980,0,0,2012,306,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
      Tax Expenditures Fund,0,4950000,10904190,0,0,2012,307,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
         ,74424666,80344387,76526686,0,0,2012,308,0,GENERAL PUBLIC SERVICES,Subsidy to Local Government Units,,,,,,4
      ,9258000,15000000,23000000,0,0,2012,309,0,NET LENDING,NET LENDING,,,,,,5
      ,294244000,357090000,333107000,0,0,2012,310,0,DEBT-SERVICE-INTEREST PAYMENTS,DEBT-SERVICE-INTEREST PAYMENTS,,,,,,6
