particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
   Presidential Communications Operations Office,607857,506275,43913,552164,391551,32442,590177,422260,35509,1,
     Presidential Communications Operations,,,,,,,,,,,
        Office (Proper),26395,103044,905,22048,77089,0,23311,100840,0,,
     Bureau of Broadcast Services,196555,115031,17701,176106,100326,16221,184028,93744,0,,
     Bureau of Communications Services,18087,13562,523,16507,12445,0,17165,13613,1300,,
     National Printing Office,127652,36537,2017,120864,16100,0,126463,18086,0,,
     News and Information Bureau,74609,38747,739,66180,24893,0,70196,25490,0,,
     Philippine Information Agency,124238,135688,17943,113811,119537,16221,127690,105511,10000,,
     Presidential Broadcast Staff (RTVM),40321,63666,4085,36648,41161,0,41324,64976,24209,,
,,,,,,,,,,,
   Other Executive Offices,2870607,4034672,2735220,2704465,3960888,167848,3045937,4855198,626631,1,
     Anti-Money Laundering Council,0,10596,0,0,9690,0,0,14923,15176,,
     Commission on Filipinos Overseas,24187,25663,1292,19539,26269,5045,20980,30630,4527,,
     Commission on Higher Education,201118,1394331,66525,223067,1465025,6680,207297,1750187,250000,,
     Commission on the Filipino Language,23002,10020,0,21390,11267,0,25968,10238,1300,,
     Dangerous Drugs Board,38424,107822,0,35609,129559,0,37874,131168,1800,,
     Energy Regulatory Commission,138625,80993,30187,138344,67826,0,143026,70191,500,,
     Film Development Council of the Philippines,7159,94112,4066,6924,70322,0,7893,49170,12049,,
     Games and Amusements Board,46334,19079,236,43361,17574,1142,43889,17996,4105,,
     Housing and Land Use Regulatory Board,159785,63787,4862,126256,51820,0,155938,60050,1557,,
     Housing and Urban Development,,,,,,,,,,,
        Coordinating Council,40951,54289,4417,39317,67216,7200,42517,67527,18380,,
     Mindanao Development Authority,25809,30345,1672,27266,27998,900,31346,28670,0,,
     Movie and Television Review and,,,,,,,,,,,
        Classification Board,18221,19067,9909,16493,18012,9269,17147,17943,8019,,
     National Anti-Poverty Commission,15904,44321,718,25495,44382,3974,29288,72048,1520,,
     Climate Change Commission,5453,0,0,18569,16611,3700,21270,42010,0,,
,,,,,,,,,,,
     National Commission for Culture and the Arts,151658,367155,98011,141802,364714,27864,152469,441468,136468,1,
        National Commission for Culture and,,,,,,,,,,,
           the Arts (Proper),22686,259363,53987,22363,241596,4977,22749,305178,4279,,
        National Historical Commission of the,,,,,,,,,,,
           Philippines (National Historical Institute),41019,46009,28064,36852,43297,10516,41688,47017,79025,,
        The National Library of the,,,,,,,,,,,
           Philippines (The National Library),46191,36383,15815,43025,41952,9920,45184,47814,48700,,
        National Archives of the Philippines,,,,,,,,,,,
           (formerly Records Management and,,,,,,,,,,,
           Archives Office),41762,25400,145,39562,37869,2451,42848,41459,4464,,
     National Commission on Indigenous Peoples,471854,231251,8620,435717,249030,6380,469023,270065,19018,,
     National Intelligence Coordinating Agency,344333,142787,9118,303693,137284,1369,321332,137284,0,,
     National Security Council,33109,34422,3700,32091,30204,1000,35072,40469,0,,
     National Commission on Muslim Filipinos,,,,,,,,,,,
        (Office on Muslim Affairs),313974,85520,5562,288354,80553,1070,310839,83154,0,,
     National Telecommunications Commission,155767,86490,42123,144741,58544,0,161048,59949,0,,
     Office of the Presidential Adviser on,,,,,,,,,,,
        the Peace Process,42303,319741,3489,40248,183132,12500,55169,514470,0,,
     Optical Media Board,22946,13145,491,20143,15469,1281,22637,17145,3180,,
     Philippine Commission on Women (National,,,,,,,,,,,
        Commission on the Role of Filipino Women),24682,55261,1657,25709,83843,2000,26462,75793,1030,,
     Pasig River Rehabilitation Commission,8447,105810,2326878,7910,92322,57505,8100,171914,113564,,
     Philippine Drug Enforcement Agency,310136,252225,20222,279967,235542,4376,432526,247251,0,,
     Philippine Racing Commission,24855,78064,400,22813,80429,800,23440,81160,1200,,
     Philippine Sports Commission,41486,148741,63303,40819,157055,0,46942,161584,0,,
     Presidential Commission for the Urban Poor,51056,18761,210,46181,16858,814,44369,32263,4830,,
     Presidential Communications Development,,,,,,,,,,,
        and Strategic Planning Office,0,1127,1226,18000,30000,2000,18631,30720,3950,,
     Presidential Legislative Liaison Office,12762,8020,558,11683,9038,90,13015,10239,581,,
     Presidential Management Staff,116267,131727,25768,102964,113300,10889,120430,117519,23877,,
,,,,,,,,,,,
   Autonomous Region in Muslim Mindanao,7710799,1917860,1061673,8153620,2222783,1476398,8945922,2156802,1365899,1,
     Autonomous Regional Government in Muslim Mindanao,7710799,1917860,1061673,8153620,2222783,1476398,8945922,2156802,1365899,,
,,,,,,,,,,,
   Joint Legislative-Executive Councils,542,372,0,1625,500,60,1625,512,0,1,
     Legislative-Executive Development,,,,,,,,,,,
        Advisory Council,542,372,0,1625,500,60,1625,512,0,,
,,,,,,,,,,,
   The Judiciary,11354305,3317395,343432,10721753,3500519,85118,9765809,3661950,278630,1,
     Supreme Court of the Philippines and the,,,,,,,,,,,
        Lower Courts,10327097,2832051,151,9754403,3028941,0,8826447,3126930,156020,,
        Presidential Electoral Tribunal,45340,13217,0,55071,12306,0,27550,12405,0,,
     Sandiganbayan,140536,111331,97754,132816,111615,85118,132656,114982,86918,,
     Court of Appeals,722782,301668,106571,644200,302396,0,650557,347519,31508,,
     Court of Tax Appeals,118550,59128,138956,135263,45261,0,128599,60114,4184,,
,,,,,,,,,,,
   Civil Service Commission,637770,136035,1000,579879,128179,5800,534236,155806,8900,1,
     Civil Service Commission,614162,117891,1000,561642,103381,5800,513518,128913,6412,,
        Career Executive Service Board,23608,18144,0,18237,24798,0,20718,26893,2488,,
,,,,,,,,,,,
   Commission on Audit,4539856,311906,12823,4311884,181289,0,4568453,312719,269776,,
,,,,,,,,,,,
   Commission on Elections,5640071,6882174,318932,1671352,709331,0,1814516,8164318,12000,,
,,,,,,,,,,,
   Office of the Ombudsman,890779,197483,103334,920936,188353,0,577288,192490,16122,,
,,,,,,,,,,,
   Commission on Human Rights,231188,82972,23043,226114,59352,0,198286,68797,12700,,
,,,,,,,,,,,
SPECIAL PURPOSE FUNDS,52398,643584684,11912137,105678628,696785401,37097050,135949462,689285104,49781917,1,
,,,,,,,,,,,
   Budgetary Support to Government Corporations,0,62511940,11651678,0,9776811,16005550,0,18170713,25079622,1,
,,,,,,,,,,,
     Department of Agrarian Reform,0,3988841,39559,0,0,0,0,0,0,1,
        Land Bank of the Philippines,0,3988841,39559,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Agriculture,0,42023428,30500,0,3383759,0,0,7667699,0,1,
"        Food Terminal, Incorporated",0,40898,0,0,0,0,0,0,0,,
        National Dairy Authority,0,52200,0,0,51619,0,0,170472,0,,
        National Food Authority,0,38394086,0,0,2500000,0,0,4000000,0,,
        National Irrigation Administration,0,0,0,0,0,0,0,2060598,0,,
        National Tobacco Administration,0,478990,0,0,77454,0,0,219200,0,,
        Philippine Coconut Authority,0,593086,0,0,549915,0,0,692757,0,,
        Philippine Crop Insurance Corporation,0,113771,30500,0,113771,0,0,183771,0,,
        Philippine Rice Research Institute,0,418000,0,0,91000,0,0,340901,0,,
        National Livelihood Development Corporation,0,1912397,0,0,0,0,0,0,0,,
        National Agribusiness Corporation,0,20000,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Energy,0,1046162,0,0,0,0,0,2568500,0,1,
        National Electrification Administration,0,21599,0,0,0,0,0,2568500,0,,
        National Transmission Corporation,0,1024563,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Environment and Natural Resources,0,95857,0,0,0,0,0,0,0,1,
        Laguna Lake Development Authority,0,857,0,0,0,0,0,0,0,,
        Natural Resources Development Corporation,0,95000,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Finance,0,4403271,0,0,0,0,0,0,0,1,
        Philippine Deposit Insurance Corporation,0,4403271,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Health,0,4649796,0,0,797360,0,0,894360,0,1,
        Lung Center of the Philippines,0,184205,0,0,157560,0,0,157560,0,,
        National Kidney and Transplant Institute,0,305341,0,0,162800,0,0,164800,0,,
        Philippine Children`s Medical Center,0,269920,0,0,318000,0,0,345000,0,,
        Philippine Heart Center,0,303557,0,0,122000,0,0,187000,0,,
        Philippine Health Insurance Corporation,0,3546773,0,0,0,0,0,0,0,,
        Philippine Institute of Traditional,,,,,,,,,,,
           and Alternative Health Care,0,40000,0,0,37000,0,0,40000,0,,
,,,,,,,,,,,
     Department of National Defense,0,248582,0,0,0,0,0,0,0,1,
        AFP Commissary and Exchange Service,0,248582,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Public Works and Highways,0,2702,0,0,0,0,0,0,0,1,
        Local Water Utilities Administration,0,2702,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Tourism,0,65000,0,0,65000,0,0,0,250000,1,
        Tourism Promotions Board,0,37915,0,0,65000,0,0,0,250000,,
        Philippine Convention and Visitors Corporation,0,27085,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Trade and Industry,0,106246,191669,0,132686,100000,0,151510,277500,1,
        Aurora Pacific Economic Zone and,,,,,,,,,,,
           Freeport Authority (formerly ASEZA),0,22500,100000,0,45000,100000,0,55000,277500,,
        Center for International Trade,,,,,,,,,,,
           Expositions and Missions,0,73746,0,0,79686,0,0,88510,0,,
        Cottage Industry Technology Center,0,10000,0,0,8000,0,0,8000,0,,
        Small Business Corporation,0,0,91669,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Transportation and Communications,0,629932,0,0,131000,0,0,301000,0,1,
        Philippine National Railways,0,348656,0,0,131000,0,0,0,0,,
        Philippine Postal Corporation,0,281276,0,0,0,0,0,301000,0,,
,,,,,,,,,,,
     National Economic and Development Authority,0,19200,0,0,25300,0,0,33000,0,1,
        Philippine Institute for Development Studies,0,19200,0,0,25300,0,0,33000,0,,
,,,,,,,,,,,
     Presidential Communications Operations Office,0,4039,0,0,0,0,0,0,0,1,
"        People`s Television Network, Incorporated",0,4039,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Other Executive Offices,0,5228884,2131950,0,5228100,905550,0,6541038,1552122,1,
        Authority of the Freeport Area of Bataan,0,0,0,0,0,100000,0,0,100000,,
        Bases Conversion Development Authority,0,689587,0,0,0,0,0,0,0,,
        Cagayan Economic Zone Authority,0,0,1114450,0,0,294550,0,12003,903500,,
        Credit Information Corporation,0,0,17500,0,0,0,0,28410,37622,,
        Cultural Center of the Philippines,0,105000,0,0,200000,0,0,202000,0,,
        Development Academy of the Philippines,0,20000,0,0,45000,0,0,45000,0,,
        Development Bank of the Philippines,0,2447,0,0,0,0,0,0,0,,
        North Luzon Railways Corporation,0,399060,0,0,0,0,0,0,0,,
        Home Guaranty Corporation,0,0,600000,0,0,500000,0,0,500000,,
        National Home Mortgage Finance Corporation,0,500000,400000,0,500000,0,0,500000,0,,
        National Housing Authority,0,3423040,0,0,4375000,0,0,5631025,0,,
        Philippine Center for Economic Development,0,29750,0,0,0,0,0,14500,0,,
        Southern Philippines Development Authority,0,30000,0,0,59000,0,0,59000,0,,
        Zamboanga City Special Economic Zone Authority,0,30000,0,0,49100,11000,0,49100,11000,,
,,,,,,,,,,,
     Budgetary Support to Government,,,,,,,,,,,
        Corporations - Others,0,0,0,0,13606,0,0,13606,0,,
     Net Lending,0,0,9258000,0,0,15000000,0,0,23000000,,
,,,,,,,,,,,
   Allocations to Local Government Units,52398,286828744,260459,21088,299817270,208000,21518,291271438,322000,1,
     Internal Revenue Allotment,0,265802377,0,0,286944239,0,0,273309592,0,,
     Special Shares of Local Government Units,,,,,,,,,,,
        in the Proceeds of National Taxes,0,11445118,0,0,11871126,0,0,16679895,0,,
     Barangay Officials Death Benefits Fund,0,0,0,0,50000,0,0,50000,0,,
     Metropolitan Manila Development Authority,52398,1081283,260459,21088,751905,208000,21518,1031951,322000,,
     Special Financial Assistance to Local,,,,,,,,,,,
        Government Units,0,4599910,0,0,0,0,0,0,0,,
     Financial Subsidy to Local Government Units,0,3900056,0,0,200000,0,0,200000,0,,
,,,,,,,,,,,
   Calamity Fund,0,0,0,0,3450000,1550000,0,3450000,4050000,,
,,,,,,,,,,,
   Contingent Fund,0,0,0,0,740000,260000,0,740000,260000,,
,,,,,,,,,,,
   Department of Education - School Building Program,0,0,0,0,0,1000000,0,0,1000000,,
,,,,,,,,,,,
   E-Government Fund,0,0,0,0,0,1190000,0,0,1000000,,
,,,,,,,,,,,
   International Commitments Fund,0,0,0,0,3174820,0,0,1795953,887295,,
,,,,,,,,,,,
   Miscellaneous Personnel Benefits Fund,0,0,0,70657540,0,0,101490053,0,0,,
,,,,,,,,,,,
   Retirement Benefits Fund (Pension and,,,,,,,,,,,
      Gratuity Fund),0,0,0,35000000,0,0,34437891,0,0,,
,,,,,,,,,,,
   Priority Development Assistance Fund,0,0,0,0,7736500,16883500,0,7707000,17183000,,
,,,,,,,,,,,
   Tax Expenditures Fund,0,0,0,0,15000000,0,0,33043000,0,,
,,,,,,,,,,,
   Debt Service Fund-Interest Payment,0,294244000,0,0,357090000,0,0,333107000,0,,
,,,,,,,,,,,
GRAND TOTAL,457560143,812994064,202423222,540156996,897123465,207719539,593293409,942416703,280289888,3,
