particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_cd,ssect_cd,agy_type,owner_cd,dept,agy,owner_dsc,amt_actual_orig,amt_adj_orig,amt_prop_orig
             Commission on the Filipino Language,32903,32657,37506,0,0,2012,123,0,2,12,DEPT,CFL-OEO,Other Executive Offices,Commission on the Filipino Language,,32903,32657,37506
             National Commission for Culture and the Arts,616525,534380,730405,5,0,2012,,0,2,12,DEPT,,Other Executive Offices,National Commission for Culture and the Arts,National Commission for Culture and the Arts,616525,534380,730405
                 National Commission for Culture and the Arts (Proper),336036,268936,332206,0,0,2012,124,0,2,12,DEPT,NCCA-PROPER,Other Executive Offices,National Commission for Culture and the Arts,National Commission for Culture and the Arts (Proper),336036,268936,332206
                 National Historical Commission of the Philippines (National Historical Institute),115092,90665,167730,0,0,2012,125,0,2,12,DEPT,NHI-NCCA,Other Executive Offices,National Commission for Culture and the Arts,National Historical Commission of the Philippines (National Historical Institute),115092,90665,167730
                 The National Library of the Philippines (The National Library),98090,94897,141698,0,0,2012,126,0,2,12,DEPT,NL-NCCA,Other Executive Offices,National Commission for Culture and the Arts,The National Library of the Philippines (The National Library),98090,94897,141698
                 National Archives of the Philippines (formerly Records
                    Management and Archives Office),67307,79882,88771,0,0,2012,127,0,2,12,DEPT,RMAO-NCCA,Other Executive Offices,National Commission for Culture and the Arts,National Archives of the Philippines (formerly Records Management and Archives Office),67307,79882,88771
             Philippine Sports Commission,253411,197874,208526,0,0,2012,128,0,2,12,DEPT,PSCOM,Other Executive Offices,Philippine Sports Commission,,253411,197874,208526
             Film Development Council of the Philippines,105179,77246,69112,0,0,2012,129,0,2,12,DEPT,FDCP,Other Executive Offices,Film Development Council of the Philippines,,105179,77246,69112
   Other Special Purpose Funds,0,33675417,46890672,3,1,2012,,0,2,12,OSPF,,,,,0,33675417,46890672
      Department of Education - School Building Program,0,1000000,1000000,0,0,2012,130,0,2,12,OSPF,DECS-BEFP,Department of Education - School Building Program,,,0,1000000,1000000
      Calamity Fund,0,230000,345000,0,0,2012,131,0,2,12,OSPF,CF,Calamity Fund,,,0,230000,345000
      Miscellaneous Personnel Benefits Fund,0,29958797,43031782,0,0,2012,132,0,2,12,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,29958797,43031782
      Priority Development Assistance Fund,0,2486620,2513890,0,0,2012,133,0,2,12,OSPF,PDAF,Priority Development Assistance Fund,,,0,2486620,2513890
Health,30997955,38391524,49903270,2,1,2012,,0,2,13,,,,,,30997955,38391524,49903270
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,26348159,34364941,44825259,3,1,2012,,0,2,13,DEPT,,,,,26348159,34364941,44825259
      Department of Health,25170053,33131691,43395914,4,0,2012,,0,2,13,DEPT,,Department of Health,Department of Health,,25170053,33131691,43395914
             Office of the Secretary,24359796,32522520,42771536,0,0,2012,134,0,2,13,DEPT,OSEC-DOH,Department of Health,Office of the Secretary,,24359796,32522520,42771536
             Commission on Population,327462,298124,299455,0,0,2012,135,0,2,13,DEPT,POPCOM-DOH,Department of Health,Commission on Population,,327462,298124,299455
             National Nutrition Council,482795,311047,324923,0,0,2012,136,0,2,13,DEPT,NNC-DOH,Department of Health,National Nutrition Council,,482795,311047,324923
      Other Executive Offices,145727,165168,170842,4,0,2012,,0,2,13,DEPT,,Other Executive Offices,Other Executive Offices,,145727,165168,170842
             Dangerous Drugs Board,145727,165168,170842,0,0,2012,137,0,2,13,DEPT,DDB-OEO,Other Executive Offices,Dangerous Drugs Board,,145727,165168,170842
      Department of National Defense,792156,848060,836767,4,0,2012,,0,2,13,DEPT,,Department of National Defense,Department of National Defense,,792156,848060,836767
             Veterans Memorial Medical Center,792156,848060,836767,0,0,2012,138,0,2,13,DEPT,PVAO-VMMC,Department of National Defense,Veterans Memorial Medical Center,,792156,848060,836767
      Department of Science and Technology,240223,220022,421736,4,0,2012,,0,2,13,DEPT,,Department of Science and Technology,Department of Science and Technology,,240223,220022,421736
             Food and Nutrition Research Institute,117200,141236,159448,0,0,2012,139,0,2,13,DEPT,FNRI,Department of Science and Technology,Food and Nutrition Research Institute,,117200,141236,159448
             Philippine Council for Health Research and Development,123023,78786,262288,0,0,2012,140,0,2,13,DEPT,PCHRD,Department of Science and Technology,Philippine Council for Health Research and Development,,123023,78786,262288
   Budgetary Support to Government Corporations,4649796,797360,894360,3,1,2012,,0,2,13,BSGC,,,,,4649796,797360,894360
      Local Water Utilities Administration,0,0,0,0,0,2012,141,0,2,13,BSGC,LWUA-DOH,Local Water Utilities Administration,,,0,0,0
      Lung Center of the Philippines,184205,157560,157560,0,0,2012,142,0,2,13,BSGC,LCP,Lung Center of the Philippines,,,184205,157560,157560
      National Kidney and Transplant Institute,305341,162800,164800,0,0,2012,143,0,2,13,BSGC,NKI,National Kidney and Transplant Institute,,,305341,162800,164800
      Philippine Children`s Medical Center,269920,318000,345000,0,0,2012,144,0,2,13,BSGC,PCMD,Philippine Children`s Medical Center,,,269920,318000,345000
      Philippine Heart Center,303557,122000,187000,0,0,2012,145,0,2,13,BSGC,PHC,Philippine Heart Center,,,303557,122000,187000
      Philippine Institute of Traditional and Alternative Health Care,40000,37000,40000,0,0,2012,146,0,2,13,BSGC,PITAHC,Philippine Institute of Traditional and Alternative Health Care,,,40000,37000,40000
      Philippine Health Insurance Corporation,3546773,0,0,0,0,2012,147,0,2,13,BSGC,PHIC,Philippine Health Insurance Corporation,,,3546773,0,0
   Other Special Purpose Funds,0,3229223,4183651,3,1,2012,,0,2,13,OSPF,,,,,0,3229223,4183651
      Miscellaneous Personnel Benefits Fund,0,1625123,2334271,0,0,2012,148,0,2,13,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,1625123,2334271
      Calamity Fund,0,100000,150000,0,0,2012,149,0,2,13,OSPF,CF,Calamity Fund,,,0,100000,150000
      Tax Expenditures Fund,0,150000,330430,0,0,2012,150,0,2,13,OSPF,TEF,Tax Expenditures Fund,,,0,150000,330430
      Priority Development Assistance Fund,0,1354100,1368950,0,0,2012,151,0,2,13,OSPF,PDAF,Priority Development Assistance Fund,,,0,1354100,1368950
"Social Security, Welfare and Employment",80231415,94105041,104452483,2,1,2012,,0,2,14,,,,,,80231415,94105041,104452483
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,21444008,52055561,62296082,3,1,2012,,0,2,14,DEPT,,,,,21444008,52055561,62296082
      Department of Justice,1335346,1270681,1457100,4,0,2012,,0,2,14,DEPT,,Department of Justice,Department of Justice,,1335346,1270681,1457100
             Public Attorney's Office,1335346,1270681,1457100,0,0,2012,152,0,2,14,DEPT,PAO,Department of Justice,Public Attorney's Office,,1335346,1270681,1457100
      Department of Labor and Employment,3449694,3092202,3610482,4,0,2012,,0,2,14,DEPT,,Department of Labor and Employment,Department of Labor and Employment,,3449694,3092202,3610482
             Office of the Secretary,2281066,1993499,2363322,0,0,2012,153,0,2,14,DEPT,OSEC-DOLE,Department of Labor and Employment,Office of the Secretary,,2281066,1993499,2363322
             Institute for Labor Studies,23392,21928,26181,0,0,2012,154,0,2,14,DEPT,ILS,Department of Labor and Employment,Institute for Labor Studies,,23392,21928,26181
             National Conciliation and Mediation Board,132057,127772,154677,0,0,2012,155,0,2,14,DEPT,NCMB,Department of Labor and Employment,National Conciliation and Mediation Board,,132057,127772,154677
             National Labor Relations Commission,558357,492831,567952,0,0,2012,156,0,2,14,DEPT,NLRC,Department of Labor and Employment,National Labor Relations Commission,,558357,492831,567952
             National Wages and Productivity Commission,138300,144817,173834,0,0,2012,157,0,2,14,DEPT,NWPC,Department of Labor and Employment,National Wages and Productivity Commission,,138300,144817,173834
             Philippine Overseas Employment Administration,316522,311355,324516,0,0,2012,158,0,2,14,DEPT,POEA,Department of Labor and Employment,Philippine Overseas Employment Administration,,316522,311355,324516
      Department of National Defense,352243,13043843,7461096,4,0,2012,,0,2,14,DEPT,,Department of National Defense,Department of National Defense,,352243,13043843,7461096
             Philippine Veterans Affairs Office (Proper),352243,13043843,7461096,0,0,2012,159,0,2,14,DEPT,AFP-PVAO,Department of National Defense,Philippine Veterans Affairs Office (Proper),,352243,13043843,7461096
      Department of Social Welfare and Development,16046547,34348726,49423664,4,0,2012,,0,2,14,DEPT,,Department of Social Welfare and Development,Department of Social Welfare and Development,,16046547,34348726,49423664
             Office of the Secretary,15893869,34207874,49272410,0,0,2012,160,0,2,14,DEPT,OSEC-DSWD,Department of Social Welfare and Development,Office of the Secretary,,15893869,34207874,49272410
             Council for the Welfare of Children,22645,23411,28994,0,0,2012,161,0,2,14,DEPT,CWCY,Department of Social Welfare and Development,Council for the Welfare of Children,,22645,23411,28994
             Inter-Country Adoption Board,29009,24977,25960,0,0,2012,162,0,2,14,DEPT,ICAB,Department of Social Welfare and Development,Inter-Country Adoption Board,,29009,24977,25960
             National Youth Commission,66526,63156,64880,0,0,2012,163,0,2,14,DEPT,NYC-DSWD,Department of Social Welfare and Development,National Youth Commission,,66526,63156,64880
             National Council on Disability Affairs,34498,29308,31420,0,0,2012,164,0,2,14,DEPT,NCWDP,Department of Social Welfare and Development,National Council on Disability Affairs,,34498,29308,31420
      Other Executive Offices,260178,300109,343740,4,0,2012,,0,2,14,DEPT,,Other Executive Offices,Other Executive Offices,,260178,300109,343740
             Commission on Filipinos Overseas,50776,50853,56137,0,0,2012,165,0,2,14,DEPT,CFO-OEO,Other Executive Offices,Commission on Filipinos Overseas,,50776,50853,56137
             Philippine Commission on Women (National Commission
                on the Role of Filipino Women),81415,111552,103285,0,0,2012,166,0,2,14,DEPT,NCRFW,Other Executive Offices,Philippine Commission on Women (National Commission on the Role of Filipino Women),,81415,111552,103285
             National Anti-Poverty Commission,60943,73851,102856,0,0,2012,167,0,2,14,DEPT,NAPC,Other Executive Offices,National Anti-Poverty Commission,,60943,73851,102856
             Presidential Commission for the Urban Poor,67044,63853,81462,0,0,2012,168,0,2,14,DEPT,PCUP,Other Executive Offices,Presidential Commission for the Urban Poor,,67044,63853,81462
   Other Special Purpose Funds,58787407,42049480,42156401,3,1,2012,,0,2,14,OSPF,,,,,58787407,42049480,42156401
      Miscellaneous Personnel Benefits Fund,0,565260,811920,0,0,2012,169,0,2,14,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,565260,811920
      Calamity Fund,0,720000,1080000,0,0,2012,170,0,2,14,OSPF,CF,Calamity Fund,,,0,720000,1080000
      Retirement Benefits Fund (Pension and Gratuity Fund),58787407,35000000,34437891,0,0,2012,171,0,2,14,OSPF,PGF,Retirement Benefits Fund (Pension and Gratuity Fund),,,58787407,35000000,34437891
      Contingent Fund,0,77000,77000,0,0,2012,172,0,2,14,OSPF,COF,Contingent Fund,,,0,77000,77000
      Payapa at Masaganang Pamayanan Fund,0,0,0,0,0,2012,173,0,2,14,OSPF,PAMANA,Payapa at Masaganang Pamayanan Fund,,,0,0,0
      Priority Development Assistance Fund,0,5687220,5749590,0,0,2012,174,0,2,14,OSPF,PDAF,Priority Development Assistance Fund,,,0,5687220,5749590
Housing and Community Development,7145076,5737467,7078484,2,1,2012,,0,2,15,,,,,,7145076,5737467,7078484
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,309639,291809,345969,3,1,2012,,0,2,15,DEPT,,,,,309639,291809,345969
      Other Executive Offices,309639,291809,345969,4,0,2012,,0,2,15,DEPT,,Other Executive Offices,Other Executive Offices,,309639,291809,345969
             Housing and Land Use Regulatory Board,211473,178076,217545,0,0,2012,175,0,2,15,DEPT,HLURB,Other Executive Offices,Housing and Land Use Regulatory Board,,211473,178076,217545
             Housing and Urban Development Coordinating Council,98166,113733,128424,0,0,2012,176,0,2,15,DEPT,HUDCC,Other Executive Offices,Housing and Urban Development Coordinating Council,,98166,113733,128424
   Budgetary Support to Government Corporations,6835437,5375000,6631025,3,1,2012,,0,2,15,BSGC,,,,,6835437,5375000,6631025
      Home Guaranty Corporation,600000,500000,500000,0,0,2012,177,0,2,15,BSGC,HIGC,Home Guaranty Corporation,,,600000,500000,500000
      National Home Mortgage Finance Corporation,900000,500000,500000,0,0,2012,178,0,2,15,BSGC,NHMFC,National Home Mortgage Finance Corporation,,,900000,500000,500000
      National Housing Authority,3423040,4375000,5631025,0,0,2012,179,0,2,15,BSGC,NHA,National Housing Authority,,,3423040,4375000,5631025
      National Livelihood Development Corporation,1912397,0,0,0,0,2012,180,0,2,15,BSGC,LIVECOR,National Livelihood Development Corporation,,,1912397,0,0
   Other Special Purpose Funds,0,70658,101490,3,1,2012,,0,2,15,OSPF,,,,,0,70658,101490
      Miscellaneous Personnel Benefits Fund,0,70658,101490,0,0,2012,181,0,2,15,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,70658,101490
Land Distribution,4028400,3966110,2500000,2,1,2012,,0,2,16,,,,,,4028400,3966110,2500000
,,,,0,0,2012,,0,,,,,,,,,,
   Other Special Purpose Funds,4028400,3966110,2500000,3,1,2012,,0,2,16,OSPF,,,,,4028400,3966110,2500000
      Agrarian Reform Fund,4028400,3966110,2500000,4,0,2012,,0,2,16,OSPF,,Agrarian Reform Fund,Agrarian Reform Fund,,4028400,3966110,2500000
             Land Bank of the Philippines,4028400,3966110,2500000,0,0,2012,182,0,2,16,OSPF,LBP,Agrarian Reform Fund,Land Bank of the Philippines,,4028400,3966110,2500000
Other Social Services,1434726,1583163,1761242,2,1,2012,,0,2,17,,,,,,1434726,1583163,1761242
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,1434726,1346570,1431882,3,1,2012,,0,2,17,DEPT,,,,,1434726,1346570,1431882
      Other Executive Offices,1098980,1061104,1152099,4,0,2012,,0,2,17,DEPT,,Other Executive Offices,Other Executive Offices,,1098980,1061104,1152099
             National Commission on Indigenous Peoples,709679,691127,758106,0,0,2012,183,0,2,17,DEPT,NCIP,Other Executive Offices,National Commission on Indigenous Peoples,,709679,691127,758106
             National Commission on Muslim Filipinos (Office on Muslim Affairs),389301,369977,393993,0,0,2012,184,0,2,17,DEPT,OMA,Other Executive Offices,National Commission on Muslim Filipinos (Office on Muslim Affairs),,389301,369977,393993
      Commission on Human Rights,335746,285466,279783,0,0,2012,185,0,2,17,DEPT,CHR,Commission on Human Rights,,,335746,285466,279783
   Other Special Purpose Funds,0,236593,329360,3,1,2012,,0,2,17,OSPF,,,,,0,236593,329360
      Miscellaneous Personnel Benefits Fund,0,211973,304470,0,0,2012,186,0,2,17,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,211973,304470
      Priority Development Assistance Fund,0,24620,24890,0,0,2012,187,0,2,17,OSPF,PDAF,Priority Development Assistance Fund,,,0,24620,24890
,,,,0,0,,,0,,,,,,,,,,
Subsidy to Local Government Units,98346879,106169368,101124549,0,1,2012,188,0,2,18,,IRA,,,,98346879,106169368,101124549
,,,,0,0,,,0,,,,,,,,,,
DEFENSE,72181154,101448913,113116838,1,1,2012,,0,3,,,,,,,72181154,101448913,113116838
,,,,0,0,2012,,0,,,,,,,,,,
Domestic Security,72181154,101448913,113116838,2,1,2012,,0,3,19,,,,,,72181154,101448913,113116838
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,71932572,90623255,97335440,3,1,2012,,0,3,19,DEPT,,,,,71932572,90623255,97335440
      Department of National Defense,71932572,90623255,97335440,4,0,2012,,0,3,19,DEPT,,Department of National Defense,Department of National Defense,,71932572,90623255,97335440
             DND Proper (Office of the Secretary),532937,316608,690307,0,0,2012,189,0,3,19,DEPT,OSEC-DND,Department of National Defense,DND Proper (Office of the Secretary),,532937,316608,690307
             Armed Forces of the Philippines,70999854,89875721,95988219,5,0,2012,,0,3,19,DEPT,,Department of National Defense,Armed Forces of the Philippines,Armed Forces of the Philippines,70999854,89875721,95988219
"                 General Headquarters, AFP and AFP Wide Service
                    Support Units (AFPWSSUS)",11663817,34732305,37896847,0,0,2012,190,0,3,19,DEPT,AFP-GHQ,Department of National Defense,Armed Forces of the Philippines,"General Headquarters, AFP and AFP Wide Service Support Units (AFPWSSUS)",11663817,34732305,37896847
                 Philippine Air Force (Air Force),10562870,10166488,10576799,0,0,2012,191,0,3,19,DEPT,AFP-PAF,Department of National Defense,Armed Forces of the Philippines,Philippine Air Force (Air Force),10562870,10166488,10576799
                 Philippine Army (Land Forces),36783992,33607948,35414458,0,0,2012,192,0,3,19,DEPT,AFP-PA,Department of National Defense,Armed Forces of the Philippines,Philippine Army (Land Forces),36783992,33607948,35414458
                 Philippine Navy (Naval Forces),11989175,11368980,12100115,0,0,2012,193,0,3,19,DEPT,AFP-PN,Department of National Defense,Armed Forces of the Philippines,Philippine Navy (Naval Forces),11989175,11368980,12100115
             Government Arsenal,399781,430926,656914,0,0,2012,194,0,3,19,DEPT,GA,Department of National Defense,Government Arsenal,,399781,430926,656914
   Budgetary Support to Government Corporations,248582,0,0,3,1,2012,,0,3,19,BSGC,,,,,248582,0,0
      AFP Commissary and Exchange Service,248582,0,0,0,0,2012,195,0,3,19,BSGC,AFPCES,AFP Commissary and Exchange Service,,,248582,0,0
   Other Special Purpose Funds,0,10825658,15781398,3,1,2012,,0,3,19,OSPF,,,,,0,10825658,15781398
      Miscellaneous Personnel Benefits Fund,0,10386658,14919038,0,0,2012,196,0,3,19,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,10386658,14919038
      Contingent Fund,0,14000,14000,0,0,2012,197,0,3,19,OSPF,COF,Contingent Fund,,,0,14000,14000
      Calamity Fund,0,125000,187500,0,0,2012,198,0,3,19,OSPF,CF,Calamity Fund,,,0,125000,187500
      Tax Expenditures Fund,0,300000,660860,0,0,2012,199,0,3,19,OSPF,TEF,Tax Expenditures Fund,,,0,300000,660860
,,,,0,0,,,0,,,,,,,,,,
GENERAL PUBLIC SERVICES,269294349,288345546,332595128,1,1,2012,,0,4,,,,,,,269294349,288345546,332595128
,,,,0,0,2012,,0,,,,,,,,,,
General Administration,89214952,79776773,109906927,2,1,2012,,0,4,21,,,,,,89214952,79776773,109906927
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,84785995,65752169,90944849,3,1,2012,,0,4,21,DEPT,,,,,84785995,65752169,90944849
      Congress of the Philippines,9262552,8723033,8877878,4,0,2012,,0,4,21,DEPT,,Congress of the Philippines,Congress of the Philippines,,9262552,8723033,8877878
             Senate,2650913,2693824,2739987,0,0,2012,200,0,4,21,DEPT,SP,Congress of the Philippines,Senate,,2650913,2693824,2739987
             Senate Electoral Tribunal,120501,101273,90043,0,0,2012,201,0,4,21,DEPT,SET,Congress of the Philippines,Senate Electoral Tribunal,,120501,101273,90043
             Commission on Appointments,367347,397038,416991,0,0,2012,202,0,4,21,DEPT,CA,Congress of the Philippines,Commission on Appointments,,367347,397038,416991
             House of Representatives,6008645,5412825,5527022,0,0,2012,203,0,4,21,DEPT,HR,Congress of the Philippines,House of Representatives,,6008645,5412825,5527022
             House Electoral Tribunal,115146,118073,103835,0,0,2012,204,0,4,21,DEPT,HET,Congress of the Philippines,House Electoral Tribunal,,115146,118073,103835
      Office of the President,2388816,2478248,2721817,0,0,2012,205,0,4,21,DEPT,OP-PROPER,Office of the President,,,2388816,2478248,2721817
      Office of the Vice-President,175321,187805,404802,0,0,2012,206,0,4,21,DEPT,OVP,Office of the Vice-President,,,175321,187805,404802
      Department of Budget and Management,1673816,780880,865508,4,0,2012,,0,4,21,DEPT,,Department of Budget and Management,Department of Budget and Management,,1673816,780880,865508
             Office of the Secretary,1673816,757303,841863,0,0,2012,207,0,4,21,DEPT,OSEC-DBM,Department of Budget and Management,Office of the Secretary,,1673816,757303,841863
             Government Procurement Policy Board - Technical Support Office,0,23577,23645,0,0,2012,208,0,4,21,DEPT,GPPB-TSO,Department of Budget and Management,Government Procurement Policy Board - Technical Support Office,,0,23577,23645
      Department of Finance,19818964,12480922,23567682,4,0,2012,,0,4,21,DEPT,,Department of Finance,Department of Finance,,19818964,12480922,23567682
             Office of the Secretary,2247432,1959422,1566320,0,0,2012,209,0,4,21,DEPT,OSEC-DOF,Department of Finance,Office of the Secretary,,2247432,1959422,1566320
             Bureau of Customs,2404993,1959827,9441273,0,0,2012,210,0,4,21,DEPT,BOC,Department of Finance,Bureau of Customs,,2404993,1959827,9441273
             Bureau of Internal Revenue,6459130,6993597,10722070,0,0,2012,211,0,4,21,DEPT,BIR,Department of Finance,Bureau of Internal Revenue,,6459130,6993597,10722070
             Bureau of Local Government Finance,201564,188900,181402,0,0,2012,212,0,4,21,DEPT,BLGF,Department of Finance,Bureau of Local Government Finance,,201564,188900,181402
             Bureau of the Treasury,7723903,629713,543961,0,0,2012,213,0,4,21,DEPT,BTR,Department of Finance,Bureau of the Treasury,,7723903,629713,543961
             Central Board of Assessment Appeals,9758,8878,9278,0,0,2012,214,0,4,21,DEPT,CBAA,Department of Finance,Central Board of Assessment Appeals,,9758,8878,9278
             Insurance Commission,119207,143241,207966,0,0,2012,215,0,4,21,DEPT,IC,Department of Finance,Insurance Commission,,119207,143241,207966
             Privatization and Management Office,31495,28651,28651,0,0,2012,216,0,4,21,DEPT,PMO,Department of Finance,Privatization and Management Office,,31495,28651,28651
             National Tax Research Center,41476,39786,42612,0,0,2012,217,0,4,21,DEPT,NTRC,Department of Finance,National Tax Research Center,,41476,39786,42612
             Cooperative Development Authority,304736,274305,321930,0,0,2012,218,0,4,21,DEPT,CDA-DOF,Department of Finance,Cooperative Development Authority,,304736,274305,321930
             Securities and Exchange Commission,272270,254602,502219,0,0,2012,219,0,4,21,DEPT,SEC,Department of Finance,Securities and Exchange Commission,,272270,254602,502219
             Special National Public Reconstruction Commission,3000,0,0,0,0,2012,220,0,4,21,DEPT,SNPRC,Department of Finance,Special National Public Reconstruction Commission,,3000,0,0
      Department of Foreign Affairs,9662056,11101166,10988147,4,0,2012,,0,4,21,DEPT,,Department of Foreign Affairs,Department of Foreign Affairs,,9662056,11101166,10988147
             Office of the Secretary,9603132,11047320,10924823,0,0,2012,221,0,4,21,DEPT,OSEC-DFA,Department of Foreign Affairs,Office of the Secretary,,9603132,11047320,10924823
             Foreign Service Institute,39243,35189,43199,0,0,2012,222,0,4,21,DEPT,FSI,Department of Foreign Affairs,Foreign Service Institute,,39243,35189,43199
             Technical Cooperation Council of the Philippines,4170,3299,3404,0,0,2012,223,0,4,21,DEPT,TCCP,Department of Foreign Affairs,Technical Cooperation Council of the Philippines,,4170,3299,3404
             UNESCO National Commission of the Philippines,15511,15358,16721,0,0,2012,224,0,4,21,DEPT,UNESCO,Department of Foreign Affairs,UNESCO National Commission of the Philippines,,15511,15358,16721
      Department of Justice,1151130,895454,1050727,4,0,2012,,0,4,21,DEPT,,Department of Justice,Department of Justice,,1151130,895454,1050727
             Bureau of Immigration,568960,400533,486187,0,0,2012,225,0,4,21,DEPT,BI,Department of Justice,Bureau of Immigration,,568960,400533,486187
             Office of the Government Corporate Counsel,76327,69064,83177,0,0,2012,226,0,4,21,DEPT,OGCC,Department of Justice,Office of the Government Corporate Counsel,,76327,69064,83177
             Office of the Solicitor General,505843,425857,481363,0,0,2012,227,0,4,21,DEPT,OSG,Department of Justice,Office of the Solicitor General,,505843,425857,481363
      Department of the Interior and Local Government,2718380,2734691,5643212,4,0,2012,,0,4,21,DEPT,,Department of the Interior and Local Government,Department of the Interior and Local Government,,2718380,2734691,5643212
             Office of the Secretary,2718380,2734691,5643212,0,0,2012,228,0,4,21,DEPT,OSEC-DILG,Department of the Interior and Local Government,Office of the Secretary,,2718380,2734691,5643212
      Department of Public Works and Highways,424982,331890,376626,4,0,2012,,0,4,21,DEPT,,Department of Public Works and Highways,Department of Public Works and Highways,,424982,331890,376626
             Office of the Secretary,424982,331890,376626,0,0,2012,229,0,4,21,DEPT,OSEC-DPWH,Department of Public Works and Highways,Office of the Secretary,,424982,331890,376626
      Department of Science and Technology,1010860,1321271,1559945,4,0,2012,,0,4,21,DEPT,,Department of Science and Technology,Department of Science and Technology,,1010860,1321271,1559945
             National Research Council of the Philippines,40171,40003,56260,0,0,2012,230,0,4,21,DEPT,NRCP,Department of Science and Technology,National Research Council of the Philippines,,40171,40003,56260
"             Philippine Atmospheric, Geophysical and Astronomical
                Services Administration",789404,1075601,1283646,0,0,2012,231,0,4,21,DEPT,PAGASA,Department of Science and Technology,"Philippine Atmospheric, Geophysical and Astronomical Services Administration",,789404,1075601,1283646
             Philippine Institute of Volcanology and Seismology,181285,205667,220039,0,0,2012,232,0,4,21,DEPT,PIVS,Department of Science and Technology,Philippine Institute of Volcanology and Seismology,,181285,205667,220039
      National Economic and Development Authority,4100709,2187700,2968687,4,0,2012,,0,4,21,DEPT,,National Economic and Development Authority,National Economic and Development Authority,,4100709,2187700,2968687
             Office of the Director-General,754392,763407,825241,0,0,2012,233,0,4,21,DEPT,ODG,National Economic and Development Authority,Office of the Director-General,,754392,763407,825241
             National Statistical Coordination Board,97629,90263,92587,0,0,2012,234,0,4,21,DEPT,NSCB,National Economic and Development Authority,National Statistical Coordination Board,,97629,90263,92587
             National Statistics Office,3170600,1238091,1734177,0,0,2012,235,0,4,21,DEPT,NSO,National Economic and Development Authority,National Statistics Office,,3170600,1238091,1734177
             Philippine National Volunteer Service Coordinating Agency,12537,13586,13955,0,0,2012,236,0,4,21,DEPT,PNVSCA,National Economic and Development Authority,Philippine National Volunteer Service Coordinating Agency,,12537,13586,13955
             Public-Private Partnership Center of the Philippines,0,0,225720,0,0,2012,237,0,4,21,DEPT,PPPCP,National Economic and Development Authority,Public-Private Partnership Center of the Philippines,,0,0,225720
             Statistical Research and Training Center,17737,35866,27224,0,0,2012,238,0,4,21,DEPT,SRTC,National Economic and Development Authority,Statistical Research and Training Center,,17737,35866,27224
             Tariff Commission,47814,46487,49783,0,0,2012,239,0,4,21,DEPT,TARIFF,National Economic and Development Authority,Tariff Commission,,47814,46487,49783
      Presidential Communications Operations Office,1143835,976157,1047946,4,0,2012,,0,4,21,DEPT,,Presidential Communications Operations Office,Presidential Communications Operations Office,,1143835,976157,1047946
             Presidential Communications Operations Office (Proper),129390,99137,124151,0,0,2012,240,0,4,21,DEPT,PROP,Presidential Communications Operations Office,Presidential Communications Operations Office (Proper),,129390,99137,124151
             Bureau of Broadcast Services,323832,292653,277772,0,0,2012,241,0,4,21,DEPT,BBS,Presidential Communications Operations Office,Bureau of Broadcast Services,,323832,292653,277772
             Bureau of Communications Services,31994,28952,32078,0,0,2012,242,0,4,21,DEPT,BCS,Presidential Communications Operations Office,Bureau of Communications Services,,31994,28952,32078
             National Printing Office,163565,136964,144549,0,0,2012,243,0,4,21,DEPT,NPO,Presidential Communications Operations Office,National Printing Office,,163565,136964,144549
             News and Information Bureau,110599,91073,95686,0,0,2012,244,0,4,21,DEPT,NIB,Presidential Communications Operations Office,News and Information Bureau,,110599,91073,95686
             Philippine Information Agency,276689,249569,243201,0,0,2012,245,0,4,21,DEPT,PIA,Presidential Communications Operations Office,Philippine Information Agency,,276689,249569,243201
             Presidential Broadcast Staff (RTVM),107766,77809,130509,0,0,2012,246,0,4,21,DEPT,PBS-RTVM,Presidential Communications Operations Office,Presidential Broadcast Staff (RTVM),,107766,77809,130509
      Other Executive Offices,1760467,1636130,1900872,4,0,2012,,0,4,21,DEPT,,Other Executive Offices,Other Executive Offices,,1760467,1636130,1900872
             Games and Amusements Board,65193,62077,65990,0,0,2012,249,0,4,21,DEPT,GAAB,Other Executive Offices,Games and Amusements Board,,65193,62077,65990
             Movie and Television Review and Classification Board,46418,43774,43109,0,0,2012,250,0,4,21,DEPT,MTRCB,Other Executive Offices,Movie and Television Review and Classification Board,,46418,43774,43109
             Mindanao Development Authority,57826,56164,60016,0,0,2012,251,0,4,21,DEPT,MDA,Other Executive Offices,Mindanao Development Authority,,57826,56164,60016
