bus_operator,case_number,number_of_units
Santrans Inc.,2002-3461,6
Santrans Inc.,2003-0680,19
Santrans Inc.,2003-2526,10
Santrans Inc.,98-7668,10
Santrans Inc.,2007-3157,10
Seven Sky Express Liner Corporation,2011-3252,26
Simundac Giovani P,2003-1383ST,11
Solid Star Transport Services,2010-3143,12
Solid Star Transport Services Inc.,2003-1482ST1,10
Sotero Pablito L,2003-0773,4
Sotero Pablito L,2003-0774,6
South Union Liner Inc.,2003-3807ST,10
Sta Maria Mercelita,2003-0466,10
Sta Maria Mercelita J,95-11151,5
Sta Maria Mercelita J,98-6833,20
Sta Rita Transport Corporation,2003-4166,10
Sunajo Judy G,2003-1276ST,10
Sunajo Judy G,2003-3127ST,10
Taguig Metro Link Bus Corporation,2002-3900ST,29
Taguig Metro Link Bus Corporation,2003-0314ST,18
Tas Transport Corporation,2003-0767,20
Tas Transport Corporation,2003-1280,15
Tas Transport Corporation,2003-1281,10
Tas Transport Corporation,2003-1282,5
Tas Transport Corporation,2003-1283,5
Tas Transport Corporation,2003-1284,4
Thelman Transit Inc.,2013-0917,19
Torres Arsenia S,2003-1202A,10
Torres Jacinto F,2002-5811ST,4
Torres Jacinto F,2002-2607,2
Torres Jacinto F,2002-5033,7
Torres Jacinto F,2002-5034,7
Torres Jacinto F,2003-0686ST,9
Universal Guiding Star Bus Line Corporation,2003-0346ST,28
Urbano Armi,2010-1031,2
Urbano Armi V,2003-1532ST,7
V-1 Bus Lines Inc.,2002-4980ST1,15
Valisno Rosalinda Manabat,2003-0708ST,16
Vil 5000 Inc.,2002-2332,17
Vil 5000 Inc.,2002-2333,12
Vil 5000 Inc.,2002-2620,11
Vil 5000 Inc.,2002-2873,10
Vil 5000 Inc.,99-3769,15
Villanueva Marcos T,2003-1301ST,10
Villanueva Marcos T,2003-3186ST,9
Viofel Transport Inc.,2003-1455ST,9
Voyager Express Liner Inc.,2010-0299,11
White Dove Transport Corporation,2002-3763,5
Worthy Transport Inc.,2003-0464-15,14
Worthy Transport Inc.,2011-1054,16
Worthy Transport Inc.,2014-0351,6
Worthy Transport Inc.,2010-1077,8
Worthy Transport Inc.,90-2670ST1,24
Yohance Express Inc.,2013-2026,31
Yohance Express Inc.,2014-9935,15
Total,TOTAL,5057
