city_or_municipality,position,name,nikname,party_affiliation,votes_obtained
Pidigan,Councilor,"Buemio, Roberto Anin",Bert,Nationalist People's Coalition ,2015
Pidigan,Councilor,"Sanidad, Excel Parinas",Excel,Nationalist People's Coalition ,2267
Pidigan,Councilor,"Belandres, Elizer Baula",Zer,Nationalist People's Coalition ,3092
Pilar,Mayor,"Somera, Rolando Dait",Lando,Lakas-Kampi,3805
Pilar,Vice-Mayor,"Berona, Noel Sotelo",Chino,Lakas-Kampi,3500
Pilar,Councilor,"Dizon, Manuel Ciervo",Noli,Lakas-Kampi,2648
Pilar,Councilor,"Sison, Romulo Sotelo",Pulo,Lakas-Kampi,2345
Pilar,Councilor,"Dumlao, Arnold Taylan",Arnold,Lakas-Kampi,2464
Pilar,Councilor,"Balleras, Diosdado Berona",Dondi,Lakas-Kampi,2525
Pilar,Councilor,"Ciervo, Rodrigo Sr. Dayag",Pitong,Lakas-Kampi,2563
Pilar,Councilor,"Dizon, Restituto Jr. Diaz",Resty,Lakas-Kampi,3294
Pilar,Councilor,"Guzman, Macario Dumalanta",Cario,Lakas-Kampi,2584
Pilar,Councilor,"Berona, Christopher Sotelo",Victor,Lakas-Kampi,2340
Sallapadan,Mayor,"Cardenas, Garde Hermoso",Garde,Lakas-Christian Muslim Democrats,2839
Sallapadan,Vice-Mayor,"Isidro, Oscar Wanawan",Calib,-,1703
Sallapadan,Councilor,"Trongco, Nancy Banoen",Nancy,Lakas-Christian Muslim Democrats,1835
Sallapadan,Councilor,"Bangibang, Rafael Licuben",Ollayang,Lakas-Christian Muslim Democrats,1508
Sallapadan,Councilor,"Paderes-Holman, Lorena Bengaoet",Ling-Ling,Partido Demokratiko Sosyalista ng Pilipinas,1712
Sallapadan,Councilor,"Pataray, Freddie Iblogan",Culalad,Lakas-Christian Muslim Democrats,1671
Sallapadan,Councilor,"Jack, Jeana Balbuena",Jeapa,Lakas-Christian Muslim Democrats,1689
Sallapadan,Councilor,"Domingo, Jaime Bayon",Carpo,Lakas-Christian Muslim Democrats,1423
Sallapadan,Councilor,"Bringas, Amor Jr. Bodano",Bro. Roma,Lakas-Kampi,1704
Sallapadan,Councilor,"Batoon, Filomeno Bintocan",Meno,-,1591
San Isidro,Mayor,"Pacsa, Ernesto Jr. Montero",Jojo,Lakas-Christian Muslim Democrats,1368
San Isidro,Vice-Mayor,"Pacsa, Venerando Jr. Agudal",Jun-Jun,Lakas-Christian Muslim Democrats,1358
San Isidro,Councilor,"Balanay, Yolanda Montero",Yolly,Independent,1486
San Isidro,Councilor,"Callos, Gregoria Agudal",Goria,Lakas-Christian Muslim Democrats,968
San Isidro,Councilor,"Laureta, Jeanette Callanga",Jean Callañga,-,1043
San Isidro,Councilor,"Bagay, Dionibi Malinnag",Amor,Lakas-Christian Muslim Democrats,1101
San Isidro,Councilor,"Valera, Virginia Manglibo",Bobot,Lakas-Christian Muslim Democrats,1119
San Isidro,Councilor,"Callos, Arnulfo Agudal",Ompong,Lakas-Christian Muslim Democrats,1137
San Isidro,Councilor,"Damian, Melchora Fe Pacsa",Cozy,Lakas-Christian Muslim Democrats,1262
San Isidro,Councilor,"Bitana, Dominador Dela Cueva",Ador,Lakas-Christian Muslim Democrats,1563
San Juan,Mayor,"Bautista, Marco Magala",Gm,Lakas-Christian Muslim Democrats,3529
San Juan,Vice-Mayor,"Ortega, RosalIndependenta Billedo",Rosel,Lakas-Kampi,2736
San Juan,Councilor,"Timbreza, Emmanuel Vergara",Oyet,Lakas-Christian Muslim Democrats,2573
San Juan,Councilor,"Bernardino, Apollo Magala",Apol,Lakas-Christian Muslim Democrats,2283
San Juan,Councilor,"Blanza, Carmencita Eduarte",Carmen,Lakas-Kampi,2336
San Juan,Councilor,"Dickson, Daniel Taverner",Singin,Lakas-Kampi,2340
San Juan,Councilor,"Terredano, Jovito Tamayo",Beton,Lakas-Christian Muslim Democrats,2469
San Juan,Councilor,"De La Cuadra, Guillermo Bergonia",Momoy,Lakas-Christian Muslim Democrats,2527
San Juan,Councilor,"Ta-A, Judimar Bayubay",Judy,Lakas-Kampi,2622
San Juan,Councilor,"Gumidam, ErlIndependenta Bosque",LIndependenta,Lakas-Kampi,2057
San Quintin,Mayor,"Diaz, Amador Baldos",Mador,Lakas-Kampi,2184
San Quintin,Vice-Mayor,"Aznar, Geroldo Cabilan",Jojo,-,1760
San Quintin,Councilor,"Liberato, Arsenio Calibuso",Arsing,Lakas-Kampi,1839
San Quintin,Councilor,"Ferrer, Mario Donato",Bobby,Lakas-Kampi,1895
San Quintin,Councilor,"Munar, Hector Bacungan",Boyet,Lakas-Kampi,1767
San Quintin,Councilor,"Claveria, Dionisio Callos",Diony,Lakas-Kampi,1469
San Quintin,Councilor,"Severino, Villarin Placido",Elling,Lakas-Kampi,1624
San Quintin,Councilor,"Cotchay, Cristeto Florentino",Titong,Lakas-Kampi,1654
San Quintin,Councilor,"Garde, Frankie Sr. Silva",Isko,Independent,1728
San Quintin,Councilor,"Hernandez, Marcelino Jr. Cardenas",Lino,Lakas-Kampi,1811
Tayum,Mayor,"Eduarte, Placido Jr. Plurad",Glen,Lakas-Kampi,3310
Tayum,Vice-Mayor,"Alagao, Reynaldo Balmaceda",Rey,Lakas-Kampi,4005
Tayum,Councilor,"Tuzon, Alfredo Balneg",Fred,Lakas-Kampi,2595
Tayum,Councilor,"Balneg, Luis Raul Eduarte",Raul,Lakas-Kampi,2671
Tayum,Councilor,"Bugtong, Bartolome Sr. Tugadi",Antog,Partido Demokratiko Sosyalista ng Pilipinas,2701
Tayum,Councilor,"Barbieto, Agustin Jr. Barona",Jr,Partido Demokratiko Sosyalista ng Pilipinas,2789
Tayum,Councilor,"Millare, Bienvenido Gandeza",Beny,Partido Demokratiko Sosyalista ng Pilipinas,2859
Tayum,Councilor,"Tejero, Avelino Tangco",Bilin,Lakas-Kampi,2917
Tayum,Councilor,"Tangco, Marivic Procesa Cruz",Vic,Partido Demokratiko Sosyalista ng Pilipinas,3415
Tayum,Councilor,"Carino, Arturo Banez",Attong,Partido Demokratiko Sosyalista ng Pilipinas,3900
Tineg,Mayor,"Crisologo, Edwin Sr. Basa",Eddie,Nationalist People's Coalition ,1031
Tineg,Vice-Mayor,"Gavino, Maura Bersalona",Urang,Lakas-Kampi,605
Tineg,Councilor,"Turalba, Nicomedes Tangbaoan",Nico,Independent,753
Tineg,Councilor,"Valencia, Nora Wayaway",Dinaw,Nationalist People's Coalition ,771
Tineg,Councilor,"Eduarte, Resty Gayban",Tasan,Nationalist People's Coalition ,935
Tineg,Councilor,"Batawang, Jeremias Tiwag",Herem,Nationalist People's Coalition ,799
Tineg,Councilor,"Enon, Pedro Sr. Quido",Pedring,Nationalist People's Coalition ,796
Tineg,Councilor,"Zapata, Soledad Palangi",Soleng,Lakas-Kampi,706
Tineg,Councilor,"Tandi, Rey Lanag",Iyeg,Lakas-Kampi,683
Tineg,Councilor,"Bangquig, Ricardo Galla",Ringen,Lakas-Kampi,753
