region,private_hei,bacc,ms_or_ma,phd,total
VIII (Eastern Visayas),St. Mary's College of Catbalogan,7,31,1,39
VIII (Eastern Visayas),Sacred Heart Seminary,8,0,7,15
VIII (Eastern Visayas),St. Francis College,15,2,1,18
VIII (Eastern Visayas),St. Joseph College,58,54,7,119
VIII (Eastern Visayas),St. Mary's College of Borongan,10,18,5,33
VIII (Eastern Visayas),St. Peter's College of Ormoc,13,12,3,28
VIII (Eastern Visayas),St. Vincent De Paul College Seminary,4,9,0,13
VIII (Eastern Visayas),Samar College,54,17,7,78
VIII (Eastern Visayas),Colegio De San Lorenzo Ruiz De Manila of Northern Samar,84,11,9,104
VIII (Eastern Visayas),St. James College of Padre Burgos,13,2,1,16
VIII (Eastern Visayas),St. Paul School of Business and Law,24,18,3,45
VIII (Eastern Visayas),St. Thomas Aquinas College,23,6,1,30
VIII (Eastern Visayas),Sto. Nino College of Ormoc,26,11,3,40
VIII (Eastern Visayas),Western Leyte College of Ormoc City,54,40,4,98
VIII (Eastern Visayas),J.E. Mondejar Computer College,36,0,0,36
VIII (Eastern Visayas),Mater Divinae Gratiae College,16,0,0,16
VIII (Eastern Visayas),Our Lady of Mercy College,15,4,1,20
VIII (Eastern Visayas),Bato Institute of Science and Technology,12,9,1,22
VIII (Eastern Visayas),Holy Cross College of Carigara,30,0,2,32
VIII (Eastern Visayas),STI College-Tacloban,13,6,0,19
VIII (Eastern Visayas),Jose Navarro Polytechnic College,13,3,0,16
VIII (Eastern Visayas),STI College-Ormoc,17,10,0,27
VIII (Eastern Visayas),Eastern Visayas Central Colleges,24,0,2,26
VIII (Eastern Visayas),AMA Computer College-Tacloban City,11,2,1,14
VIII (Eastern Visayas),St. Scholastica's College Tacloban,18,26,6,50
VIII (Eastern Visayas),ABE International College of Business and Economics-Tacloban City,9,7,2,18
VIII (Eastern Visayas),St. Michael College-Hindang Campus,16,15,2,33
VIII (Eastern Visayas),Holy Spirit College Foundation of Leyte,16,0,1,17
VIII (Eastern Visayas),MLG College of Learning,13,0,1,14
VIII (Eastern Visayas),Northern Samar Colleges,14,7,10,31
VIII (Eastern Visayas),"Asia College of Advance Studies In Arts, Sciences and Technology",21,0,4,25
VIII (Eastern Visayas),Leyte School of Professionals,5,0,1,6
VIII (Eastern Visayas),St. John the Evangelist School of Theology,9,9,18,36
VIII (Eastern Visayas),Colegio De San Juan Samar,20,1,3,24
VIII (Eastern Visayas),Colegio De Sta. Lourdes of Leyte Foundation,13,18,0,31
VIII (Eastern Visayas),East Pacific Computer College,9,3,0,12
VIII (Eastern Visayas),Colegio de la Salle Fondation de Tacloban,14,1,0,15
VIII (Eastern Visayas),Holy Virgin of Salvacion Foundation College,9,2,6,17
VIII (Eastern Visayas),San Lorenzo Ruiz College of Ormoc,15,14,2,31
VIII (Eastern Visayas),ACLC College of Tacloban City,41,0,0,41
VIII (Eastern Visayas),Calbiga Western Samar College,12,3,2,17
VIII (Eastern Visayas),ACLC College of Ormoc,10,0,0,10
VIII (Eastern Visayas),Tan Ting Bing Memorial Colleges Foundation,15,3,0,18
VIII (Eastern Visayas),Global School for Technological Studies,22,0,2,24
VIII (Eastern Visayas),Visayas Christian Institute of Technology,0,4,4,8
IX (Zamboanga Peninsula),Andres Bonifacio College,59,44,3,106
IX (Zamboanga Peninsula),Ateneo De Zamboanga University,125,123,22,270
IX (Zamboanga Peninsula),Brent Hospital and Colleges,46,35,0,81
IX (Zamboanga Peninsula),Claret College of Isabela,58,9,0,67
IX (Zamboanga Peninsula),Dipolog Medical Center College Foundation,44,32,3,79
IX (Zamboanga Peninsula),Dr. Aurelio Mendoza Memorial College,31,9,5,45
IX (Zamboanga Peninsula),Immaculate Conception Archdiocesan School,12,9,0,21
IX (Zamboanga Peninsula),Juan S. Alano Memorial School,8,4,0,12
IX (Zamboanga Peninsula),Marian College,21,9,2,32
IX (Zamboanga Peninsula),Mein College,17,9,2,28
IX (Zamboanga Peninsula),Blancia College Foundation,15,7,1,23
IX (Zamboanga Peninsula),Philippine Advent College,34,7,3,44
IX (Zamboanga Peninsula),Pilar College,48,35,4,87
IX (Zamboanga Peninsula),Rizal Memorial Institute of Dapitan City,12,9,2,23
IX (Zamboanga Peninsula),St. Columban College,43,40,7,90
IX (Zamboanga Peninsula),St. John Hospital and Colleges,10,8,0,18
IX (Zamboanga Peninsula),St. Joseph College,24,20,2,46
IX (Zamboanga Peninsula),St. Vincent's College,53,48,14,115
IX (Zamboanga Peninsula),St. Estanislao Kostka College,10,4,2,16
IX (Zamboanga Peninsula),Southern Mindanao College-Agro Tech,2,0,0,2
IX (Zamboanga Peninsula),Southern City Colleges,34,13,2,49
IX (Zamboanga Peninsula),Southern Mindanao Colleges,54,55,18,127
IX (Zamboanga Peninsula),Universidad de Zamboanga,69,147,54,270
IX (Zamboanga Peninsula),STI College-Zamboanga,27,2,1,30
IX (Zamboanga Peninsula),Medina College-Pagadian,9,23,0,32
IX (Zamboanga Peninsula),Zamboanga Del Sur Maritime Institute of Technology,47,8,1,56
IX (Zamboanga Peninsula),Pagadian Capitol College,34,7,1,42
IX (Zamboanga Peninsula),Aurora Pioneer Memorial College,27,12,3,42
IX (Zamboanga Peninsula),Dipolog City Institute of Technology,12,11,5,28
IX (Zamboanga Peninsula),Ebenezer Bible College and Seminary,15,5,3,23
IX (Zamboanga Peninsula),St. Mary's College of Labason,17,9,3,29
IX (Zamboanga Peninsula),AMA Computer College-Zamboanga City,24,0,0,24
IX (Zamboanga Peninsula),Colegio De San Francisco Javier,20,8,1,29
IX (Zamboanga Peninsula),Richmond Montessori College,7,1,0,8
IX (Zamboanga Peninsula),Computer Technologies Institute of Zamboanga City,4,6,2,12
IX (Zamboanga Peninsula),Computer Technologies Institute of Basilan,6,4,0,10
IX (Zamboanga Peninsula),HMIJ Foundation Philippine Islamic College,14,4,2,20
IX (Zamboanga Peninsula),Eastern Mindanao College of Technology,18,7,1,26
IX (Zamboanga Peninsula),Universidad de Zamboanga-Ipil,31,9,2,42
IX (Zamboanga Peninsula),Medina College-Ipil,12,8,1,21
IX (Zamboanga Peninsula),Southwestern Philippines Foundation College,3,2,0,5
IX (Zamboanga Peninsula),Philippine Technological and Marine Sciences-Zamboanga del Sur,5,2,0,7
IX (Zamboanga Peninsula),Western Mindanao Foundation College,8,2,3,13
IX (Zamboanga Peninsula),Southern Peninsula College,15,4,2,21
IX (Zamboanga Peninsula),Lucan Polytechnic College,10,7,4,21
IX (Zamboanga Peninsula),Sibugay Technical Institute,8,32,1,41
IX (Zamboanga Peninsula),Mendero College,1,8,0,9
IX (Zamboanga Peninsula),Aim High College,1,8,0,9
IX (Zamboanga Peninsula),Ave Maria College,12,1,3,16
IX (Zamboanga Peninsula),Hyrons College Philippines,8,5,2,15
IX (Zamboanga Peninsula),Nuevo Zamboanga College,18,2,3,23
IX (Zamboanga Peninsula),Pastor Bonus Seminary,6,6,7,19
IX (Zamboanga Peninsula),Philippine Advent College-Salug,10,1,2,13
IX (Zamboanga Peninsula),Yllana Bay View College,18,4,0,22
X (Northern Mindanao),Alemarz School of Science and Technology Foundation,5,6,1,12
X (Northern Mindanao),Blessed Mother College,20,6,2,28
X (Northern Mindanao),Capitol University,32,97,34,163
X (Northern Mindanao),Cagayan De Oro College,101,75,14,190
X (Northern Mindanao),Christ the King College,36,21,2,59
X (Northern Mindanao),Colegio De Santo Nino De Jasaan,12,3,1,16
X (Northern Mindanao),Fatima College of Camiguin,19,20,3,42
X (Northern Mindanao),Gingoog City Junior College,29,7,2,38
X (Northern Mindanao),Gingoog Christian College,14,8,1,23
X (Northern Mindanao),Guevarra Institute of Technology,8,0,0,8
X (Northern Mindanao),La Salle University,76,79,7,162
X (Northern Mindanao),Liceo De Cagayan University,142,169,41,352
X (Northern Mindanao),Lourdes College,57,48,15,120
X (Northern Mindanao),Medina College,33,24,2,59
X (Northern Mindanao),Medina Foundation College,11,2,2,15
X (Northern Mindanao),Mindanao Arts and Technological Institute,11,7,0,18
X (Northern Mindanao),Misamis Institute of Technology,34,4,0,38
X (Northern Mindanao),Misamis University-Ozamis City,90,119,20,229
X (Northern Mindanao),Misamis University-Oroquieta City,23,9,5,37
X (Northern Mindanao),Mountain View College,42,58,15,115
X (Northern Mindanao),Golden Heritage Polytechnic College,17,18,4,39
X (Northern Mindanao),Northwestern Mindanao Christian Colleges,10,3,0,13
