region,private_hei,bacc,ms_or_ma,phd,total
I (Ilocos Region),The Adelphi College,12,7,7,26
I (Ilocos Region),Malasiqui Agno Valley College,17,12,2,31
I (Ilocos Region),Agoo Computer College Philippines,10,3,1,14
I (Ilocos Region),Asbury College,2,6,3,11
I (Ilocos Region),Asia Career College Foundation,7,7,1,15
I (Ilocos Region),Baccarra Medical Center School of Midwifery,9,1,0,10
I (Ilocos Region),CICOSAT Colleges,30,14,6,50
I (Ilocos Region),Colegio de Dagupan,40,65,13,118
I (Ilocos Region),Dagupan Colleges Foundation,0,14,2,16
I (Ilocos Region),Data Center College of the Philippines-Laoag City,44,8,4,56
I (Ilocos Region),Divine Word College of Laoag,59,45,6,110
I (Ilocos Region),Divine Word College of Urdaneta,11,7,2,20
I (Ilocos Region),Divine Word College of Vigan,19,22,6,47
I (Ilocos Region),Escuela De Nuestra Senora De La Salette,10,9,0,19
I (Ilocos Region),The Great Plebeian College,19,13,4,36
I (Ilocos Region),Lorma Colleges,93,67,9,169
I (Ilocos Region),Luna Colleges,14,4,3,21
I (Ilocos Region),University of Luzon,110,69,25,204
I (Ilocos Region),Lyceum Northern Luzon,48,8,6,62
I (Ilocos Region),Mary Help of Christians College Seminary,4,11,6,21
I (Ilocos Region),National College of Science and Technology-La Union,11,8,1,20
I (Ilocos Region),Northern Christian College,35,24,7,66
I (Ilocos Region),Northern Luzon Adventist College,14,28,7,49
I (Ilocos Region),"Northern Philippines College for Maritime, Science and Technology",55,26,6,87
I (Ilocos Region),Northwestern University,107,51,14,172
I (Ilocos Region),Osias Educational Foundation,8,2,4,14
I (Ilocos Region),Palaris College,11,11,7,29
I (Ilocos Region),Panpacific University North Philippines-Urdaneta City,134,42,18,194
I (Ilocos Region),Pangasinan Merchant Marine Academy,8,13,3,24
I (Ilocos Region),Perpetual Help College of Pangasinan,30,14,5,49
I (Ilocos Region),Polytechnic College of La union,17,29,8,54
I (Ilocos Region),Philippine College of Science and Technology,69,29,6,104
I (Ilocos Region),PIMSAT Colleges-Dagupan,22,8,2,32
I (Ilocos Region),St. Columban's College,10,5,3,18
I (Ilocos Region),St. Louis College-San Fernando City,82,77,17,176
I (Ilocos Region),"St. Mary's College-Sta. Maria, Ilocos Sur",2,3,4,9
I (Ilocos Region),St. Paul College of Ilocos Sur,26,18,3,47
I (Ilocos Region),San Carlos College,18,17,19,54
I (Ilocos Region),Sea and Sky College,26,5,3,34
I (Ilocos Region),Union Christian College,26,34,18,78
I (Ilocos Region),University of Pangasinan,101,71,24,196
I (Ilocos Region),NJ Valdez Colleges Foundation,10,6,3,19
I (Ilocos Region),Virgen Milagrosa University Foundation,169,83,23,275
I (Ilocos Region),Metro-Dagupan Colleges,20,12,3,35
I (Ilocos Region),Pass College,25,8,6,39
I (Ilocos Region),AMA Computer College-Dagupan City,10,1,0,11
I (Ilocos Region),AMA Computer College-Laoag City,14,2,0,16
I (Ilocos Region),Lyceum Northwestern University,93,78,20,191
I (Ilocos Region),Macro Colleges,7,1,2,10
I (Ilocos Region),Sta. Veronica College,5,7,0,12
I (Ilocos Region),"STI College-San Fernando City, La Union",8,10,0,18
I (Ilocos Region),STI College-Dagupan City,14,7,0,21
I (Ilocos Region),AMA Computer College-La Union,7,5,0,12
I (Ilocos Region),Golden West Colleges,10,15,6,31
I (Ilocos Region),Lyceum Northwestern University-Urdaneta Campus,12,19,6,37
I (Ilocos Region),Data Center College of the Philippines-Vigan City,9,2,0,11
I (Ilocos Region),Colegio San Jose De Alaminos,8,11,0,19
I (Ilocos Region),Our Lady of Manaoag College,15,7,3,25
I (Ilocos Region),South Ilocandia College of Arts and Technology,9,6,1,16
I (Ilocos Region),La Union College of Science and Technology,1,6,2,9
I (Ilocos Region),Luzon College of Science and Technology-Urdaneta,2,8,6,16
I (Ilocos Region),Mystical Rose College of Science and Technology,4,7,7,18
I (Ilocos Region),St. Therese College Foundation,2,5,1,8
I (Ilocos Region),ABE International College of Business and Accountancy,17,7,0,24
I (Ilocos Region),La Finn's Scholastica,12,11,3,26
I (Ilocos Region),"Philippine Central College of Arts, Science and Technology",0,12,2,14
I (Ilocos Region),Panpacific University North Philippines-Tayug,37,14,7,58
I (Ilocos Region),Kingfisher School of Business and Finance,12,11,4,27
I (Ilocos Region),Northern Ilocandia College of Science and Technology,12,4,3,19
I (Ilocos Region),AIE College,0,19,2,21
I (Ilocos Region),St. Camillus College of Manaoag Foundation,6,11,4,21
I (Ilocos Region),International College for Excellence,9,19,2,30
I (Ilocos Region),Philippine College of Northwestern Luzon,15,22,4,41
I (Ilocos Region),Philippine Darakbang Theological College,6,5,2,13
I (Ilocos Region),St. John Bosco College of Northern Luzon,11,11,0,22
I (Ilocos Region),Rosales-Wesleyan Bible College,1,7,3,11
I (Ilocos Region),La Union Christian Comprehensive College,4,1,0,5
I (Ilocos Region),Immaculate Conception School of Theology,0,11,4,15
I (Ilocos Region),Polytechnic Colleges of Region I,6,11,1,18
I (Ilocos Region),WCC Aeronautical and Technological College,4,4,0,8
I (Ilocos Region),PIMSAT Colleges-San Carlos City,4,4,3,11
II (Cagayan Valley),Aldersgate College,30,33,5,68
II (Cagayan Valley),University of Cagayan Valley,93,93,40,226
II (Cagayan Valley),Eveland Christian College,7,3,0,10
II (Cagayan Valley),Fuzeko Polytechnic College,3,2,0,5
II (Cagayan Valley),Isabela Colleges,14,7,3,24
II (Cagayan Valley),University of La Salette,62,146,12,220
II (Cagayan Valley),Lyceum of Aparri,35,22,9,66
II (Cagayan Valley),Lyceum of Tuao,14,12,5,31
II (Cagayan Valley),Medical Colleges of Northern Philippines,11,20,0,31
II (Cagayan Valley),Northeastern College,60,12,4,76
II (Cagayan Valley),Northern Cagayan Colleges Foundation,8,4,3,15
II (Cagayan Valley),Our Lady of the Pillar College-Cauayan,39,46,4,89
II (Cagayan Valley),Patria Sable Corpus College,33,15,2,50
II (Cagayan Valley),PLT College,48,32,8,88
II (Cagayan Valley),Quezon Colleges of the North,9,1,0,10
II (Cagayan Valley),St. Anthony's College,13,6,1,20
II (Cagayan Valley),St. Dominic College of Batanes,17,15,0,32
II (Cagayan Valley),St. Ferdinand College-Ilagan,33,44,12,89
II (Cagayan Valley),St. Joseph's College of Baggao,8,10,3,21
II (Cagayan Valley),University of St. Louis-Tuguegarao,106,96,28,230
II (Cagayan Valley),St. Mary's University of Bayombong ,84,140,21,245
II (Cagayan Valley),St. Paul University Philippines,34,129,17,180
II (Cagayan Valley),Mallig Plains Colleges,13,14,14,41
II (Cagayan Valley),FL Vargas College-Tuguegarao,38,33,5,76
II (Cagayan Valley),Philippine Law Enforcement College,5,6,1,12
II (Cagayan Valley),Cagayan Valley Colleges of Quirino,5,5,2,12
II (Cagayan Valley),International School of Asia and the Pacific,35,22,2,59
II (Cagayan Valley),Isabela College of Arts and Technology,23,6,3,32
II (Cagayan Valley),AMA Computer College-Santiago City,7,7,1,15
II (Cagayan Valley),Cagayan Valley Computer and Information Technology College,15,16,1,32
II (Cagayan Valley),John Wesley College,11,5,0,16
II (Cagayan Valley),AMA Computer College-Tuguegarao City,8,1,0,9
II (Cagayan Valley),SISTECH College of Santiago City,7,4,1,12
II (Cagayan Valley),Santiago City Colleges,9,9,1,19
II (Cagayan Valley),St. Ferdinand College ,9,7,1,17
II (Cagayan Valley),MCN College,4,1,2,7
II (Cagayan Valley),Central College of the North,9,3,0,12
II (Cagayan Valley),FL Vargas College-Abulug,25,11,2,38
II (Cagayan Valley),Metropolitan School of Science and Technology,6,2,1,9
II (Cagayan Valley),STI College-Tuguegarao,5,4,0,9
II (Cagayan Valley),Sierra College,9,3,0,12
II (Cagayan Valley),University of Perpetual Help System,21,27,2,50
II (Cagayan Valley),Eastern Luzon Colleges,26,19,3,48
II (Cagayan Valley),STI College-Santiago City,6,5,1,12
II (Cagayan Valley),HG Baquiran College,13,6,2,21
II (Cagayan Valley),Infant Jesus Montessori School-College Department,2,11,1,14
II (Cagayan Valley),Maila Rosario Colleges,9,12,1,22
II (Cagayan Valley),Our Lady of the Pillar College-Cauayan San Manuel Branch,16,8,0,24
II (Cagayan Valley),Northeast Luzon Adventist College,3,5,1,9
III (Central Luzon),Angeles University Foundation,138,230,57,425
III (Central Luzon),Sto. Rosario Sapang Palay College,20,18,2,40
III (Central Luzon),Baliuag University,76,90,10,176
III (Central Luzon),Baliuag Maritime Foundation,18,4,1,23
III (Central Luzon),St. Patrick College,8,5,1,14
III (Central Luzon),Bataan Heroes Memorial College,25,4,0,29
III (Central Luzon),Camiling Colleges,2,9,3,14
III (Central Luzon),CIT Colleges of Paniqui Foundation,11,23,4,38
III (Central Luzon),Central Luzon Doctors' Hospital Educational Institution,40,45,3,88
III (Central Luzon),Central Luzon College of Technology-Olongapo,19,16,2,37
III (Central Luzon),Centro Escolar University,27,55,7,89
III (Central Luzon),Colegio De San Pascual Baylon,16,9,2,27
III (Central Luzon),College of the Holy Spirit of Tarlac,16,19,1,36
III (Central Luzon),College of the Immaculate Conception,33,37,29,99
III (Central Luzon),CORE Gateway College,29,2,0,31
III (Central Luzon),Columban College-Olongapo City,95,67,19,181
III (Central Luzon),College for Research and Technology-Cabanatuan City,15,13,2,30
III (Central Luzon),World Citi Colleges-Guimba Campus,11,4,3,18
III (Central Luzon),Divina Pastora College,6,6,0,12
III (Central Luzon),Dominican College of Tarlac,7,5,0,12
III (Central Luzon),Dr. Gloria D. Lacson Foundation Colleges-Nueva Ecija,13,12,9,34
III (Central Luzon),Dr. Yanga's Colleges,60,42,14,116
III (Central Luzon),East Central Colleges,18,22,1,41
III (Central Luzon),Ednor Colleges,6,1,0,7
III (Central Luzon),General De Jesus College,20,22,6,48
III (Central Luzon),The Good Samaritan Colleges,38,21,4,63
III (Central Luzon),Guagua National Colleges,27,32,5,64
III (Central Luzon),Holy Angel University,254,206,23,483
III (Central Luzon),Holy Cross College-Nueva Ecija,12,6,1,19
III (Central Luzon),Holy Cross College-Pampanga,9,32,2,43
III (Central Luzon),Immaculate Conception Major Seminary,3,13,7,23
III (Central Luzon),Interworld College of Technology Foundation-Tarlac,23,5,1,29
III (Central Luzon),Jesus Is Lord Colleges Foundation,7,18,0,25
III (Central Luzon),Jose C. Feliciano College,22,14,1,37
III (Central Luzon),Lourdes College of Bulacan,3,8,2,13
III (Central Luzon),Magsaysay Memorial College,11,5,1,17
III (Central Luzon),Manuel V. Gallego Foundation Colleges,27,10,12,49
III (Central Luzon),Maria Assumpta Seminary,5,10,0,15
III (Central Luzon),Megabyte College of Science and Technology-Guagua,3,4,0,7
III (Central Luzon),Metro Subic Colleges,13,11,4,28
III (Central Luzon),Meycauayan College,23,34,9,66
III (Central Luzon),Shepherds College,8,3,0,11
III (Central Luzon),Microcity Computer Colleges Foundation,15,2,0,17
III (Central Luzon),Midway Maritime Foundation,46,9,1,56
III (Central Luzon),Mondriaan Aura College,21,11,3,35
III (Central Luzon),Mother of Good Counsel Seminary,10,12,5,27
III (Central Luzon),Mt. Carmel College,10,10,4,24
III (Central Luzon),Nazarenus College and Hospital Foundation,11,11,7,29
III (Central Luzon),Nueva Ecija Colleges,17,12,2,31
III (Central Luzon),Carthel Science Educational Foundation,19,12,5,36
III (Central Luzon),Osias Colleges,15,11,8,34
III (Central Luzon),Our Lady of Peace College Seminary,10,14,5,29
III (Central Luzon),Pamantasan ng Araullo,98,36,17,151
III (Central Luzon),Pampanga Colleges,15,11,0,26
III (Central Luzon),La Consolacion University Philippines,29,54,16,99
III (Central Luzon),Republic Central Colleges,16,31,5,52
III (Central Luzon),St. Anthony College of Technology,10,6,4,20
III (Central Luzon),St. Mary's College of Meycauayan,7,30,1,38
III (Central Luzon),St. Paul University at San Miguel,11,8,0,19
III (Central Luzon),San Jose Christian Colleges,4,10,8,22
III (Central Luzon),Somascan Fathers Seminary,1,11,1,13
III (Central Luzon),STI College-Balanga,18,2,0,20
III (Central Luzon),STI College-City of Tarlac,13,5,0,18
III (Central Luzon),Systems Plus Computer College Foundation,44,60,6,110
III (Central Luzon),Tomas Del Rosario College,17,22,5,44
III (Central Luzon),University of the Assumption,34,62,7,103
III (Central Luzon),Virgen De Los Remedios College-Olongapo City,20,8,2,30
III (Central Luzon),Wesleyan University Philippines-Cabanatuan,149,82,14,245
III (Central Luzon),Interworld Colleges Foundation-Paniqui,22,4,2,28
III (Central Luzon),La Fortuna College,30,6,2,38
III (Central Luzon),STI College-City of San Fernando,33,10,0,43
III (Central Luzon),STI College-Angeles City,18,1,0,19
III (Central Luzon),STI College-Meycauayan,16,5,0,21
III (Central Luzon),STI College-Malolos,11,7,1,19
III (Central Luzon),United School of Science and Technology Colleges,30,12,3,45
III (Central Luzon),Concepcion Holy Cross College,16,5,4,25
III (Central Luzon),Northern Zambales College,12,11,2,25
III (Central Luzon),"Columban College-Sta. Cruz, Zambales",7,6,3,16
III (Central Luzon),College of St. Lawrence,20,10,1,31
III (Central Luzon),Fernandez College of Arts and Technology,42,28,3,73
III (Central Luzon),Micro Asia College of Science and Technology,11,9,0,20
III (Central Luzon),Sienna College of San Jose,22,9,2,33
III (Central Luzon),AMA Computer College-Cabanatuan City,15,8,0,23
III (Central Luzon),Comteq Computer and Business College,13,9,0,22
III (Central Luzon),Eastwoods Professional College of Science and Technology,24,7,0,31
III (Central Luzon),AMA Computer College-Malolos,13,2,0,15
III (Central Luzon),"AMA Computer College-San Fernando, Pampanga",10,12,0,22
III (Central Luzon),Dee Hwa Liong College Foundation,29,21,1,51
III (Central Luzon),Maritime Academy of Asia and the Pacific,32,34,5,71
III (Central Luzon),St. Joseph College of Bulacan,20,12,8,40
III (Central Luzon),Trinitas College,6,11,0,17
III (Central Luzon),AMA Computer College-Tarlac City,19,5,1,25
III (Central Luzon),Fundamental Baptist College for Asians,1,13,3,17
III (Central Luzon),St. Paul College of Technology,14,2,0,16
III (Central Luzon),ABE International College of Business and Economics,0,1,2,3
III (Central Luzon),AMA Computer College-Angeles City,17,0,1,18
III (Central Luzon),Asia Pacific College of Advanced Studies,35,14,1,50
III (Central Luzon),"College of Mary Immaculate of Pandi, Bulacan",7,7,1,15
III (Central Luzon),St. Mary's College of Baliuag,3,3,1,7
III (Central Luzon),St. Augustine Colleges Foundation,7,9,1,17
III (Central Luzon),St. Rose College Educational Foundation,0,7,2,9
III (Central Luzon),ABE International College of Business College,20,3,0,23
III (Central Luzon),AMA Computer College-Olongapo City,22,8,0,30
III (Central Luzon),La Concepcion College,13,12,6,31
III (Central Luzon),Colegio De San Gabriel Arcangel,0,42,16,58
III (Central Luzon),Mary the Queen College-Pampanga,37,24,6,67
III (Central Luzon),Ecumenical Christian College,9,11,1,21
III (Central Luzon),STI College-Sta. Maria,17,14,0,31
III (Central Luzon),STI College-Balagtas,25,6,1,32
III (Central Luzon),Lyceum of Subic Bay,45,16,2,63
III (Central Luzon),Santa Clara De Montefalco College,3,4,0,7
III (Central Luzon),First City Providential College,20,24,0,44
III (Central Luzon),College of the Most Holy Trinity,6,5,6,17
III (Central Luzon),Academia de San Lorenzo Dema Ala,9,13,4,26
III (Central Luzon),George Dewey Medical College,14,3,1,18
III (Central Luzon),St. Mary's Angel College of Pampanga,18,14,2,34
III (Central Luzon),St. Nicholas College of Business and Technology,47,14,1,62
III (Central Luzon),Dr. Gloria D. Lacson Foundation Colleges-Cabanatuan City,4,7,5,16
III (Central Luzon),College of Our Lady of Mt. Carmel-Pampanga,5,7,0,12
III (Central Luzon),"Central Luzon College of Science and Technology-City of San Fernando, Pampanga",11,11,2,24
III (Central Luzon),Colegio de San Juan de Letran ,26,11,7,44
III (Central Luzon),College of Subic Montessori,5,4,0,9
III (Central Luzon),STI College-Baliuag,25,6,1,32
III (Central Luzon),ACLC College of Meycauayan,11,1,3,15
III (Central Luzon),Colegio De Calumpit,4,6,3,13
III (Central Luzon),Gerona Junior College,8,10,3,21
III (Central Luzon),Holy Rosary Colleges Foundation of Calaba San Isidro Nueva Ecija,8,5,3,16
III (Central Luzon),Our Lady of Manaoag Montessori College,7,5,1,13
III (Central Luzon),Philippine Rehabilitation Institute Foundation,7,8,1,16
III (Central Luzon),St. Joseph's College of Balanga City,4,3,0,7
III (Central Luzon),Subic Bay College,6,18,4,28
III (Central Luzon),Mater Redemptoris College of San Jose City,10,11,11,32
III (Central Luzon),Megabyte College of Science and Technology-Florida,7,3,0,10
III (Central Luzon),Philippine Women's University Career Development and Continuing Education Center-Bataan,23,7,0,30
III (Central Luzon), Centro Colegio De Tarlac ,9,6,2,17
III (Central Luzon),Centro Colegio De Tarlac,21,2,0,23
III (Central Luzon),Philippine Women's University Career Development and Continuing Education Center-Tarlac,4,8,2,14
III (Central Luzon),La Verdad Christian College,10,6,2,18
III (Central Luzon),St. Benilde Center for Global Competence,6,12,1,19
III (Central Luzon),Marian College of Baliuag,9,6,1,16
III (Central Luzon),ACLC College of Balanga,11,0,0,11
III (Central Luzon),ACLC College of Baliuag,14,13,2,29
III (Central Luzon),Liceo de Pulilan Colleges,21,5,0,26
III (Central Luzon),ACLC College of Gapan,8,8,0,16
III (Central Luzon),Our Lady of Sacred Heart College of Guimba,15,6,2,23
III (Central Luzon),ACLC College of Apalit,7,8,1,16
III (Central Luzon),Tarlac Christian College,0,9,12,21
III (Central Luzon),St. Linus Online Institute-St. Linus University,6,9,2,17
III (Central Luzon),New Era University,7,8,2,17
III (Central Luzon),Santa Rita College of Pampanga,18,1,0,19
III (Central Luzon),Colegio de Sebastian,15,11,0,26
III (Central Luzon),Clark College of Science and Technology,28,2,0,30
III (Central Luzon),ACLC College of Mabalacat,0,7,0,7
III (Central Luzon),College of the Our Lady of Mercy of Pulilan,6,18,2,26
III (Central Luzon),Immaculate Conception International College of Arts and Technology,12,24,0,36
III (Central Luzon),Mount Carmel College-Baler,36,25,0,61
III (Central Luzon),Wesleyan University Philippines-Aurora,30,7,2,39
IV-A (CALABARZON),ACTS Computer College,7,10,2,19
IV-A (CALABARZON),Asia Pacific Nazarene Theological Seminary,0,6,9,15
IV-A (CALABARZON),Calauag Central College,16,8,2,26
IV-A (CALABARZON),Canossa College,26,15,3,44
IV-A (CALABARZON),Colegio de Los Banos,11,7,3,21
IV-A (CALABARZON),Colegio De San Juan De Letran-Calamba,44,158,18,220
IV-A (CALABARZON),Colegio de Sto. Nino de Cabuyao,5,2,1,8
IV-A (CALABARZON),De La Salle-Lipa,188,87,13,288
IV-A (CALABARZON),Deaf Evangelistic Alliance Foundation,8,0,0,8
IV-A (CALABARZON),Divine Word Seminary,2,11,11,24
IV-A (CALABARZON),De La Salle University-Dasmarinas,286,384,121,791
IV-A (CALABARZON),De La Salle Health Sciences Institute,198,139,19,356
IV-A (CALABARZON),Don Bosco College-Canlubang,29,11,2,42
IV-A (CALABARZON),Eastern Laguna Colleges,8,6,2,16
IV-A (CALABARZON),Eastern Quezon College,25,17,2,44
IV-A (CALABARZON),Eastern Tayabas College,5,1,0,6
IV-A (CALABARZON),Golden Gate Colleges,20,26,15,61
IV-A (CALABARZON),Harris Memorial College,12,17,3,32
IV-A (CALABARZON),Immaculada Concepcion Colleges-Soldier's Hills,8,7,3,18
IV-A (CALABARZON),Immaculate Conception College-Balayan,17,9,2,28
IV-A (CALABARZON),Imus Institute,13,31,5,49
IV-A (CALABARZON),ICCT Colleges,156,35,3,194
IV-A (CALABARZON),Dr. Francisco L. Calingasan Memorial Colleges Foundation,15,8,2,25
IV-A (CALABARZON),Laguna College,49,30,4,83
IV-A (CALABARZON),Laguna College of Business and Arts,41,39,24,104
IV-A (CALABARZON),Laguna Northwestern College,24,5,3,32
IV-A (CALABARZON),Leon Guinto Memorial College,18,12,3,33
IV-A (CALABARZON),Lipa City Colleges,43,72,0,115
IV-A (CALABARZON),Lyceum of the Philippines University-Batangas,129,138,53,320
IV-A (CALABARZON),Mabini Junior College,8,0,1,9
IV-A (CALABARZON),Manuel S. Enverga University Foundation-Lucena,85,121,15,221
IV-A (CALABARZON),Marcelino Fule Memorial College,20,7,1,28
IV-A (CALABARZON),Calayan Educational Foundation,33,31,11,75
IV-A (CALABARZON),Manuel S. Enverga University Foundation-Candelaria,34,29,1,64
IV-A (CALABARZON),Manuel S. Enverga University Foundation-Catanauan,15,10,0,25
IV-A (CALABARZON),National College of Business and Arts-Taytay,16,14,3,33
IV-A (CALABARZON),Northern Quezon College,43,13,3,59
IV-A (CALABARZON),Our Lady of Lourdes Seminary,12,5,3,20
IV-A (CALABARZON),University of Perpetual Help System-Laguna,76,92,19,187
IV-A (CALABARZON),University of Perpetual Help-Dr. Jose G. Tamayo Medical University,151,87,8,246
IV-A (CALABARZON),Adventist University of the Philippines,117,91,38,246
IV-A (CALABARZON),Presbyterian Theological Seminary,5,21,4,30
IV-A (CALABARZON),Quezonian Educational College,21,7,1,29
IV-A (CALABARZON),Rizal College of Taal,15,22,6,43
IV-A (CALABARZON),Rizal College of Laguna,13,7,2,22
IV-A (CALABARZON),Roosevelt College Cainta,22,30,14,66
IV-A (CALABARZON),Sacred Heart College ,32,69,9,110
IV-A (CALABARZON),St. Anne College of Lucena,60,51,7,118
IV-A (CALABARZON),St. Bridget College,16,19,2,37
IV-A (CALABARZON),St. Francis de Sales Major Seminary,16,1,0,17
IV-A (CALABARZON),St. Joseph College-Cavite City,18,13,2,33
IV-A (CALABARZON),St. Louis Anne Colleges,16,7,3,26
IV-A (CALABARZON),St. Michael's College of Laguna,25,32,11,68
IV-A (CALABARZON),St. Paul Seminary Foundation,1,7,2,10
IV-A (CALABARZON),St. Peter's College Seminary,10,13,3,26
IV-A (CALABARZON),San Antonio De Padua College,7,2,0,9
IV-A (CALABARZON),San Ildefonso College,13,1,2,16
IV-A (CALABARZON),San Pablo Colleges,34,38,10,82
IV-A (CALABARZON),San Pedro College of Business Administration,42,30,4,76
IV-A (CALABARZON),San Sebastian College-Recoletos de Cavite,65,49,6,120
IV-A (CALABARZON),Siena College of Taytay,36,36,6,78
IV-A (CALABARZON),Southeast Asia Interdisciplinary Development Institute,1,4,42,47
IV-A (CALABARZON),Tanauan Institute,10,9,4,23
IV-A (CALABARZON),Tayabas Western Academy,17,8,1,26
IV-A (CALABARZON),Tomas Claudio Memorial College,31,34,16,81
IV-A (CALABARZON),Unciano Colleges ,14,10,0,24
IV-A (CALABARZON),Union College of Laguna,25,25,7,57
IV-A (CALABARZON),Western Colleges,12,6,7,25
IV-A (CALABARZON),University of Batangas,19,17,11,47
IV-A (CALABARZON),STI College-Lucena ,19,6,1,26
IV-A (CALABARZON),University of Perpetual Help-Rizal Molino Campus ,39,44,3,86
IV-A (CALABARZON),STI College-San Pablo,19,1,0,20
IV-A (CALABARZON),STI Colleges of Luzon-Calamba Campus,26,12,0,38
IV-A (CALABARZON),Dominican College Sta. Rosa,5,12,3,20
IV-A (CALABARZON),St.s John and Paul Colleges,10,19,2,31
IV-A (CALABARZON),Sta. Teresa College,24,23,5,52
IV-A (CALABARZON),Southern Luzon College,8,3,0,11
IV-A (CALABARZON),STI College-Bacoor,17,10,1,28
IV-A (CALABARZON),STI College-Batangas,8,3,1,12
IV-A (CALABARZON),STI College-Sta. Cruz,16,11,0,27
IV-A (CALABARZON),STI College-Lipa,5,5,4,14
IV-A (CALABARZON),Trace College,3,12,1,16
IV-A (CALABARZON),STI eCollege Southwoods,23,13,1,37
IV-A (CALABARZON),AMA Computer College-Binan,13,8,0,21
IV-A (CALABARZON),Colegio De San Pedro,10,2,0,12
IV-A (CALABARZON),La Consolacion College-Binan,19,14,0,33
IV-A (CALABARZON),Laguna Science and Technology College,7,1,1,9
IV-A (CALABARZON),Mt. St. Aloysius Seminary,7,5,0,12
IV-A (CALABARZON),Cainta Catholic College,24,30,3,57
IV-A (CALABARZON),STI College Ortigas-Cainta,36,8,0,44
IV-A (CALABARZON),Maryhill College,12,17,4,33
IV-A (CALABARZON),University of Perpetual Help System-GMA Campus,27,35,7,69
IV-A (CALABARZON),Philippine Missionary Institute,12,10,2,24
IV-A (CALABARZON),Lemery Colleges,31,11,1,43
IV-A (CALABARZON),AMA Computer College-Sta.Cruz,19,6,0,25
IV-A (CALABARZON),Laguna Santiago Educational Foundation,11,2,0,13
IV-A (CALABARZON),Colegio San Agustin-Binan,10,10,1,21
IV-A (CALABARZON),AMA Computer College-East Rizal,13,15,2,30
IV-A (CALABARZON),Oblates of St. Joseph College of Philosophy,6,14,5,25
IV-A (CALABARZON),Inter-Global College Foundation ,8,13,1,22
IV-A (CALABARZON),University of Perpetual Help System-Dalta-Calamba,34,47,5,86
IV-A (CALABARZON),La Salle College-Antipolo,32,18,2,52
IV-A (CALABARZON),St. Alphonsus School of Theology,0,6,2,8
IV-A (CALABARZON),IETI College of Science and Technology,1,6,3,10
IV-A (CALABARZON),Adventist International Institute of Advanced Studies,2,8,30,40
IV-A (CALABARZON),Binangonan Catholic College,18,9,2,29
IV-A (CALABARZON),AMA Computer College-Dasmarinas,24,7,1,32
IV-A (CALABARZON),AMA Computer College-Batangas City,19,2,1,22
IV-A (CALABARZON),Professional Montessori College,0,5,0,5
IV-A (CALABARZON),Yaman Lahi Foundation-Emilio Aguinaldo College,44,55,10,109
IV-A (CALABARZON),Alitagtag College,3,6,1,10
IV-A (CALABARZON),AMA Computer College-Lipa,18,1,0,19
IV-A (CALABARZON),National College of Science and Technology,66,71,3,140
IV-A (CALABARZON),Rogationist College,34,15,2,51
IV-A (CALABARZON),St. John Colleges,20,9,5,34
IV-A (CALABARZON),AMA Computer College-Calamba,27,9,0,36
IV-A (CALABARZON),AMA Computer College-Lucena,20,7,2,29
IV-A (CALABARZON),Cavite West Point College,14,8,2,24
IV-A (CALABARZON),Our Lady of Assumption College System,0,5,3,8
IV-A (CALABARZON),Southern Philippines Institute of Science and Technology,12,10,2,24
IV-A (CALABARZON),St. Matthew College,5,5,1,11
IV-A (CALABARZON),World Citi Colleges-Quezon City,27,25,5,57
IV-A (CALABARZON),ABE International College of Business and Economics-Cainta,22,6,0,28
IV-A (CALABARZON),First Asia Institute of Technology and Humanities,84,50,3,137
IV-A (CALABARZON),Holy Child Jesus College,13,16,1,30
IV-A (CALABARZON),Lyceum of the Philippines-Laguna,64,40,5,109
IV-A (CALABARZON),St. Jude College,6,13,2,21
IV-A (CALABARZON),St. Francis Institute of Computer Studies,13,4,0,17
IV-A (CALABARZON),Lyceum of the Philippines-St. Cabrini College of Allied Medicine,1,13,0,14
IV-A (CALABARZON),Baptist Bible Seminary and Institute,9,5,2,16
IV-A (CALABARZON),Baptist Voice Bible College,9,0,0,9
IV-A (CALABARZON),"Philippine Cambridge School of Law, Arts, Sciences, Business Economics and Technology",15,7,11,33
IV-A (CALABARZON),Calamba Doctors' College,11,27,5,43
IV-A (CALABARZON),LNC Corinthian Center,26,5,1,32
IV-A (CALABARZON),STI College-Rosario,9,33,0,42
IV-A (CALABARZON),Unida Christian College,7,8,4,19
IV-A (CALABARZON),Columbus College,6,12,0,18
IV-A (CALABARZON),Casa Del Nino College,9,3,0,12
IV-A (CALABARZON),Mabini College of Batangas,5,3,1,9
IV-A (CALABARZON),STI College-Balayan,26,7,1,34
IV-A (CALABARZON),STI College-Sta. Rosa,70,15,2,87
IV-A (CALABARZON),La Consolacion College-Tanauan,27,14,2,43
IV-A (CALABARZON),AMA School of Medicine-East Rizal,9,12,1,22
IV-A (CALABARZON),DMMC Institute of Health Sciences,18,15,3,36
IV-A (CALABARZON),St. Francis of Assisi College-Cavite,7,8,1,16
IV-A (CALABARZON),Olivarez College-Tagaytay,8,36,3,47
IV-A (CALABARZON),St. Dominic College of Arts and Sciences of Cavite,24,65,12,101
IV-A (CALABARZON),Power School of Technology,8,7,0,15
IV-A (CALABARZON),De La Salle Leandro V. Locsin Campus-Canlubang,22,29,8,59
IV-A (CALABARZON),Philippine Women's University Career Development and Continuing Education Center-Calamba City,17,9,4,30
