particulars,functions_programs_or_project_1,functions_programs_or_project_2,functions_programs_or_project_3,functions_programs_or_project_4,code,appropriations,allotments,obligations,balances_of_appropriation,balances_of_allotment,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Pathway, Ibong Sapa, VRC",300-21,83816,-,-,83816,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of PR, Batalay, Bato",300-22,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Salvacion PR, Bagamanoc",300-23,400000,400000,-,400000,400000,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Pajo Baguio, VRC",300-24,400000,-,-,400000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Pajo San Isidro, VRC",300-25,400000,-,-,400000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Antipolo del Norte, VRC",300-26,400000,-,-,400000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Antipolo del Sur, VRC",300-27,400000,-,-,400000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Igang VRC",-300-29g,800000,-,-,800000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of PR, Talisoy, VRC",-300-29h,400000,-,-,400000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of PR (Concreting and Drainage), Calatagan Tibang, VRC",-300-29i,400000,-,-,400000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Upgrading of Roads at Jct Calatagan to Hicming,-300-29j,600000,-,-,600000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Upgrading of Roads and Bridges, Provincewide",-300-29k,3000000,-,-,3000000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Additional Install. Of Concrete Pipes at Jct PR to Yocti, SA",-300-29L,200000,-,-,200000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Datag-Maui FTMR, Caramoran",-300-29m,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Rehabilitation of Bonifacio St., Sta. Teresa, Bagamanoc",-300-29n,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,Upgrading of Antipolo-Igang PR,-300-29o,3000000,-,-,3000000,-,
March 20% Economic Development Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Purchase of Disaster Alarm or Warning System,"Concreting of Almojuela St., Libod, Pandan",-300-29p,200000,-,-,200000,-,
March 20% Economic Development Fund 2012,Social Sector,"Bridges, Spillways and Culverts",Purchase of Disaster Alarm or Warning System,Purchase of Disaster Alarm or Warning System,-,500000,500000,-,500000,500000,
March 20% Economic Development Fund 2012,Social Sector,"Bridges, Spillways and Culverts",Purchase of Disaster Alarm or Warning System,"Construction of Box Culvert to Pinatawan Creek, Osmeña, Viga",-300-30a,500000,500000,-,500000,500000,
March 20% Economic Development Fund 2012,Social Sector,"Bridges, Spillways and Culverts",Purchase of Disaster Alarm or Warning System,"Const of Spillway, back of Rizal E or S to Sitio Cantuba, Viga",-300-30b,400000,-,-,400000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Construction of Cabcab Seawall (Phase III), SA","Construction of Cabcab Seawall (Phase III), SA",-300-28a,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Construction of Bislig Seawall (Phase III), SA","Construction of Bislig Seawall (Phase III), SA",-300-28b,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Repair or Rehabilitation of Carangag River Control, SA","Repair or Rehabilitation of Carangag River Control, SA",-300-28c,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Construction of San Pedro-San Roque Drainage System, Virac","Construction of San Pedro-San Roque Drainage System, Virac",-300-28d,500000,500000,-,500000,500000,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of SIV-Palnab del Sur Drainage System,Construction of SIV-Palnab del Sur Drainage System,-300-28e,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of Bigaa Drainage System,Construction of Bigaa Drainage System,-300-28f,500000,-,-,500000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of Constantino Drainage System,Construction of Constantino Drainage System,-300-28g,200000,-,-,200000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of Calatagan Drainage System,Construction of Calatagan Drainage System,-300-28h,300000,-,-,300000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Construction of Bagatabao Seawall Embankment,Construction of Bagatabao Seawall Embankment,-300-28i,170000,-,-,170000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,Improvement of Museum Center (Tourism Program),Improvement of Museum Center (Tourism Program),-300-29a,1500000,1500000,-,1500000,1500000,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Completion of Tramline Access Transport Facility for Farmers, Ba","Completion of Tramline Access Transport Facility for Farmers, Ba",-300-29b,1000000,-,-,1000000,-,
March 20% Economic Development Fund 2012,Social Sector,Erosion and Flood Control Projects,"Construction of Provl Multi-Purpose Bldg. (PAFC), Phase V","Construction of Provl Multi-Purpose Bldg. (PAFC), Phase V",-300-29d,1000000,-,-,1000000,-,
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Improvement of Materials Recovery Facility (MRF),Improvement of Materials Recovery Facility (MRF),8919-300-29e-1,214388,-,-,214388,-,-
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Establishment of Community Nurseries,300-29e-2,335612,-,-,335612,-,-
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Debt Amortization,-300-29f,11200000,3100000,2408682.32,8791317.68,"691,317.68",
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,"Embankment of Passenger Terminal Site, Viga",-300-31a,1000000,-,-,1000000,-,-
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,"Construction of Terminal (Phase II), Panganiban",-300-31b,500000,-,-,500000,-,-
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Rehabilitation of Camp Francisco Camacho cum Multi-Purpose Bldg.,-300-31d,-,-,-,-,-,-
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Rehabilitation of Quality Control Bldg. (Phase II),-300-31e,200000,-,-,200000,-,-
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Construction of Youth Center Mall (Phase III),-300-31f,14500000,14500000,14227849.43,272150.57,272150.57,
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Rehabilitation of Dome and other Facilities,-300-31g,300000,-,-,300000,-,
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,"Construction of Youth Center Mall, Phase IV",8919-300-32,8911528.88,8911528.88,-,8911528.88,8911528.88,
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Medical Equipment,-233,250000,250000,-,250000,250000,
March 20% Economic Development Fund 2012,Social Sector,Sustainable Environment Program,Establishment of Community Nurseries,Tourism Program (Virac Fountain),-234,150000,150000,-,150000,150000,
March 20% Economic Development Fund 2012,Total - March 2012,Total - March 2012,Total - March 2012,Total - March 2012,-,86540344.88,45561528.88,16667653.75,69872691.13,28893875.13,
March 20% Continuing 2011,Social Sector,Social Sector,PDPFP Update and Data Research Project,PDPFP Update and Data Research Project,8919-200-1,13219.27,13219.27,-,13219.27,-,
March 20% Continuing 2011,Social Sector,Social Sector,Counterpart for Construction of 6 Sch. Bldgs.(Chinese Chamber),Counterpart for Construction of 6 Sch. Bldgs.(Chinese Chamber),-300-2a,600000,600000,589985,10015,10015,
March 20% Continuing 2011,Social Sector,Social Sector,"Construction, Alma E or S Stage, San Miguel","Construction, Alma E or S Stage, San Miguel",-300-2d,293921.34,293921.34,1080,292841.34,292841.34,
March 20% Continuing 2011,Social Sector,Social Sector,"Rehabilitation of One (1) CL S or B, Bagawang, Pandan","Rehabilitation of One (1) CL S or B, Bagawang, Pandan",-300-2e,341540.53,341540.53,1500,340040.53,340040.53,
March 20% Continuing 2011,Social Sector,Water System,"Construction, Canlubi Water System (Reservoir), Pandan","Construction, Canlubi Water System (Reservoir), Pandan",-300-3a,290351.44,290351.44,1500,288851.44,288851.44,
March 20% Continuing 2011,Social Sector,Water System,"Construction, Katipunan Water Tank, San Miguel","Construction, Katipunan Water Tank, San Miguel",-300-3b,242919.14,242919.14,1000,241919.14,241919.14,
March 20% Continuing 2011,Social Sector,Water System,"Construction, District I Water Tank, San Miguel","Construction, District I Water Tank, San Miguel",-300-3c,250000,250000,-,250000,250000,
March 20% Continuing 2011,Social Sector,Water System,"Construction, Lictin Water Tank, San Andres","Construction, Lictin Water Tank, San Andres",-300-3d,141784.5,141784.5,1000,140784.5,140784.5,
March 20% Continuing 2011,Social Sector,Water System,"Construction, Calampong Water Tank, Virac","Construction, Calampong Water Tank, Virac",-300-3e,291034.01,291034.01,2000,289034.01,289034.01,
March 20% Continuing 2011,Social Sector,Others,Rehabilitation of Sogod Simamla Day Care Center,Rehabilitation of Sogod Simamla Day Care Center,-300-4a,145548.42,145548.42,1000,144548.42,144548.42,
March 20% Continuing 2011,Social Sector,Others,"Concreting, Tokyo Plaza, Pandan","Concreting, Tokyo Plaza, Pandan",-300-4e,830474.62,830474.62,-,830474.62,830474.62,
March 20% Continuing 2011,Social Sector,Others,"Levelling, Tokyo Plaza, Pandan, Phase II","Levelling, Tokyo Plaza, Pandan, Phase II",-300-4f,1595801,1595801,5000,1590801,1590801,
March 20% Continuing 2011,Social Sector,Others,"Construction, Dugui Wala San Isidro Multi-Purpose Hall, Phase I","Construction, Dugui Wala San Isidro Multi-Purpose Hall, Phase I",-300-4h,494290.59,494290.59,492277.5,2013.09,2013.09,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Road Opening, Bislig Brgy Road, San Andres","Road Opening, Bislig Brgy Road, San Andres",-300-5b,146504.9,146504.9,1000,145504.9,145504.9,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Road Opening of Balangonan-Sitio Kagnipa FMR, Pandan","Road Opening of Balangonan-Sitio Kagnipa FMR, Pandan",-300-5c,-,-,-,-,-,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Construction, Sogod Tibgao Brgy. Road, Virac","Construction, Sogod Tibgao Brgy. Road, Virac",-300-5d,289427.56,289427.56,1500,287927.56,287927.56,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Sto. Cristo St., Calatagan Proper, Virac","Concreting Of Sto. Cristo St., Calatagan Proper, Virac",-300-5h,388371.23,388371.23,1500,386871.23,386871.23,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Francia Brgy. Road, Virac","Concreting Of Francia Brgy. Road, Virac",-300-5i,174395,174395,151245,23150,23150,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Cabihian Brgy. Road, Virac","Concreting Of Cabihian Brgy. Road, Virac",-300-5j,194889.11,194889.11,1000,193889.11,193889.11,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Sta. Elena Road Shouldering, Virac","Concreting Of Sta. Elena Road Shouldering, Virac",-300-5n,80000,80000,-,80000,80000,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Hicming Brgy. Road, Virac","Concreting Of Hicming Brgy. Road, Virac",-300-5o,289427.56,289427.56,285751.8,3675.76,3675.76,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga","Widening and Regravlling,Brgy Tinago Sitio Manaog Rd Viga",-300-5p,-,-,-,-,-,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Concreting, District II Brgy. Road, San Miguel","Rehabilitation or Concreting, District II Brgy. Road, San Miguel",-300-5q,973289.2,973289.2,966289.2,7000,7000,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto","Improvement or Rehabilitation, Dist.II-San Pedro Road, Gigmoto",-300-5r,-,-,-,-,-,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation of Esperanza Concrete Pavement, San Andres","Rehabilitation of Esperanza Concrete Pavement, San Andres",-300-5s,243101.05,243101.05,240601.05,2500,2500,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac","Improvement or Rehabilitation, Brgy. Sogod Bigaa Rd, Virac",-300-5t,970934.5,970934.5,962934.5,8000,8000,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation or Restoration, Prov'l Roads and Bridges","Rehabilitation or Restoration, Prov'l Roads and Bridges",-300-5v,753491.87,753491.87,-,753491.87,753491.87,
March 20% Continuing 2011,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Riprapping, San Roque Brgy. Road, Bato","Riprapping, San Roque Brgy. Road, Bato",-300-5w,497880,497880,3000,494880,494880,
March 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Rehabilitation, Gogon Bridge Approach","Rehabilitation, Gogon Bridge Approach",-300-6a,250000,250000,-,250000,250000,
March 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Construction, Batong Paloway Spillway, San Andres","Construction, Batong Paloway Spillway, San Andres",-300-6b,2911945.24,2911945.24,80,2911865.24,2911865.24,
March 20% Continuing 2011,Economic Sector,"Bridges, Spillways and Culverts","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel","Construction, One (1) Barrel Box Culvert, Buhi, San Miguel",-300-6d,376417.42,376417.42,376417.42,-,-,
March 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Construction, Bislig Seawall, San Andres","Construction, Bislig Seawall, San Andres",-300-7a,481846.8,481846.8,3580,478266.8,478266.8,
March 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Construction, Cabcab Seawall, San Andres","Construction, Cabcab Seawall, San Andres",-300-7c,469432.04,469432.04,469432.04,-,-,
March 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation Of SACES Drainage System, Phase II, SA","Rehabilitation Of SACES Drainage System, Phase II, SA",-300-7f,-,-,-,-,-,
March 20% Continuing 2011,Economic Sector,Erosion and Flood Control Projects,"Rehabilitation of Dugui Wala, San Vicente River Control, Virac","Rehabilitation of Dugui Wala, San Vicente River Control, Virac",-300-7h,194112.8,194112.8,1000,193112.8,193112.8,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.","Renovation or Rehabilitation, 3rd Flr., Capitol Bldg.",-310,-,-,-,-,-,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Renovation, Youth Center","Renovation, Youth Center",-312,484930.73,484930.73,38472,446458.73,446458.73,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,Construction Mats. for Various Repair or Maint.Of Gov't Bldgs and Fac,-313,344309.5,344309.5,-,344309.5,344309.5,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Rehabilitation of Municipal Mayor's Office, Caramoran","Rehabilitation of Municipal Mayor's Office, Caramoran",-315,293030.14,293030.14,2000,291030.14,291030.14,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Freshwater Mineral Resources Mgt and Regulation,Freshwater Mineral Resources Mgt and Regulation,-200-16a,85381,85381,-,85381,85381,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Establishment Of Prov'l Carbon Sequestration Proj.(Forest Park),Establishment Of Prov'l Carbon Sequestration Proj.(Forest Park),-200-16b,23003,23003,-,23003,23003,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Establishment Of Marine Protected Area (MPA),Establishment Of Marine Protected Area (MPA),-200-16c,18260,18260,-,18260,18260,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Expansion and Rehabilitation Of Eight (8) Hosp.(LGU Counterpart),Expansion and Rehabilitation Of Eight (8) Hosp.(LGU Counterpart),-300-17a,98540.85,98540.85,6720,91820.85,91820.85,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Rehabilitation Of Capitol Compd and other Gov't owned Parks or Fac.,Rehabilitation Of Capitol Compd and other Gov't owned Parks or Fac.,-200-17b,45763.67,45763.67,41580,4183.67,4183.67,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Construction of Orthopedic Building, PHO","Construction of Orthopedic Building, PHO",-300-18a,1000000,1000000,-,1000000,1000000,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Construction of Mayngaway Water Tank, San Andres","Construction of Mayngaway Water Tank, San Andres",-320,188208.9,188208.9,188208.9,-,-,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Construction of Purot Stage (Kiosk), Pandan","Construction of Purot Stage (Kiosk), Pandan",8919-300-21,250000,250000,-,250000,250000,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Bagumbayan Brgy. Hall, Panganiban","Bagumbayan Brgy. Hall, Panganiban",300-22,121504,121504,-,121504,121504,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Concreting Manambrag Brgy. Road, San Andres","Concreting Manambrag Brgy. Road, San Andres",300-23,160,160,160,-,-,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Concreting Codon Brgy Road, San Andres","Concreting Codon Brgy Road, San Andres",300-24,-,-,-,-,-,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Concreting Marilima Brgy. Road, Virac","Concreting Marilima Brgy. Road, Virac",300-25,-,-,-,-,-,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Tramline,Tramline,200-29b,200935.69,200935.69,-,200935.69,200935.69,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Transformer - Capitol,Transformer - Capitol,200-30,240000,240000,-,240000,240000,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Rehabilitation of Quality Control Laboratory Bldg., PEO","Rehabilitation of Quality Control Laboratory Bldg., PEO",200-32,384420.1,384420.1,1000,383420.1,383420.1,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction of San Andres Covered Court,Construction of San Andres Covered Court,200-32,-,-,-,-,-,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Provincial Counterpart Fund for Health,Provincial Counterpart Fund for Health,200-34,230408.75,230408.75,210000,20408.75,20408.75,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,other Social Health Programs,other Social Health Programs,-,106841,106841,12000,94841,94841,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Provincial Capitol Compound Offices,Provincial Capitol Compound Offices,-,766487,766487,7980,758507,758507,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Establishment of Social Amelioration Center,Establishment of Social Amelioration Center,-,158331.16,158331.16,11163.2,147167.96,147167.96,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,other Environmental Mgt. Programs and Projects,other Environmental Mgt. Programs and Projects,-,188631.21,188631.21,81770,106861.21,106861.21,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Abaca Rehabilitation Project,Abaca Rehabilitation Project,8911-200-1c,107545,107545,-,107545,107545,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Farm Mechanization (4 Tractors),Farm Mechanization (4 Tractors),-300-1i,240000,240000,-,240000,240000,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Crab Grow-Out Sites,Crab Grow-Out Sites,-200-2b,35086.27,35086.27,8316,26770.27,26770.27,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Tilapia Hatchery,Tilapia Hatchery,-200-2c,23111,23111,8316,14795,14795,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Panganiban Demo Fishpond,Panganiban Demo Fishpond,-200-2d,62544.31,62544.31,16632,45912.31,45912.31,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Construction of Fish Pen,Construction of Fish Pen,200-2e ,21288.4,21288.4,8316,12972.4,12972.4,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Rehabilitation or Improvement of Tourism Info. Center,Rehabilitation or Improvement of Tourism Info. Center,8912-200-2,64950.8,64950.8,-,64950.8,64950.8,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Road Opening, FMR, Guinsaanan, Baras","Road Opening, FMR, Guinsaanan, Baras",8919-200-88,100000,100000,-,100000,100000,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Purchase of Post Harvest Facilities,Purchase of Post Harvest Facilities,-200-92p,253788,253788,-,253788,253788,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Repair of Irrigation System,Repair of Irrigation System,-200-92q,96176.9,96176.9,-,96176.9,96176.9,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Expansion of Dialysis Center,Expansion of Dialysis Center,-200-94a,500000,500000,-,500000,500000,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Prov'l Housing Project,Prov'l Housing Project,-200-94b,1500000,1500000,172399.5,1327600.5,1327600.5,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,"Repair of Bugao Elem. Sch., Phase II","Repair of Bugao Elem. Sch., Phase II",-200-94c,255871.88,255871.88,255871.88,-,-,
March 20% Continuing 2011,General Public Services Sector,General Public Services Sector,Improvement of MRF-Capitol Compound,Improvement of MRF-Capitol Compound,-200-94d,11143,11143,7501.24,3641.76,3641.76,
March 20% Continuing 2011,Total - March 2011 Continuing,Total - March 2011 Continuing,Total - March 2011 Continuing,Total - March 2011 Continuing,-,23717003.4,23717003.4,5640080.23,18076923.17,18076923.17,
April 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,Improvement of JMA District Hosp. (Phase II),Improvement of JMA District Hosp. (Phase II),8919-300-1a,1300000,1300000,-,1300000,1300000,
April 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,"Renovation of Technical Section, PHO Compd (Phase II)","Renovation of Technical Section, PHO Compd (Phase II)",-300-1b,850000,850000,-,850000,850000,
April 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,Renov or Rehabilitation Of San Miguel RHU,Renov or Rehabilitation Of San Miguel RHU,-300-1c,825000,-,-,825000,-,
April 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Repair or Rehabilitation Of HE Bldg., Cabcab E or S cum Evac. Center, SA","Repair or Rehabilitation Of HE Bldg., Cabcab E or S cum Evac. Center, SA",-300-2c,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Construction of Sch. Drainage of Dororian E or S cum Evac. Center, Gig.","Construction of Sch. Drainage of Dororian E or S cum Evac. Center, Gig.",-300-2e,100000,-,-,100000,-,
April 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Rehabilitation Of SACES Computer Bldg., SA","Rehabilitation Of SACES Computer Bldg., SA",300-2h,500000,-,-,500000,-,
April 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,Construction or Repair or Rehabilitation of Sch. Bldgs and other Learning Facilities cum Multi-Purpose Bldg. (Counterpart Fund),Construction or Repair or Rehabilitation of Sch. Bldgs and other Learning Facilities cum Multi-Purpose Bldg. (Counterpart Fund),-300-2j,900000,-,-,900000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Construction of District I Water Tank, San Miguel","Construction of District I Water Tank, San Miguel",-300-3a,1000000,-,-,1000000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Construction of Elevated Water Tank, CNHS Virac","Construction of Elevated Water Tank, CNHS Virac",-300-3b,250000,250000,790,249210,249210,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Concrete Perimeter Fencing of Brgy Plaza, Porot, Pandan","Concrete Perimeter Fencing of Brgy Plaza, Porot, Pandan",-300-4a,130000,-,-,130000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Completion of Guinobatan Evacuation Center, Bato","Completion of Guinobatan Evacuation Center, Bato",-300-4b,500000,500000,4472.13,495527.87,495527.87,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Completion of Taopon Multi-Purpose Hall, Panganiban","Completion of Taopon Multi-Purpose Hall, Panganiban",-300-4c,120000,-,-,120000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Bagumbayan Multi-Purpose Hall (Phase III), Panganiban","Bagumbayan Multi-Purpose Hall (Phase III), Panganiban",-300-4d,200000,-,-,200000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,Construction of San Andres Covered Court (Phase II),Construction of San Andres Covered Court (Phase II),-300-4e,-,-,-,-,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Const of Palawig Multi-Purpose Hall, SA","Const of Palawig Multi-Purpose Hall, SA",-300-4f,400000,-,-,400000,-,
April 20% Economic Development Fund 2012,Social Sector,Water System,"Rehabilitation or Conversion of Bagsakan Center to convert to Day Care Center, Conception, Virac","Rehabilitation or Conversion of Bagsakan Center to convert to Day Care Center, Conception, Virac",-300-4g,200000,-,-,200000,-,
