psgc_brgy,hearing,visual,speech,orthopedic,multiple_ disabilities,mental,other,no_ household_member_is_disabled
174005033,1,0,1,0,4,1,1,187
174005034,0,0,0,0,0,0,1,7
174005035,0,0,0,0,0,0,0,118
174005036,5,2,3,2,4,1,0,323
174005037,1,2,0,2,0,0,6,181
174005038,2,6,3,4,4,0,4,301
174005039,6,2,1,1,1,2,5,120
174005040,1,3,1,0,0,1,4,97
174005041,0,4,2,0,1,0,0,328
174005042,0,0,0,0,0,0,0,73
174005043,1,3,0,0,0,1,4,371
174005044,2,2,0,0,0,0,1,110
174005045,1,1,0,0,2,0,0,103
174005047,1,4,3,1,4,0,4,184
174005048,0,0,1,1,0,0,1,211
174005049,0,1,0,0,1,1,0,219
174005050,2,1,0,0,0,0,3,281
174005051,1,1,0,1,2,1,0,104
174005052,7,3,1,0,0,0,2,258
174005053,1,1,0,0,0,0,0,65
174005054,0,4,3,1,1,0,2,156
174005055,3,6,2,3,0,3,3,325
174005056,4,1,0,0,1,4,0,302
174006001,0,0,0,0,1,0,1,97
174006002,0,0,0,0,0,0,0,77
174006003,0,0,0,2,2,0,0,106
174006004,3,4,4,4,3,2,6,248
174006005,1,2,3,1,3,0,2,435
174006006,0,2,2,1,2,1,2,374
174006007,1,1,1,1,2,2,0,115
174006008,2,0,0,0,0,1,1,197
174006009,0,0,0,1,0,0,2,125
174006010,1,1,0,0,2,0,0,107
174006011,1,2,0,0,2,3,1,248
174006012,1,3,1,2,1,2,6,564
174006013,1,0,0,1,0,2,1,140
174006014,1,2,2,1,1,3,7,324
174006015,3,3,1,1,1,2,1,319
174006016,3,5,1,3,3,1,2,157
174006017,0,2,1,1,1,1,1,246
174006018,2,2,1,2,5,1,2,93
174006019,0,2,0,1,1,0,0,172
174006020,2,2,0,4,4,4,3,396
174006021,1,2,1,2,1,0,3,155
174006022,1,3,0,3,2,2,1,332
174006023,0,0,4,2,1,0,6,324
174006024,0,0,0,0,0,2,1,99
174006025,2,3,4,5,2,2,8,512
175101001,0,0,0,0,0,0,0,0
175101002,0,0,0,0,0,0,0,0
175101003,0,0,0,0,0,0,0,0
175101004,0,0,0,0,0,0,0,0
175101005,0,0,0,0,0,0,0,0
175101006,0,0,0,0,0,0,0,0
175101007,0,0,0,0,0,0,0,0
175101008,0,0,0,0,0,0,0,0
175101009,0,0,0,0,0,0,0,0
175102001,0,4,1,13,1,6,17,547
175102002,22,17,9,8,7,11,33,610
175102003,4,4,0,5,0,0,3,301
175102004,30,123,3,3,6,1,11,744
175102005,17,15,8,9,13,13,13,1303
175102006,1,3,4,4,1,6,3,533
175102007,1,8,3,9,2,1,2,676
175103001,2,2,0,6,2,0,0,239
175103002,2,5,2,13,4,2,2,322
175103003,2,2,0,0,2,2,0,107
175103004,9,5,2,4,4,1,0,193
175103005,2,0,0,2,6,2,0,158
175103006,2,3,3,3,1,0,0,138
175103007,3,3,0,0,0,2,1,114
175103008,2,4,0,3,2,1,0,83
175103009,0,2,3,2,3,2,0,309
175104001,11,4,4,3,1,0,0,258
175104002,1,0,2,6,0,2,2,408
175104003,2,1,0,3,2,2,0,171
175104004,6,3,7,16,4,9,7,568
175104005,3,6,7,11,2,11,0,734
175104006,0,3,1,6,3,0,1,559
175104007,6,2,3,3,2,3,4,366
175104008,0,8,1,8,4,2,10,385
175104009,1,0,0,0,0,0,0,24
175104010,0,0,0,0,1,1,0,109
175104011,0,0,0,1,0,0,0,104
175104012,2,1,0,2,0,1,2,100
175104013,2,0,0,0,0,0,0,111
175104014,6,8,3,12,1,4,0,221
175104015,1,0,0,0,0,0,0,97
175104016,2,3,0,4,1,0,0,90
175105001,0,0,0,0,0,0,0,0
175105003,0,0,0,0,0,0,0,0
175105004,0,0,0,0,0,0,0,0
175105005,0,0,0,0,0,0,0,0
175105006,0,0,0,0,0,0,0,0
175105007,0,0,0,0,0,0,0,0
175105008,0,0,0,0,0,0,0,0
175105009,0,0,0,0,0,0,0,0
175105010,0,0,0,0,0,0,0,0
175105011,0,0,0,0,0,0,0,0
175105012,0,0,0,0,0,0,0,0
175105013,0,0,0,0,0,0,0,0
175106001,22,28,5,13,10,3,60,1179
175106002,9,9,0,2,1,3,15,314
175106003,23,65,4,7,7,8,94,1502
175106004,0,6,0,3,1,1,8,251
175106005,16,22,2,3,5,6,7,445
175106006,4,8,2,2,4,1,37,474
175106007,7,43,3,2,14,11,27,1183
175106008,1,6,3,2,0,0,5,71
175106009,0,3,1,2,1,0,11,421
175106010,0,2,0,0,0,0,3,50
175106011,1,0,0,0,0,1,0,120
175106012,4,1,1,0,2,0,8,71
175106013,2,2,0,1,0,0,0,120
175106014,2,2,0,1,4,0,2,358
175106015,0,10,1,3,1,0,3,205
175107001,0,0,0,0,0,0,0,0
175107002,0,0,0,0,0,0,0,0
175107003,0,0,0,0,0,0,0,0
175107004,0,0,0,0,0,0,0,0
175107005,0,0,0,0,0,0,0,0
175107006,0,0,0,0,0,0,0,0
175107007,0,0,0,0,0,0,0,0
175107008,0,0,0,0,0,0,0,0
175107009,0,0,0,0,0,0,0,0
175107010,0,0,0,0,0,0,0,0
175107011,0,0,0,0,0,0,0,0
175107012,0,0,0,0,0,0,0,0
175108001,5,12,5,5,8,6,12,633
175108002,0,7,1,4,3,1,5,505
175108003,2,10,2,5,2,6,10,495
175108004,8,9,4,8,7,4,7,818
175108005,1,7,3,3,2,1,7,434
175108006,4,7,6,7,3,3,7,456
175108007,3,20,3,10,3,2,16,710
175108008,2,6,7,6,5,4,6,424
175108009,0,2,2,3,2,1,1,425
175108010,3,6,5,7,5,2,3,655
175108012,8,2,10,7,6,3,5,856
175109001,5,6,4,1,8,5,16,829
175109002,13,27,8,15,4,7,35,1525
175109003,4,6,0,0,4,5,3,414
175109004,2,6,2,4,3,3,4,770
175109005,2,5,3,3,2,1,8,477
175109006,2,1,0,0,1,1,1,326
175109007,3,4,3,1,4,0,2,571
175109008,5,12,8,6,9,8,26,1049
175109009,3,7,5,8,5,4,12,1157
175109010,5,1,1,2,0,3,3,246
