psgc_brgy,water_sealed,closed_pit,open_pit,others_ pails_etc,none
175209036,182,4,1,1,73
175209037,212,10,3,1,202
175210001,81,7,2,3,179
175210002,17,1,10,0,7
175210004,76,200,111,17,159
175210005,168,52,7,1,56
175210006,68,71,4,1,50
175210007,12,54,16,1,164
175210008,184,14,4,2,76
175210009,293,2,2,0,88
175210010,33,152,56,5,99
175210011,119,23,19,0,38
175210012,325,74,53,6,163
175210013,383,67,41,1,250
175210014,100,88,18,2,167
175210015,116,79,16,2,97
175210017,104,0,0,0,4
175210018,101,5,0,0,17
175210019,111,10,5,0,45
175210020,34,7,8,4,110
175210021,69,73,6,0,129
175210022,87,9,3,0,88
175210023,4,32,12,5,109
175210024,51,18,0,0,36
175210025,47,3,0,10,114
175211001,325,22,61,2,93
175211002,615,8,8,4,148
175211003,465,5,6,4,39
175211004,216,28,7,0,7
175211005,514,11,1,9,74
175211006,115,12,1,2,27
175211007,459,9,8,2,119
175211008,296,1,12,0,37
175211009,309,5,0,0,7
175211010,402,32,22,5,79
175211011,118,34,20,2,99
175211012,664,31,7,0,24
175211013,7,1,39,2,77
175212001,1015,24,17,9,248
175212002,382,9,38,1,150
175212003,656,6,5,9,192
175212004,178,39,9,0,59
175212005,313,17,9,2,37
175212006,318,23,18,5,86
175212007,152,16,31,1,78
175212008,104,12,0,2,14
175212009,483,37,65,4,133
175212010,652,11,37,9,253
175212011,572,22,39,1,104
175212012,303,7,33,4,85
175212013,317,5,34,2,250
175212014,624,54,14,7,168
175212015,186,9,4,1,77
175212016,202,8,16,0,30
175212017,164,30,34,6,446
175212018,121,7,3,0,66
175212019,278,23,9,0,106
175212020,157,5,9,1,26
175213001,243,18,4,1,109
175213002,229,43,34,2,144
175213003,183,229,13,4,45
175213004,228,2,1,5,95
175213005,368,22,11,5,154
175213006,286,13,4,3,97
175213007,326,17,0,2,41
175213008,146,18,49,7,166
175214001,336,24,6,0,31
175214002,94,8,1,12,11
175214003,358,64,20,0,104
175214005,226,14,59,2,29
175214006,376,7,3,0,69
175214007,92,23,10,3,27
175214008,241,65,42,6,242
175214009,87,59,13,2,13
175214010,148,64,11,3,13
175214012,319,32,3,0,35
175214013,288,64,5,12,42
175214014,98,28,57,19,36
175214015,70,58,15,0,5
175214016,440,45,61,3,89
175214017,86,5,42,18,14
175214018,143,2,0,1,21
175214019,129,19,8,15,43
175214020,190,10,13,1,6
175214021,95,5,0,2,11
175214022,188,2,17,2,11
175214023,431,11,5,0,17
175214024,287,48,48,0,28
175214025,364,49,33,5,66
175214027,12,30,1,0,116
175214028,204,39,60,18,42
175214029,12,30,41,0,6
175215001,462,102,33,4,87
175215002,315,20,1,1,13
175215003,94,142,14,1,4
175215004,133,48,0,1,40
175215005,144,32,27,1,73
175215006,193,0,1,0,2
175215007,168,9,4,0,4
175215008,57,24,84,1,22
175215009,111,70,13,1,50
175215010,201,88,24,4,22
175215011,174,16,2,0,33
175215012,490,77,26,38,3
175215013,260,10,5,113,13
175215015,84,14,0,0,4
175215016,246,39,22,2,25
175215017,356,61,39,11,49
175215018,640,6,1,1,27
175215019,166,7,36,0,0
175215020,622,22,17,4,102
175215021,339,9,4,3,5
175215027,181,14,2,0,18
175215028,199,23,11,0,5
175215029,182,87,1,1,8
175215030,58,4,11,0,2
175215031,307,23,8,0,13
175215032,190,9,3,1,7
175215033,227,14,8,12,79
175215034,201,25,6,2,55
175215035,136,89,86,1,244
175215036,273,12,14,0,32
175215037,124,31,9,0,3
175215038,73,108,30,2,0
175301001,77,82,31,6,48
175301002,74,62,30,0,93
175301003,180,92,137,32,175
175301004,70,31,28,6,62
175301005,99,116,32,0,134
175301006,38,17,18,3,35
175301007,159,69,82,14,96
175301008,207,104,26,15,98
175301009,135,81,33,1,31
175301010,136,27,6,1,29
175301011,79,116,9,0,79
175301012,322,140,59,1,98
175301014,203,135,75,4,109
175301015,57,92,34,2,85
175301016,318,43,89,16,186
175301017,75,65,38,1,38
175301018,127,121,42,4,50
175301019,220,26,29,3,163
175301020,54,30,37,12,121
175302002,328,129,20,2,524
175302003,352,29,6,2,319
175302004,229,8,0,2,21
175302005,52,4,0,0,4
175302006,31,3,1,1,37
175302007,73,21,1,0,8
175302008,35,11,0,0,3
175302009,54,23,0,0,7
175302010,59,58,1,0,20
175302011,73,118,5,0,18
175303001,14,4,38,1,90
175303004,49,25,49,1,46
175303005,33,10,26,0,38
175303006,21,11,49,0,56
175303007,47,10,24,0,80
175303008,48,15,54,1,66
175303009,50,5,69,1,64
175303010,40,17,30,0,46
175303011,23,10,29,0,52
175303012,44,14,36,1,28
175303013,209,17,64,0,90
175303014,205,22,79,1,188
