psgc_brgy,yes,no
83718030,198,70
83718031,97,5
83718032,165,89
83718033,162,106
83718034,173,70
83718035,79,43
83718036,56,22
83718037,137,68
83718038,103,82
83718039,66,23
83718040,71,44
83718041,429,174
83718042,208,114
83718043,90,69
83718044,162,55
83718045,138,54
83718046,66,64
83719001,78,35
83719002,372,61
83719003,165,36
83719004,112,72
83719005,99,52
83719006,84,42
83719007,201,60
83719008,87,29
83719009,113,35
83719010,67,22
83719011,47,12
83719012,264,81
83719014,177,29
83719015,67,82
83719016,62,60
83719017,119,75
83719018,402,148
83719019,93,52
83719020,202,55
83719021,242,75
83719022,143,23
83719023,171,73
83719024,332,33
83719025,138,61
83719026,170,26
83719027,153,94
83719028,317,60
83719029,154,51
83719030,243,59
83719031,192,44
83719032,140,42
83719033,47,18
83719034,35,99
83719035,84,56
83719036,161,34
83719037,183,53
83719038,136,26
83719039,205,81
83719041,13,9
83719042,276,38
83719043,92,37
83719044,224,54
83719045,136,44
83719046,171,86
83719047,123,78
83719048,90,96
83719049,104,44
83719050,17,23
83719051,100,78
83719052,64,8
83719053,95,16
83720001,78,42
83720002,97,25
83720003,49,23
83720004,271,35
83720006,143,43
83720007,72,67
83720008,87,43
83720009,60,15
83720010,189,23
83720011,193,50
83720012,99,20
83720013,54,23
83720014,196,118
83720015,99,29
83720016,38,36
83720017,296,54
83720018,134,44
83720019,146,25
83720020,255,62
83720021,332,97
83721001,107,31
83721002,81,27
83721003,42,23
83721004,93,50
83721005,3,78
83721006,306,119
83721007,28,13
83721008,185,81
83721009,169,58
83721010,68,13
83721011,85,41
83721012,165,40
83721013,106,49
83721014,55,18
83721016,152,19
83721017,160,59
83721018,223,29
83721019,240,75
83721020,179,64
83721021,288,82
83722001,66,30
83722002,97,12
83722003,334,51
83722004,258,102
83722005,99,32
83722006,524,50
83722007,48,41
83722008,68,74
83722009,68,24
83722010,134,86
83722011,863,96
83722012,286,43
83722013,498,131
83722014,742,121
83722015,78,51
83722017,79,99
83722018,161,35
83722019,246,35
83722020,250,49
83722021,707,126
83722022,167,13
83722023,251,54
83722024,228,40
83722025,183,31
83723001,18,13
83723002,60,53
83723003,57,27
83723004,21,47
83723005,125,192
83723006,52,54
83723007,99,62
83723008,47,69
83723009,101,153
83723010,135,100
83723011,59,133
83723012,74,65
83723013,159,70
83723014,64,42
83723015,96,67
83723016,75,74
83723017,26,46
83723018,135,83
83723019,147,65
83723020,105,66
83723021,46,86
83723023,119,118
83723024,36,51
83723025,70,39
83723026,93,93
83723027,164,87
83723028,122,40
83723029,88,50
83723030,88,42
83723031,43,34
83723032,103,138
83723034,68,71
83723035,197,137
83723036,38,66
83723037,37,24
83723038,51,115
83723039,71,43
83723040,102,82
83723041,19,39
83723042,25,21
83723043,35,32
83723044,20,36
83723045,30,63
83723046,27,38
83723047,21,37
83724001,82,49
83724002,21,30
83724003,111,37
83724004,201,169
83724005,98,41
83724006,95,40
83724007,100,43
83724008,73,54
83724009,47,23
83724010,211,123
83724011,4,34
83724012,89,95
83724013,80,53
83724014,39,25
83724015,84,87
83724016,24,27
83724017,157,99
83724018,37,49
83724019,172,157
83724020,72,49
83724021,49,83
83724022,247,55
83724023,190,72
83724024,117,100
83724026,50,35
83724027,97,87
83724028,134,96
83724029,100,87
83725001,58,24
83725002,100,70
83725003,36,21
83725004,32,28
83725005,106,55
83725006,29,61
83725007,20,17
83725008,145,61
83725009,43,22
83725010,61,64
83725013,121,79
83725014,26,22
83725015,84,51
83725016,26,34
83725017,21,25
83725018,98,17
83725019,150,31
83725020,99,39
83725021,137,33
83725022,60,43
83725023,9,48
83725024,77,39
83725025,147,92
83725026,28,22
83725027,44,39
83725028,59,61
83726001,243,143
83726002,170,34
83726003,135,69
83726004,234,123
83726005,147,35
83726006,309,145
83726007,436,58
83726008,325,159
83726009,43,67
83726010,351,107
83726011,242,147
83726012,246,63
83726013,309,122
83726014,259,90
83726015,872,258
83726016,418,256
83726017,69,27
83726018,105,150
83726019,55,63
83726020,250,89
83726021,266,133
83726022,170,23
83726023,443,122
83728001,49,53
83728002,25,32
83728003,51,47
83728004,26,24
83728005,58,60
83728006,40,22
83728007,34,25
83728008,36,30
83728009,27,43
83728010,46,20
83728011,56,46
83728012,33,72
83728013,38,31
83728014,93,86
83728015,78,43
83728016,41,55
83728017,96,79
83728018,49,59
83728019,227,104
83728020,82,69
83728021,29,22
83728022,1,92
83728023,45,63
83728024,53,44
83728025,130,27
83728026,130,34
83728027,234,36
83728028,160,33
83728029,35,44
83728030,80,49
83728031,55,38
83728032,182,66
83728033,111,57
83728034,2,44
83728035,42,35
83729001,140,74
83729002,72,107
83729003,9,62
83729004,37,13
83729005,173,141
83729006,104,52
83729007,40,148
83729008,205,316
83729009,143,53
83729010,69,70
83729011,50,53
83729012,150,74
83729013,182,142
83729014,58,44
83729015,136,248
83729016,39,54
83729017,284,182
83729018,81,287
83729019,11,129
83729020,43,67
83729021,669,186
83729022,49,121
83729023,109,101
83729024,29,73
83729025,35,84
83729026,145,128
83729027,99,71
83729028,152,109
83729029,73,139
83729030,51,229
83730001,86,39
83730002,26,37
83730004,44,68
83730005,177,81
83730006,67,39
83730007,172,88
83730008,82,37
83730009,16,27
83730010,24,22
83730011,178,82
83730012,72,61
83730013,14,21
83730014,66,54
83730015,130,26
83730016,152,51
83730017,143,25
83730018,126,32
83730019,99,48
83730020,66,47
83730021,48,34
83730022,73,34
83730023,31,9
83730024,48,40
83730025,73,72
83730026,68,32
83730027,14,12
83730028,69,73
83730029,85,94
83730030,144,75
83730031,32,26
83730032,63,32
83731001,191,101
83731002,110,51
83731003,117,119
83731004,121,154
83731005,7,89
83731006,36,54
83731007,15,50
83731008,39,52
83731009,1,59
83731010,93,63
83731011,92,56
83731012,171,119
83731013,20,20
83731014,74,87
83731015,60,34
83731016,59,125
83731017,442,233
83731018,226,233
83731019,118,128
83731020,28,50
83731021,33,48
83731022,51,37
83731023,60,81
83731024,72,145
83731025,111,109
83731026,32,75
83731027,1,34
83731028,4,57
83733001,252,113
83733002,34,61
83733003,62,49
83733004,124,40
83733005,86,73
83733006,109,65
83733007,52,47
83733008,49,40
83733009,104,21
83733010,170,71
83733011,133,24
83733012,88,16
83733013,30,39
83733014,96,78
83733015,93,99
83733016,285,114
83733017,203,61
83733018,259,130
83733019,82,17
83733020,55,11
83733021,73,41
83734001,216,50
83734002,102,46
83734004,291,111
83734005,143,94
83734006,53,35
83734007,216,36
83734008,183,39
83734009,195,110
83734010,143,59
83734011,109,81
83734012,190,27
83734013,54,66
83734014,89,66
83734016,161,18
83734017,201,18
83734018,233,29
83734019,112,122
83734020,156,49
83734021,93,50
83734022,180,78
83734023,60,61
83734024,497,87
83734025,205,164
83734026,161,88
83734027,175,126
83734028,146,95
83734029,75,35
83734030,260,53
83734031,91,67
83734032,64,47
83735001,171,64
83735002,121,76
83735003,49,67
83735004,81,48
83735005,58,31
83735006,140,87
83735007,158,90
83735008,101,81
83735009,179,80
83735010,180,96
83735011,131,51
83735012,322,142
83735013,92,45
83735014,95,93
83735015,221,168
83735016,47,64
83736001,144,56
83736002,102,115
83736003,152,37
83736004,67,71
83736005,101,36
83736007,120,80
83736008,47,199
83736009,249,129
83736010,176,89
83736011,337,88
83736012,206,70
83736013,93,52
83736014,125,86
83736015,88,66
83736016,53,83
83736017,424,118
83736018,396,228
83736019,36,119
83736020,52,56
83736021,157,43
83736022,71,50
83736023,97,27
83738001,13,7
83738002,55,102
83738003,221,129
83738004,233,94
83738005,26,20
83738006,46,101
83738007,246,151
83738009,77,18
83738010,211,115
83738011,109,69
83738012,84,7
83738013,201,89
83738015,157,71
83738016,275,73
83738017,195,93
83738018,68,22
83738019,328,41
83738020,74,66
83738021,25,1
83738022,13,0
83738023,19,0
83738024,3,0
83738025,5,0
83738026,4,0
83738027,30,1
83738028,9,0
83738029,18,4
83738030,13,0
83738031,10,2
83738033,17,3
83738034,12,0
83738035,6,1
83738036,12,0
83738037,6,0
83738038,43,5
83738039,159,40
83738040,8,1
83738041,88,55
83738043,29,0
83738044,3,0
83738045,3,0
83738046,4,0
83738047,2,0
83738048,9,0
83738049,87,186
83738050,9,17
83738051,33,8
83738052,228,127
83738053,18,74
83738054,151,85
83738055,41,100
83738056,287,159
83738057,267,161
83738058,158,77
83738059,106,148
83738060,181,68
83738061,85,41
83738062,247,167
83738063,53,47
83738064,36,51
83738065,57,28
83738066,29,59
83738067,108,84
83738068,110,61
83738069,385,156
83738070,140,59
83738071,106,100
83738072,99,59
83738073,618,191
83738074,173,83
83738075,128,261
83738076,69,28
83738077,142,91
83738078,227,87
83738079,127,86
83738080,131,57
83738081,114,64
83738082,96,35
83738083,417,200
83738084,90,59
83738086,216,40
83738087,36,25
83738088,214,86
83738089,104,130
83738090,189,135
83738091,371,139
83738092,157,60
83738093,242,134
83738094,144,37
83738095,122,102
83738096,31,106
83738097,126,58
83738098,61,67
83738099,91,90
83738100,91,69
83738101,600,106
83738102,288,46
83738104,70,61
83738105,125,51
83738106,176,203
83738107,39,14
83738108,116,74
83738109,535,105
83738110,159,61
83738111,37,25
83738112,104,121
83738113,4,43
83738114,54,67
83739001,156,81
83739002,270,112
83739004,135,52
83739005,153,69
83739006,86,78
83739007,42,35
83739008,190,41
83739009,249,36
83739010,144,118
83739011,140,68
83739012,238,141
83739013,189,94
83739014,404,100
83739015,303,98
83739016,463,110
83739017,343,112
83739018,125,24
83739019,407,94
83739020,76,10
83739021,230,53
83739022,129,49
83739023,44,9
83739024,60,14
83739025,279,69
83739026,109,95
83739027,116,78
83739028,143,46
83739029,475,100
83739030,312,99
83739031,77,24
83739032,204,133
83739033,192,42
83739034,313,22
83740001,172,30
83740003,199,40
83740004,158,11
83740005,95,53
83740006,108,45
83740007,106,54
83740008,79,45
83740009,148,60
83740010,128,40
83740011,175,47
83740012,28,48
83740013,77,20
83740014,132,36
83740016,50,21
83740017,32,1
83740018,152,20
83740019,45,48
83740020,189,53
83740021,81,15
83740022,404,80
83740023,190,22
83740024,34,87
83740025,123,67
83740026,34,13
83740027,129,40
83740029,83,29
83740030,57,3
83740031,33,2
83740032,33,1
83740033,155,30
83740034,290,66
83740035,150,20
83740036,299,52
83740037,98,54
83740038,102,35
83740039,224,56
83740040,38,16
83740041,75,26
83740042,57,22
83740043,98,106
83740044,162,62
83740045,238,37
83740046,95,19
83740047,161,16
83740048,133,41
83740049,107,29
83740050,159,45
83740051,97,32
83740052,227,10
83741001,34,37
83741002,40,62
83741003,42,77
83741004,45,34
83741005,74,73
83741006,31,53
83741007,65,64
83741008,18,30
83741009,63,119
83741010,44,57
83741011,53,38
83741012,26,55
83741013,66,84
83741014,53,109
83741016,43,82
83741017,59,36
83741018,50,52
83741019,115,90
83741020,59,59
83741021,10,87
83741022,68,13
83741023,108,58
83741024,81,44
83741025,146,44
83741026,34,66
83741027,49,44
83741028,96,40
83741029,101,138
83741030,36,37
83742001,167,459
83742003,266,393
83742004,226,91
83742005,254,259
83742006,91,163
83742008,24,257
83742009,239,142
83742010,284,171
83742011,186,264
83742012,292,66
83742013,180,228
83742014,129,153
83742015,105,88
83742017,123,148
83742018,57,169
83742019,66,147
83742020,156,95
83742021,115,330
83742022,121,101
83743001,61,58
83743002,165,140
83743003,171,113
83743004,123,111
83743005,123,53
83743006,32,49
83743007,39,34
83743009,302,130
83743010,173,98
83743011,32,21
83743012,27,27
83743014,66,80
83743015,104,95
83743016,74,44
83743017,86,35
83743018,52,41
83743019,59,53
83743020,43,38
83743021,250,105
83743022,115,82
83743023,202,53
83744001,82,52
83744002,70,46
83744003,77,65
83744004,72,59
83744005,108,69
83744006,88,46
83744007,158,121
83744008,58,72
83744009,131,46
83744010,138,29
83744011,104,21
83744012,189,198
83744013,154,111
83744014,34,45
83744015,260,164
83744016,196,145
83744017,69,74
83744018,52,62
83744019,77,81
83744020,77,87
83745002,71,250
83745003,41,121
83745004,487,435
83745005,241,253
83745006,191,230
83745007,120,189
83745008,413,318
83745009,146,366
83745010,100,189
83745011,815,314
83745012,131,55
83745013,195,186
83745014,132,99
83746001,54,59
83746002,39,33
83746003,83,66
83746004,59,39
83746005,36,23
83746006,156,51
83746007,68,55
83746008,109,47
83746009,81,81
83746010,99,113
83746011,37,30
83746013,128,34
83746014,104,29
83746015,90,15
83746016,103,48
83746017,130,77
83747006,52,21
83747008,396,222
83747010,38,47
83747011,10,7
83747012,43,29
83747013,53,65
83747014,35,3
83747015,26,2
83747018,282,108
83747019,44,34
83747020,48,35
83747021,149,166
83747022,21,12
83747023,167,161
83747024,225,103
83747025,109,79
83747026,137,40
83747027,85,44
83747032,71,107
83747034,1,1
83747035,18,2
83747036,3,0
83747038,19,0
83747039,29,2
83747040,13,2
83747041,36,7
83747042,37,2
83747043,13,0
83747044,7,0
83747045,52,5
83747046,10,2
83747047,45,55
83747048,10,1
83747049,10,0
83747050,24,4
83747051,10,1
83747052,6,0
83747053,93,56
83747054,10,0
83747055,35,2
83747056,24,2
83747057,0,4
83747058,27,46
83747059,125,27
83747060,396,226
83747061,61,68
83747062,33,7
83747063,470,123
83747064,4,0
83747065,10,0
83747066,153,20
83747067,6,7
83747068,117,33
83747069,121,92
83747070,31,1
83747071,14,0
83747072,4,0
83747073,8,0
83747074,19,3
83747075,25,3
83747076,238,65
83747077,31,0
83747078,34,5
83747079,118,21
83747080,42,22
83747081,80,48
83747082,42,5
83747083,49,23
83747084,87,18
83747085,39,11
83747086,73,17
83747087,50,40
83747088,94,52
83747089,64,19
83747090,68,68
83747091,90,69
83747092,76,67
83747093,75,38
83747094,58,6
83747095,84,27
83747096,12,32
83747097,84,47
83747098,180,110
83747099,181,36
83747100,85,127
83747101,122,89
83747102,80,83
83747103,12,1
83747104,4,1
83747105,478,116
83747106,52,28
83747107,76,31
83747108,31,24
83747109,41,12
83747110,126,43
83747112,56,21
83747113,15,14
83747114,29,11
83747115,80,82
83747116,107,63
83747117,153,72
83747118,24,6
83747119,57,24
83747120,149,36
83747121,1101,397
83747122,286,114
83747123,81,32
83747124,196,219
83747125,205,64
83747127,138,42
83747128,121,83
83747129,170,178
83747130,624,270
83747131,118,110
83747132,88,110
83747133,232,141
83747134,18,8
83747135,45,23
83747136,278,199
83747137,9,12
83747139,227,115
83747140,48,26
83747141,76,24
83747142,4,0
83747143,27,30
83747145,21,49
83747146,54,91
83747147,48,3
83747148,191,143
83747149,90,61
83747150,103,53
83747151,126,78
83747152,75,125
83747153,21,4
83747154,15,7
83747155,70,54
83748001,34,35
83748002,69,29
83748003,37,35
83748004,74,53
83748005,27,37
83748006,89,83
83748007,38,49
83748008,47,17
83748009,30,40
83748010,57,32
83748011,336,187
83748012,49,22
83748013,26,31
83748014,38,24
83748015,429,146
83748016,101,49
83748017,115,63
83748018,73,74
83748019,74,42
83748020,77,57
83748021,33,28
83748022,95,62
83748023,53,61
83748024,118,68
83748025,67,19
83748026,26,31
83748028,64,46
83748029,72,26
83748030,16,27
83748031,39,35
83748032,100,28
83748033,61,38
83748034,156,84
83748035,114,38
83748036,187,79
83748037,99,72
83748038,16,15
83748039,105,57
83748040,74,17
83748041,165,79
83748042,46,6
83748043,29,17
83748044,190,46
83748045,105,47
83748046,477,197
83748047,146,87
83748048,102,82
83748049,156,61
83748050,170,121
83748051,75,35
83748052,61,70
83748053,76,79
83748054,134,35
83748055,31,43
83749001,89,67
83749002,76,42
83749003,60,41
83749004,92,35
83749005,87,54
83749006,113,41
83749007,309,77
83749008,143,13
83749009,138,34
83749010,442,94
83749011,122,80
83749012,104,46
83749013,266,99
83749014,215,51
83749015,105,13
83750001,101,56
83750002,96,35
83750003,72,38
83750004,129,14
83750005,132,46
83750006,146,55
83750007,143,92
83750008,147,15
83751001,233,122
83751002,251,75
83751003,66,69
83751004,136,127
83751005,268,144
83751006,260,289
83751007,70,76
83751008,88,151
83751009,53,48
83751010,29,160
83751011,150,113
83751012,67,54
83751013,154,69
83751014,206,156
83751015,358,173
83751016,40,106
83751017,72,82
83751018,184,48
83751019,171,105
83751020,72,95
83751021,142,63
83751022,164,43
83751023,229,11
83751024,115,72
83751025,13,104
83751026,156,105
83751027,84,58
83751028,136,189
83751029,407,115
83751030,94,64
83751031,63,17
83751032,96,43
83751033,50,28
83751034,123,108
83751035,241,109
84801001,0,54
84801002,61,79
84801003,308,84
84801004,107,37
84801006,70,51
84801007,381,147
84801008,164,32
84801009,172,80
84801010,208,43
84801011,279,107
84801012,119,93
84801015,143,12
84801016,25,57
84801017,82,32
84801018,88,97
84801019,45,35
84801020,105,28
84801021,462,107
84801022,497,151
84801023,57,35
84802002,507,110
84802003,20,61
84802004,39,81
84802005,110,91
84802007,33,115
84802008,236,112
84802009,103,114
84802010,212,147
84803001,103,159
84803002,70,95
84803003,40,119
84803004,331,160
84803005,3,147
84803006,303,142
84803007,44,50
84803008,57,68
84803010,195,122
84803012,34,88
84803013,83,123
84803014,384,196
84803015,132,97
84803016,184,28
84803018,438,155
84803020,4,159
84803022,69,87
84803024,52,74
84804001,39,134
84804003,37,69
84804004,75,258
84804005,69,82
84804006,90,31
84804007,85,19
84804008,92,10
84804009,93,24
84804010,252,199
84804011,9,45
84804012,86,228
84804013,121,156
84805001,37,38
84805002,331,30
84805003,731,335
84805005,39,58
84805007,13,32
84805008,244,126
84805010,76,99
84805011,469,155
84805012,306,265
84805013,36,45
84805015,222,146
84805016,183,117
84805018,79,78
84805020,44,40
84805021,22,41
84805022,68,34
84805025,49,138
84805026,145,49
84805027,89,59
84805028,54,37
84805029,197,195
84805032,148,73
84805033,269,259
84805034,139,326
84805037,130,137
84805038,212,141
84805041,100,144
84805042,397,246
84805043,93,21
84805045,14,86
84805049,41,26
84805051,131,108
84805053,33,48
84805054,72,40
84805056,135,191
84805059,208,22
84805060,244,4
84805061,324,112
84805062,27,0
84805063,208,64
84805064,211,57
84805065,376,71
84805066,263,92
84805067,334,108
84805068,157,41
84805069,56,2
84805070,72,0
84805071,442,129
84805072,286,14
84805073,89,17
84805074,103,3
84805075,62,1
84805076,282,111
84805077,1151,290
84805078,42,49
84806001,42,90
84806002,42,51
84806003,19,51
84806004,23,22
84806005,36,32
84806006,56,60
84806008,69,14
84806009,121,59
84806010,30,18
84806011,50,28
84806013,34,93
84806014,96,66
84806015,65,117
84806016,13,7
84806017,112,51
84806018,50,9
84806020,46,35
84806021,35,16
84806023,32,32
84806024,137,54
84806025,45,15
84806026,43,12
84806027,5,107
84806028,26,6
84806029,84,31
84806030,0,44
84806031,30,12
84806032,23,20
84806033,68,52
84806034,82,25
84806035,25,49
84806036,142,41
84806037,363,102
84806038,88,147
84806039,21,135
84806040,111,18
84806042,37,30
84806043,2,14
84806044,3,30
84806045,170,60
84806046,64,5
84806047,97,4
84806048,45,0
84806049,41,1
84806050,31,1
84806051,44,4
84806052,100,19
84807001,280,183
84807002,165,94
84807003,142,85
84807004,37,71
84807005,71,34
84807006,68,100
84807007,76,80
84807008,215,120
84807010,126,103
84807011,44,99
84807012,86,49
84807013,12,77
84807014,0,30
84807015,0,57
84807016,26,79
84807018,151,15
84807019,133,13
84807020,256,56
84807021,52,74
84807022,47,31
84807023,158,277
84807024,174,150
84807025,218,59
84807026,88,143
84807027,179,60
84807028,136,25
84808001,104,29
84808002,95,63
84808003,48,54
84808004,112,42
84808005,121,43
84808006,268,34
84808007,48,53
84808008,251,44
84808009,134,13
84808010,120,73
84808011,196,328
84808012,63,38
84808013,28,139
84808014,146,50
84808015,82,31
84808016,66,43
84808017,212,173
84808018,214,36
84808019,153,66
84808020,17,124
84808021,90,81
84808022,11,79
84808023,111,60
84808026,85,68
84808027,14,41
84808028,77,26
84808029,365,88
84808030,94,40
84808031,191,91
84808032,93,12
84808033,106,66
84808034,618,81
84808035,79,40
84808036,65,144
84808037,83,24
84808038,76,252
84808039,235,102
84808040,97,88
84808041,27,42
84808042,28,55
84808043,643,177
84808044,95,115
84808045,76,36
84808046,473,51
84808048,20,63
84808049,46,39
84808050,105,37
84808052,87,36
84808054,62,62
84808055,65,26
84808056,47,49
84808057,165,8
84808058,332,60
84808059,72,30
84808060,68,17
84808061,182,115
84809001,49,20
84809002,18,23
84809003,49,45
84809004,7,95
84809005,13,28
84809006,57,57
84809007,210,39
84809008,265,99
84809009,90,70
84809010,92,23
84809011,51,11
84809012,35,14
84809013,10,71
84809014,125,47
84809015,137,62
84810001,35,39
84810002,7,85
84810003,10,37
84810004,83,55
84810005,11,174
84810006,8,49
84810007,2,41
84810008,9,34
84810009,105,165
84810010,39,108
84810011,0,23
84810012,2,35
84810013,0,77
84810014,20,42
84810015,16,35
84810016,79,68
84810017,20,46
84810018,1,46
84810019,18,62
84810020,13,42
84810021,5,62
84810022,2,73
84810023,13,74
84810024,7,33
84810025,1,96
84810026,18,32
84810027,10,24
84810028,8,53
84810029,3,32
84810030,4,57
84810031,13,95
84810032,0,34
84810033,121,193
84810034,75,15
84810035,41,58
84810036,25,69
84810037,2,98
84810038,0,19
84810039,2,34
84810040,4,67
84810041,0,35
84810042,78,99
84810043,4,125
84810045,66,213
84810046,6,126
84810047,7,37
84810048,5,184
84810049,29,8
84810050,10,68
84810051,0,39
84810052,30,116
84810053,15,89
84810054,26,82
84811001,34,42
84811002,106,88
84811003,150,71
84811004,170,114
84811005,154,51
84811006,98,5
84811007,2,25
84811008,17,39
84811009,215,137
84811010,307,197
84811011,143,106
84811012,203,96
84811013,84,71
84811014,90,86
84811015,111,70
84811018,38,65
84811019,64,34
84811020,17,56
84811021,35,47
84811022,85,132
84811023,201,82
84811026,48,62
84811027,218,159
84811028,233,186
84811029,67,30
84811030,238,79
84812001,31,23
84812002,20,91
84812003,0,78
84812004,169,175
84812005,118,86
84812006,71,18
84812007,26,82
84812008,5,82
84812009,28,144
84812010,2,78
84812011,53,16
84812012,105,59
84812013,160,103
84813001,74,121
84813002,347,193
84813003,80,108
84813004,7,32
84813005,32,106
84813006,277,163
84813007,29,61
84813008,70,69
84813009,247,130
84813010,23,55
84813011,9,70
84813012,245,234
84813013,44,60
84813014,370,284
84813015,71,108
84813016,220,271
84813017,98,95
84813018,80,79
84813019,31,99
84813020,10,85
84813021,42,67
84813022,100,107
84813023,19,20
84813024,34,59
84814001,145,19
84814002,76,106
84814003,42,32
84814004,49,41
84814005,107,41
84814006,212,113
84814007,30,60
84814008,149,91
84814009,34,73
84814010,243,51
84814011,2,29
84814012,10,83
84814013,126,86
84814014,121,88
84814015,22,23
84814016,10,87
84814017,95,101
84814018,9,99
84814019,37,15
84814020,70,61
84814021,114,86
84814022,94,102
84814023,202,143
84814024,71,43
84814026,91,54
84814028,59,44
84814029,113,51
84814030,102,65
84814031,131,57
84814032,165,36
84814033,356,78
84814034,159,111
84815002,148,76
84815004,30,91
84815005,18,25
84815007,17,46
84815008,39,48
84815009,162,78
84815010,55,47
84815011,74,202
84815012,31,126
84815013,34,65
84815014,32,112
84815015,36,68
84815016,1,38
84815018,114,85
84815019,289,77
84815020,93,32
84815021,45,0
84815022,122,31
84815023,71,20
84815024,151,44
84815025,127,36
84815026,234,139
84815027,31,54
84815028,52,33
84815029,15,32
84815030,99,101
84816001,18,25
84816002,128,91
84816003,61,48
84816005,69,71
84816006,147,27
84816007,227,84
84816008,156,56
84816009,76,40
84816010,212,98
84816011,44,82
84816012,8,36
84817001,148,64
84817002,163,226
84817003,138,53
84817005,94,69
84817006,106,46
84817007,68,46
84817008,80,30
84817009,86,62
84817010,118,39
84817011,211,67
84818001,470,119
84818003,393,198
84818004,151,54
84818005,199,69
84818007,99,183
84818008,139,74
84818009,461,209
84818010,355,104
84818011,190,30
84818012,185,75
84818013,332,131
84818014,266,79
84818015,95,73
84818016,370,135
84819002,177,183
84819003,42,86
84819004,255,131
84819005,54,65
84819007,115,146
84819008,35,120
84819009,254,162
84819012,89,80
84819013,19,61
84819014,217,234
84819025,66,83
84819026,50,60
84819027,210,84
84819028,57,38
84819029,112,24
84819030,150,88
84820001,88,88
84820002,44,73
84820003,394,297
84820004,136,115
84820005,77,97
84820006,32,77
84820007,98,110
84820008,19,54
84820009,72,49
84820010,70,126
84820011,236,153
84820012,137,33
84820013,135,81
84820014,68,5
84820015,142,97
84820016,123,43
84821002,55,239
84821003,218,76
84821005,113,62
84821006,9,81
84821007,86,225
84821008,170,58
84821009,89,138
84822001,0,39
84822002,26,100
84822003,38,127
84822004,4,74
84822005,7,37
84822006,2,32
84822007,10,20
84822008,18,107
84822009,23,80
84822010,6,31
84822011,18,117
84822012,2,99
84822013,7,77
84822014,21,71
84822015,14,169
84822016,4,92
84822017,0,47
84822018,1,23
84822019,4,22
84822020,8,115
84822021,2,57
84822022,1,56
84822023,9,37
84822024,44,138
84822025,28,117
84822026,0,44
84823001,48,19
84823002,33,60
84823003,192,49
84823004,128,92
84823006,384,98
84823007,227,134
84823008,38,39
84823009,79,41
84823010,61,26
84823011,41,31
84823012,143,33
84823013,111,9
84823014,249,88
84823016,92,65
84823017,67,35
84823018,50,36
84824001,62,140
84824002,42,56
84824003,1,19
84824004,13,31
84824005,1,70
84824006,4,34
84824007,16,57
84824008,44,77
84824009,1,18
84824010,212,266
84824011,27,75
84824012,1,66
84824013,17,29
84824014,25,76
84824015,2,35
84824016,6,34
84824017,1,28
84824018,0,19
84824019,2,66
84824020,1,18
84824021,0,32
84824022,11,12
86001001,67,145
86001004,119,31
86001005,50,16
86001007,64,30
86001008,56,132
86001011,91,28
86001012,47,27
86001013,70,7
86001014,14,39
86001017,87,8
86001019,59,7
86001023,50,68
86001024,30,21
86001025,40,51
86001026,72,7
86001027,41,19
86001028,63,41
86001029,12,52
86001030,100,21
86001031,38,16
86001032,27,54
86001033,61,14
86001034,84,4
86002001,162,29
86002002,100,23
86002003,147,31
86002004,33,9
86002005,188,28
86002006,130,25
86002007,172,29
86002008,55,27
86002009,277,97
86002010,91,54
86002011,215,65
86002012,84,18
86002013,171,105
86002014,151,65
86002015,53,31
86002016,315,154
86002017,81,43
86002018,102,17
86002019,97,36
86002021,253,69
86002022,337,205
86002023,106,22
86002024,45,12
86002025,139,55
86002026,70,45
86002027,57,16
86002028,77,39
86002029,173,33
86002030,251,70
86002031,250,104
86002032,121,27
86002033,86,40
86002034,133,14
86002035,143,35
86002036,169,9
86002037,211,15
86002038,77,0
86002039,403,86
86002040,131,0
86002041,235,57
86002042,239,35
86002043,343,84
86002044,91,55
86002045,165,31
86002046,47,13
86002047,43,9
86002048,168,57
86002049,161,93
86002050,124,25
86002051,68,10
86002052,130,193
86003001,59,26
86003002,76,50
86003003,63,32
86003004,113,45
86003005,195,62
86003007,242,83
86003008,394,181
86003009,47,8
86003010,454,32
86003011,174,52
86003012,190,52
86003013,213,55
86003015,103,49
86003016,260,73
86003017,258,72
86003018,252,136
86003019,4,21
86003020,153,71
86003021,218,60
86003022,68,33
86003023,43,43
86003024,75,41
86003025,92,48
86003027,4,50
86003028,54,17
86003029,116,35
86003030,90,19
86003031,40,19
86003032,201,51
86003033,273,127
86003034,84,30
86003035,277,126
86003036,219,46
86003037,74,21
86003039,1,36
86003040,11,11
86003041,4,50
86003042,92,46
86003043,636,91
86003044,627,136
86003045,45,8
86003047,64,18
86003048,47,1
86003049,94,68
86003050,553,195
86003052,174,56
86003053,47,30
86003054,30,26
86003055,93,38
86003056,3,21
86003057,31,36
86003058,243,55
86003059,2,24
86003060,4,81
86003061,55,14
86003062,128,62
86003063,86,38
86003064,68,32
86003065,487,98
86003066,21,16
86003067,39,12
86003068,2,31
86003069,9,123
86003070,83,18
86003071,25,24
86003072,6,25
86003074,257,14
86003076,81,34
86003077,109,43
86003078,26,11
86003079,51,25
86003081,57,16
86003082,73,8
86003083,59,12
86003084,109,33
86003085,131,33
86003086,12,65
86003087,52,16
86003088,233,84
86003089,228,39
86003090,171,29
86003091,282,65
