psgc_brgy,own_use_faucet_community_water_system,shared_faucet_commmunity_water_system,own_use_tubed_or_piped_well,shared_tubed_or_piped_well,dug_well,spring_river_streat_etc,collected_rainfall,peddler
175109022,70,28,208,39,0,12,0,0
175109023,40,18,118,93,4,3,0,0
175109024,120,63,164,125,1,2,0,0
175110001,27,31,16,54,58,112,1,37
175110002,2,7,0,12,133,6,5,4
175110003,305,121,402,178,19,3,0,27
175110004,3,16,9,37,17,1,0,4
175110005,34,14,14,10,6,6,0,0
175110006,32,10,10,8,1,1,0,1
175110007,139,8,5,3,2,1,0,0
175110008,46,17,9,12,1,0,0,4
175110009,145,9,32,62,21,0,0,0
175110010,27,9,11,1,0,0,0,0
175110011,22,2,25,10,1,0,0,0
175110012,35,3,5,3,0,1,0,0
175110013,114,133,157,162,56,228,1,1
175110014,165,118,53,39,8,32,0,3
175110015,333,87,267,214,471,6,1,7
175110016,0,0,0,3,46,38,3,0
175110017,45,10,65,78,107,1,0,0
175110018,626,334,268,347,172,1,0,56
175110019,1,1,0,8,74,85,1,2
175110020,299,184,469,529,57,140,0,46
175110021,11,45,27,71,153,34,0,0
175110022,1,0,0,6,0,16,0,74
175110023,15,0,0,0,3,77,0,0
175110024,25,18,366,207,12,0,0,0
175110025,152,26,55,31,29,149,1,1
175110026,712,125,210,78,21,4,0,12
175110027,124,17,218,83,44,2,0,2
175110028,66,25,333,203,2,2,0,1
175110029,35,36,193,285,47,0,5,10
175110030,146,76,196,282,508,33,0,0
175110031,223,133,411,295,25,76,0,29
175110032,167,144,39,18,13,288,0,1
175110033,1,3,0,2,171,39,4,2
175110034,818,191,326,336,14,3,1,25
175110035,17,18,3,9,336,20,0,6
175110037,97,160,239,308,70,29,0,13
175110038,77,15,54,35,94,2,1,10
175110039,1107,234,319,149,439,4,0,15
175111001,21,84,165,148,439,69,0,14
175111002,26,76,271,115,1464,245,2,7
175111003,5,22,22,88,792,112,0,0
175111004,4,11,156,114,580,21,0,1
175111006,3,14,0,337,554,66,0,0
175111007,7,5,257,212,657,1,0,15
175111008,104,122,86,456,1295,425,1,47
175111009,6,9,18,377,250,11,0,69
175111010,4,11,161,79,478,5,0,0
175111011,27,14,63,106,592,1,1,2
175111012,3,0,1,67,424,76,0,0
175201001,29,10,110,135,0,0,0,0
175201002,127,85,21,45,2,70,0,0
175201004,4,3,40,36,1,19,0,0
175201005,20,7,131,98,0,0,0,0
175201006,6,2,133,157,0,0,0,0
175201007,7,4,155,173,0,0,0,0
