geographical distribution,region,country_or_province,type_of_financial_institution,30 Jun 2012_Total,30 Jun 2012_Demand,30 Jun 2012_Savings,30 Jun 2012_Time,30 Jun 2012_Others,31 Dec 2012_Total,31 Dec 2012_Demand,31 Dec 2012_Savings,31 Dec 2012_Time,31 Dec 2012_Others
Geographical Distribution (Domestic),Region III (Central Luzon),Aurora,Thrift Banks,27.255,3.544,19.137,4.574,0,50.244,20.314,24.928,5.002,0
Geographical Distribution (Domestic),Region III (Central Luzon),Aurora,Rural and Cooperative Banks,314.755,1.472,238.81,74.472,0,344.136,1.472,264.048,78.616,0
Geographical Distribution (Domestic),Region III (Central Luzon),Bataan,Bataan Total,"16,672.29","2,852.81","9,792.75","4,000.95",25.777,"17,698.09","3,440.33","10,273.40","3,963.46",20.897
Geographical Distribution (Domestic),Region III (Central Luzon),Bataan,Universal and Commercial Banks,"13,936.90","2,656.58","8,072.20","3,208.12",0,"15,089.46","3,240.56","8,620.78","3,228.12",0
Geographical Distribution (Domestic),Region III (Central Luzon),Bataan,Thrift Banks,"1,440.80",153.482,796.686,464.851,25.777,"1,309.33",164.971,733.277,390.188,20.897
Geographical Distribution (Domestic),Region III (Central Luzon),Bataan,Rural and Cooperative Banks,"1,294.59",42.749,923.867,327.971,0,"1,299.30",34.793,919.353,345.152,0
Geographical Distribution (Domestic),Region III (Central Luzon),Bulacan,Bulacan Total,"71,410.64","9,857.55","42,524.98","19,011.21",16.897,"73,327.28","10,354.01","44,100.30","18,854.57",18.404
Geographical Distribution (Domestic),Region III (Central Luzon),Bulacan,Universal and Commercial Banks,"52,006.50","8,245.34","34,721.84","9,029.36",9.961,"53,720.32","8,858.32","36,279.42","8,574.63",7.952
Geographical Distribution (Domestic),Region III (Central Luzon),Bulacan,Thrift Banks,"12,965.22","1,366.81","5,411.32","6,184.65",2.436,"13,288.79","1,270.52","5,597.81","6,418.01",2.453
Geographical Distribution (Domestic),Region III (Central Luzon),Bulacan,Rural and Cooperative Banks,"6,438.92",245.398,"2,391.82","3,797.20",4.5,"6,318.17",225.176,"2,223.06","3,861.93",8
Geographical Distribution (Domestic),Region III (Central Luzon),Nueva Ecija,Nueva Ecija Total,"37,149.45","7,117.88","24,846.17","5,069.14",116.269,"38,397.65","7,554.21","25,408.23","5,314.31",120.903
Geographical Distribution (Domestic),Region III (Central Luzon),Nueva Ecija,Universal and Commercial Banks,"31,495.58","6,804.83","21,046.65","3,641.22",2.886,"32,738.40","7,241.14","21,771.47","3,721.60",4.189
Geographical Distribution (Domestic),Region III (Central Luzon),Nueva Ecija,Thrift Banks,"2,437.93",233.062,"1,055.20","1,149.67",0,"2,696.03",234.991,"1,253.06","1,207.98",0
Geographical Distribution (Domestic),Region III (Central Luzon),Nueva Ecija,Rural and Cooperative Banks,"3,215.94",79.988,"2,744.32",278.249,113.383,"2,963.22",78.082,"2,383.69",384.737,116.714
Geographical Distribution (Domestic),Region III (Central Luzon),Pampanga,Pampanga Total,"91,187.50","16,312.47","51,606.80","23,248.26",19.967,"94,454.57","17,473.46","55,141.94","21,824.47",14.708
Geographical Distribution (Domestic),Region III (Central Luzon),Pampanga,Universal and Commercial Banks,"74,963.72","14,796.81","43,835.91","16,311.03",19.967,"79,201.62","16,209.17","47,543.38","15,434.36",14.708
Geographical Distribution (Domestic),Region III (Central Luzon),Pampanga,Thrift Banks,"9,522.06","1,028.05","3,149.90","5,344.11",0,"8,705.02",948.928,"2,964.33","4,791.77",0
Geographical Distribution (Domestic),Region III (Central Luzon),Pampanga,Rural and Cooperative Banks,"6,701.72",487.61,"4,620.99","1,593.12",0,"6,547.93",315.36,"4,634.22","1,598.34",0
Geographical Distribution (Domestic),Region III (Central Luzon),Tarlac,Tarlac Total,"28,991.22","4,549.38","17,780.67","6,650.38",10.795,"29,635.03","4,816.00","18,382.16","6,428.05",8.83
Geographical Distribution (Domestic),Region III (Central Luzon),Tarlac,Universal and Commercial Banks,"24,294.88","4,262.02","15,440.65","4,583.43",8.795,"25,545.03","4,568.73","16,352.75","4,616.72",6.83
Geographical Distribution (Domestic),Region III (Central Luzon),Tarlac,Thrift Banks,"2,634.95",262.474,910.716,"1,461.76",0,"2,625.83",231.523,880.697,"1,513.61",0
Geographical Distribution (Domestic),Region III (Central Luzon),Tarlac,Rural and Cooperative Banks,"2,061.39",24.886,"1,429.31",605.198,2,"1,464.17",15.747,"1,148.71",297.717,2
Geographical Distribution (Domestic),Region III (Central Luzon),Zambales,Zambales Total,"25,480.50","3,702.87","15,171.29","6,600.68",5.663,"26,673.43","4,154.02","16,467.35","6,048.17",3.88
Geographical Distribution (Domestic),Region III (Central Luzon),Zambales,Universal and Commercial Banks,"23,397.80","3,528.75","14,007.63","5,855.76",5.663,"24,701.85","3,978.90","15,373.19","5,346.87",2.88
Geographical Distribution (Domestic),Region III (Central Luzon),Zambales,Thrift Banks,"1,019.02",154.606,334.11,530.308,0,"1,023.49",156.269,343.704,523.518,0
Geographical Distribution (Domestic),Region III (Central Luzon),Zambales,Rural and Cooperative Banks,"1,063.67",19.511,829.554,214.609,0,948.088,18.848,750.461,177.78,1
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Region IV-A (CALABARZON),Region IV-A (CALABARZON) Total,"379,549.95","63,726.98","225,325.82","90,382.03",115.12,"395,445.74","66,343.34","238,180.60","90,792.35",129.454
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Region IV-A (CALABARZON),Universal and Commercial Banks,"301,041.76","57,851.11","183,441.51","59,675.13",74.012,"313,876.52","61,061.14","196,857.28","55,853.07",105.034
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Region IV-A (CALABARZON),Thrift Banks,"52,021.59","4,941.53","23,049.13","23,994.68",36.258,"56,993.72","4,703.01","23,943.45","28,322.84",24.42
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Region IV-A (CALABARZON),Rural and Cooperative Banks,"26,486.60",934.337,"18,835.18","6,712.23",4.85,"24,575.50",579.185,"17,379.88","6,616.44",0
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Batangas,Batangas Total,"73,895.88","12,746.65","43,675.58","17,469.01",4.644,"76,570.05","13,700.96","46,022.70","16,840.06",6.328
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Batangas,Universal and Commercial Banks,"58,754.68","11,318.68","35,921.58","11,510.51",3.916,"61,886.41","12,607.03","38,554.93","10,718.86",5.592
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Batangas,Thrift Banks,"8,907.72","1,109.16","3,759.41","4,038.43",0.729,"9,406.06","1,068.31","4,284.36","4,052.65",0.737
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Batangas,Rural and Cooperative Banks,"6,233.48",318.822,"3,994.59","1,920.07",0,"5,277.58",25.622,"3,183.41","2,068.54",0
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Cavite,Cavite Total,"97,748.86","14,320.14","62,979.24","20,414.84",34.648,"100,613.65","15,046.34","66,065.55","19,474.29",27.468
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Cavite,Universal and Commercial Banks,"80,835.35","13,119.68","53,067.66","14,623.69",24.316,"84,321.42","13,848.10","56,462.47","13,988.22",22.641
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Cavite,Thrift Banks,"11,424.24","1,007.03","5,912.18","4,494.71",10.332,"11,767.62","1,021.60","6,342.32","4,398.88",4.827
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Cavite,Rural and Cooperative Banks,"5,489.27",193.433,"3,999.40","1,296.43",0,"4,524.61",176.639,"3,260.77","1,087.20",0
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Laguna,Laguna Total,"109,150.25","18,847.58","63,121.95","27,132.46",48.26,"112,439.90","20,050.01","66,574.71","25,742.88",72.311
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Laguna,Universal and Commercial Banks,"89,649.58","17,394.61","52,506.92","19,724.83",23.22,"91,803.62","18,750.30","55,810.72","17,189.11",53.494
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Laguna,Thrift Banks,"12,741.19","1,248.78","5,424.82","6,042.54",25.04,"13,903.54","1,122.92","5,586.69","7,175.11",18.817
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Laguna,Rural and Cooperative Banks,"6,759.47",204.182,"5,190.20","1,365.09",0,"6,732.75",176.79,"5,177.30","1,378.66",0
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Quezon,Quezon Total,"35,103.48","7,615.17","19,852.29","7,629.21",6.807,"36,260.91","7,254.06","21,392.66","7,606.75",7.442
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Quezon,Universal and Commercial Banks,"27,608.00","7,318.37","14,874.10","5,408.73",6.807,"28,558.38","6,974.53","16,286.81","5,289.60",7.442
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Quezon,Thrift Banks,"3,162.32",209.258,"1,305.87","1,647.19",0,"3,274.92",195.292,"1,398.31","1,681.32",0
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Quezon,Rural and Cooperative Banks,"4,333.15",87.539,"3,672.32",573.294,0,"4,427.61",84.235,"3,707.54",635.835,0
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Rizal,Rizal Total,"63,651.48","10,197.44","35,696.77","17,736.51",20.76,"69,561.23","10,291.97","38,124.98","21,128.38",15.905
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Rizal,Universal and Commercial Banks,"44,194.14","8,699.78","27,071.25","8,407.37",15.753,"47,306.69","8,881.18","29,742.35","8,667.29",15.866
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Rizal,Thrift Banks,"15,786.12","1,367.31","6,646.85","7,771.80",0.157,"18,641.58","1,294.90","6,331.77","11,014.88",0.039
Geographical Distribution (Domestic),Region IV-A (CALABARZON),Rizal,Rural and Cooperative Banks,"3,671.22",130.361,"1,978.67","1,557.34",4.85,"3,612.97",115.899,"2,050.86","1,446.21",0
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Region IV-B (MIMAROPA),Region IV-B (MIMAROPA) Total,"30,484.55","8,617.86","18,841.31","3,005.22",20.161,"31,779.28","8,958.48","19,895.11","2,903.54",22.147
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Region IV-B (MIMAROPA),Universal and Commercial Banks,"25,165.01","8,171.72","14,489.93","2,501.70",1.667,"26,323.48","8,474.31","15,455.08","2,392.21",1.884
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Region IV-B (MIMAROPA),Thrift Banks,"2,754.73",442.015,"2,105.28",188.938,18.494,"2,949.29",479.284,"2,235.21",214.536,20.263
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Region IV-B (MIMAROPA),Rural and Cooperative Banks,"2,564.80",4.128,"2,246.10",314.577,0,"2,506.51",4.885,"2,204.83",296.794,0
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Marinduque,Marinduque Total,"2,723.60",735.906,"1,925.36",59.672,2.665,"2,753.55",676.529,"2,014.53",57.826,4.661
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Marinduque,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Marinduque,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Marinduque,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Occidental Mindoro,Occidental Mindoro Total,"3,786.82",978.501,"2,459.32",347.621,1.372,"3,957.30",911.433,"2,715.34",328.558,1.965
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Occidental Mindoro,Universal and Commercial Banks,"3,149.13",948.873,"1,911.45",288.802,0,"3,269.35",876.748,"2,117.83",274.771,0
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Occidental Mindoro,Thrift Banks,305.696,28.443,224.156,51.725,1.372,342.702,32.748,254.32,53.669,1.965
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Occidental Mindoro,Rural and Cooperative Banks,331.994,1.185,323.715,7.094,0,345.251,1.938,343.195,0.118,0
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Oriental Mindoro,Oriental Mindoro Total,"11,032.25","2,722.10","6,874.97","1,424.66",10.526,"11,377.20","2,913.89","7,148.49","1,304.88",9.939
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Oriental Mindoro,Universal and Commercial Banks,"8,228.00","2,501.32","4,615.77","1,110.91",0,"8,585.94","2,665.60","4,920.78",999.554,0
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Oriental Mindoro,Thrift Banks,"1,246.70",219.914,994.246,22.009,10.526,"1,335.65",247.423,"1,053.53",24.751,9.939
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Oriental Mindoro,Rural and Cooperative Banks,"1,557.56",0.867,"1,264.95",291.739,0,"1,455.62",0.87,"1,174.17",280.574,0
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Palawan,Palawan Total,"11,377.18","3,447.17","6,786.43","1,141.35",2.227,"12,074.28","3,722.25","7,169.66","1,180.32",2.052
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Palawan,Universal and Commercial Banks,"9,970.71","3,319.74","5,624.61","1,024.70",1.667,"10,632.88","3,598.58","5,990.36","1,042.06",1.884
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Palawan,Thrift Banks,900.212,125.35,662.84,111.462,0.56,939.2,121.597,685.081,132.354,0.168
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Palawan,Rural and Cooperative Banks,506.251,2.076,498.979,5.195,0,502.204,2.076,494.222,5.905,0
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Romblon,Romblon Total,"1,564.70",734.182,795.232,31.915,3.372,"1,616.95",734.375,847.09,31.953,3.529
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Romblon,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Romblon,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region IV-B (MIMAROPA),Romblon,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region V (Bicol Region),Region V (Bicol Region),Region V (Bicol Region) Total,"64,036.22","18,158.44","37,207.08","8,476.89",193.811,"67,821.44","19,317.89","39,748.34","8,540.20",215.011
Geographical Distribution (Domestic),Region V (Bicol Region),Region V (Bicol Region),Universal and Commercial Banks,"56,696.32","17,980.53","31,722.72","6,952.00",41.077,"60,307.74","19,089.08","34,155.32","7,015.17",48.175
Geographical Distribution (Domestic),Region V (Bicol Region),Region V (Bicol Region),Thrift Banks,"4,246.97",150.663,"3,143.81",799.759,152.734,"4,495.28",200.683,"3,268.97",858.791,166.836
Geographical Distribution (Domestic),Region V (Bicol Region),Region V (Bicol Region),Rural and Cooperative Banks,"3,092.93",27.242,"2,340.55",725.132,0,"3,018.42",28.129,"2,324.04",666.248,0
Geographical Distribution (Domestic),Region V (Bicol Region),Albay,Albay Total,"24,673.41","7,398.74","13,736.99","3,447.70",89.979,"26,138.99","7,974.09","14,410.80","3,657.99",96.112
Geographical Distribution (Domestic),Region V (Bicol Region),Albay,Universal and Commercial Banks,"21,914.74","7,337.56","11,555.84","3,009.43",11.916,"23,251.82","7,876.46","12,125.59","3,237.40",12.365
Geographical Distribution (Domestic),Region V (Bicol Region),Albay,Thrift Banks,"1,965.40",45.402,"1,473.68",368.256,78.064,"2,144.18",81.466,"1,564.80",414.172,83.747
Geographical Distribution (Domestic),Region V (Bicol Region),Albay,Rural and Cooperative Banks,793.272,15.785,707.474,70.012,0,742.985,16.163,720.408,6.413,0
Geographical Distribution (Domestic),Region V (Bicol Region),Camarines Norte,Camarines Norte Total,"5,191.75","1,288.07","3,136.85",741.787,25.045,"5,699.43","1,390.47","3,565.57",715.927,27.459
Geographical Distribution (Domestic),Region V (Bicol Region),Camarines Norte,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region V (Bicol Region),Camarines Norte,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region V (Bicol Region),Camarines Norte,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region V (Bicol Region),Camarines Sur,Camarines Sur Total,"22,396.82","5,279.17","13,597.94","3,491.44",28.27,"23,567.95","5,677.87","14,461.04","3,402.22",26.82
Geographical Distribution (Domestic),Region V (Bicol Region),Camarines Sur,Universal and Commercial Banks,"19,564.93","5,185.00","11,637.59","2,732.71",9.641,"20,719.75","5,572.44","12,514.29","2,623.13",9.901
Geographical Distribution (Domestic),Region V (Bicol Region),Camarines Sur,Thrift Banks,"1,671.60",92.852,"1,148.34",411.787,18.628,"1,742.50",103.741,"1,197.93",423.918,16.92
Geographical Distribution (Domestic),Region V (Bicol Region),Camarines Sur,Rural and Cooperative Banks,"1,160.28",1.325,812.017,346.941,0,"1,105.70",1.695,748.829,355.176,0
Geographical Distribution (Domestic),Region V (Bicol Region),Catanduanes,Catanduanes Total,"2,391.10",823.417,"1,406.97",149.968,10.739,"2,566.97",815.793,"1,599.92",136.459,14.803
Geographical Distribution (Domestic),Region V (Bicol Region),Catanduanes,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region V (Bicol Region),Catanduanes,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region V (Bicol Region),Catanduanes,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region V (Bicol Region),Masbate,Masbate Total,"4,367.19","1,784.21","2,355.46",202.949,24.566,"4,626.46","1,849.29","2,557.69",189.6,29.886
Geographical Distribution (Domestic),Region V (Bicol Region),Masbate,Universal and Commercial Banks,"4,013.64","1,775.05","2,049.11",189.483,0,"4,258.56","1,838.20","2,242.43",177.933,0
Geographical Distribution (Domestic),Region V (Bicol Region),Masbate,Thrift Banks,156.227,9.065,121.805,0.791,24.566,141.561,11.059,100.431,0.186,29.886
Geographical Distribution (Domestic),Region V (Bicol Region),Masbate,Rural and Cooperative Banks,197.32,0.098,184.547,12.675,0,226.342,0.028,214.834,11.481,0
Geographical Distribution (Domestic),Region V (Bicol Region),Sorsogon,Sorsogon Total,"5,015.95","1,584.82","2,972.86",443.052,15.212,"5,221.64","1,610.38","3,153.32",438.013,19.93
Geographical Distribution (Domestic),Region V (Bicol Region),Sorsogon,Universal and Commercial Banks,"4,436.35","1,576.93","2,504.19",348.501,6.729,"4,621.37","1,601.12","2,671.86",338.541,9.85
Geographical Distribution (Domestic),Region V (Bicol Region),Sorsogon,Thrift Banks,231.65,3.344,207.236,12.588,8.483,249.44,4.418,221.146,13.796,10.081
Geographical Distribution (Domestic),Region V (Bicol Region),Sorsogon,Rural and Cooperative Banks,347.952,4.552,261.437,81.963,0,350.834,4.839,260.319,85.675,0
Geographical Distribution (Domestic),Region VI (Western Visayas),Region VI (Western Visayas),Region VI (Western Visayas) Total,"149,841.24","34,742.06","84,675.91","30,387.30",35.974,"160,127.87","37,607.55","91,207.84","31,269.43",43.052
Geographical Distribution (Domestic),Region VI (Western Visayas),Region VI (Western Visayas),Universal and Commercial Banks,"136,400.53","33,903.96","78,225.79","24,234.80",35.974,"146,140.16","36,836.98","83,990.88","25,269.26",43.052
Geographical Distribution (Domestic),Region VI (Western Visayas),Region VI (Western Visayas),Thrift Banks,"8,880.00",798.466,"3,242.02","4,839.52",0,"8,901.90",736.872,"3,392.21","4,772.81",0
Geographical Distribution (Domestic),Region VI (Western Visayas),Region VI (Western Visayas),Rural and Cooperative Banks,"4,560.71",39.634,"3,208.10","1,312.98",0,"5,085.81",33.698,"3,824.75","1,227.36",0
Geographical Distribution (Domestic),Region VI (Western Visayas),Aklan,Aklan Total,"13,749.92","2,708.01","8,857.82","2,182.78",1.32,"13,857.17","2,693.00","9,146.89","2,015.44",1.849
Geographical Distribution (Domestic),Region VI (Western Visayas),Aklan,Universal and Commercial Banks,"13,309.33","2,679.79","8,587.36","2,040.86",1.32,"13,370.61","2,635.73","8,893.35","1,839.69",1.849
Geographical Distribution (Domestic),Region VI (Western Visayas),Aklan,Thrift Banks,202.646,28.22,117.058,57.367,0,291.561,57.271,136.811,97.479,0
Geographical Distribution (Domestic),Region VI (Western Visayas),Aklan,Rural and Cooperative Banks,237.946,0,153.401,84.544,0,194.999,0,116.729,78.271,0
Geographical Distribution (Domestic),Region VI (Western Visayas),Capiz,Capiz Total,"9,048.62","2,234.93","5,163.54","1,649.35",0.798,"9,420.28","2,225.90","5,590.52","1,603.23",0.637
Geographical Distribution (Domestic),Region VI (Western Visayas),Capiz,Universal and Commercial Banks,"8,479.75","2,220.96","4,719.14","1,538.87",0.798,"8,934.25","2,210.61","5,236.69","1,486.31",0.637
Geographical Distribution (Domestic),Region VI (Western Visayas),Capiz,Thrift Banks,209.973,13.802,113.603,82.567,0,221.838,15.111,118.271,88.455,0
Geographical Distribution (Domestic),Region VI (Western Visayas),Capiz,Rural and Cooperative Banks,358.897,0.176,330.806,27.915,0,264.195,0.176,235.559,28.46,0
Geographical Distribution (Domestic),Region VI (Western Visayas),Iloilo,Iloilo Total,"60,637.27","14,137.64","32,857.89","13,621.92",19.822,"66,198.54","16,395.81","36,090.31","13,690.00",22.416
Geographical Distribution (Domestic),Region VI (Western Visayas),Iloilo,Universal and Commercial Banks,"52,768.72","13,652.81","29,232.72","9,863.37",19.822,"57,708.81","15,978.02","31,657.54","10,050.84",22.416
Geographical Distribution (Domestic),Region VI (Western Visayas),Iloilo,Thrift Banks,"5,135.69",484.134,"1,786.96","2,864.60",0,"4,922.25",416.723,"1,728.58","2,776.95",0
Geographical Distribution (Domestic),Region VI (Western Visayas),Iloilo,Rural and Cooperative Banks,"2,732.86",0.695,"1,838.22",893.953,0,"3,567.48",1.065,"2,704.20",862.218,0
Geographical Distribution (Domestic),Region VI (Western Visayas),Negros Occidental,Negros Occidental Total,"60,060.07","12,527.79","35,089.11","12,432.83",10.338,"64,221.67","13,212.80","37,564.65","13,429.98",14.24
Geographical Distribution (Domestic),Region VI (Western Visayas),Negros Occidental,Universal and Commercial Banks,"55,732.00","12,217.14","33,150.41","10,354.11",10.338,"59,924.18","12,933.25","35,558.73","11,417.97",14.24
Geographical Distribution (Domestic),Region VI (Western Visayas),Negros Occidental,Thrift Banks,"3,277.39",271.893,"1,181.33","1,824.16",0,"3,412.87",247.091,"1,366.71","1,799.07",0
Geographical Distribution (Domestic),Region VI (Western Visayas),Negros Occidental,Rural and Cooperative Banks,"1,050.69",38.763,757.362,254.563,0,884.616,32.456,639.215,212.946,0
Geographical Distribution (Domestic),Region VI (Western Visayas),Antique and Guimaras,Antique and Guimaras Total,"6,345.35","3,133.69","2,707.54",500.425,3.697,"6,430.21","3,080.04","2,815.47",530.789,3.91
Geographical Distribution (Domestic),Region VI (Western Visayas),Antique and Guimaras,Universal and Commercial Banks,"6,110.73","3,133.28","2,536.16",437.602,3.697,"6,202.31","3,079.37","2,644.57",474.46,3.91
Geographical Distribution (Domestic),Region VI (Western Visayas),Antique and Guimaras,Thrift Banks,54.303,0.416,43.066,10.822,0,53.384,0.675,41.849,10.86,0
Geographical Distribution (Domestic),Region VI (Western Visayas),Antique and Guimaras,Rural and Cooperative Banks,180.317,0,128.316,52.001,0,174.521,0,129.052,45.469,0
Geographical Distribution (Domestic),Region VII (Central Visayas),Region VII (Central Visayas),Region VII (Central Visayas) Total,"264,500.67","58,818.89","137,080.60","68,516.64",84.548,"280,704.81","65,747.63","145,542.34","69,334.05",80.792
Geographical Distribution (Domestic),Region VII (Central Visayas),Region VII (Central Visayas),Universal and Commercial Banks,"234,254.80","56,793.65","124,404.17","52,972.52",84.45,"250,426.72","63,714.73","132,528.96","54,102.34",80.69
Geographical Distribution (Domestic),Region VII (Central Visayas),Region VII (Central Visayas),Thrift Banks,"25,870.66","1,914.29","9,782.09","14,174.19",0.099,"25,922.92","1,925.26","10,111.62","13,885.95",0.099
Geographical Distribution (Domestic),Region VII (Central Visayas),Region VII (Central Visayas),Rural and Cooperative Banks,"4,375.21",110.943,"2,894.34","1,369.93",0,"4,355.16",107.644,"2,901.77","1,345.75",0
Geographical Distribution (Domestic),Region VII (Central Visayas),Cebu,Cebu Total,"220,216.57","45,890.23","111,833.56","62,426.82",65.956,"235,991.43","52,173.73","120,370.01","63,381.69",65.998
Geographical Distribution (Domestic),Region VII (Central Visayas),Cebu,Universal and Commercial Banks,"197,347.21","44,467.24","103,970.50","48,843.51",65.956,"213,109.00","50,732.50","112,162.26","50,148.24",65.998
Geographical Distribution (Domestic),Region VII (Central Visayas),Cebu,Thrift Banks,"19,768.02","1,330.77","5,770.78","12,666.47",0,"19,726.16","1,341.42","6,043.48","12,341.27",0
Geographical Distribution (Domestic),Region VII (Central Visayas),Cebu,Rural and Cooperative Banks,"3,101.35",92.217,"2,092.29",916.846,0,"3,156.27",99.814,"2,164.28",892.179,0
