region,province,city_or_municipality,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
II (Cagayan Valley),Cagayan,Aparri,25,19,16,29,14,15,20,28,37,22,16,20,14,20,16,21,20,18,27,37,27,28,60,19,28,596,
II (Cagayan Valley),Cagayan,Baggao,11,9,8,8,1,2,9,8,10,4,-,3,6,3,5,8,5,4,22,6,9,11,19,18,23,212,
II (Cagayan Valley),Cagayan,Ballesteros,8,14,16,13,20,18,20,15,21,16,10,7,21,9,14,17,15,14,14,23,18,13,12,28,20,396,
II (Cagayan Valley),Cagayan,Buguey,11,6,6,9,6,10,11,12,9,27,3,9,5,6,5,9,7,12,10,3,7,7,14,18,18,240,
II (Cagayan Valley),Cagayan,Calayan,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,4,
II (Cagayan Valley),Cagayan,Camalaniugan,17,8,2,3,11,7,15,11,16,17,2,6,15,6,2,17,20,12,6,9,18,19,16,18,18,291,
II (Cagayan Valley),Cagayan,Claveria,16,22,15,21,45,32,18,21,40,25,27,31,32,11,11,34,27,21,36,32,35,43,66,54,35,750,
II (Cagayan Valley),Cagayan,Enrile,5,2,1,-,2,6,5,4,8,1,4,1,3,4,7,10,13,5,15,4,2,9,10,15,17,153,
II (Cagayan Valley),Cagayan,Gattaran,8,11,35,19,19,17,25,15,31,26,14,11,15,15,24,11,23,28,25,15,15,46,39,33,30,550,
II (Cagayan Valley),Cagayan,Gonzaga,6,2,7,15,12,7,6,11,13,14,5,2,13,21,8,12,5,12,12,12,12,30,16,36,21,310,
II (Cagayan Valley),Cagayan,Iguig,-,6,6,2,3,1,2,7,6,-,2,1,2,6,6,1,3,4,3,6,13,18,5,12,24,139,
II (Cagayan Valley),Cagayan,Lal-Lo,12,5,3,5,7,14,7,6,15,11,4,7,6,4,16,13,14,7,11,14,22,14,10,16,17,260,
II (Cagayan Valley),Cagayan,Lasam,6,6,13,7,13,11,19,13,29,17,24,14,9,9,13,21,16,17,13,18,23,23,33,31,30,428,
II (Cagayan Valley),Cagayan,Pamplona,7,3,4,2,7,6,14,2,8,6,3,5,7,4,11,6,3,6,4,1,6,8,16,7,9,155,
