particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
                     (Central Visayas Polytechnic College),                     (Central Visayas Polytechnic College),113034,42556,3012,0,0,0,9519,0,0,103515,42556,3012,0,0,0,0,0,0,0
               Siquijor State College,               Siquijor State College,23844,3903,3012,0,0,0,1941,0,0,21903,3903,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,          Region VIII - EASTERN VISAYAS,1117741,149218,35033,0,0,0,89214,0,0,1028527,149218,35033,0,0,0,0,0,0,1
               Eastern Samar State University,               Eastern Samar State University,140478,11233,3012,0,0,0,11201,0,0,129277,11233,3012,0,0,0,0,0,0,0
               Eastern Visayas State University,               Eastern Visayas State University,,,,,,,,,,,,,,,,,,,
                     (Leyte Institute of Technology),                     (Leyte Institute of Technology),145453,23380,4512,0,0,0,11958,0,0,133495,23380,4512,0,0,0,0,0,0,0
               Leyte Normal University,               Leyte Normal University,68072,21035,3012,0,0,0,5448,0,0,62624,21035,3012,0,0,0,0,0,0,0
               Visayas State University (Leyte,               Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,
                     State University),                     State University),227254,24772,3012,0,0,0,17135,0,0,210119,24772,3012,0,0,0,0,0,0,0
               Naval Institute of Technology,               Naval Institute of Technology,56796,10162,3012,0,0,0,4656,0,0,52140,10162,3012,0,0,0,0,0,0,0
               Palompon Institute of Technology,               Palompon Institute of Technology,61909,6415,3012,0,0,0,5092,0,0,56817,6415,3012,0,0,0,0,0,0,0
               Southern Leyte State University,               Southern Leyte State University,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College,                     (Southern Leyte State College,,,,,,,,,,,,,,,,,,,
                     of Sci. and Tech. and TONC),                     of Sci. and Tech. and TONC),100610,13624,3413,0,0,0,8203,0,0,92407,13624,3413,0,0,0,0,0,0,0
               Samar State College of Agriculture,               Samar State College of Agriculture,,,,,,,,,,,,,,,,,,,
                     and Forestry,                     and Forestry,15676,2024,3012,0,0,0,1216,0,0,14460,2024,3012,0,0,0,0,0,0,0
               Samar State University (Samar State,               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),                     Polytechnic College),84869,12305,3012,0,0,0,6703,0,0,78166,12305,3012,0,0,0,0,0,0,0
               Tiburcio Tancinco Memorial,               Tiburcio Tancinco Memorial,,,,,,,,,,,,,,,,,,,
                     Institute of Science and Technology,                     Institute of Science and Technology,42112,10302,3012,0,0,0,3376,0,0,38736,10302,3012,0,0,0,0,0,0,0
               University of Eastern Philippines,               University of Eastern Philippines,174512,13966,3012,0,0,0,14226,0,0,160286,13966,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
