Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
                Research and Development,0,0,0,0,0,"1,100",0,0,0,0,0,0,"1,100"
          Philippine Institute of Volcanology and Seismology,0,0,0,0,"22,500","5,000",0,"1,240","82,510",0,0,0,"111,250"
          Philippine Nuclear Research Institute,0,0,0,0,"23,300","5,625",0,"1,200","16,724",0,0,0,"46,849"
          Philippine Science High School,0,0,0,0,"521,447","63,546",0,"1,000",0,0,0,0,"585,993"
          Philippine Textile Research Institute,0,0,0,0,"5,000","1,135",0,0,980,0,0,0,"7,115"
          Science Education Institute,0,0,0,0,0,"10,000",0,0,0,0,0,0,"10,000"
          Science and Technology Information Institute,0,0,0,0,"1,600",825,0,"1,000",0,0,0,0,"3,425"
          Technology Application and Promotion Institute,0,"10,000",0,0,0,0,0,0,0,0,0,0,"10,000"
,,,,,,,,,,,,,
     Department of Social Welfare and Development,0,0,0,0,"312,000","18,850",0,"2,400",0,0,0,0,"333,250"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"300,000","17,850",0,"2,400",0,0,0,0,"320,250"
          Inter-Country Adoption Board,0,0,0,0,0,"1,000",0,0,0,0,0,0,"1,000"
          National Council for the Welfare of Disabled Persons,0,0,0,0,"12,000",0,0,0,0,0,0,0,"12,000"
,,,,,,,,,,,,,
     Department of Tourism,0,0,0,"10,000","10,000","17,647",0,0,0,0,0,0,"37,647"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"10,000","17,647",0,0,0,0,0,0,"27,647"
          National Parks Development Committee,0,0,0,"10,000",0,0,0,0,0,0,0,0,"10,000"
,,,,,,,,,,,,,
     Department of Trade and Industry,0,0,0,0,"3,000","37,203",0,"2,979",0,0,0,0,"43,182"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"3,000","4,882",0,0,0,0,0,0,"7,882"
          Board of Investments,0,0,0,0,0,"29,443",0,"2,979",0,0,0,0,"32,422"
          Construction Industry Authority of the Philippines,0,0,0,0,0,109,0,0,0,0,0,0,109
          Construction Manpower Development Foundation,0,0,0,0,0,140,0,0,0,0,0,0,140
          Philippine Trade Training Center,0,0,0,0,0,"2,404",0,0,0,0,0,0,"2,404"
          Product Development and Design Center of the Philippines,0,0,0,0,0,225,0,0,0,0,0,0,225
,,,,,,,,,,,,,
     Department of Transportation and Communications,0,0,0,"3,879,000","498,519","341,987",0,"3,129,175","228,286","3,766,138",0,0,"11,843,105"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"3,879,000","493,519","308,080",0,"3,127,365","152,786","3,766,138",0,0,"11,726,888"
          Civil Aeronautics Board,0,0,0,0,0,"4,000",0,0,0,0,0,0,"4,000"
          Maritime Industry Authority,0,0,0,0,"5,000","29,907",0,"1,810",500,0,0,0,"37,217"
          National Telecommunications Commission,0,0,0,0,0,0,0,0,"25,000",0,0,0,"25,000"
          Office for Transportation Security,0,0,0,0,0,0,0,0,"50,000",0,0,0,"50,000"
,,,,,,,,,,,,,
     National Economic and Development Authority,"20,000",0,0,0,"10,000","45,752",0,750,0,0,0,0,"76,502"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Director-General,0,0,0,0,"10,000","44,200",0,0,0,0,0,0,"54,200"
          National Statistical Coordination Board,0,0,0,0,0,"1,000",0,0,0,0,0,0,"1,000"
          National Statistics Office,0,0,0,0,0,302,0,0,0,0,0,0,302
          Statistical Research and Training Center,"20,000",0,0,0,0,0,0,0,0,0,0,0,"20,000"
          Tariff Commission,0,0,0,0,0,250,0,750,0,0,0,0,"1,000"
,,,,,,,,,,,,,
     Office of the Press Secretary,0,0,0,"1,762","3,000",0,0,"4,900","2,634","3,000",0,0,"15,296"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Press Secretary (Proper),0,0,0,0,0,0,0,"1,500",0,0,0,0,"1,500"
          Bureau of Broadcast Services,0,0,0,0,0,0,0,0,0,"3,000",0,0,"3,000"
          Bureau of Communications Services,0,0,0,0,0,0,0,750,0,0,0,0,750
          National Printing Office,0,0,0,0,0,0,0,900,0,0,0,0,900
          News and Information Bureau,0,0,0,0,0,0,0,750,0,0,0,0,750
          Philippine Information Agency,0,0,0,"1,762","3,000",0,0,"1,000",0,0,0,0,"5,762"
          Presidential Broadcast Staff (RTVM),0,0,0,0,0,0,0,0,"2,634",0,0,0,"2,634"
,,,,,,,,,,,,,
     Other Executive Offices,"122,070",0,0,0,"110,035","152,410",0,"31,287","150,120",0,0,0,"565,922"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Commission on Filipinos Overseas,0,0,0,0,0,860,0,0,0,0,0,0,860
          Commission on Higher Education,0,0,0,0,"5,000",0,0,0,0,0,0,0,"5,000"
          Commission on the Filipino Language,0,0,0,0,0,200,0,0,0,0,0,0,200
          Dangerous Drugs Board,0,0,0,0,0,"8,500",0,0,0,0,0,0,"8,500"
          Energy Regulatory Commission,0,0,0,0,0,"2,000",0,"1,750",360,0,0,0,"4,110"
          Games and Amusements Board,0,0,0,0,0,750,0,0,0,0,0,0,750
          Housing and Urban Development Coordinating Council,0,0,0,0,0,"8,600",0,0,0,0,0,0,"8,600"
          National Anti-Poverty Commission,"100,000",0,0,0,0,"9,000",0,800,0,0,0,0,"109,800"
          National Commission for Culture and the Arts,0,0,0,0,0,0,0,0,0,0,0,0,
               National Commission for Culture and the,,,,,,,,,,,,,
                     Arts (Proper),"22,070",0,0,0,535,"5,012",0,0,0,0,0,0,"27,617"
               National Historical Institute,0,0,0,0,"63,000","16,111",0,0,275,0,0,0,"79,386"
               The National Library,0,0,0,0,0,"41,800",0,700,"1,000",0,0,0,"43,500"
               National Archives of the Philippines,,,,,,,,,,,,,
                     (formerly Records Management and,,,,,,,,,,,,,
