psgc_muni,pov_muni_year,pov_muni_measure,estimate,standard_error,coefficient_of_variation
153825000,2003,Incidence,-,-,-
153814000,2003,Incidence,48.02,6.42,13.4
153820000,2003,Incidence,58.84,9.53,16.2
153832000,2003,Incidence,-,-,-
153809000,2003,Incidence,65.04,18.12,27.9
153834000,2003,Incidence,-,-,-
153822000,2003,Incidence,52.35,8.92,17
153810000,2003,Incidence,46.42,8.01,17.3
153823000,2003,Incidence,-,-,-
153833000,2003,Incidence,-,-,-
153811000,2003,Incidence,35.1,7.39,21.1
153829000,2003,Incidence,-,-,-
153808000,2003,Incidence,49.18,7.43,15.1
153837000,2003,Incidence,-,-,-
153817000,2003,Incidence,53.22,10.5,19.7
153812000,2003,Incidence,35.7,5.47,15.3
153824000,2003,Incidence,-,-,-
153813000,2003,Incidence,54.04,7.81,14.5
153816000,2003,Incidence,58.6,6.05,10.3
153821000,2003,Incidence,57.37,8.17,14.2
153815000,2003,Incidence,45.43,7.02,15.5
156606000,2003,Incidence,62.83,15.21,24.2
156601000,2003,Incidence,50.13,6.51,13
156602000,2003,Incidence,39.14,12.94,33.1
156603000,2003,Incidence,64.99,9.55,14.7
156617000,2003,Incidence,57.79,9.62,16.6
156604000,2003,Incidence,65.4,9.08,13.9
156605000,2003,Incidence,58.79,8.54,14.5
156607000,2003,Incidence,53.32,9.63,18.1
156619000,2003,Incidence,-,-,-
156618000,2003,Incidence,63.14,8.09,12.8
156616000,2003,Incidence,66.46,10.72,16.1
156608000,2003,Incidence,61.3,8.59,14
156609000,2003,Incidence,53.36,7.7,14.4
156610000,2003,Incidence,59.42,8.11,13.6
156611000,2003,Incidence,42.28,9.22,21.8
156612000,2003,Incidence,52.72,6.71,12.7
156613000,2003,Incidence,56.62,5.32,9.4
156614000,2003,Incidence,57.28,9.71,17
156615000,2003,Incidence,62.59,9.02,14.4
157002000,2003,Incidence,34.6,5.78,16.7
157009000,2003,Incidence,45.48,7.04,15.5
157003000,2003,Incidence,48.92,7.87,16.1
157001000,2003,Incidence,47.18,7.54,16
157010000,2003,Incidence,48.09,7.89,16.4
157011000,2003,Incidence,-,-,-
157004000,2003,Incidence,33.96,7.77,22.9
157005000,2003,Incidence,45.35,7,15.4
157006000,2003,Incidence,53.91,5.75,10.7
157007000,2003,Incidence,48.82,7.74,15.9
157008000,2003,Incidence,49.66,17.76,35.8
140101000,2003,Incidence,19.74,2.43,12.3
140102000,2003,Incidence,73.52,6.58,8.9
140103000,2003,Incidence,37.19,4.25,11.4
140104000,2003,Incidence,62.68,8.46,13.5
140105000,2003,Incidence,40.97,7.67,18.7
140106000,2003,Incidence,49.56,7.79,15.7
140107000,2003,Incidence,38.99,4.87,12.5
140108000,2003,Incidence,40.53,4.96,12.2
140109000,2003,Incidence,61.48,5.69,9.3
140110000,2003,Incidence,38.54,4.21,10.9
140111000,2003,Incidence,52.54,7.28,13.9
140112000,2003,Incidence,63.81,8.23,12.9
140113000,2003,Incidence,50.84,5.07,10
140114000,2003,Incidence,52.42,6.01,11.5
140115000,2003,Incidence,53.46,6.13,11.5
140116000,2003,Incidence,26.52,5.48,20.7
140117000,2003,Incidence,35.89,5.45,15.2
140118000,2003,Incidence,34.44,3.77,10.9
140119000,2003,Incidence,39,4.62,11.8
140120000,2003,Incidence,37.95,5.18,13.6
140121000,2003,Incidence,65.52,5.65,8.6
140122000,2003,Incidence,33.7,4.61,13.7
140123000,2003,Incidence,36.76,9.6,26.1
140124000,2003,Incidence,36.67,5.61,15.3
140125000,2003,Incidence,68.96,7.06,10.2
140126000,2003,Incidence,51.04,6.08,11.9
140127000,2003,Incidence,54.79,7.84,14.3
148101000,2003,Incidence,22.9,5.14,22.4
148102000,2003,Incidence,40.44,5.05,12.5
148103000,2003,Incidence,23.9,4.35,18.2
148104000,2003,Incidence,36.27,5.14,14.2
148105000,2003,Incidence,19.42,2.62,13.5
148106000,2003,Incidence,30.67,3.71,12.1
148107000,2003,Incidence,22.6,4.35,19.2
141101000,2003,Incidence,20.83,5.21,25
141102000,2003,Incidence,2.8,0.89,31.8
141103000,2003,Incidence,41.39,8.17,19.7
141104000,2003,Incidence,14.5,4.43,30.6
141105000,2003,Incidence,21.16,4.24,20
141106000,2003,Incidence,19.74,5.1,25.8
141107000,2003,Incidence,38.98,6.28,16.1
141108000,2003,Incidence,44.19,4.78,10.8
141109000,2003,Incidence,37.65,6.22,16.5
141110000,2003,Incidence,5.64,1.79,31.7
141111000,2003,Incidence,14.37,3.42,23.8
141112000,2003,Incidence,33.32,5.53,16.6
141113000,2003,Incidence,19.13,4.61,24.1
141114000,2003,Incidence,23.97,5.36,22.4
142708000,2003,Incidence,34.35,5.11,14.9
142707000,2003,Incidence,32.83,4.13,12.6
142711000,2003,Incidence,55.53,6.16,11.1
142701000,2003,Incidence,31.1,4.14,13.3
142709000,2003,Incidence,29.55,6.24,21.1
142702000,2003,Incidence,40.92,6.83,16.7
142703000,2003,Incidence,32.22,4.6,14.3
142704000,2003,Incidence,29.95,3.09,10.3
142705000,2003,Incidence,29.24,4.04,13.8
142706000,2003,Incidence,35.4,3.54,10
142710000,2003,Incidence,46,7.2,15.7
143201000,2003,Incidence,49.54,5.24,10.6
143213000,2003,Incidence,28.11,3.77,13.4
143206000,2003,Incidence,50.37,6.09,12.1
143208000,2003,Incidence,70.01,5.84,8.3
143209000,2003,Incidence,52.16,4.56,8.7
143211000,2003,Incidence,34.91,4.53,13
143214000,2003,Incidence,88.06,4.23,4.8
143215000,2003,Incidence,82.14,5.77,7
144401000,2003,Incidence,40.86,6.3,15.4
144402000,2003,Incidence,29.74,3.87,13
144403000,2003,Incidence,36.89,5.21,14.1
144404000,2003,Incidence,21.13,4.13,19.5
144405000,2003,Incidence,60.56,5.86,9.7
144406000,2003,Incidence,59.91,4.61,7.7
144407000,2003,Incidence,30.81,4.3,14
144408000,2003,Incidence,63.53,6.57,10.3
144409000,2003,Incidence,23.07,3.31,14.3
144410000,2003,Incidence,34.33,4.39,12.8
137501000,2003,Incidence,5.16,1.7,32.9
137601000,2003,Incidence,3.4,1.57,46.2
137602000,2003,Incidence,1.86,0.89,47.8
137502000,2003,Incidence,5.1,1.82,35.7
137401000,2003,Incidence,2.96,1.77,59.8
133900000,2003,Incidence,-,-,-
137402000,2003,Incidence,2.72,1.91,70.2
137603000,2003,Incidence,3.98,1.84,46.2
137503000,2003,Incidence,7.41,3.12,42.1
137604000,2003,Incidence,2.03,1.15,56.7
137403000,2003,Incidence,3.62,1.67,46.1
137405000,2003,Incidence,1.5,1.03,68.7
137504000,2003,Incidence,4.4,1.52,34.5
137605000,2003,Incidence,3.73,0.67,18
137606000,2003,Incidence,4.13,3.21,77.7
137404000,2003,Incidence,3.03,0.88,29
137607000,2003,Incidence,5.23,2.26,43.2
12801000,2003,Incidence,47.78,17.85,37.4
12802000,2003,Incidence,32.88,3.94,12
12803000,2003,Incidence,32.54,3.37,10.4
12804000,2003,Incidence,23.17,4.62,19.9
12811000,2003,Incidence,30.29,4.43,14.6
12806000,2003,Incidence,26.67,4.8,18
12807000,2003,Incidence,46.34,11,23.7
12805000,2003,Incidence,24.63,2.7,11
12808000,2003,Incidence,20.01,4.16,20.8
12809000,2003,Incidence,35.23,4.74,13.5
12810000,2003,Incidence,30.74,15.74,51.2
