region,province,municipality,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage
III (Central Luzon),Nueva Ecija,San Isidro,8,8,8,9,-,4,18,6,13,11,85,
III (Central Luzon),Nueva Ecija,San Jose City,23,23,29,35,2,21,34,28,34,34,263,
III (Central Luzon),Nueva Ecija,San Leonardo,12,19,9,16,2,11,12,17,12,17,127,
III (Central Luzon),Nueva Ecija,Santa Rosa,16,12,11,7,1,12,13,9,11,12,104,
III (Central Luzon),Nueva Ecija,Santo Domingo,10,5,6,5,-,1,4,9,11,8,59,
III (Central Luzon),Nueva Ecija,Talavera,16,23,17,21,3,23,32,27,29,22,213,
III (Central Luzon),Nueva Ecija,Talugtug,1,-,-,3,-,2,3,2,-,3,14,
III (Central Luzon),Nueva Ecija,Zaragoza,5,6,6,9,-,7,4,5,12,8,62,
III (Central Luzon),Pampanga,Angeles City,353,353,393,365,50,315,394,379,399,549,3550,
III (Central Luzon),Pampanga,Apalit,25,19,30,29,1,31,23,18,24,28,228,
III (Central Luzon),Pampanga,Arayat,25,23,26,27,4,20,21,26,24,37,233,
III (Central Luzon),Pampanga,Bacolor,2,1,3,2,1,5,6,11,11,13,55,
III (Central Luzon),Pampanga,Candaba,7,10,22,16,2,23,9,14,18,18,139,
III (Central Luzon),Pampanga,Floridablanca,22,26,31,30,5,18,19,9,19,18,197,
III (Central Luzon),Pampanga,Guagua,33,33,39,33,7,39,43,30,33,39,329,
III (Central Luzon),Pampanga,Lubao,43,30,42,43,5,37,41,39,36,39,355,
III (Central Luzon),Pampanga,Mabalacat,130,108,107,130,14,124,155,139,128,212,1247,
III (Central Luzon),Pampanga,Macabebe,23,29,29,36,10,30,29,30,31,23,270,
III (Central Luzon),Pampanga,Magalang,22,18,14,18,1,17,25,24,35,28,202,
III (Central Luzon),Pampanga,Masantol,18,19,18,21,3,21,28,22,22,20,192,
III (Central Luzon),Pampanga,Mexico,28,22,35,31,4,35,23,28,27,40,273,
