region,province,municipality,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage
VII (Central Visayas),Negros Oriental,Bais City,11,6,7,9,-,11,10,11,5,11,81,
VII (Central Visayas),Negros Oriental,Basay,2,1,2,3,1,2,2,1,1,3,18,
VII (Central Visayas),Negros Oriental,Bayawan (Tulong),6,8,10,12,1,9,10,10,18,14,98,
VII (Central Visayas),Negros Oriental,Bindoy (Payabon),2,4,1,1,2,2,3,4,4,4,27,
VII (Central Visayas),Negros Oriental,Canlaon City,1,3,8,6,-,1,6,3,6,1,35,
VII (Central Visayas),Negros Oriental,Dauin,4,3,6,6,4,5,8,5,7,11,59,
VII (Central Visayas),Negros Oriental,Dumaguete City (Capital),69,72,74,73,17,68,83,80,77,87,700,
VII (Central Visayas),Negros Oriental,Guihulngan,3,5,10,10,-,5,16,13,6,13,81,
VII (Central Visayas),Negros Oriental,Jimalalud,2,2,4,2,-,2,4,3,1,4,24,
VII (Central Visayas),Negros Oriental,La Libertad,1,3,2,1,-,3,1,1,3,3,18,
VII (Central Visayas),Negros Oriental,Mabinay,4,4,5,5,1,5,8,4,1,5,42,
VII (Central Visayas),Negros Oriental,Manjuyod,3,4,5,3,-,2,4,2,2,3,28,
VII (Central Visayas),Negros Oriental,Pamplona,1,3,5,3,-,2,2,-,3,4,23,
VII (Central Visayas),Negros Oriental,San Jose,5,5,6,4,-,4,2,4,8,5,43,
VII (Central Visayas),Negros Oriental,Santa Catalina,3,4,8,9,1,5,9,4,6,7,56,
VII (Central Visayas),Negros Oriental,Siaton,8,3,6,5,1,2,4,10,6,6,51,
VII (Central Visayas),Negros Oriental,Sibulan,17,16,7,14,-,10,16,15,12,22,129,
VII (Central Visayas),Negros Oriental,Tanjay,15,28,24,20,4,17,14,17,15,19,173,
VII (Central Visayas),Negros Oriental,Tayasan,-,1,2,2,1,2,2,2,1,2,15,
VII (Central Visayas),Negros Oriental,Valencia (Luzurriaga),6,11,5,12,-,6,5,4,7,7,63,
VII (Central Visayas),Negros Oriental,Vallehermoso,1,1,1,2,-,1,4,-,-,-,10,
VII (Central Visayas),Negros Oriental,Zamboanguita,1,4,3,4,-,4,3,5,2,14,40,
VII (Central Visayas),Siquijor,Enrique Villanueva,2,1,-,-,-,-,-,-,3,2,8,
VII (Central Visayas),Siquijor,Larena,11,7,8,6,1,2,6,7,10,4,62,
VII (Central Visayas),Siquijor,Lazi,1,3,1,2,1,2,7,2,5,-,24,
VII (Central Visayas),Siquijor,Maria,4,5,2,6,-,2,5,5,1,2,32,
VII (Central Visayas),Siquijor,San Juan,1,5,2,5,-,1,2,6,3,6,31,
VII (Central Visayas),Siquijor,Siquijor (Capital),5,7,7,6,1,6,10,5,8,12,67,
VII (Central Visayas),No City or Municipality Reported,No City or Municipality Reported,-,1,-,1,-,-,-,-,-,-,2,
VIII (Eastern Visayas),Eastern Samar,Arteche,-,-,-,-,-,-,-,1,1,-,2,
VIII (Eastern Visayas),Eastern Samar,Balangiga,-,3,1,3,-,2,1,2,2,1,15,
VIII (Eastern Visayas),Eastern Samar,Balangkayan,2,-,-,-,-,-,-,1,-,1,4,
VIII (Eastern Visayas),Eastern Samar,Borongan (Capital),2,4,5,8,1,1,9,4,10,9,53,
VIII (Eastern Visayas),Eastern Samar,Can-Avid,-,1,-,-,-,-,-,-,1,-,2,
VIII (Eastern Visayas),Eastern Samar,Dolores,2,1,2,2,-,1,3,3,1,3,18,
VIII (Eastern Visayas),Eastern Samar,General Macarthur,1,1,2,-,-,4,1,-,1,4,14,
VIII (Eastern Visayas),Eastern Samar,Giporlos,1,-,1,-,-,-,1,1,2,3,9,
VIII (Eastern Visayas),Eastern Samar,Guiuan,-,3,1,4,-,3,5,3,5,6,30,
VIII (Eastern Visayas),Eastern Samar,Hernani,2,1,-,1,1,-,-,-,-,2,7,
VIII (Eastern Visayas),Eastern Samar,Jipapad,-,-,-,-,-,-,1,-,-,-,1,
VIII (Eastern Visayas),Eastern Samar,Lawaan,2,2,3,1,-,4,6,5,4,3,30,
VIII (Eastern Visayas),Eastern Samar,Llorente,-,4,-,2,1,-,-,1,1,2,11,
VIII (Eastern Visayas),Eastern Samar,Maslog,-,-,-,-,-,-,-,1,-,-,1,
VIII (Eastern Visayas),Eastern Samar,Maydolong,-,1,-,-,-,-,4,1,1,1,8,
VIII (Eastern Visayas),Eastern Samar,Mercedes,-,-,1,-,-,-,-,-,-,-,1,
VIII (Eastern Visayas),Eastern Samar,Oras,1,3,1,1,1,-,2,1,-,1,11,
VIII (Eastern Visayas),Eastern Samar,Quinapondan,1,2,1,-,-,4,1,1,1,1,12,
VIII (Eastern Visayas),Eastern Samar,Salcedo,-,-,1,-,-,1,3,2,5,2,14,
VIII (Eastern Visayas),Eastern Samar,San Julian,1,-,1,3,-,-,2,-,-,1,8,
VIII (Eastern Visayas),Eastern Samar,San Policarpo,-,-,-,2,-,1,1,2,1,1,8,
VIII (Eastern Visayas),Eastern Samar,Sulat,1,-,-,-,1,2,1,1,1,1,8,
VIII (Eastern Visayas),Eastern Samar,Taft,2,1,1,2,1,2,1,1,-,-,11,
VIII (Eastern Visayas),Leyte,Abuyog,5,5,1,10,-,5,12,5,11,14,68,
VIII (Eastern Visayas),Leyte,Alangalang,1,5,2,6,-,3,6,5,5,7,40,
VIII (Eastern Visayas),Leyte,Albuera,11,17,14,20,5,31,21,9,24,27,179,
VIII (Eastern Visayas),Leyte,Babatngon,3,-,4,1,1,4,4,6,4,3,30,
VIII (Eastern Visayas),Leyte,Barugo,1,-,-,5,-,5,3,5,2,4,25,
VIII (Eastern Visayas),Leyte,Bato,4,6,3,6,-,8,3,3,6,7,46,
VIII (Eastern Visayas),Leyte,Baybay,25,38,29,26,9,30,32,26,46,29,290,
VIII (Eastern Visayas),Leyte,Burauen,2,1,5,8,-,2,4,3,3,5,33,
VIII (Eastern Visayas),Leyte,Calubian,3,5,6,5,-,1,8,5,9,5,47,
VIII (Eastern Visayas),Leyte,Capoocan,2,6,2,3,1,6,6,4,3,5,38,
VIII (Eastern Visayas),Leyte,Carigara,5,7,5,3,-,4,2,2,4,6,38,
VIII (Eastern Visayas),Leyte,Dagami,4,4,1,3,-,2,-,-,-,-,14,
VIII (Eastern Visayas),Leyte,Dulag,4,3,5,4,-,4,7,3,4,1,35,
VIII (Eastern Visayas),Leyte,Hilongos,5,8,9,14,3,6,5,7,11,13,81,
VIII (Eastern Visayas),Leyte,Hindang,1,4,2,3,1,3,2,5,2,3,26,
VIII (Eastern Visayas),Leyte,Inopacan,1,3,3,2,2,4,5,1,3,2,26,
VIII (Eastern Visayas),Leyte,Isabel,5,7,7,15,-,4,7,5,8,6,64,
VIII (Eastern Visayas),Leyte,Jaro,3,3,1,3,-,9,1,4,2,3,29,
VIII (Eastern Visayas),Leyte,Javier (Bugho),-,1,3,1,1,2,1,4,2,4,19,
VIII (Eastern Visayas),Leyte,Julita,1,-,-,-,-,1,-,-,2,3,7,
VIII (Eastern Visayas),Leyte,Kananga,8,7,15,14,-,10,5,5,6,13,83,
VIII (Eastern Visayas),Leyte,Lapaz,1,1,1,1,1,1,1,-,3,3,13,
VIII (Eastern Visayas),Leyte,Leyte,1,2,2,4,1,4,2,1,4,5,26,
VIII (Eastern Visayas),Leyte,Macarthur,2,1,2,3,1,5,2,5,6,10,37,
VIII (Eastern Visayas),Leyte,Mahaplag,3,3,3,3,-,3,8,5,10,4,42,
VIII (Eastern Visayas),Leyte,Matag-Ob,3,-,1,2,-,4,5,4,4,3,26,
VIII (Eastern Visayas),Leyte,Matalom,2,2,3,5,-,2,4,5,2,8,33,
VIII (Eastern Visayas),Leyte,Mayorga,-,1,2,4,-,1,-,2,3,2,15,
VIII (Eastern Visayas),Leyte,Merida,5,2,4,9,-,8,4,5,4,3,44,
VIII (Eastern Visayas),Leyte,Ormoc City,33,54,44,71,13,69,56,56,68,84,548,
VIII (Eastern Visayas),Leyte,Palo,5,9,14,15,-,13,14,16,14,2,102,
VIII (Eastern Visayas),Leyte,Palompon,7,8,17,17,2,14,10,13,10,11,109,
VIII (Eastern Visayas),Leyte,Pastrana,-,1,-,1,-,-,4,-,-,1,7,
VIII (Eastern Visayas),Leyte,San Isidro,-,2,-,9,-,5,2,7,5,3,33,
VIII (Eastern Visayas),Leyte,San Miguel,1,-,-,2,-,1,4,2,3,2,15,
VIII (Eastern Visayas),Leyte,Santa Fe,1,1,1,2,-,1,1,-,1,2,10,
VIII (Eastern Visayas),Leyte,Tabango,7,6,5,2,1,4,2,4,10,4,45,
VIII (Eastern Visayas),Leyte,Tabontabon,-,-,1,-,-,1,-,-,-,1,3,
VIII (Eastern Visayas),Leyte,Tacloban City (Capital),54,67,78,95,14,99,74,60,82,85,708,
VIII (Eastern Visayas),Leyte,Tanauan,8,10,6,11,1,8,16,6,13,12,91,
VIII (Eastern Visayas),Leyte,Tolosa,-,6,1,7,-,4,2,2,5,3,30,
VIII (Eastern Visayas),Leyte,Tunga,1,-,-,-,-,-,-,2,1,1,5,
VIII (Eastern Visayas),Leyte,Villaba,1,1,7,3,1,4,8,5,6,9,45,
VIII (Eastern Visayas),Northern Samar,Allen,-,-,2,1,-,1,-,1,3,3,11,
VIII (Eastern Visayas),Northern Samar,Biri,3,3,4,1,1,1,1,5,4,4,27,
VIII (Eastern Visayas),Northern Samar,Bobon,1,1,2,3,1,3,4,1,9,2,27,
VIII (Eastern Visayas),Northern Samar,Capul,-,1,1,1,-,1,-,-,-,-,4,
VIII (Eastern Visayas),Northern Samar,Catarman (Capital),3,4,3,7,-,8,6,9,9,6,55,
VIII (Eastern Visayas),Northern Samar,Catubig,-,-,-,-,-,-,-,-,1,1,2,
VIII (Eastern Visayas),Northern Samar,Gamay,1,-,-,1,-,-,2,1,1,1,7,
VIII (Eastern Visayas),Northern Samar,Laoang,2,-,-,1,-,-,-,-,1,-,4,
VIII (Eastern Visayas),Northern Samar,Lapinig,-,-,-,-,-,-,-,-,-,2,2,
VIII (Eastern Visayas),Northern Samar,Las Navas,-,-,-,-,-,-,-,-,-,-,-,
VIII (Eastern Visayas),Northern Samar,Lavezares,1,2,2,1,-,3,2,4,1,1,17,
VIII (Eastern Visayas),Northern Samar,Lope De Vega,-,-,-,-,-,1,-,-,-,-,1,
VIII (Eastern Visayas),Northern Samar,Mapanas,-,-,-,-,-,-,-,-,-,-,-,
VIII (Eastern Visayas),Northern Samar,Mondragon,-,-,-,-,-,1,1,-,1,3,6,
VIII (Eastern Visayas),Northern Samar,Palapag,-,-,1,-,-,-,1,1,1,2,6,
VIII (Eastern Visayas),Northern Samar,Pambujan,-,2,1,1,-,-,-,-,1,3,8,
VIII (Eastern Visayas),Northern Samar,Rosario,-,-,-,-,-,1,2,1,-,1,5,
VIII (Eastern Visayas),Northern Samar,San Antonio,1,1,-,-,-,2,-,-,-,3,7,
VIII (Eastern Visayas),Northern Samar,San Isidro,4,4,1,3,-,1,5,4,5,7,34,
VIII (Eastern Visayas),Northern Samar,San Jose,1,1,2,3,-,-,4,3,1,4,19,
VIII (Eastern Visayas),Northern Samar,San Roque,1,-,1,1,-,-,1,-,1,1,6,
VIII (Eastern Visayas),Northern Samar,San Vicente,2,-,-,2,-,1,2,-,1,1,9,
VIII (Eastern Visayas),Northern Samar,Victoria,-,-,-,1,-,-,-,1,-,1,3,
VIII (Eastern Visayas),Samar,Almagro,1,-,1,1,-,1,2,1,1,3,11,
VIII (Eastern Visayas),Samar,Basey,2,4,2,1,2,4,1,4,2,7,29,
VIII (Eastern Visayas),Samar,Calbayog City,18,8,22,27,3,31,32,28,37,38,244,
VIII (Eastern Visayas),Samar,Calbiga,1,-,1,1,-,1,-,-,-,1,5,
VIII (Eastern Visayas),Samar,Catbalogan (Capital),2,9,3,14,2,11,8,12,17,16,94,
VIII (Eastern Visayas),Samar,Daram,2,3,2,7,2,5,6,8,11,5,51,
VIII (Eastern Visayas),Samar,Gandara,1,1,1,1,-,1,1,-,5,3,14,
VIII (Eastern Visayas),Samar,Hinabangan,-,-,1,-,-,-,-,1,-,-,2,
VIII (Eastern Visayas),Samar,Jiabong,-,1,-,-,-,-,-,1,1,1,4,
VIII (Eastern Visayas),Samar,Marabut,1,1,-,-,-,1,1,-,1,1,6,
VIII (Eastern Visayas),Samar,Matuguinao,-,-,-,-,-,-,-,-,-,1,1,
VIII (Eastern Visayas),Samar,Motiong,-,-,1,1,1,-,1,-,-,-,4,
VIII (Eastern Visayas),Samar,Pinabacdao,-,-,-,-,-,1,1,1,-,1,4,
VIII (Eastern Visayas),Samar,San Jose De Buan,-,-,-,-,-,-,-,-,1,-,1,
VIII (Eastern Visayas),Samar,San Sebastian,1,-,-,-,-,1,-,-,1,-,3,
VIII (Eastern Visayas),Samar,Santa Margarita,1,2,-,3,-,3,-,3,6,2,20,
VIII (Eastern Visayas),Samar,Santa Rita,1,2,3,3,1,4,6,5,9,8,42,
VIII (Eastern Visayas),Samar,Santo Nino,-,-,-,-,-,3,1,3,4,2,13,
VIII (Eastern Visayas),Samar,Talalora,-,1,-,2,-,-,2,3,-,2,10,
VIII (Eastern Visayas),Samar,Tarangnan,1,-,1,-,-,-,1,-,-,-,3,
VIII (Eastern Visayas),Samar,Villareal,2,2,3,-,1,3,1,3,3,5,23,
VIII (Eastern Visayas),Samar,Paranas (Wright),-,2,1,-,1,1,-,1,-,-,6,
VIII (Eastern Visayas),Samar,Zumarraga,1,2,-,-,-,-,-,-,4,2,9,
VIII (Eastern Visayas),Samar,Tagapul-An,-,-,-,-,-,1,-,-,1,1,3,
VIII (Eastern Visayas),Samar,San Jorge,-,-,-,-,1,1,-,1,-,-,3,
VIII (Eastern Visayas),Samar,Pagsanghan,-,1,-,1,-,-,1,-,1,-,4,
VIII (Eastern Visayas),Southern Leyte,Anahawan,-,-,1,3,-,1,-,1,1,-,7,
VIII (Eastern Visayas),Southern Leyte,Bontoc,3,2,1,3,2,5,3,6,6,6,37,
VIII (Eastern Visayas),Southern Leyte,Hinunangan,1,3,1,6,1,3,1,6,5,5,32,
VIII (Eastern Visayas),Southern Leyte,Hinundayan,-,-,2,1,2,4,2,-,2,3,16,
VIII (Eastern Visayas),Southern Leyte,Libagon,-,-,-,4,-,1,1,2,2,1,11,
VIII (Eastern Visayas),Southern Leyte,Liloan,3,3,4,5,-,4,5,3,1,4,32,
VIII (Eastern Visayas),Southern Leyte,Maasin (Capital),22,30,19,24,5,26,17,10,17,15,185,
VIII (Eastern Visayas),Southern Leyte,Macrohon,6,7,4,11,-,3,4,5,7,9,56,
VIII (Eastern Visayas),Southern Leyte,Malitbog,2,1,2,1,-,3,2,2,3,1,17,
VIII (Eastern Visayas),Southern Leyte,Padre Burgos,4,2,1,1,1,2,7,6,8,4,36,
VIII (Eastern Visayas),Southern Leyte,Pintuyan,1,1,1,1,-,1,1,1,2,1,10,
VIII (Eastern Visayas),Southern Leyte,Saint Bernard,2,2,-,3,-,2,4,3,4,2,22,
VIII (Eastern Visayas),Southern Leyte,San Francisco,-,-,-,-,-,1,2,-,1,1,5,
VIII (Eastern Visayas),Southern Leyte,San Juan (Cabalian),-,2,1,-,1,4,3,3,3,4,21,
VIII (Eastern Visayas),Southern Leyte,San Ricardo,1,-,-,1,-,-,2,2,1,1,8,
VIII (Eastern Visayas),Southern Leyte,Silago,2,-,1,1,-,2,1,2,1,2,12,
VIII (Eastern Visayas),Southern Leyte,Sogod,9,7,12,14,1,7,6,5,7,10,78,
VIII (Eastern Visayas),Southern Leyte,Tomas Oppus,2,2,3,4,2,5,-,1,1,4,24,
VIII (Eastern Visayas),Southern Leyte,Limasawa,-,-,-,1,-,-,-,1,-,-,2,
VIII (Eastern Visayas),Biliran,Almeria,-,2,3,3,2,3,3,3,5,1,25,
VIII (Eastern Visayas),Biliran,Biliran,5,4,5,6,-,7,7,12,10,5,61,
VIII (Eastern Visayas),Biliran,Cabucgayan,-,2,2,1,3,6,5,5,9,9,42,
VIII (Eastern Visayas),Biliran,Caibiran,1,1,3,4,1,4,8,7,8,6,43,
VIII (Eastern Visayas),Biliran,Culaba,2,1,1,3,-,9,2,4,1,9,32,
VIII (Eastern Visayas),Biliran,Kawayan,1,2,2,6,2,10,7,1,4,4,39,
VIII (Eastern Visayas),Biliran,Maripipi,1,-,-,-,-,-,1,-,-,-,2,
VIII (Eastern Visayas),Biliran,Naval (Capital),3,8,10,11,1,10,16,7,6,15,87,
VIII (Eastern Visayas),No City or Municipality Reported,No City or Municipality Reported,-,-,-,-,-,-,-,-,-,-,-,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Dapitan City,6,8,4,7,4,13,12,13,22,15,104,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Dipolog City (Capital),33,44,55,55,11,43,76,54,62,65,498,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Katipunan,2,-,1,2,-,3,6,4,4,4,26,
IX (Zamboanga Peninsula),Zamboanga Del Norte,La Libertad,-,-,-,1,-,2,-,1,-,-,4,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Labason,3,3,3,4,1,2,6,7,-,4,33,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Liloy,-,1,2,2,-,4,4,6,8,4,31,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Manukan,5,5,3,3,-,6,3,3,5,5,38,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Mutia,-,-,1,-,1,-,1,2,1,2,8,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Pi_an (New Pi_an),1,7,-,2,-,1,1,2,4,1,19,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Polanco,2,5,7,5,1,3,9,5,6,10,53,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Pres. Manuel A. Roxas,4,2,4,3,-,2,2,4,3,3,27,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Rizal,3,2,-,4,1,1,2,-,3,1,17,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Salug,-,-,5,-,-,1,1,1,-,-,8,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sergio Osme_a Sr.,1,1,1,2,-,1,-,1,-,1,8,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Siayan,-,-,2,1,-,-,2,-,1,1,7,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sibuco,1,-,-,1,-,-,-,1,-,-,3,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sibutad,-,-,2,-,-,1,-,1,2,1,7,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sindangan,5,9,7,12,2,29,17,13,15,17,126,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Siocon,-,3,1,-,-,1,-,1,1,2,9,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sirawai,-,-,-,-,-,-,-,-,-,1,1,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Tampilisan,1,2,4,-,-,4,-,2,1,2,16,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Jose Dalman (Ponot),1,1,1,-,-,1,-,2,-,1,7,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Gutalac,1,-,2,1,-,2,-,-,1,2,9,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Godod,-,-,-,-,-,-,1,-,-,1,2,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Bacungan (Leon T. Postigo),1,2,2,5,1,-,2,2,1,6,22,
IX (Zamboanga Peninsula),Zamboanga Del Norte,Kalawit,1,-,1,-,-,1,-,-,1,1,5,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Aurora,2,3,4,6,1,2,5,2,4,3,32,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Bayog,1,-,-,1,-,2,1,-,-,1,6,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dimataling,-,-,-,1,-,-,1,-,1,3,6,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dinas,-,-,-,-,-,1,-,2,-,-,3,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dumalinao,-,1,-,-,1,1,1,-,2,-,6,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dumingag,-,-,2,4,-,2,1,3,3,-,15,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Kumalarang,2,-,1,-,-,2,1,-,2,-,8,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Labangan,2,1,1,-,-,-,1,2,1,2,10,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Lapuyan,-,-,-,-,-,-,-,-,1,-,1,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Mahayag,1,3,5,2,-,1,2,3,3,5,25,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Margosatubig,-,1,-,-,-,3,2,1,1,1,9,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Midsalip,-,1,1,-,-,3,1,-,1,1,8,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Molave,3,2,4,2,2,5,6,10,7,10,51,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Ramon Magsaysay (Liargo),1,1,1,3,-,1,1,-,6,2,16,
IX (Zamboanga Peninsula),Zamboanga Del Sur,San Miguel,-,-,1,1,-,-,-,2,1,1,6,
IX (Zamboanga Peninsula),Zamboanga Del Sur,San Pablo,-,-,-,2,-,2,1,-,-,1,6,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tabina,-,-,1,2,-,1,3,-,1,1,9,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tambulig,1,-,4,1,-,2,5,4,3,3,23,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tukuran,-,2,-,4,-,3,2,1,2,3,17,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Lakewood,-,-,-,-,-,-,1,1,1,1,4,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Pitogo,2,-,-,-,-,1,-,-,2,3,8,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Sominot (Don Mariano Marcos),-,-,-,1,-,-,-,-,1,-,2,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Vincenzo A. Sagun,-,-,2,2,-,-,-,1,2,-,7,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Guipos,-,1,-,-,-,-,-,1,2,1,5,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tigbao,-,-,-,-,-,-,1,-,-,2,3,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Pagadian City (Capital),31,18,21,23,8,24,27,32,35,20,239,
IX (Zamboanga Peninsula),Zamboanga Del Sur,Zamboanga City,49,58,78,66,16,75,83,79,95,100,699,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Alicia,-,-,-,-,-,1,-,-,-,1,2,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Buug,1,1,-,1,1,4,1,3,2,-,14,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Ipil,4,4,3,2,-,6,6,8,4,11,48,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Kabasalan,1,-,-,3,-,1,2,1,-,1,9,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Malangas,-,-,1,-,-,2,3,-,-,3,9,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Naga,-,-,2,1,-,1,-,1,1,2,8,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Olutanga,-,-,1,1,-,2,-,-,1,-,5,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Siay,1,-,1,-,-,1,1,1,3,4,12,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Titay,-,-,2,1,-,2,-,1,-,2,8,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Tungawan,1,-,1,-,-,-,-,1,2,-,5,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Talusan,-,-,-,1,-,-,-,-,-,-,1,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Payao,1,-,-,-,-,-,-,1,-,-,2,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Imelda,1,1,-,-,-,-,-,-,-,1,3,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Diplahan,-,-,1,1,-,2,1,2,2,2,11,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Mabuhay,-,-,-,-,-,1,1,-,-,1,3,
IX (Zamboanga Peninsula),Zamboanga Sibugay,Roseller Lim,-,1,2,-,-,1,1,-,-,2,7,
IX (Zamboanga Peninsula),Isabela City,Isabela City,-,-,-,-,-,2,1,2,1,-,6,
IX (Zamboanga Peninsula),No City or Municipality Reported,No City or Municipality Reported,-,-,-,1,-,-,-,-,-,-,1,
X (Northern Mindanao),Bukidnon,Baungon,-,-,-,4,1,1,3,2,-,1,12,
X (Northern Mindanao),Bukidnon,Damulog,-,-,-,-,-,1,1,3,-,-,5,
X (Northern Mindanao),Bukidnon,Dangcagan,-,-,-,3,-,-,-,-,1,1,5,
X (Northern Mindanao),Bukidnon,Don Carlos,4,3,5,5,-,7,1,6,5,6,42,
X (Northern Mindanao),Bukidnon,Impasug-Ong,-,-,-,-,-,1,1,-,-,1,3,
X (Northern Mindanao),Bukidnon,Kadingilan,1,2,1,1,-,1,1,1,1,-,9,
X (Northern Mindanao),Bukidnon,Kalilangan,1,1,2,3,-,1,2,1,-,-,11,
X (Northern Mindanao),Bukidnon,Kibawe,4,1,2,2,1,1,2,1,-,2,16,
X (Northern Mindanao),Bukidnon,Kitaotao,-,-,4,-,-,1,2,-,1,1,9,
X (Northern Mindanao),Bukidnon,Lantapan,1,-,1,1,1,-,1,2,1,-,8,
X (Northern Mindanao),Bukidnon,Libona,7,1,2,2,-,-,1,1,3,3,20,
X (Northern Mindanao),Bukidnon,City Malaybalay (Capital),13,8,14,15,4,15,18,11,21,19,138,
X (Northern Mindanao),Bukidnon,Malitbog,-,-,1,2,2,-,-,-,2,1,8,
X (Northern Mindanao),Bukidnon,Manolo Fortich,7,7,9,18,3,19,11,11,9,11,105,
X (Northern Mindanao),Bukidnon,Maramag,6,5,9,12,4,9,10,11,11,11,88,
X (Northern Mindanao),Bukidnon,Pangantucan,2,5,1,-,-,3,2,1,2,3,19,
X (Northern Mindanao),Bukidnon,Quezon,2,6,2,6,-,6,3,7,4,4,40,
X (Northern Mindanao),Bukidnon,San Fernando,-,1,1,2,-,1,4,-,1,2,12,
X (Northern Mindanao),Bukidnon,Sumilao,-,-,-,-,-,-,-,1,-,-,1,
X (Northern Mindanao),Bukidnon,Talakag,2,3,-,3,-,1,1,1,-,2,13,
X (Northern Mindanao),Bukidnon,Valencia,23,17,23,40,6,33,25,24,19,35,245,
X (Northern Mindanao),Bukidnon,Cabanglasan,1,-,2,-,1,-,1,1,1,1,8,
X (Northern Mindanao),Camiguin,Catarman,-,3,1,3,1,3,2,2,2,1,18,
X (Northern Mindanao),Camiguin,Guinsiliban,1,1,-,-,-,1,2,2,-,1,8,
X (Northern Mindanao),Camiguin,Mahinog,4,2,-,1,-,1,1,1,1,2,13,
X (Northern Mindanao),Camiguin,Mambajao (Capital),11,8,12,6,3,6,6,12,16,12,92,
X (Northern Mindanao),Camiguin,Sagay,4,1,1,2,-,-,3,2,-,2,15,
X (Northern Mindanao),Misamis Occidental,Aloran,2,1,3,3,1,5,4,1,4,9,33,
X (Northern Mindanao),Misamis Occidental,Baliangao,1,1,1,2,-,2,-,-,-,-,7,
X (Northern Mindanao),Misamis Occidental,Bonifacio,1,1,1,1,-,1,2,2,7,1,17,
X (Northern Mindanao),Misamis Occidental,Calamba,3,3,3,5,1,5,2,2,1,3,28,
X (Northern Mindanao),Misamis Occidental,Clarin,8,1,7,6,-,4,10,9,10,4,59,
X (Northern Mindanao),Misamis Occidental,Jimenez,2,2,4,4,1,1,5,3,5,5,32,
X (Northern Mindanao),Misamis Occidental,Lopez Jaena,2,3,3,2,1,2,5,9,3,3,33,
