city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Manolo Fortich,Councilor,"Albarece, Mario Jr. Belisario",Jong,Bangon Pilipinas Party,18909
Manolo Fortich,Councilor,"Onahon, Eliezer Sabana",Larry,Bangon Pilipinas Party,17097
Manolo Fortich,Councilor,"Leyson, Jerson Soon",Intong,Bangon Pilipinas Party,16894
Manolo Fortich,Councilor,"Mi, Raul Sacopayo",Roroy,Bangon Pilipinas Party,15756
Manolo Fortich,Councilor,"Bagayas, Reynaldo Jr. Labis",Bojun,Bangon Pilipinas Party,15739
Manolo Fortich,Councilor,"Ganas, Ronulfo Duetes",Karogans,Bangon Pilipinas Party,14934
Manolo Fortich,Councilor,"Goayan, Warleo Anlagan",Paki Tsoy,Bangon Pilipinas Party,14153
Maramag,Mayor,"Resus, Alicia Paulican",Alice,Bangon Pilipinas Party,19593
Maramag,Vice-Mayor,"Obedencio, Jose Vallejera",Joe,Bangon Pilipinas Party,26522
Maramag,Councilor,"Doromal, Jose Joel Pepito",Joel,Aksyon Democratic,15148
Maramag,Councilor,"Laurie, Edison Damiles",Eddie,Bangon Pilipinas Party,15040
Maramag,Councilor,"Bugas, Samuel Salomson",Sammy,Aksyon Democratic,14505
Maramag,Councilor,"Palmada, Joseph Denamarca",Dodo,Bangon Pilipinas Party,13763
Maramag,Councilor,"Jumawan, Mario Lacar",Mar,Bangon Pilipinas Party,13591
Maramag,Councilor,"Cabinta, Krisynthia Raquel Sadang",Raquel,Bangon Pilipinas Party,13410
Maramag,Councilor,"Balaba, Leo Cabisay",Lebal'Z,Bangon Pilipinas Party,12912
Maramag,Councilor,"Balansag, Gaudioso Palma",Gaudy B.,Bangon Pilipinas Party,12668
Pangantucan,Mayor,"Garces, Manolito Gulay",Lito,Bangon Pilipinas Party,15347
Pangantucan,Vice-Mayor,"Evangelista, Armando Jr. Sadang",Jojo,Bangon Pilipinas Party,13666
Pangantucan,Councilor,"Garcenila, Ian Boy Amoin",Ian,Independent,10037
Pangantucan,Councilor,"Naparan, Alberto Barbarona",Neneng,Bangon Pilipinas Party,9488
Pangantucan,Councilor,"Gipulla, Jab Baoy",Jab,Bangon Pilipinas Party,9439
Pangantucan,Councilor,"Palmares, Marlon Maygay",Nono,Bangon Pilipinas Party,8757
