region,province,city_or_municipality,2012
NCR,NCR First District,San Nicolas,0
NCR,NCR First District,Santa Cruz,4
NCR,NCR First District,Sampaloc,11
NCR,NCR First District,San Miguel,0
NCR,NCR First District,Ermita,0
NCR,NCR First District,Intramuros,1
NCR,NCR First District,Malate,0
NCR,NCR First District,Paco,1
NCR,NCR First District,Pandacan,0
NCR,NCR First District,Port Area,0
NCR,NCR First District,Santa Ana,3
NCR,NCR Second District,City of Mandaluyong,8
NCR,NCR Second District,City of Marikina,7
NCR,NCR Second District,City of Pasig,27
NCR,NCR Second District,Quezon City,73
NCR,NCR Second District,San Juan,7
NCR,NCR Third District,Kalookan City,39
NCR,NCR Third District,Malabon,3
NCR,NCR Third District,Navotas,2
NCR,NCR Third District,City of Valenzuela,20
NCR,NCR Fourth District,City of Las Pinas,16
NCR,NCR Fourth District,City of Makati,23
NCR,NCR Fourth District,City of Muntinlupa,8
NCR,NCR Fourth District,City of Paranaque,16
NCR,NCR Fourth District,Pasay City,21
NCR,NCR Fourth District,Pateros,1
NCR,NCR Fourth District,Taguig,32
NCR,No City/Municipality Reported,No City/Municipality Reported,0
NCR,Total National Capital Region,Total National Capital Region,332
Grand Total,Grand Total,Grand Total,2348
