region,prov,proj_type,title,address,,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Mocag, Baggao MPDP","Mocag, Baggao, Cagayan",,
RFU II,Cagayan,Hand Tractor,"Villa Maria, Enrile Hand Tractor (2 units)","Villa Maria, Enrile, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Tembligue, Baggao MPDP","Tembligue, Baggao, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"San Vicente, Baggao MPDP","San Vicente, Baggao, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Mabini, Baggao MPDP","Mabini, Baggao, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Bitag Pequeno, Baggao MPDP","Bitag Pequeno, Baggao, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Manaoag (P5), Iguig MPDP","Manaoag (P5), Iguig, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Sta. Clara, Gonzaga MPDP","Sta. Clara, Gonzaga, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Dalin, Baggao MPDP","Dalin, Baggao, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Cabiraoan, Gonzaga MPDP","Cabiraoan, Gonzaga, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Isca, Gonzaga MPDP","Isca, Gonzaga, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Amunitan, Gonzaga MPDP","Amunitan, Gonzaga, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Smart, Gonzaga MPDP","Smart, Gonzaga, Cagayan",,
RFU II,Cagayan,Multi Purpose Drying Pavement (MPDP),"Guiddam, Abulug MPDP","Guiddam, Abulug, Cagayan",,
