province,city_municipality,position ,name,nickname,party_affiliation,votes_obtained
Ilocos Norte ,Laoag City,Councilor,"Lao, Derick Borromeo",Derick Silaw,Lakas-Kampi,25499
Ilocos Norte ,Laoag City,Councilor,"Respicio, Franklin Dante Absing",Frank,Lakas-Kampi,25881
Ilocos Norte ,Laoag City,Councilor,"Ong Sin, Shirley Miguel",Sos,Lakas-Kampi,26226
Ilocos Norte ,Laoag City,Councilor,"Siazon, Sonia Bareng",Sonia,Lakas-Kampi,29504
Ilocos Norte ,Laoag City,Councilor,"Nicolas, Donald Gumarit",Don-Don,Lakas-Kampi,29718
Ilocos Norte ,Marcos,Mayor,"Pillos, Salvador Sulquiano",Bador,Nacionalista Party,6110
Ilocos Norte ,Marcos,Vice-Mayor,"Rosqueta, Jonel Menor",Jonel,Nacionalista Party,5001
Ilocos Norte ,Marcos,Councilor,"Simeon, Wilson Castillo",Willy,Lakas-Kampi,3807
Ilocos Norte ,Marcos,Councilor,"Dela Cruz, Stewart Tapaoan",Esting,Idependent,4137
Ilocos Norte ,Marcos,Councilor,"Pillos, Nerio Paguirigan",Ner,Lakas-Kampi,4482
Ilocos Norte ,Marcos,Councilor,"Agustin, Ignacio Agustin",Nacio,Lakas-Kampi,4823
Ilocos Norte ,Marcos,Councilor,"Rosqueta, Eloy Ablao",Eloy,Nacionalista Party,4874
Ilocos Norte ,Marcos,Councilor,"Tamayo, Alicia Saladino",Alice,Nacionalista Party,5023
Ilocos Norte ,Marcos,Councilor,"Tamayo, Constancio Tamayo",Tancing,Lakas-Kampi,5543
Ilocos Norte ,Marcos,Councilor,"Pambid, Rofel Rosal",Rofel,Nacionalista Party,7003
Ilocos Norte ,Nueva Era ,Mayor,"Garvida, Aldrin Ragonjan",Al,Lakas-Kampi,3385
Ilocos Norte ,Nueva Era ,Vice-Mayor,"Garvida, Caroline Arzadon",Elot,Nacionalista Party,3335
Ilocos Norte ,Nueva Era ,Councilor,"Castillo, Jurlandino Gaba",Dakkel,Nacionalista Party,1841
Ilocos Norte ,Nueva Era ,Councilor,"Farinas Sr., Arnel Bunay",Arthur,Nacionalista Party,1990
Ilocos Norte ,Nueva Era ,Councilor,"Balagso, Fernando Bautista",Fernan,Lakas-Kampi,2096
Ilocos Norte ,Nueva Era ,Councilor,"Tamayo, Cardito Manibog",Cardo,Lakas-Kampi,2211
Ilocos Norte ,Nueva Era ,Councilor,"Azurin, Elmer Bringas",Elmer,Nacionalista Party,2280
Ilocos Norte ,Nueva Era ,Councilor,"Valera, Redentor Budala",Reden,Nacionalista Party,2283
Ilocos Norte ,Nueva Era ,Councilor,"Arzadon, Joseph Bala",Osip,Lakas-Kampi,2667
Ilocos Norte ,Nueva Era ,Councilor,"Felipe, Philip John Acnam",Pj,Lakas-Kampi,2973
Ilocos Norte ,Pagudpud,Mayor,"Sales, Matilde Henson",Maja,Puwersa ng Masang Pilipino,4582
Ilocos Norte ,Pagudpud,Vice-Mayor,"Sales, Marlon Ferdinand Torres",Marlon,Idependent,4626
Ilocos Norte ,Pagudpud,Councilor,"Corpuz, Victor Agullana",Vc,Nacionalista Party,2760
Ilocos Norte ,Pagudpud,Councilor,"Dumlao, Placido Bumanglag",Placing,Puwersa ng Masang Pilipino,2779
Ilocos Norte ,Pagudpud,Councilor,"Garvida, Reynald Martinez",Rey,Puwersa ng Masang Pilipino,2822
Ilocos Norte ,Pagudpud,Councilor,"Salud, Reslyn Tagle",Rezlyn,Puwersa ng Masang Pilipino,3270
Ilocos Norte ,Pagudpud,Councilor,"Malapit, Arthur Vila",Art,Lakas-Kampi,3325
Ilocos Norte ,Pagudpud,Councilor,"Benemerito, Rafael Ralph Ii Lasmarias",Raffy,Nacionalista Party,3979
Ilocos Norte ,Pagudpud,Councilor,"Calvan, Shella Lagoc",Shila,Lakas-Kampi,4227
Ilocos Norte ,Pagudpud,Councilor,"Caliw-Caliw, Joseph Pascua",Josefa,Puwersa ng Masang Pilipino,4347
Ilocos Norte ,Paoay,Mayor,"Clemente, Bonifacio, Jr. Carpio",Bobby,Nacionalista Party,9994
Ilocos Norte ,Paoay,Vice-Mayor,"Guerrero, Eileen Llaguno",Eileen,Idependent,9290
Ilocos Norte ,Paoay,Councilor,"Langaman, Dante Bacud",Dhan,Nacionalista Party,3748
Ilocos Norte ,Paoay,Councilor,"Pobre, Josephine Judalena",Josie,Nacionalista Party,3968
Ilocos Norte ,Paoay,Councilor,"Domingo, Araceli David",Cely,Idependent,4473
Ilocos Norte ,Paoay,Councilor,"Dumlao, Bruno Gajeton",Noy,Nacionalista Party,5148
Ilocos Norte ,Paoay,Councilor,"Abundo, Leonardo Sacayanan",Larry,Idependent,5192
Ilocos Norte ,Paoay,Councilor,"Clemente, Pacifico, Jr. Tabije",Juncee,Nacionalista Party,5481
Ilocos Norte ,Paoay,Councilor,"Sadorra, Christian K Sadang",Christian,Idependent,5599
Ilocos Norte ,Paoay,Councilor,"Carpio, Waldo Reyes",Waldo,Nacionalista Party,5692
Ilocos Norte ,Pasuquin,Mayor,"Aguinaldo, Victoria A Peralta",Vicky,Lakas-Kampi,8762
Ilocos Norte ,Pasuquin,Vice-Mayor,"Aguinaldo, Felix Jr. Dancel",Peter,Lakas-Kampi,8564
Ilocos Norte ,Pasuquin,Councilor,"Dumlao, Raem Taqueban",Raem,Lakas-Kampi,4565
Ilocos Norte ,Pasuquin,Councilor,"Peralta, William Ranjo",Willy,Lakas-Kampi,4752
Ilocos Norte ,Pasuquin,Councilor,"Acio, Melchor Madamba",Mely,Lakas-Kampi,6208
Ilocos Norte ,Pasuquin,Councilor,"Arquillo, Micaela Angela Garcia",Lala,Lakas-Kampi,6257
Ilocos Norte ,Pasuquin,Councilor,"Tacata, Tomas Ratuita",Tom,Nacionalista Party,6272
Ilocos Norte ,Pasuquin,Councilor,"Viernes, Dante Gervacio",Dante,Nacionalista Party,6980
Ilocos Norte ,Pasuquin,Councilor,"Aguinaldo, Pedro Rex Ruiz",Rexie,Lakas-Kampi,8321
Ilocos Norte ,Pasuquin,Councilor,"Valdez, Rodolfo Llapitan",Rudy,Lakas-Kampi,9119
Ilocos Norte ,Piddig,Mayor,"Guillen, Eduardo Eddie Gamiao",Eddie,Nacionalista Party,5129
Ilocos Norte ,Piddig,Vice-Mayor,"Bayag, Onofre Agustin",Ofring,Lakas-Kampi,5399
Ilocos Norte ,Piddig,Councilor,"Bringas, Nestor Balderama",Nestor,Nacionalista Party,3794
Ilocos Norte ,Piddig,Councilor,"Lagasca, Jesus Esteban",Jessie,Nacionalista Party,3890
Ilocos Norte ,Piddig,Councilor,"Nicolas, Rey Malate",Rey,Lakas-Kampi,3916
Ilocos Norte ,Piddig,Councilor,"Asis, Guillermo Albano",Memong,Lakas-Kampi,4033
Ilocos Norte ,Piddig,Councilor,"Aquino, Salustiano III De Leon",Salus,Lakas-Kampi,4161
Ilocos Norte ,Piddig,Councilor,"Crisostomo, Marvin Ancanan",Bing,Nacionalista Party,4212
Ilocos Norte ,Piddig,Councilor,"Mandac, Philip Salazar",Philip,Nacionalista Party,4448
Ilocos Norte ,Piddig,Councilor,"Alejandro, Quezon Balguna",Boy,Nacionalista Party,4524
Ilocos Norte ,Pinili,Mayor,"Pagdilao, Samuel Salviejo",Sammy,Lakas-Kampi,4523
Ilocos Norte ,Pinili,Vice-Mayor,"Labasan, Rommel Tamayo",Rommel,Nacionalista Party,4581
Ilocos Norte ,Pinili,Councilor,"Bumanglag, Allen Maningding",Allen,Lakas-Kampi,2846
Ilocos Norte ,Pinili,Councilor,"Rubio, Floyd Oducayen",Floyd,Nacionalista Party,2900
Ilocos Norte ,Pinili,Councilor,"Zafaralla, Quirico Guerrero",Rico,Lakas-Kampi,2932
Ilocos Norte ,Pinili,Councilor,"Tugas, Reyda Barlahan",Reyda,Lakas-Kampi,3113
Ilocos Norte ,Pinili,Councilor,"Coloma, Noel Galacgac",Noel,Lakas-Kampi,3176
Ilocos Norte ,Pinili,Councilor,"Cabie, Reizel Abrogena",Reizel,Lakas-Kampi,3408
Ilocos Norte ,Pinili,Councilor,"Bagarino, Amor Macalma",Amor,Lakas-Kampi,3523
Ilocos Norte ,Pinili,Councilor,"Bumanglag, Maynard Francis Rivas",Mayo,Idependent,4143
Ilocos Norte ,San Nicolas,Mayor,"Valdez, Alfredo Jr. Pajinag",Boying,Lakas-Kampi,14018
Ilocos Norte ,San Nicolas,Vice-Mayor,"Valdez-Barrett, Ma Teresa Pajinag",Marites,Nacionalista Party,13116
Ilocos Norte ,San Nicolas,Councilor,"Domingo, Oscar Victoriano",Oka,Nacionalista Party,7400
Ilocos Norte ,San Nicolas,Councilor,"Ilaga, Angelo Barba",Totsie,Lakas-Kampi,7592
Ilocos Norte ,San Nicolas,Councilor,"Caraang, Luciano Ragutero",Ciano,Lakas-Kampi,8023
Ilocos Norte ,San Nicolas,Councilor,"Badua, Tenny Aninag",Tenny,Nacionalista Party,8130
Ilocos Norte ,San Nicolas,Councilor,"Mamaclay, Rodolfo Butac",Rudy,Idependent,8696
Ilocos Norte ,San Nicolas,Councilor,"Butay, Efren Caraang",Emjp,Lakas-Kampi,8857
Ilocos Norte ,San Nicolas,Councilor,"Dadiz, Norberto, Jr. Santos",Jun,Lakas-Kampi,9392
Ilocos Norte ,San Nicolas,Councilor,"Santos, Aladine Topinio",Kons,Nacionalista Party,10150
Ilocos Norte ,Sarrat,Mayor,"Balintona, Edito Alberto Ganitano",Eddie,Lakas-Kampi,7612
Ilocos Norte ,Sarrat,Vice-Mayor,"Medrano, Remigio Bayudan",Rhemy,Idependent,7752
Ilocos Norte ,Sarrat,Councilor,"Ganal, Angel, Jr. Balicao",Junior,Nacionalista Party,5370
Ilocos Norte ,Sarrat,Councilor,"Flores, Amanda Rosario Ruiz",Amyrose,Nacionalista Party,5517
Ilocos Norte ,Sarrat,Councilor,"Talamayan, Jose Echevarri",Delfin,Lakas-Kampi,5528
Ilocos Norte ,Sarrat,Councilor,"Nacion, Jerry Coloma",Gerry,Lakas-Kampi,6140
Ilocos Norte ,Sarrat,Councilor,"Gano, Ferdinand Baris",Andy,Lakas-Kampi,6813
Ilocos Norte ,Sarrat,Councilor,"Agoto, Redentor Agorilla",Reden,Nacionalista Party,7193
Ilocos Norte ,Sarrat,Councilor,"Dela Cruz, Paolo Romano Rumbaoa",Poch,Lakas-Kampi,7283
Ilocos Norte ,Sarrat,Councilor,"Pacog, Arnel Ramos",Arnel,Lakas-Kampi,8220
Ilocos Norte ,Solsona,Mayor,"De Lara, Joseph Espiritu",Joseph,Lakas-Kampi,11008
Ilocos Norte ,Solsona,Vice-Mayor,"De Lara, Jonathan Luz",Jong,Nacionalista Party,10724
Ilocos Norte ,Solsona,Councilor,"Pascua, Lorenzo Morales",Inso,Idependent,4845
Ilocos Norte ,Solsona,Councilor,"Vicente, Mimi Tiburcio",Mimi,Lakas-Kampi,4864
Ilocos Norte ,Solsona,Councilor,"Ganotisi, Francis Gerald De Lara",Gerald,Nacionalista Party,5129
Ilocos Norte ,Solsona,Councilor,"Martin, Jose Ancheta",Joe,Nacionalista Party,6079
Ilocos Norte ,Solsona,Councilor,"Miguel, Dixie Calaoagan",Dix,Idependent,6382
Ilocos Norte ,Solsona,Councilor,"Agulay, Ismael Luz",Mael,Nacionalista Party,6676
Ilocos Norte ,Solsona,Councilor,"Quitoras, Marcelino, Jr. Melchor",Mar,Nacionalista Party,6779
Ilocos Norte ,Solsona,Councilor,"De Lara, Edison Espiritu",Butch,Lakas-Kampi,7199
Ilocos Norte ,Vintar,Mayor,"Foronda, Jose Gamiao",Joe,Lakas-Kampi,7116
Ilocos Norte ,Vintar,Vice-Mayor,"Mabanag, Ferdinand Balais",Nan,Idependent,6419
Ilocos Norte ,Vintar,Councilor,"Ruadap, Arlene Leano",Arlene,Nacionalista Party,4661
Ilocos Norte ,Vintar,Councilor,"Racimo, Amado Victor Jr. Ramos",Vicvic,Lakas-Kampi,4739
Ilocos Norte ,Vintar,Councilor,"Diza, Oscar Macadangdang",Oca,Lakas-Kampi,4753
Ilocos Norte ,Vintar,Councilor,"Agbayani, Lilia Alcaraz",L.A.,Nacionalista Party,4814
Ilocos Norte ,Vintar,Councilor,"Madamba, Marino Agresor",Maring,Lakas-Kampi,5610
Ilocos Norte ,Vintar,Councilor,"Foronda, Magno Antonio Gonzales",Noni,Idependent,5855
Ilocos Norte ,Vintar,Councilor,"Foz, Lorna Leah Castro",Leah,Nacionalista Party,6333
Ilocos Norte ,Vintar,Councilor,"Reyes, Ma Eva Charisma Agtang",Cherry,Kilusang Bagong Lipunan (Marcos Wing),7556
