description_of_project_1,description_of_project_2,description_of_project_3,location,obligations
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 30m),"Carsadang Bago, City of Imus",3681300
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Improvement of covered court,"Tanzang Luma IV, City of Imus",271400
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (15m x 30m),"Buna Cerca ES, Indang",3654870
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 30m),"Amaya School, of Home Industries, Sahus Ulan, Tanza",3631102
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of electrical materials for covered court and streetlights,"St. Peter II, City of Dasmarinas ",35234
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for fencing of playground,"Paliparan III (Mabuhay), City of Dasmarinas",150000
Social Development,Installation and Maintenance of Streetlighting system,Installation of streetlights with amglobe lamp fixture,"San Nicolas I, Bacoor",833600
Social Development,Installation and Maintenance of Streetlighting system,Installation of streetlights,"Inchikan, Silang",995000
Social Development,Installation and Maintenance of Streetlighting system,Installation of streetlights,"Old, Bulihan, Silang",568600
Social Development,Installation and Maintenance of Streetlighting system,Installation of 20 units streetlights,"Panungyan I, Mendez",276300
Social Development,Installation and Maintenance of Streetlighting system,Delivery of electrical materials for streetlights,"Bucal 4-A, Maragondon",127000
Economic Development,"Construction or rehabilitation of communal irrigation or water impounding system and purchase of post harvest facilities (farm or hand tractor with trailer, threshers and mechanical dryers)",Delivery of pipes for Pangil Demo Farm,"Pangil, Amadeo",109000
Economic Development,"Construction or rehabilitation of communal irrigation or water impounding system and purchase of post harvest facilities (farm or hand tractor with trailer, threshers and mechanical dryers)",Delivery of materials for the upgrading of electrical facilities of demo farm,"Pangil, Amadeo",189850
Economic Development,"Construction or rehabilitation of communal irrigation or water impounding system and purchase of post harvest facilities (farm or hand tractor with trailer, threshers and mechanical dryers)",Acquisition of 1 unit recirculating mechanical dryer (8 tons),"Office of the Prov'l. Agriculturist, Trece Martires City",1600000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Poblacion 5, Alfonso",2737600
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Construction of reinforced cnocrete double box culverts (8m),"Poblacion 6 Sitio Manda, Amadeo",2368848.32
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Upgrading of pathways,"Maliksi I, Bacoor",589600
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Molino I, Bacoor",306800
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of road,"Poblacion 4 Blk 44, Gen. M. Alvarez",642500
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Construction of Bacao 2-Epza Road,"Bacao 2, Gen. Trias",7247515.14
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of barangay road,"Navarro, Gen. Trias",9399000
Economic Development,"Construction or rehabilitation of local roads and bridges and purchase of appropriate engineering equipment (dumtrucks, graders, and playloaders)",Concreting of Sitio Rosa going to Sitio Kanutuhan Barangay. Road,"San Francisco, Gen. Trias",2560800
